symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
GDDY,2024-12-31,197.37,141250000,27878512500,1089000000,3894700000,30684212500
GDDY,2023-12-31,106.16,148296000,15743103360,458800000,3935700000,19220003360
GDDY,2022-12-31,74.82,158788000,11880518159,774000000,3980900000,15087418159
GDDY,2021-12-31,84.86,167906000,14248503160,1255700000,4061900000,17054703160
GDDY,2020-12-31,82.95,168636000,13988356200,765200000,3322600000,16545756200
GDDY,2019-12-31,67.92,173431000,11779433520,1062800000,2627600000,13344233520
GDDY,2018-12-31,65.62,181353000,11900383860,932400000,2410800000,13378783860
GDDY,2017-12-31,50.28,108779000,5469408120,582700000,2451700000,7338408120
GDDY,2016-12-31,34.95,78571428,2746071408,566100000,1046600000,3226571408
GDDY,2015-12-31,32.06,58518518,1876103687,348000000,1056000000,2584103687
GDDY,2014-12-31,20,128567000,2571340000,138968000,1421400000,3853772000
GDDY,2013-12-31,20,128567000,2571340000,95430000,1085454000,3561364000
GDDY,2012-12-31,20,126098000,2521960000,59463000,989334000,3451831000
GDDY,2011-12-31,20,128567000,2571340000,0,0,2571340000
