holder,shares,dateReported,change
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,22108,2025-09-30,9
Andra AP-fonden,21500,2025-09-30,7831
CAPTRUST FINANCIAL ADVISORS,21462,2025-09-30,118
"Asset Management One Co., Ltd.",21386,2025-09-30,985
"Capital International, Inc./CA/",21318,2025-09-30,1122
Assenagon Asset Management S.A.,19935,2025-09-30,2408
Swedbank AB,19685,2025-09-30,123
BARR E S & CO,18910,2025-09-30,-25
NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,18772,2025-09-30,1074
NEW YORK STATE COMMON RETIREMENT FUND,18301,2025-09-30,-359
abrdn plc,17894,2025-09-30,-16
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,17877,2025-09-30,-712
AVIVA PLC,17394,2025-09-30,1380
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,17097,2025-09-30,16025
ENVESTNET ASSET MANAGEMENT INC,16606,2025-09-30,85
Universal- Beteiligungs- und Servicegesellschaft mbH,15891,2025-09-30,179
LOGAN CAPITAL MANAGEMENT INC,15556,2025-09-30,415
APG Asset Management N.V.,15159,2025-09-30,38
"NICHOLAS COMPANY, INC.",15139,2025-09-30,-5
Pictet Asset Management Holding SA,14740,2025-09-30,2219
GREAT WEST LIFE ASSURANCE CO /CAN/,14661,2025-09-30,851
Capital International Sarl,14196,2025-09-30,712
EULAV Asset Management,14100,2025-09-30,0
Handelsbanken Fonder AB,13749,2025-09-30,91
"GRANDFIELD & DODD, LLC",13612,2025-09-30,224
"PARNASSUS INVESTMENTS, LLC",13535,2025-09-30,-150
Korea Investment CORP,13523,2025-09-30,-2679
FIDUCIARY TRUST CO,13242,2025-09-30,-381
VIRGINIA RETIREMENT SYSTEMS ET AL,12731,2025-09-30,-4500
"SG Americas Securities, LLC",12705,2025-09-30,9018
PRUDENTIAL FINANCIAL INC,12590,2025-09-30,-1324
Rockefeller Capital Management L.P.,12416,2025-09-30,835
"Carnegie Capital Asset Management, LLC",11834,2025-09-30,-231
"ADAGE CAPITAL PARTNERS GP, L.L.C.",11257,2025-09-30,-2800
Woodline Partners LP,11222,2025-09-30,-4598
Quantinno Capital Management LP,11058,2025-09-30,5452
"Chevy Chase Trust Holdings, LLC",10944,2025-09-30,-465
STATE OF WISCONSIN INVESTMENT BOARD,10926,2025-09-30,-127
"Edgestream Partners, L.P.",10886,2025-09-30,2687
"L. Roy Papp & Associates, LLP",10749,2025-09-30,507
VICTORY CAPITAL MANAGEMENT INC,9900,2025-09-30,-921
HARVEY INVESTMENT CO LLC,9878,2025-09-30,-3611
Walleye Capital LLC,9559,2025-09-30,8522
Treasurer of the State of North Carolina,9349,2025-09-30,-371
"NISA INVESTMENT ADVISORS, LLC",9345,2025-09-30,-4
NORTH POINT PORTFOLIO MANAGERS CORP/OH,9059,2025-09-30,-125
Mediolanum International Funds Ltd,8967,2025-09-30,3166
"MARSHALL WACE, LLP",8895,2025-09-30,-50925
DANSKE BANK A/S,8834,2025-09-30,46
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",8715,2025-09-30,616
RAYMOND JAMES FINANCIAL INC,8248,2025-09-30,667
BLI - Banque de Luxembourg Investments,8000,2025-09-30,0
CAPITAL INTERNATIONAL LTD /CA/,7970,2025-09-30,0
Illinois Municipal Retirement Fund,7854,2025-09-30,1393
Mn Services Vermogensbeheer B.V.,7848,2025-09-30,0
TORONTO DOMINION BANK,7792,2025-09-30,-829
Neuberger Berman Group LLC,7678,2025-09-30,2237
NOMURA ASSET MANAGEMENT CO LTD,7674,2025-09-30,-1791
CREDIT AGRICOLE S A,7552,2025-09-30,7552
KLP KAPITALFORVALTNING AS,7483,2025-09-30,100
NATIONAL BANK OF CANADA /FI/,7469,2025-09-30,-9156
State of New Jersey Common Pension Fund D,7272,2025-09-30,446
"BEACON INVESTMENT ADVISORY SERVICES, INC.",7221,2025-09-30,-7448
TWINBEECH CAPITAL LP,7171,2025-09-30,7171
PRUDENTIAL PLC,6908,2025-09-30,337
LPL Financial LLC,6753,2025-09-30,897
"Resona Asset Management Co.,Ltd.",6748,2025-09-30,-292
BANK OF NOVA SCOTIA,6521,2025-09-30,-3653
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,6498,2025-09-30,39
Lansforsakringar Fondforvaltning AB (publ),6487,2025-09-30,57
Zurcher Kantonalbank (Zurich Cantonalbank),6417,2025-09-30,279
KEYBANK NATIONAL ASSOCIATION/OH,6391,2025-09-30,5682
Arizona State Retirement System,6169,2025-09-30,78
"Crown Oak Advisors, LLC",6035,2025-09-30,0
"D. E. Shaw & Co., Inc.",5792,2025-09-30,-1152
WELLS FARGO & COMPANY/MN,5748,2025-09-30,-223
STATE OF MICHIGAN RETIREMENT SYSTEM,5596,2025-09-30,-100
"State of Tennessee, Treasury Department",5407,2025-09-30,-8870
Skandinaviska Enskilda Banken AB (publ),5400,2025-09-30,-703
"Solidarity Wealth, LLC",5254,2025-09-30,234
Czech National Bank,5232,2025-09-30,152
"Oxbow Advisors, LLC",5205,2025-09-30,81
"Mariner, LLC",5146,2025-09-30,-1761
"MetLife Investment Management, LLC",5117,2025-09-30,-180
Employees Retirement System of Texas,5070,2025-09-30,0
FORSTA AP-FONDEN,5000,2025-09-30,400
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,4947,2025-09-30,-150
"Financiere des Professionnels - Fonds d,investissement inc.",4937,2025-09-30,-99
Daiwa Securities Group Inc.,4740,2025-09-30,67
AXA Investment Managers S.A.,4638,2025-09-30,4638
Ownership Capital B.V.,4617,2025-09-30,-38528
"Slow Capital, Inc.",4529,2025-09-30,60
AIA Group Ltd,4436,2025-09-30,1458
Creative Planning,4432,2025-09-30,858
USS Investment Management Ltd,4412,2025-09-30,-2772
Retirement Systems of Alabama,4394,2025-09-30,-65
"Clearbridge Investments, LLC",4350,2025-09-30,-88
"PNC FINANCIAL SERVICES GROUP, INC.",4293,2025-09-30,-3673
M&T BANK CORP,4263,2025-09-30,-271
DnB Asset Management AS,4168,2025-09-30,17
ASR Vermogensbeheer N.V.,4119,2025-09-30,-25
"XPONANCE, INC.",4010,2025-09-30,-184
Allianz Asset Management GmbH,3999,2025-09-30,-194
AMALGAMATED BANK,3941,2025-09-30,-100
IFM Investors Pty Ltd,3927,2025-09-30,0
Thematics Asset Management,3901,2025-09-30,-7029
MACQUARIE GROUP LTD,3891,2025-09-30,-202
COMERICA BANK,3816,2025-09-30,-147
Cerity Partners LLC,3753,2025-09-30,-282
"JANE STREET GROUP, LLC",3712,2025-09-30,3712
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,3706,2025-09-30,0
ProShare Advisors LLC,3642,2025-09-30,-62
"Financial Advisors Network, Inc.",3631,2025-09-30,-25
CANADA PENSION PLAN INVESTMENT BOARD,3623,2025-09-30,2122
"Colony Group, LLC",3584,2025-09-30,-341
BURNEY CO/,3567,2025-09-30,-6
NATIXIS,3442,2025-09-30,716
Utah Retirement Systems,3430,2025-09-30,0
CIBC WORLD MARKET INC.,3419,2025-09-30,375
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",3364,2025-09-30,1903
Perbak Capital Partners LLP,3352,2025-09-30,1745
Police & Firemen's Retirement System of New Jersey,3344,2025-09-30,169
SALEM INVESTMENT COUNSELORS INC,3300,2025-09-30,0
PENN DAVIS MCFARLAND INC,3228,2025-09-30,0
"Vanguard Personalized Indexing Management, LLC",3205,2025-09-30,130
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",3142,2025-09-30,401
AZZAD ASSET MANAGEMENT INC /ADV,3141,2025-09-30,147
Drystone LLC,3124,2025-09-30,-25
"Mirae Asset Global Investments Co., Ltd.",3091,2025-09-30,411
"Crossmark Global Holdings, Inc.",3090,2025-09-30,-497
Engineers Gate Manager LP,3029,2025-09-30,3029
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,3027,2025-09-30,-87
MIROVA,2997,2025-09-30,137
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,2987,2025-09-30,-293
CIBC Asset Management Inc,2914,2025-09-30,0
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",2902,2025-09-30,508
UniSuper Management Pty Ltd,2819,2025-09-30,501
JANUS HENDERSON GROUP PLC,2794,2025-09-30,-100
"YOUSIF CAPITAL MANAGEMENT, LLC",2759,2025-09-30,-145
"Pensionmark Financial Group, LLC",2752,2025-09-30,-51
"Pathstone Holdings, LLC",2741,2025-09-30,-29
TEACHER RETIREMENT SYSTEM OF TEXAS,2721,2025-09-30,-10347
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,2677,2025-09-30,-119
"Sumitomo Mitsui DS Asset Management Company, Ltd",2654,2025-09-30,0
Canada Post Corp Registered Pension Plan,2582,2025-09-30,0
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",2580,2025-09-30,90
"Promethos Capital, LLC",2539,2025-09-30,819
SYNOVUS FINANCIAL CORP,2512,2025-09-30,-9
PARSONS CAPITAL MANAGEMENT INC/RI,2501,2025-09-30,0
GABELLI FUNDS LLC,2500,2025-09-30,0
MACKENZIE FINANCIAL CORP,2462,2025-09-30,20
"Pacer Advisors, Inc.",2452,2025-09-30,294
"XXEC, Inc.",2432,2025-09-30,-10
Tredje AP-fonden,2407,2025-09-30,535
OMERS ADMINISTRATION Corp,2396,2025-09-30,-100
Virtu Financial LLC,2379,2025-09-30,1441
OREGON PUBLIC EMPLOYEES RETIREMENT FUND,2378,2025-09-30,562
Ethic Inc.,2372,2025-09-30,-177
BEDDOW CAPITAL MANAGEMENT INC,2347,2025-09-30,219
BROWN ADVISORY INC,2319,2025-09-30,-51
"EVOKE WEALTH, LLC",2312,2025-09-30,-96
"Inspire Investing, LLC",2302,2025-09-30,73
ODDO BHF ASSET MANAGEMENT SAS,2289,2025-09-30,-246
"Rafferty Asset Management, LLC",2288,2025-09-30,98
Silvant Capital Management LLC,2265,2025-09-30,-214
"State of Alaska, Department of Revenue",2253,2025-09-30,-86
MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,2239,2025-09-30,-151
US BANCORP \DE\,2221,2025-09-30,-13
Bell Asset Management Ltd,2206,2025-09-30,-946
"Evercore Wealth Management, LLC",2194,2025-09-30,0
Banque Cantonale Vaudoise,2192,2025-09-30,15
