date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,adjDividend,paymentDate,declarationDate,recordDate
2026-01-05,354.74,355.03,336.5,340.74,340.74,18431081,18431081,-14,-3.94655,344.09,"January 05, 26",-0.0394655,,,,,
2026-01-02,352.78,360.66,345.56,347.62,347.62,25398633,25398633,-5.15,-1.46,351.655,"January 02, 26",-0.0146,,,,,
2025-12-31,349.73,349.88,345.42,346.1,346.1,15346100,15346100,-3.63,-1.04,347.7825,"December 31, 25",-0.0104,,,,,
2025-12-30,349.97,352.68,349.3,349.85,349.85,16633607,16633607,-0.12,-0.03428865,350.45,"December 30, 25",-0.0003428865,,,,,
2025-12-29,348.72,350.33,344.69,349.39,349.39,21946900,21946900,0.67,0.19213,348.2825,"December 29, 25",0.0019213,,,,,
2025-12-26,351.06,353.25,347.75,352.13,352.13,15028133,15028133,1.07,0.30479,351.0475,"December 26, 25",0.0030479,,,,,
2025-12-24,350.69,352.86,347.14,350.22,350.22,11424403,11424403,-0.465,-0.13402,350.2275,"December 24, 25",-0.0013402,,,,,
2025-12-23,340.81,350.11,338.54,349.32,349.32,28232600,28232600,8.51,2.5,344.695,"December 23, 25",0.025,,,,,
2025-12-22,346.03,346.24,337.22,341.45,341.45,28739600,28739600,-4.58,-1.32,342.735,"December 22, 25",-0.0132,0.65,0.65,2025-12-31,2025-12-09,2025-12-22
2025-12-19,333.34,343.45,332.58,340.36,339.71,159095200,159095200,7.03,2.11,337.4325,"December 19, 25",0.0211,,,,,
2025-12-18,336,336.03,323.63,329.88,329.25,54501918,54501918,-6.12,-1.82,331.385,"December 18, 25",-0.0182,,,,,
2025-12-17,346.61,346.61,321.42,326.02,325.4,73300901,73300901,-20.59,-5.94,335.165,"December 17, 25",-0.0594,,,,,
2025-12-16,336.02,347.5,335.06,341.3,340.65,58061100,58061100,5.28,1.57,339.97,"December 16, 25",0.0157,,,,,
2025-12-15,361.89,362,337.51,339.81,339.16,65894902,65894902,-22.08,-6.1,350.3025,"December 15, 25",-0.061,,,,,
2025-12-12,379.96,382,355.15,359.93,359.24,95588500,95588500,-20.03,-5.27,369.26,"December 12, 25",-0.0527,,,,,
2025-12-11,404.83,409.3,394.19,406.37,405.59,45681617,45681617,1.55,0.38041,403.6725,"December 11, 25",0.0038041,,,,,
2025-12-10,402.2,414.61,399.56,412.97,412.18,31531000,31531000,10.77,2.68,407.335,"December 10, 25",0.0268,,,,,
2025-12-09,398.75,406.93,395.51,406.29,405.51,24546000,24546000,7.55,1.89,401.87,"December 09, 25",0.0189,,,,,
2025-12-08,402.48,407.29,397.4,401.1,400.33,30410600,30410600,-1.38,-0.34287,402.0675,"December 08, 25",-0.0034287,,,,,
2025-12-05,386.17,393.53,385.15,390.24,389.49,24779924,24779924,4.07,1.05,388.7725,"December 05, 25",0.0105,,,,,
2025-12-04,380.68,383.89,376.53,381.03,380.3,15845900,15845900,0.35,0.09194074,380.5325,"December 04, 25",0.0009194074,,,,,
2025-12-03,380,382.3,370.65,380.61,379.88,21336400,21336400,0.61,0.16053,378.39,"December 03, 25",0.0016053,,,,,
2025-12-02,388.31,393.5,379.79,381.57,380.84,22207000,22207000,-6.74,-1.74,385.7925,"December 02, 25",-0.0174,,,,,
