holder,shares,dateReported,change
VANGUARD GROUP INC,15296040,2025-09-30,264620
"BlackRock, Inc.",10407841,2025-09-30,-100806
STATE STREET CORP,5619142,2025-09-30,-23012
MORGAN STANLEY,4504533,2025-09-30,-556402
ALLIANCEBERNSTEIN L.P.,3690705,2025-09-30,3224891
PRICE T ROWE ASSOCIATES INC /MD/,3587562,2025-09-30,55256
"GEODE CAPITAL MANAGEMENT, LLC",3342345,2025-09-30,50104
JANUS HENDERSON GROUP PLC,3118052,2025-09-30,12378
BARCLAYS PLC,1972799,2025-09-30,14631
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1901022,2025-09-30,149756
NORTHERN TRUST CORP,1711824,2025-09-30,105696
STIFEL FINANCIAL CORP,1508092,2025-09-30,-44710
APG Asset Management N.V.,1494390,2025-09-30,-183313
Invesco Ltd.,1433682,2025-09-30,-33092
AMERIPRISE FINANCIAL INC,1239881,2025-09-30,100348
BAHL & GAYNOR INC,1185303,2025-09-30,-5474
WELLS FARGO & COMPANY/MN,1167311,2025-09-30,-57844
Veritas Investment Partners (UK) Ltd.,1109355,2025-09-30,-11634
JENSEN INVESTMENT MANAGEMENT INC,1099850,2025-09-30,-197233
UBS ASSET MANAGEMENT AMERICAS INC,1094065,2025-09-30,-224973
Legal & General Group Plc,962059,2025-09-30,-120240
DIMENSIONAL FUND ADVISORS LP,955433,2025-09-30,-36254
"T. Rowe Price Investment Management, Inc.",951805,2025-09-30,-1310397
JPMORGAN CHASE & CO,918700,2025-09-30,292801
Capital International Investors,887931,2025-09-30,-618112
FAYEZ SAROFIM & CO,883671,2025-09-30,-2608
Bank of New York Mellon Corp,846778,2025-09-30,15040
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,827025,2025-09-30,-35908
GOLDMAN SACHS GROUP INC,779500,2025-09-30,-58831
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,708091,2025-09-30,3241
VAN ECK ASSOCIATES CORP,700536,2025-09-30,679489
MACQUARIE GROUP LTD,681993,2025-09-30,-28005
FRANKLIN RESOURCES INC,675748,2025-09-30,-37126
BANK OF AMERICA CORP /DE/,671157,2025-09-30,-179747
Amundi,605537,2025-09-30,-146951
CONFLUENCE INVESTMENT MANAGEMENT LLC,583912,2025-09-30,-13633
ENVESTNET ASSET MANAGEMENT INC,563281,2025-09-30,-29562
UBS Group AG,514779,2025-09-30,98192
Qube Research & Technologies Ltd,485025,2025-09-30,254491
"CI Private Wealth, LLC",455784,2025-09-30,25137
"CIBC Private Wealth Group, LLC",436784,2025-09-30,-5521
Rathbones Group PLC,431446,2025-09-30,-134
DEUTSCHE BANK AG\,423374,2025-09-30,-13006
CAPTRUST FINANCIAL ADVISORS,407023,2025-09-30,1626
PRINCIPAL FINANCIAL GROUP INC,387023,2025-09-30,-10579
RAYMOND JAMES FINANCIAL INC,384949,2025-09-30,-7410
"PARNASSUS INVESTMENTS, LLC",380373,2025-09-30,-12425
"Nuveen, LLC",376125,2025-09-30,-7618
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,360365,2025-09-30,-74328
EARNEST PARTNERS LLC,356929,2025-09-30,-8720
"Baird Financial Group, Inc.",346899,2025-09-30,-110392
Swiss National Bank,338600,2025-09-30,-15600
LPL Financial LLC,320998,2025-09-30,11930
FENIMORE ASSET MANAGEMENT INC,318791,2025-09-30,2260
FIRST TRUST ADVISORS LP,286422,2025-09-30,-28490
AQR CAPITAL MANAGEMENT LLC,279446,2025-09-30,15364
"Sumitomo Mitsui Trust Holdings, Inc.",275541,2025-09-30,3700
Junto Capital Management LP,271872,2025-09-30,271872
RHUMBLINE ADVISERS,271055,2025-09-30,7353
HSBC HOLDINGS PLC,267130,2025-09-30,-57962
KING LUTHER CAPITAL MANAGEMENT CORP,255743,2025-09-30,-6765
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,254093,2025-09-30,-4362
SCHWARTZ INVESTMENT COUNSEL INC,247350,2025-09-30,0
NORDEA INVESTMENT MANAGEMENT AB,228444,2025-09-30,8130
ROYAL BANK OF CANADA,228135,2025-09-30,-46732
BALYASNY ASSET MANAGEMENT L.P.,223879,2025-09-30,-18431
"GW&K Investment Management, LLC",215556,2025-09-30,-2943
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,214337,2025-09-30,1983
AMERICAN CENTURY COMPANIES INC,203072,2025-09-30,-75997
"BNP PARIBAS ARBITRAGE, SNC",201850,2025-09-30,10738
CANADA PENSION PLAN INVESTMENT BOARD,199429,2025-09-30,13139
B. Metzler seel. Sohn & Co. AG,187194,2025-09-30,-8418
BENJAMIN EDWARDS INC,177450,2025-09-30,1831
"Rakuten Investment Management, Inc.",174812,2025-09-30,174812
National Pension Service,174491,2025-09-30,2714
ANCHOR CAPITAL ADVISORS LLC,167630,2025-09-30,-4143
"Russell Investments Group, Ltd.",159783,2025-09-30,20166
Assenagon Asset Management S.A.,156407,2025-09-30,-23264
Neuberger Berman Group LLC,151685,2025-09-30,21726
"Colony Group, LLC",150854,2025-09-30,-3152
GREAT WEST LIFE ASSURANCE CO /CAN/,149458,2025-09-30,5858
AXA Investment Managers S.A.,144935,2025-09-30,144935
ZACKS INVESTMENT MANAGEMENT,140644,2025-09-30,767
abrdn plc,138711,2025-09-30,-13168
ASR Vermogensbeheer N.V.,137632,2025-09-30,5537
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,131851,2025-09-30,0
"NATIXIS ADVISORS, L.P.",127967,2025-09-30,-83
TD ASSET MANAGEMENT INC,120009,2025-09-30,-98634
CITIZENS FINANCIAL GROUP INC/RI,119211,2025-09-30,116556
"Aptus Capital Advisors, LLC",114375,2025-09-30,2911
ROYAL LONDON ASSET MANAGEMENT LTD,112657,2025-09-30,6880
Bath Savings Trust Co,111888,2025-09-30,-463
Quantinno Capital Management LP,111000,2025-09-30,60336
VICTORY CAPITAL MANAGEMENT INC,110699,2025-09-30,-7040
Man Group plc,109517,2025-09-30,77800
"ADVISOR GROUP HOLDINGS, INC.",109017,2025-09-30,92667
CITIGROUP INC,107383,2025-09-30,168
Squarepoint Ops LLC,105826,2025-09-30,102331
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,104914,2025-09-30,-9006
FMR LLC,103468,2025-09-30,3550
BNP Paribas Asset Management Holding S.A.,102790,2025-09-30,3776
DEARBORN PARTNERS LLC,102770,2025-09-30,-901
Universal- Beteiligungs- und Servicegesellschaft mbH,102246,2025-09-30,-3449
WENDELL DAVID ASSOCIATES INC,101134,2025-09-30,205
CREDIT AGRICOLE S A,100283,2025-09-30,100283
BANK OF MONTREAL /CAN/,98492,2025-09-30,11754
