holder,shares,dateReported,change
VANGUARD GROUP INC,4026564,2025-09-30,-20462
BERKSHIRE HATHAWAY INC,2981945,2025-09-30,348077
"BlackRock, Inc.",2287725,2025-09-30,-77786
"T. Rowe Price Investment Management, Inc.",2000781,2025-09-30,65576
PRINCIPAL FINANCIAL GROUP INC,1762568,2025-09-30,30647
STATE STREET CORP,1319311,2025-09-30,-83044
"GEODE CAPITAL MANAGEMENT, LLC",1007372,2025-09-30,-48249
FMR LLC,978151,2025-09-30,-167986
Invesco Ltd.,919830,2025-09-30,78594
MARSHFIELD ASSOCIATES,744515,2025-09-30,28765
CITADEL ADVISORS LLC,618522,2025-09-30,-287736
MORGAN STANLEY,519812,2025-09-30,-19934
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,456261,2025-09-30,47302
GOLDMAN SACHS GROUP INC,417030,2025-09-30,53136
NORTHERN TRUST CORP,408560,2025-09-30,15880
TD ASSET MANAGEMENT INC,361668,2025-09-30,-51550
ROYAL BANK OF CANADA,356576,2025-09-30,36528
Bank of New York Mellon Corp,354598,2025-09-30,24155
ENVESTNET ASSET MANAGEMENT INC,344273,2025-09-30,-166933
BANK OF AMERICA CORP /DE/,341131,2025-09-30,-218927
"JACOBS LEVY EQUITY MANAGEMENT, INC",305122,2025-09-30,14131
"Champlain Investment Partners, LLC",302537,2025-09-30,145919
"TWO SIGMA INVESTMENTS, LP",264024,2025-09-30,255060
Woodline Partners LP,242314,2025-09-30,239405
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,232197,2025-09-30,-11090
Legal & General Group Plc,199855,2025-09-30,-1378
PRICE T ROWE ASSOCIATES INC /MD/,198238,2025-09-30,-43786
UBS Group AG,195522,2025-09-30,-147686
"Epoch Investment Partners, Inc.",188104,2025-09-30,-60640
"MARSHALL WACE, LLP",186582,2025-09-30,186582
Qube Research & Technologies Ltd,182224,2025-09-30,140107
Sterling Capital Management LLC,181861,2025-09-30,1777
Stephens Investment Management Group LLC,180307,2025-09-30,-11560
Capital World Investors,176500,2025-09-30,-142777
UBS ASSET MANAGEMENT AMERICAS INC,170202,2025-09-30,-28488
DIMENSIONAL FUND ADVISORS LP,166279,2025-09-30,193
WELLS FARGO & COMPANY/MN,165629,2025-09-30,10424
Bristol Gate Capital Partners Inc.,157655,2025-09-30,-5377
JPMORGAN CHASE & CO,153394,2025-09-30,-98326
JENNISON ASSOCIATES LLC,137195,2025-09-30,-9481
Dixon Mitchell Investment Counsel Inc.,132655,2025-09-30,995
MILLENNIUM MANAGEMENT LLC,128674,2025-09-30,60105
Man Group plc,122563,2025-09-30,98718
RAYMOND JAMES FINANCIAL INC,110975,2025-09-30,1911
DEUTSCHE BANK AG\,105077,2025-09-30,-4916
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,104524,2025-09-30,-23438
"FEDERATED HERMES, INC.",102204,2025-09-30,9031
RHUMBLINE ADVISERS,101023,2025-09-30,940
RENAISSANCE TECHNOLOGIES LLC,98628,2025-09-30,-45948
Swiss National Bank,93800,2025-09-30,-4700
SEI INVESTMENTS CO,93044,2025-09-30,12080
Saudi Central Bank,89733,2025-09-30,0
BARCLAYS PLC,87609,2025-09-30,-27213
AQR CAPITAL MANAGEMENT LLC,86111,2025-09-30,34224
"TWO SIGMA ADVISERS, LP",85400,2025-09-30,85400
