holder,shares,dateReported,change
VANGUARD GROUP INC,5910808,2025-09-30,69284
"BlackRock, Inc.",4091440,2025-09-30,3677
PRICE T ROWE ASSOCIATES INC /MD/,3282669,2025-09-30,158355
STATE STREET CORP,2204554,2025-09-30,61135
"Aristotle Capital Management, LLC",1781914,2025-09-30,-102896
JANUS HENDERSON GROUP PLC,1683457,2025-09-30,-25376
DODGE & COX,1680962,2025-09-30,183222
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,1435411,2025-09-30,-34519
"GEODE CAPITAL MANAGEMENT, LLC",1260627,2025-09-30,18017
FIL Ltd,1092161,2025-09-30,428297
JPMORGAN CHASE & CO,942825,2025-09-30,24222
Invesco Ltd.,764905,2025-09-30,156559
BANK OF AMERICA CORP /DE/,660368,2025-09-30,20304
KING LUTHER CAPITAL MANAGEMENT CORP,548394,2025-09-30,-4845
NORTHERN TRUST CORP,539486,2025-09-30,15368
UBS ASSET MANAGEMENT AMERICAS INC,509329,2025-09-30,-76675
EARNEST PARTNERS LLC,405235,2025-09-30,5300
SEI INVESTMENTS CO,400514,2025-09-30,17295
MORGAN STANLEY,393272,2025-09-30,15803
"Select Equity Group, L.P.",390876,2025-09-30,-35961
DIMENSIONAL FUND ADVISORS LP,383696,2025-09-30,-5630
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,336879,2025-09-30,12816
Maren Capital LLC,316943,2025-09-30,8043
"Mariner, LLC",309556,2025-09-30,305337
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,307445,2025-09-30,65943
WELLS FARGO & COMPANY/MN,270776,2025-09-30,-1223
FMR LLC,269988,2025-09-30,215853
Legal & General Group Plc,263094,2025-09-30,9530
"Clearbridge Investments, LLC",262114,2025-09-30,-2358
"Allspring Global Investments Holdings, LLC",260668,2025-09-30,-4139
Bank of New York Mellon Corp,243223,2025-09-30,-15220
"T. Rowe Price Investment Management, Inc.",228800,2025-09-30,-383155
"Madison Asset Management, LLC",222575,2025-09-30,-2536
Artisan Partners Limited Partnership,221471,2025-09-30,221471
ROYAL BANK OF CANADA,213829,2025-09-30,-17027
Findlay Park Partners LLP,206939,2025-09-30,-3600
PUBLIC SECTOR PENSION INVESTMENT BOARD,206440,2025-09-30,201972
"NATIXIS ADVISORS, L.P.",198084,2025-09-30,23399
Port Capital LLC,194309,2025-09-30,2272
"Rakuten Investment Management, Inc.",185271,2025-09-30,185271
