holder,shares,dateReported,change
VANGUARD GROUP INC,156751453,2025-09-30,736209
"BlackRock, Inc.",115056881,2025-09-30,-758833
STATE STREET CORP,62538927,2025-09-30,2844265
Capital Research Global Investors,51353272,2025-09-30,-2188013
"GEODE CAPITAL MANAGEMENT, LLC",35171901,2025-09-30,553171
Allianz Asset Management GmbH,27986645,2025-09-30,2937039
BANK OF AMERICA CORP /DE/,26160282,2025-09-30,3968349
JPMORGAN CHASE & CO,23409381,2025-09-30,1598238
PRINCIPAL FINANCIAL GROUP INC,21589046,2025-09-30,-844429
PRICE T ROWE ASSOCIATES INC /MD/,20352196,2025-09-30,3192102
Capital International Investors,18775779,2025-09-30,-42095190
"COHEN & STEERS, INC.",17392705,2025-09-30,-3262799
NORTHERN TRUST CORP,16347424,2025-09-30,2655916
DIMENSIONAL FUND ADVISORS LP,15022829,2025-09-30,348954
Invesco Ltd.,13926069,2025-09-30,-510380
Legal & General Group Plc,13351543,2025-09-30,646118
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,13184513,2025-09-30,272630
BARROW HANLEY MEWHINNEY & STRAUSS LLC,11748574,2025-09-30,-108532
DEUTSCHE BANK AG\,10441025,2025-09-30,2018984
UBS Group AG,9656111,2025-09-30,4815053
ENVESTNET ASSET MANAGEMENT INC,9434455,2025-09-30,394225
MORGAN STANLEY,9077334,2025-09-30,637173
GOLDMAN SACHS GROUP INC,8937780,2025-09-30,3204983
"Nuveen, LLC",8308794,2025-09-30,-1220324
Capital World Investors,7975028,2025-09-30,-18680181
HSBC HOLDINGS PLC,7811569,2025-09-30,2420805
AMERICAN CENTURY COMPANIES INC,7082857,2025-09-30,-312196
"CIBC Private Wealth Group, LLC",6649710,2025-09-30,-105796
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,6405465,2025-09-30,-81044
"Cullen Capital Management, LLC",6327308,2025-09-30,-99215
BARCLAYS PLC,5686520,2025-09-30,1993245
Man Group plc,5685670,2025-09-30,2297085
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,5656367,2025-09-30,68427
"Russell Investments Group, Ltd.",5609084,2025-09-30,1237145
Bank of New York Mellon Corp,5516202,2025-09-30,-131564
Swedbank AB,4874730,2025-09-30,188690
MACQUARIE GROUP LTD,4748320,2025-09-30,311450
"Sumitomo Mitsui Trust Holdings, Inc.",4747176,2025-09-30,-46165
BAHL & GAYNOR INC,4724487,2025-09-30,1671311
FMR LLC,4627207,2025-09-30,-8872
Boston Partners,4607321,2025-09-30,89341
Daiwa Securities Group Inc.,4564171,2025-09-30,118409
Amundi,4371278,2025-09-30,326180
CENTERSQUARE INVESTMENT MANAGEMENT LLC,4299483,2025-09-30,72725
ROYAL BANK OF CANADA,4193225,2025-09-30,19576
CI INVESTMENTS INC.,3802365,2025-09-30,-101341
VIRGINIA RETIREMENT SYSTEMS ET AL,3466757,2025-09-30,81300
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,3454904,2025-09-30,1052393
APG Asset Management US Inc.,3450812,2025-09-30,0
"HighTower Advisors, LLC",3258010,2025-09-30,1067889
RAYMOND JAMES FINANCIAL INC,3246456,2025-09-30,-419432
MACKENZIE FINANCIAL CORP,3225847,2025-09-30,-27019
