date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,BG,USD,0001996862,2025-02-20,2025-02-20 14:39:04,2024,FY,1188000000,468000000,-10000000,65000000,95000000,169000000,96000000,0,-170000000,94000000,1900000000,-1376000000,675000000,-1285000000,958000000,-86000000,-1114000000,1416000000,0,-1100000000,-378000000,-28000000,-90000000,9000000,705000000,3328000000,2623000000,1900000000,-1376000000,524000000,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/0001996862-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/bg-20241231.htm
2023-12-31,BG,USD,0001996862,2024-02-22,2024-02-22 16:24:17,2023,FY,2337000000,451000000,-1000000,69000000,673000000,256000000,1518000000,0,-1101000000,-221000000,3308000000,-1122000000,34000000,-133000000,49000000,163000000,-1009000000,230000000,0,-600000000,-383000000,-103000000,-856000000,28000000,1471000000,2623000000,1152000000,3308000000,-1122000000,2186000000,https://www.sec.gov/Archives/edgar/data/1996862/000199686224000007/0001996862-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1996862/000199686224000007/bg-20231231.htm
2022-12-31,BG,USD,0001996862,2023-02-24,2023-02-24 16:15:25,2022,FY,1678000000,408000000,-119000000,65000000,-7627000000,-7146000000,-269000000,0,-212000000,46000000,-5549000000,-555000000,453000000,-456000000,326000000,6731000000,6499000000,-705000000,0,-200000000,-349000000,485000000,-769000000,66000000,247000000,1152000000,905000000,-5549000000,-555000000,-6104000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451923000010/0001144519-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451923000010/bg-20221231.htm
2021-12-31,BG,USD,0001996862,2022-02-24,2022-02-24 17:28:50,2021,FY,2167000000,424000000,-272000000,61000000,-5007000000,-530000000,-1301000000,1594000000,-4770000000,-267000000,-2894000000,-399000000,601000000,-342000000,171000000,5082000000,5113000000,-1097000000,0,-100000000,-323000000,-112000000,-1632000000,-63000000,524000000,905000000,381000000,-2894000000,-399000000,-3293000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/0001144519-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/bg-20211231.htm
2020-12-31,BG,USD,0001996862,2021-02-19,2021-02-19 14:45:09,2020,FY,1165000000,435000000,71000000,71000000,-5097000000,-255000000,-2298000000,97000000,-2641000000,-181000000,-3536000000,-365000000,180000000,-337000000,370000000,1965000000,1813000000,2202000000,0,-100000000,-316000000,-23000000,1763000000,19000000,59000000,381000000,322000000,-3536000000,-365000000,-3901000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/0001144519-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/bg-20201231.htm
2019-12-31,BG,USD,0001996862,2020-02-21,2020-02-21 14:58:14,2019,FY,-1291000000,548000000,-24000000,39000000,-2003000000,-257000000,504000000,-498000000,-1752000000,1923000000,-808000000,-524000000,709000000,-449000000,449000000,1318000000,1483000000,-438000000,0,0,-317000000,-16000000,-771000000,5000000,-71000000,322000000,393000000,-814000000,-524000000,-1332000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/0001144519-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/bg-12312019x10k.htm
2018-12-31,BG,USD,0001996862,2019-02-22,2019-02-22 15:19:27,2018,FY,287000000,622000000,6000000,46000000,-2492000000,-110000000,-1107000000,335000000,-1610000000,267000000,-1264000000,-493000000,-984000000,-1184000000,1164000000,1907000000,410000000,956000000,0,0,-305000000,-20000000,631000000,11000000,-212000000,393000000,605000000,-1264000000,-493000000,-1757000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000006/0001144519-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000006/bg-12312018x10k.htm
2017-12-31,BG,USD,0001996862,2018-02-23,2018-02-23 16:34:06,2017,FY,174000000,609000000,-23000000,29000000,-2880000000,95000000,-130000000,25000000,-2870000000,116000000,-1975000000,-662000000,-479000000,-944000000,941000000,2963000000,-1162000000,86000000,0,0,-297000000,15000000,-180000000,3000000,-333000000,601000000,934000000,1006000000,-662000000,-2637000000,https://www.sec.gov/Archives/edgar/data/1144519/000114451918000008/0001144519-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451918000008/bg-12312017x10k.htm
2016-12-31,BG,USD,0001996862,2017-02-28,2017-02-28 16:19:47,2016,FY,767000000,547000000,126000000,44000000,-1111000000,-131000000,-269000000,708000000,-1419000000,73000000,446000000,-784000000,-74000000,-553000000,427000000,1518000000,-926000000,61000000,0,-200000000,-282000000,-92000000,-488000000,33000000,523000000,934000000,411000000,1904000000,-784000000,-338000000,https://www.sec.gov/Archives/edgar/data/1144519/000104746917001059/0001047469-17-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746917001059/a2230755z10-k.htm
2015-12-31,BG,USD,0001996862,2016-02-25,2016-02-25 17:05:27,2015,FY,790000000,545000000,16000000,46000000,-593000000,-97000000,314000000,-88000000,-722000000,-194000000,610000000,-649000000,-426000000,-235000000,498000000,10000000,-802000000,882000000,25000000,-300000000,-249000000,19000000,360000000,-119000000,49000000,411000000,362000000,610000000,-649000000,-39000000,https://www.sec.gov/Archives/edgar/data/1144519/000104746916010442/0001047469-16-010442-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746916010442/a2227431z10-k.htm
