date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2026-01-05,147.11,148.18,145.305,147.87,147.87,550449,550449,0.76,0.51662022,147.12,"January 05, 26",0.0051662022,,,,,
2026-01-02,143.77,144.75,141.43,143.93,143.93,2992850,2992850,0.16,0.11129,143.47,"January 02, 26",0.0011129,,,,,
2025-12-31,141.27,142.75,140.7,141.44,141.44,1742100,1742100,0.17,0.12034,141.54,"December 31, 25",0.0012034,,,,,
2025-12-30,145.06,145.42,141.66,142.01,142.01,1660200,1660200,-3.05,-2.1,143.5375,"December 30, 25",-0.021,,,,,
2025-12-29,144.72,146.45,141.25,144.58,144.58,2822000,2822000,-0.14,-0.09673853,144.25,"December 29, 25",-0.0009673853,,,,,
2025-12-26,150.28,152.08,147.74,150.01,150.01,1442200,1442200,-0.27,-0.17966,150.0275,"December 26, 25",-0.0017966,,,,,
2025-12-24,144,148.51,143.52,148.51,148.51,1181702,1181702,4.51,3.13,146.135,"December 24, 25",0.0313,,,,,
2025-12-23,147.98,149.88,146.21,146.7,146.7,1736700,1736700,-1.28,-0.86498,147.6925,"December 23, 25",-0.0086498,,,,,
2025-12-22,146.9,150.72,143.84,145.38,145.38,3573600,3573600,-1.52,-1.03,146.71,"December 22, 25",-0.0103,,,,,
2025-12-19,142.51,149.82,142,145.88,145.88,6845036,6845036,3.37,2.36,145.0525,"December 19, 25",0.0236,,,,,
2025-12-18,135.4,140.78,133.88,140.48,140.48,3387600,3387600,5.08,3.75,137.635,"December 18, 25",0.0375,,,,,
2025-12-17,135.2,138.69,134.43,134.71,134.71,3105300,3105300,-0.49,-0.36243,135.7575,"December 17, 25",-0.0036243,,,,,
2025-12-16,131.92,134.48,130.4,131.07,131.07,2349312,2349312,-0.85,-0.64433,131.9675,"December 16, 25",-0.0064433,,,,,
2025-12-15,132.96,134.35,130.68,132.22,132.22,2080600,2080600,-0.74,-0.55656,132.5525,"December 15, 25",-0.0055656,,,,,
2025-12-12,136.1,136.1,129.89,132.74,132.74,2775351,2775351,-3.36,-2.47,133.7075,"December 12, 25",-0.0247,0.405,0.405,2026-01-02,2025-10-27,2025-12-12
2025-12-11,133.18,135.13,132.01,134.59,134.18,2291642,2291642,1.41,1.06,133.7275,"December 11, 25",0.0106,,,,,
2025-12-10,131,134.37,129.73,133.21,132.81,2764400,2764400,2.21,1.69,132.0775,"December 10, 25",0.0169,,,,,
2025-12-09,126.94,131.9,126.55,129.29,128.9,2362908,2362908,2.35,1.85,128.67,"December 09, 25",0.0185,,,,,
2025-12-08,128.28,128.39,124.72,127.2,126.82,3602800,3602800,-1.08,-0.84191,127.1475,"December 08, 25",-0.0084191,,,,,
2025-12-05,123.81,129.88,122.7,125.19,124.81,5265002,5265002,1.38,1.11,125.395,"December 05, 25",0.0111,,,,,
2025-12-04,125.32,126.49,117.61,119.14,118.78,4241900,4241900,-6.18,-4.93,122.14,"December 04, 25",-0.0493,,,,,
2025-12-03,124.5,127.05,123.43,126.49,126.11,4145000,4145000,1.99,1.6,125.3675,"December 03, 25",0.016,,,,,
2025-12-02,130.26,130.26,127.14,128.14,127.75,2037100,2037100,-2.12,-1.63,128.95,"December 02, 25",-0.0163,,,,,
2025-12-01,128.47,132.9,128.11,128.33,127.94,4017000,4017000,-0.14,-0.10897,129.4525,"December 01, 25",-0.0010897,,,,,
2025-11-28,127.79,130.56,126.5,129.99,129.6,1285312,1285312,2.2,1.72,128.71,"November 28, 25",0.0172,,,,,
2025-11-26,124.08,127.7,122.13,126.91,126.53,3060200,3060200,2.83,2.28,125.205,"November 26, 25",0.0228,,,,,
2025-11-25,119.71,125.78,117.92,125.26,124.88,3548524,3548524,5.55,4.64,122.1675,"November 25, 25",0.0464,,,,,
