date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,paymentDate,adjDividend,declarationDate
2026-01-05,112.74,116.34,112.41,115.855,115.855,1624408,1624408,3.12,2.76299,114.87,"January 05, 26",0.0276299,,,,,
2026-01-02,112.6,113.57,110.96,113.01,113.01,2621098,2621098,0.41,0.36412,112.535,"January 02, 26",0.0036412,,,,,
2025-12-31,111.42,112.13,110.82,111.82,111.82,2124834,2124834,0.4,0.359,111.5475,"December 31, 25",0.00359,,,,,
2025-12-30,111.59,112.41,111,111.52,111.52,2072077,2072077,-0.07,-0.06272964,111.63,"December 30, 25",-0.0006272964,,,,,
2025-12-29,113.27,113.99,110.69,111.45,111.45,4149500,4149500,-1.82,-1.61,112.35,"December 29, 25",-0.0161,,,,,
2025-12-26,114.63,114.85,113.59,114.04,114.04,2077400,2077400,-0.59,-0.5147,114.2775,"December 26, 25",-0.005147,,,,,
2025-12-24,113.32,115.15,112.75,114.81,114.81,1845000,1845000,1.49,1.31,114.0075,"December 24, 25",0.0131,,,,,
2025-12-23,115.11,115.95,112.65,113.53,113.53,3285371,3285371,-1.58,-1.37,114.31,"December 23, 25",-0.0137,,,,,
2025-12-22,114.3,116.32,114.06,116.02,116.02,3856328,3856328,1.72,1.5,115.175,"December 22, 25",0.015,,,,,
2025-12-19,113.03,114.18,112.03,113.99,113.99,7303543,7303543,0.96,0.84933,113.3075,"December 19, 25",0.0084933,,,,,
2025-12-18,112.15,114.32,111.58,112.85,112.85,3780800,3780800,0.7,0.62416,112.725,"December 18, 25",0.0062416,,,,,
2025-12-17,113,114.83,109.85,110.27,110.27,5600500,5600500,-2.73,-2.42,111.9875,"December 17, 25",-0.0242,,,,,
2025-12-16,108,112.87,107.72,112.48,112.48,6384822,6384822,4.48,4.15,110.2675,"December 16, 25",0.0415,,,,,
2025-12-15,106.92,108.64,106.28,107.7,107.7,4200200,4200200,0.78,0.72952,107.385,"December 15, 25",0.0072952,,,,,
2025-12-12,108.69,109.62,106.63,106.84,106.84,3772847,3772847,-1.84,-1.7,107.945,"December 12, 25",-0.017,,,,,
2025-12-11,107.85,109.2,106.52,108.39,108.39,4703432,4703432,0.54,0.5007,107.99,"December 11, 25",0.005007,,,,,
2025-12-10,105.87,108.19,104.95,107.74,107.74,7534646,7534646,1.87,1.77,106.6875,"December 10, 25",0.0177,,,,,
2025-12-09,104.26,107.43,103.68,105.7,105.7,4916223,4916223,1.44,1.38,105.2675,"December 09, 25",0.0138,,,,,
2025-12-08,105.33,105.37,103.66,104.5,104.5,6599712,6599712,-0.825,-0.788,104.715,"December 08, 25",-0.00788,,,,,
2025-12-05,104.35,105.63,103.04,104.95,104.95,6375735,6375735,0.6,0.57499,104.4925,"December 05, 25",0.0057499,,,,,
2025-12-04,108.72,109.12,104.44,104.73,104.73,7449500,7449500,-3.99,-3.67,106.7525,"December 04, 25",-0.0367,,,,,
2025-12-03,104.88,109.66,104.68,108.48,108.48,6287239,6287239,3.61,3.43,106.925,"December 03, 25",0.0343,,,,,
2025-12-02,101.5,105.46,100.84,104.38,104.38,7095900,7095900,2.88,2.84,103.045,"December 02, 25",0.0284,,,,,
2025-12-01,100.29,103.22,100.02,101.12,101.12,3709627,3709627,0.83,0.8276,101.1625,"December 01, 25",0.008276,,,,,
2025-11-28,101.81,103.19,101.6,101.96,101.96,2253700,2253700,0.15,0.14733,102.14,"November 28, 25",0.0014733,,,,,
2025-11-26,99.64,103.2,98.96,101.59,101.59,5216600,5216600,1.95,1.96,100.8475,"November 26, 25",0.0196,,,,,
2025-11-25,96.19,99.88,95.94,98.91,98.91,8935607,8935607,2.72,2.83,97.73,"November 25, 25",0.0283,,,,,
2025-11-24,93.23,95.97,92.84,95.62,95.62,8515903,8515903,2.39,2.56,94.415,"November 24, 25",0.0256,,,,,
2025-11-21,90.84,95.37,89.95,92.2,92.2,10190400,10190400,1.36,1.5,92.09,"November 21, 25",0.015,,,,,
