date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,paymentDate,adjDividend,declarationDate
2025-11-20,93.25,94.45,89.82,90.05,90.05,5552706,5552706,-3.2,-3.43,91.8925,"November 20, 25",-0.0343,,,,,
2025-11-19,93.02,93.64,90.87,91.33,91.33,4153000,4153000,-1.69,-1.82,92.215,"November 19, 25",-0.0182,,,,,
2025-11-18,89,92.85,88.96,91.92,91.92,3859484,3859484,2.92,3.28,90.6825,"November 18, 25",0.0328,,,,,
2025-11-17,94.69,94.89,88.55,89.95,89.95,8068400,8068400,-4.74,-5.01,92.02,"November 17, 25",-0.0501,,,,,
2025-11-14,95,96.34,94.24,95.03,95.03,3314419,3314419,0.03,0.03157895,95.1525,"November 14, 25",0.0003157895,,,,,
2025-11-13,98.9,101.34,96.61,97.17,97.17,4367236,4367236,-1.73,-1.75,98.505,"November 13, 25",-0.0175,,,,,
2025-11-12,95.56,100.24,95.41,99.97,99.97,5967000,5967000,4.41,4.61,97.795,"November 12, 25",0.0461,,,,,
2025-11-11,95.82,97,93.56,94.95,94.95,5037040,5037040,-0.87,-0.90795,95.3325,"November 11, 25",-0.0090795,,,,,
2025-11-10,99.2,100.62,95.41,96.14,96.14,5975500,5975500,-3.06,-3.08,97.8425,"November 10, 25",-0.0308,,,,,
2025-11-07,93.31,100.29,92.5,97.43,97.43,6143800,6143800,4.12,4.42,95.8825,"November 07, 25",0.0442,,,,,
2025-11-06,95.35,96.63,93.96,95.72,95.72,5783417,5783417,0.37,0.38804,95.415,"November 06, 25",0.0038804,,,,,
2025-11-05,92.28,98.05,91.49,96.65,96.65,6757002,6757002,4.37,4.74,94.6175,"November 05, 25",0.0474,,,,,
2025-11-04,94.24,94.66,90.57,90.77,90.77,6986600,6986600,-3.47,-3.68,92.56,"November 04, 25",-0.0368,,,,,
2025-11-03,94,96.96,93.13,96.11,96.11,5271500,5271500,2.11,2.24,95.05,"November 03, 25",0.0224,,,,,
2025-10-31,93.49,94.8,92.91,94.04,94.04,5829900,5829900,0.55,0.5883,93.81,"October 31, 25",0.005883,,,,,
2025-10-30,94.93,95.76,92.34,93.38,93.38,6272329,6272329,-1.55,-1.63,94.1025,"October 30, 25",-0.0163,,,,,
2025-10-29,95.21,97.57,94.5,95.93,95.93,6339323,6339323,0.72,0.75622,95.8025,"October 29, 25",0.0075622,,,,,
2025-10-28,98.7,98.7,94.5,94.94,94.94,5628616,5628616,-3.76,-3.81,96.71,"October 28, 25",-0.0381,,,,,
2025-10-27,100.5,100.7,98.25,98.8,98.8,4016438,4016438,-1.7,-1.69,99.5625,"October 27, 25",-0.0169,,,,,
2025-10-24,97.09,99.91,96.69,99.31,99.31,6343749,6343749,2.22,2.29,98.25,"October 24, 25",0.0229,,,,,
2025-10-23,96.75,97.1,93.33,95.68,95.68,6865700,6865700,-1.07,-1.11,95.715,"October 23, 25",-0.0111,,,,,
2025-10-22,100.1,100.91,96.16,96.27,96.27,5415339,5415339,-3.83,-3.83,98.36,"October 22, 25",-0.0383,,,,,
2025-10-21,100.88,101.67,99.42,100.11,100.11,5740945,5740945,-0.77,-0.76328,100.52,"October 21, 25",-0.0076328,,,,,
2025-10-20,99.32,103.05,98.24,101.29,101.29,7564526,7564526,1.97,1.98,100.475,"October 20, 25",0.0198,,,,,
2025-10-17,98.38,100.09,97.6,99.14,99.14,7564300,7564300,0.76,0.77251,98.8025,"October 17, 25",0.0077251,,,,,
2025-10-16,102.94,106.45,94.05,98.19,98.19,24758500,24758500,-4.75,-4.61,100.4075,"October 16, 25",-0.0461,,,,,
2025-10-15,103.94,104.53,102.73,104.05,104.05,10114200,10114200,0.11,0.10583,103.8125,"October 15, 25",0.0010583,,,,,
2025-10-14,97.5,103.85,97.2,103.15,103.15,6591800,6591800,5.65,5.79,100.425,"October 14, 25",0.0579,,,,,
2025-10-13,98.31,100.9,97.77,99.25,99.25,4611600,4611600,0.94,0.95616,99.0575,"October 13, 25",0.0095616,,,,,
2025-10-10,101.72,103.87,96.39,96.67,96.67,6656804,6656804,-5.05,-4.96,99.6625,"October 10, 25",-0.0496,,,,,
2025-10-09,103.61,106.2,99.52,101.34,101.34,8098000,8098000,-2.27,-2.19,102.6675,"October 09, 25",-0.0219,,,,,
2025-10-08,96.97,98.74,95.94,98.09,98.09,6442410,6442410,1.12,1.15,97.435,"October 08, 25",0.0115,,,,,
2025-10-07,97.4,97.73,95.2,96.65,96.65,3745000,3745000,-0.75,-0.77002,96.745,"October 07, 25",-0.0077002,,,,,
2025-10-06,96,97.29,94.55,97.07,97.07,3792600,3792600,1.07,1.11,96.2275,"October 06, 25",0.0111,,,,,
2025-10-03,95.4,95.97,94.17,95.33,95.33,4403600,4403600,-0.07,-0.07337526,95.2175,"October 03, 25",-0.0007337526,,,,,
2025-10-02,93.64,95.4,92.9,94.83,94.83,4153208,4153208,1.19,1.27,94.1925,"October 02, 25",0.0127,,,,,
2025-10-01,95.99,96.51,93.06,93.15,93.15,6303024,6303024,-2.84,-2.96,94.6775,"October 01, 25",-0.0296,,,,,
2025-09-30,98.64,99.19,94.81,96.5,96.5,5646115,5646115,-2.14,-2.17,97.285,"September 30, 25",-0.0217,,,,,
2025-09-29,99.89,100.22,96.35,98.64,98.64,6437140,6437140,-1.25,-1.25,98.775,"September 29, 25",-0.0125,,,,,
2025-09-26,100.34,101.05,97.77,97.91,97.91,5310700,5310700,-2.43,-2.42,99.2675,"September 26, 25",-0.0242,,,,,
2025-09-25,99.85,100.77,98.57,99.15,99.15,4082600,4082600,-0.7,-0.70105,99.585,"September 25, 25",-0.0070105,,,,,
2025-09-24,104.71,104.71,100.92,101.39,101.39,5797195,5797195,-3.32,-3.17,102.9325,"September 24, 25",-0.0317,,,,,
2025-09-23,104.24,106.5,103.99,104.13,104.13,4071600,4071600,-0.11,-0.10553,104.715,"September 23, 25",-0.0010553,,,,,
2025-09-22,105.88,105.96,101.25,104.18,104.18,6791746,6791746,-1.7,-1.61,104.3175,"September 22, 25",-0.0161,,,,,
2025-09-19,105.72,106.7,103.85,106.31,106.31,11193219,11193219,0.59,0.55808,105.645,"September 19, 25",0.0055808,,,,,
2025-09-18,106.48,107.2,105.02,105.38,105.38,4302538,4302538,-1.1,-1.03,106.02,"September 18, 25",-0.0103,,,,,
2025-09-17,104.58,108.15,104.19,105.51,105.51,4918225,4918225,0.93,0.88927,105.6075,"September 17, 25",0.0088927,,,,,
2025-09-16,104.5,105.24,102.1,104.2,104.2,4989404,4989404,-0.3,-0.28708,104.01,"September 16, 25",-0.0028708,,,,,
2025-09-15,106.65,106.82,103.31,104.55,104.55,4722396,4722396,-2.1,-1.97,105.3325,"September 15, 25",-0.0197,,,,,
2025-09-12,108.95,109.57,106.5,106.58,106.58,6077800,6077800,-2.37,-2.18,107.9,"September 12, 25",-0.0218,,,,,
2025-09-11,108.94,110.66,105.06,109.36,109.36,8182600,8182600,0.42,0.38553,108.505,"September 11, 25",0.0038553,,,,,
2025-09-10,105.98,108.14,105.31,107.51,107.51,5245746,5245746,1.53,1.44,106.735,"September 10, 25",0.0144,,,,,
2025-09-09,107.42,107.91,103.97,105.65,105.65,5259536,5259536,-1.77,-1.65,106.2375,"September 09, 25",-0.0165,,,,,
2025-09-08,107.48,109.44,106.21,107.77,107.77,5219232,5219232,0.295,0.26982,107.725,"September 08, 25",0.0026982,,,,,
2025-09-05,106.44,107.61,105.29,106.59,106.59,3634340,3634340,0.15,0.14092,106.4825,"September 05, 25",0.0014092,,,,,
2025-09-04,106.1,109.3,105.41,106.05,106.05,5044200,5044200,-0.05,-0.04712535,106.715,"September 04, 25",-0.0004712535,,,,,
2025-09-03,105.1,109.69,104.93,106.16,106.16,5784060,5784060,1.06,1.01,106.47,"September 03, 25",0.0101,,,,,
2025-09-02,102.99,104.77,101.75,104.68,104.68,7055016,7055016,1.69,1.64,103.5475,"September 02, 25",0.0164,,,,,
2025-08-29,105,105.85,104.05,105,105,2868911,2868911,0,0,104.975,"August 29, 25",0,,,,,
2025-08-28,104.93,106.28,103.37,105.08,105.08,3986130,3986130,0.15,0.14295,104.915,"August 28, 25",0.0014295,,,,,
2025-08-27,104,105.3,103.16,104.21,104.21,3158600,3158600,0.21,0.20192,104.1675,"August 27, 25",0.0020192,,,,,
2025-08-26,102.5,104.36,102.28,104.13,104.13,3905746,3905746,1.63,1.59,103.3175,"August 26, 25",0.0159,,,,,
2025-08-25,102,103.11,101.66,102.34,102.34,2856322,2856322,0.34,0.33333,102.2775,"August 25, 25",0.0033333,,,,,
2025-08-22,97.61,103.29,97.52,102.98,102.98,6043200,6043200,5.37,5.5,100.35,"August 22, 25",0.055,,,,,
2025-08-21,99.35,99.43,96.65,97.19,97.19,3740726,3740726,-2.16,-2.17,98.155,"August 21, 25",-0.0217,,,,,
2025-08-20,100.5,101.72,98.23,99.84,99.84,4408200,4408200,-0.66,-0.65672,100.0725,"August 20, 25",-0.0065672,,,,,
2025-08-19,102.43,103.55,101.4,102.19,102.19,3732100,3732100,-0.24,-0.23431,102.3925,"August 19, 25",-0.0023431,,,,,
2025-08-18,100.25,102.76,99.67,102.37,102.37,3886400,3886400,2.12,2.11,101.2625,"August 18, 25",0.0211,,,,,
2025-08-15,99.77,101.47,99.34,100.93,100.93,6343737,6343737,1.16,1.16,100.3775,"August 15, 25",0.0116,,,,,
2025-08-14,98.02,99.33,97.52,99.14,99.14,3879008,3879008,1.12,1.14,98.5025,"August 14, 25",0.0114,,,,,
2025-08-13,98.67,100.06,97.17,99.79,99.79,6048200,6048200,1.12,1.14,98.9225,"August 13, 25",0.0114,,,,,
2025-08-12,91.99,98.85,91.84,98.47,98.47,11546060,11546060,6.48,7.04,95.2875,"August 12, 25",0.0704,,,,,
2025-08-11,89.49,91.1,89.15,89.33,89.33,4008128,4008128,-0.16,-0.17879,89.7675,"August 11, 25",-0.0017879,,,,,
2025-08-08,88.19,90.43,87.07,89.29,89.29,4643000,4643000,1.1,1.25,88.745,"August 08, 25",0.0125,,,,,
2025-08-07,89.16,89.2,86.98,87.98,87.98,3686536,3686536,-1.18,-1.32,88.33,"August 07, 25",-0.0132,,,,,
2025-08-06,87.75,89.3,87.51,88.87,88.87,4046600,4046600,1.13,1.28,88.3575,"August 06, 25",0.0128,,,,,
2025-08-05,87.45,87.85,85.88,87.66,87.66,3817000,3817000,0.21,0.24014,87.21,"August 05, 25",0.0024014,,,,,
2025-08-04,85.31,87.14,84.93,87.01,87.01,5135700,5135700,1.7,1.99,86.0975,"August 04, 25",0.0199,,,,,
2025-08-01,85.43,85.7,82.42,84.57,84.57,7304144,7304144,-0.86,-1.01,84.53,"August 01, 25",-0.0101,,,,,
2025-07-31,90.51,90.93,88.02,88.31,88.31,5957435,5957435,-2.2,-2.43,89.4425,"July 31, 25",-0.0243,,,,,
2025-07-30,90.92,91.38,89.1,90.24,90.24,4661800,4661800,-0.68,-0.74791,90.41,"July 30, 25",-0.0074791,,,,,
2025-07-29,92.81,93.44,90.28,90.65,90.65,5144627,5144627,-2.16,-2.33,91.795,"July 29, 25",-0.0233,,,,,
2025-07-28,91.36,93.08,90.6,92.43,92.43,5138600,5138600,1.07,1.17,91.8675,"July 28, 25",0.0117,,,,,
2025-07-25,89.5,91.59,89.1,91.11,91.11,5263310,5263310,1.61,1.8,90.325,"July 25, 25",0.018,,,,,
2025-07-24,88.84,92.85,87.95,89.73,89.73,7330000,7330000,0.89,1,89.8425,"July 24, 25",0.01,,,,,
2025-07-23,91.25,91.88,90.3,90.43,90.43,5372318,5372318,-0.82,-0.89863,90.965,"July 23, 25",-0.0089863,,,,,
2025-07-22,92.25,92.25,89.36,90.78,90.78,6769600,6769600,-1.47,-1.59,91.16,"July 22, 25",-0.0159,,,,,
2025-07-21,92.55,92.93,91.07,92.35,92.35,6664700,6664700,-0.2,-0.2161,92.225,"July 21, 25",-0.002161,,,,,
2025-07-18,91.61,92.78,89.73,92.25,92.25,7634000,7634000,0.64,0.69861,91.5925,"July 18, 25",0.0069861,,,,,
2025-07-17,91.89,94.57,89.05,91.22,91.22,23413400,23413400,-0.665,-0.72913,91.6825,"July 17, 25",-0.0072913,,,,,
2025-07-16,87.77,88.67,85.81,88.47,88.47,15492017,15492017,0.7,0.79754,87.68,"July 16, 25",0.0079754,,,,,
2025-07-15,89.13,89.65,86.37,86.38,86.38,7373940,7373940,-2.75,-3.09,87.8825,"July 15, 25",-0.0309,,,,,
2025-07-14,87.75,89.05,86.52,88.94,88.94,5901700,5901700,1.19,1.36,88.065,"July 14, 25",0.0136,,,,,
2025-07-11,90.99,90.99,87.16,87.69,87.69,9855528,9855528,-3.3,-3.63,89.2075,"July 11, 25",-0.0363,,,,,
2025-07-10,87.33,93.72,84.89,91.67,91.67,20761500,20761500,4.34,4.97,89.4025,"July 10, 25",0.0497,,,,,
2025-07-09,82.43,83.14,79.86,80.18,80.18,5688800,5688800,-2.25,-2.73,81.4025,"July 09, 25",-0.0273,,,,,
2025-07-08,82,83.49,80.96,81.21,81.21,5442700,5442700,-0.79,-0.96341,81.915,"July 08, 25",-0.0096341,,,,,
2025-07-07,81.88,83.91,80.08,81.11,81.11,4986641,4986641,-0.77,-0.9404,81.745,"July 07, 25",-0.009404,,,,,
2025-07-03,81.72,83.64,81.5,82.36,82.36,4047700,4047700,0.64,0.78316,82.305,"July 03, 25",0.0078316,,,,,
2025-07-02,80.26,81.25,78.33,81.01,81.01,5407700,5407700,0.75,0.93446,80.2125,"July 02, 25",0.0093446,,,,,
2025-07-01,79.29,80.94,78.82,80.05,80.05,5013134,5013134,0.76,0.95851,79.775,"July 01, 25",0.0095851,,,,,
2025-06-30,79.72,80.07,79.01,79.63,79.63,4897103,4897103,-0.09,-0.1129,79.6075,"June 30, 25",-0.001129,,,,,
2025-06-27,77.87,79.75,77.36,79.18,79.18,6495708,6495708,1.31,1.68,78.54,"June 27, 25",0.0168,,,,,
2025-06-26,77.35,78.47,76.92,77.55,77.55,4633600,4633600,0.2,0.25856,77.5725,"June 26, 25",0.0025856,,,,,
2025-06-25,79.4,79.4,76.17,76.73,76.73,5483200,5483200,-2.67,-3.36,77.925,"June 25, 25",-0.0336,,,,,
2025-06-24,79.7,80.78,77.94,79.02,79.02,7187821,7187821,-0.68,-0.8532,79.36,"June 24, 25",-0.008532,,,,,
2025-06-23,73.5,77.34,71.55,76.97,76.97,11985207,11985207,3.47,4.72,74.84,"June 23, 25",0.0472,,,,,
2025-06-20,74.39,75.21,73.71,74.27,74.27,8660228,8660228,-0.12,-0.16131,74.395,"June 20, 25",-0.0016131,,,,,
2025-06-18,73.45,76.05,73.35,74.3,74.3,8039329,8039329,0.85,1.16,74.2875,"June 18, 25",0.0116,,,,,
2025-06-17,77.01,77.25,73.05,73.67,73.67,9396500,9396500,-3.34,-4.34,75.245,"June 17, 25",-0.0434,,,,,
2025-06-16,75.46,78.87,74.75,78.52,78.52,8555204,8555204,3.06,4.06,76.9,"June 16, 25",0.0406,,,,,
2025-06-13,73.18,76.16,72.52,74,74,10129321,10129321,0.825,1.12,73.965,"June 13, 25",0.0112,,,,,
2025-06-12,77.16,77.74,75.63,77.43,77.43,7626449,7626449,0.27,0.34992,76.99,"June 12, 25",0.0034992,,,,,
2025-06-11,83.5,83.87,77.72,78.63,78.63,8318842,8318842,-4.87,-5.83,80.93,"June 11, 25",-0.0583,,,,,
2025-06-10,83.26,84.19,82.13,83.2,83.2,4795100,4795100,-0.06,-0.07206342,83.195,"June 10, 25",-0.0007206342,,,,,
2025-06-09,85.13,85.8,83.43,83.47,83.47,6959331,6959331,-1.66,-1.95,84.4575,"June 09, 25",-0.0195,,,,,
2025-06-06,82.15,84.35,81.7,84.23,84.23,5842748,5842748,2.08,2.53,83.1075,"June 06, 25",0.0253,,,,,
2025-06-05,81.17,82.58,79.58,80.35,80.35,6025614,6025614,-0.82,-1.01,80.92,"June 05, 25",-0.0101,,,,,
2025-06-04,81.07,82.49,80.31,81.62,81.62,5055523,5055523,0.55,0.67843,81.3725,"June 04, 25",0.0067843,,,,,
2025-06-03,81.3,81.92,80.38,81.08,81.08,5370433,5370433,-0.22,-0.2706,81.17,"June 03, 25",-0.002706,,,,,
2025-06-02,78.93,81.4,77.49,81.23,81.23,6925500,6925500,2.3,2.91,79.7625,"June 02, 25",0.0291,,,,,
2025-05-30,77.61,80.06,77.11,79.44,79.44,7487000,7487000,1.83,2.36,78.555,"May 30, 25",0.0236,,,,,
2025-05-29,79.04,80.76,77.01,78.57,78.57,10090100,10090100,-0.47,-0.59464,78.845,"May 29, 25",-0.0059464,,,,,
2025-05-28,77.87,78.41,77.04,77.5,77.5,3911817,3911817,-0.37,-0.47515,77.705,"May 28, 25",-0.0047515,,,,,
2025-05-27,76.02,79.49,75.9,78.18,78.18,7898204,7898204,2.16,2.84,77.3975,"May 27, 25",0.0284,,,,,
2025-05-23,73.83,75.42,73.77,74.65,74.65,4806600,4806600,0.82,1.11,74.4175,"May 23, 25",0.0111,,,,,
2025-05-22,73.11,76.44,72.97,76,76,8293600,8293600,2.89,3.95,74.63,"May 22, 25",0.0395,,,,,
2025-05-21,75.05,75.1,72.9,73.33,73.33,8254143,8254143,-1.72,-2.29,74.095,"May 21, 25",-0.0229,,,,,
2025-05-20,78.43,78.72,75.54,76.33,76.33,8122800,8122800,-2.1,-2.68,77.255,"May 20, 25",-0.0268,,,,,
2025-05-19,77.91,79.64,76.7,78.62,78.62,6226544,6226544,0.71,0.91131,78.2175,"May 19, 25",0.0091131,,,,,
2025-05-16,76.75,78.6,75.66,77.93,77.93,6423702,6423702,1.18,1.54,77.235,"May 16, 25",0.0154,,,,,
2025-05-15,78.94,79.09,76.14,76.54,76.54,9180507,9180507,-2.4,-3.04,77.6775,"May 15, 25",-0.0304,,,,,
2025-05-14,82.64,84.18,78.95,78.99,78.99,8704147,8704147,-3.65,-4.42,81.19,"May 14, 25",-0.0442,,,,,
2025-05-13,79.25,83.47,78.25,82.6,82.6,10145800,10145800,3.35,4.23,80.8925,"May 13, 25",0.0423,,,,,
2025-05-12,82.83,84.85,78.29,78.62,78.62,12052000,12052000,-4.2,-5.08,81.1475,"May 12, 25",-0.0508,,,,,
2025-05-09,80.08,80.67,76.48,77.27,77.27,9062400,9062400,-2.81,-3.51,78.625,"May 09, 25",-0.0351,,,,,
2025-05-08,76.97,80.67,75.84,79.41,79.41,8438636,8438636,2.44,3.17,78.2225,"May 08, 25",0.0317,,,,,
2025-05-07,74.24,76.54,74.1,75.35,75.35,6541900,6541900,1.11,1.5,75.0575,"May 07, 25",0.015,,,,,
2025-05-06,72.9,75.06,72.82,73.52,73.52,4304433,4304433,0.62,0.85048,73.575,"May 06, 25",0.0085048,,,,,
2025-05-05,73.48,77.59,73.42,74.86,74.86,9312726,9312726,1.38,1.88,74.8375,"May 05, 25",0.0188,,,,,
2025-05-02,71.24,75.31,71.24,74.07,74.07,8669500,8669500,2.83,3.97,72.965,"May 02, 25",0.0397,,,,,
2025-05-01,69.85,70.53,68.88,69.16,69.16,5638800,5638800,-0.69,-0.98783,69.605,"May 01, 25",-0.0098783,,,,,
2025-04-30,66.44,69.15,65.66,68.82,68.82,5916600,5916600,2.38,3.58,67.5175,"April 30, 25",0.0358,,,,,
2025-04-29,68.46,69.9,67.82,68.93,68.93,4891043,4891043,0.47,0.68653,68.7775,"April 29, 25",0.0068653,,,,,
2025-04-28,68.68,70.57,68.28,68.84,68.84,4957333,4957333,0.16,0.23296,69.0925,"April 28, 25",0.0023296,,,,,
2025-04-25,68.32,69.53,67.54,68.2,68.2,5626929,5626929,-0.12,-0.17564,68.3975,"April 25, 25",-0.0017564,,,,,
2025-04-24,66.66,69.48,65.85,69.05,69.05,7018935,7018935,2.39,3.59,67.76,"April 24, 25",0.0359,,,,,
2025-04-23,71.47,73.44,67.88,68.03,68.03,9318004,9318004,-3.44,-4.81,70.205,"April 23, 25",-0.0481,,,,,
2025-04-22,66.47,67.32,65.26,66.97,66.97,7298300,7298300,0.5,0.75222,66.505,"April 22, 25",0.0075222,,,,,
2025-04-21,65.09,65.6,63.23,65.3,65.3,6827625,6827625,0.21,0.32263,64.805,"April 21, 25",0.0032263,,,,,
2025-04-17,66.95,68.28,64.75,66.3,66.3,11261000,11261000,-0.65,-0.97087,66.57,"April 17, 25",-0.0097087,,,,,
2025-04-16,69.64,70.74,65.33,66.99,66.99,25222403,25222403,-2.65,-3.81,68.175,"April 16, 25",-0.0381,,,,,
2025-04-15,65.65,68.25,65.65,67,67,13050232,13050232,1.35,2.06,66.6375,"April 15, 25",0.0206,,,,,
2025-04-14,67.47,67.54,64.28,65.69,65.69,8048532,8048532,-1.78,-2.64,66.245,"April 14, 25",-0.0264,,,,,
2025-04-11,62.77,65.86,61.52,65.6,65.6,8608600,8608600,2.83,4.51,63.9375,"April 11, 25",0.0451,,,,,
2025-04-10,67.13,67.71,61.02,62.75,62.75,13494300,13494300,-4.38,-6.52,64.6525,"April 10, 25",-0.0652,,,,,
2025-04-09,56.24,72.47,56,70.83,70.83,32971037,32971037,14.59,25.94,63.885,"April 09, 25",0.2594,,,,,
2025-04-08,61.83,62.28,55.18,56.15,56.15,14253500,14253500,-5.68,-9.19,58.86,"April 08, 25",-0.0919,,,,,
2025-04-07,54.91,63,53.36,58.77,58.77,13643900,13643900,3.86,7.03,57.51,"April 07, 25",0.0703,,,,,
2025-04-04,55.89,58.87,52,57.67,57.67,18036616,18036616,1.78,3.18,56.1075,"April 04, 25",0.0318,,,,,
2025-04-03,65.43,65.64,60.03,60.23,60.23,16694400,16694400,-5.2,-7.95,62.8325,"April 03, 25",-0.0795,,,,,
2025-04-02,66.16,71.43,66.16,71.37,71.37,8199607,8199607,5.22,7.87,68.78,"April 02, 25",0.0787,,,,,
2025-04-01,67.45,68.33,64.69,68.2,68.2,8526129,8526129,0.75,1.11,67.1675,"April 01, 25",0.0111,,,,,
2025-03-31,66.97,69.72,64.11,69.05,69.05,10653219,10653219,2.08,3.11,67.4625,"March 31, 25",0.0311,,,,,
2025-03-28,73.43,73.57,69.64,70.23,70.23,9321339,9321339,-3.2,-4.36,71.7175,"March 28, 25",-0.0436,,,,,
2025-03-27,77.2,77.41,73.25,73.53,73.53,6829324,6829324,-3.67,-4.75,75.3475,"March 27, 25",-0.0475,,,,,
2025-03-26,79.09,80.05,76.97,77.87,77.87,5404700,5404700,-1.22,-1.54,78.495,"March 26, 25",-0.0154,,,,,
2025-03-25,81,82.54,78.79,78.9,78.9,7809130,7809130,-2.1,-2.59,80.3075,"March 25, 25",-0.0259,,,,,
2025-03-24,76.65,80.34,76.65,80.22,80.22,8778700,8778700,3.57,4.66,78.465,"March 24, 25",0.0466,,,,,
2025-03-21,72.79,75.45,71.56,74.87,74.87,14826000,14826000,2.08,2.86,73.6675,"March 21, 25",0.0286,,,,,
2025-03-20,73.29,74.58,72.75,74.04,74.04,5208925,5208925,0.75,1.02,73.665,"March 20, 25",0.0102,,,,,
2025-03-19,71.34,75.91,71.11,74.43,74.43,7434420,7434420,3.09,4.33,73.1975,"March 19, 25",0.0433,,,,,
2025-03-18,73,73.6,70.62,71.34,71.34,6657913,6657913,-1.66,-2.27,72.14,"March 18, 25",-0.0227,,,,,
2025-03-17,73.56,74.76,72.8,73.92,73.92,6291900,6291900,0.36,0.4894,73.76,"March 17, 25",0.004894,,,,,
2025-03-14,71.07,74.28,69.86,73.67,73.67,7533100,7533100,2.61,3.66,72.22,"March 14, 25",0.0366,,,,,
2025-03-13,73.15,73.31,67.7,69.9,69.9,10942600,10942600,-3.25,-4.44,71.015,"March 13, 25",-0.0444,,,,,
2025-03-12,76.8,78.36,70.51,72.46,72.46,12740701,12740701,-4.34,-5.65,74.5325,"March 12, 25",-0.0565,,,,,
