date,basicMaterialsChangesPercentage,communicationServicesChangesPercentage,consumerCyclicalChangesPercentage,consumerDefensiveChangesPercentage,energyChangesPercentage,financialServicesChangesPercentage,healthcareChangesPercentage,industrialsChangesPercentage,realEstateChangesPercentage,technologyChangesPercentage,utilitiesChangesPercentage
2025-11-26,0.31145,0.26582,-0.07131,1.31115,1.76592,1.10149,-0.11705,0.15809,0.32481,0.14949,1.04932
2025-11-25,-0.64429,-0.14647,1.22841,0.85667,0.42302,1.00862,1.44503,1.24133,-1.48537,0.78387,-0.35107
2025-11-24,-0.40212,0.53883,1.80265,-1.28988,2.08693,1.02184,0.52188,0.07803,0.61309,2.0853,3.22725
2025-11-21,1.39012,0.60486,1.37382,0.50288,1.24107,0.78137,1.73341,1.52216,0.07207,0.14631,-0.88557
2025-11-20,-1.48935,-3.17198,-3.9846,-0.2203,-3.13728,-2.97537,-1.62011,-2.58669,-2.0943,-4.375,-4.89416
2025-11-19,-0.22098,-1.99382,-0.73461,-0.45131,1.00348,-0.06736,0.26668,-0.48945,-0.91358,0.83173,2.31933
2025-11-18,-0.74612,0.96885,-0.93858,-1.62336,2.01235,0.30267,0.84472,-0.15206,0.18349,-0.55103,1.174
2025-11-17,-0.85251,-0.13318,-1.13047,-0.94606,-0.85312,-2.41189,0.5068,-1.49686,-1.13306,-0.31299,0.84208
2025-11-14,-0.93539,-2.21524,1.02153,-0.40399,3.11634,1.40289,0.0759,0.56913,0.15621,2.03419,2.16356
2025-11-13,0.07577,-0.37987,-2.86858,0.87281,-2.16035,-1.48712,0.05566,-1.27895,-2.36565,-1.56908,-3.1123
2025-11-12,0.60575,1.38007,-0.63652,-0.14279,-1.20528,-0.19277,0.35868,0.14896,-0.61173,-0.80916,-0.27219
2025-11-11,0.13072,1.39755,0.6734,-0.182,0.17286,-0.28543,1.58155,-0.24271,-0.52395,0.138,-1.5878
2025-11-10,0.12199,0.89237,0.1699,-0.20166,0.2071,-0.12235,1.16994,-0.6286,0.81836,0.92519,-0.94999
2025-11-07,0.90489,1.05615,0.07694,-0.6075,1.80767,2.25995,0.70692,0.8785,0.1963,0.04769,4.67813
2025-11-06,-0.27428,-0.16274,-2.13299,-0.16949,-0.73742,-1.81802,0.44638,-2.28499,0.09025,-1.58268,-1.79714
2025-11-05,0.53706,0.98485,0.56618,-0.45357,2.81505,0.67693,1.73348,2.33294,-0.10578,0.40238,-0.05356
2025-11-04,0.31609,-0.35103,-0.58855,0.63618,0.06186,-0.73949,-0.1486,-0.54674,-0.38468,-0.5011,-0.85236
2025-11-03,-2.05078,-2.96877,0.27134,1.39188,-0.26099,-0.58355,0.42689,-0.69756,-0.5103,-0.73718,-0.16157
2025-10-31,-1.29913,1.14626,-0.40557,-0.33747,2.81202,1.38075,0.967,-0.10114,1.7704,-1.7398,-1.99765
2025-10-30,-0.71981,-0.63793,-0.12357,0.76676,-0.68873,-1.22733,0.35798,-0.86288,1.56361,-1.07832,-2.13129
2025-10-29,-1.49082,-0.1301,-0.99911,-0.84757,1.11157,-0.43379,-0.37327,-0.67139,-1.68562,0.23402,3.59095
2025-10-28,-0.41377,0.61826,-0.73383,-0.35036,-1.68969,-1.22559,0.51903,-0.364,-2.3523,0.05715,-2.59153
2025-10-27,-0.49036,-0.31078,0.70298,-0.01083,-0.41061,-0.13831,0.54259,-0.85839,0.20827,0.54621,-0.39426
