holder,shares,dateReported,change
TUDOR INVESTMENT CORP ET AL,69150000,2025-09-30,69150000
VANGUARD GROUP INC,49456043,2025-09-30,1133638
"BlackRock, Inc.",38821843,2025-09-30,-210253
STATE STREET CORP,16855113,2025-09-30,-2965
BAILLIE GIFFORD & CO,15882168,2025-09-30,-823027
"GEODE CAPITAL MANAGEMENT, LLC",10963772,2025-09-30,197416
JENNISON ASSOCIATES LLC,10090374,2025-09-30,-1427172
UBS ASSET MANAGEMENT AMERICAS INC,7482531,2025-09-30,-1648083
CITADEL ADVISORS LLC,6778490,2025-09-30,5409762
"Nuveen, LLC",6343476,2025-09-30,-1225414
JPMORGAN CHASE & CO,6213757,2025-09-30,59165
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,5608475,2025-09-30,-997212
Amundi,5019475,2025-09-30,655897
"SANDS CAPITAL MANAGEMENT, LLC",4934189,2025-09-30,-5013755
Invesco Ltd.,4629139,2025-09-30,-332374
MORGAN STANLEY,4352808,2025-09-30,-1249747
BANK OF AMERICA CORP /DE/,4327022,2025-09-30,1319133
GROUPAMA ASSET MANAGMENT,4010058,2025-09-30,-6455
NORTHERN TRUST CORP,3721544,2025-09-30,-113876
MILLENNIUM MANAGEMENT LLC,3431265,2025-09-30,3179954
"FEDERATED HERMES, INC.",3420262,2025-09-30,-212877
RAYMOND JAMES FINANCIAL INC,3341620,2025-09-30,-37496
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,3183133,2025-09-30,109867
ROYAL BANK OF CANADA,3162653,2025-09-30,1100272
Bank of New York Mellon Corp,2961378,2025-09-30,-902950
UBS Group AG,2956122,2025-09-30,1023431
"CIBC Private Wealth Group, LLC",2907801,2025-09-30,2294709
DEUTSCHE BANK AG\,2849261,2025-09-30,773331
JANUS HENDERSON GROUP PLC,2693765,2025-09-30,145719
Legal & General Group Plc,2635700,2025-09-30,117493
DSM CAPITAL PARTNERS LLC,2533539,2025-09-30,1098243
AMERICAN CENTURY COMPANIES INC,2492647,2025-09-30,-1396590
FRANKLIN RESOURCES INC,2446081,2025-09-30,-402050
"Holocene Advisors, LP",2436672,2025-09-30,2436672
Capital Research Global Investors,2367676,2025-09-30,-3038943
WESTFIELD CAPITAL MANAGEMENT CO LP,2312210,2025-09-30,-68028
"Point72 Asset Management, L.P.",2235987,2025-09-30,2235987
"D. E. Shaw & Co., Inc.",2203487,2025-09-30,241897
GOLDMAN SACHS GROUP INC,2130300,2025-09-30,-363374
BLAIR WILLIAM & CO/IL,2109343,2025-09-30,-98701
PRICE T ROWE ASSOCIATES INC /MD/,1898045,2025-09-30,149640
"MARSHALL WACE, LLP",1709315,2025-09-30,-2112770
AXA Investment Managers S.A.,1667464,2025-09-30,1667464
BALYASNY ASSET MANAGEMENT L.P.,1631382,2025-09-30,1300696
LOS ANGELES CAPITAL MANAGEMENT LLC,1620404,2025-09-30,323590
"BNP PARIBAS ARBITRAGE, SNC",1607196,2025-09-30,-105734
BARCLAYS PLC,1568481,2025-09-30,118547
FMR LLC,1514609,2025-09-30,-608260
"TWO SIGMA INVESTMENTS, LP",1501136,2025-09-30,1306349
WELLS FARGO & COMPANY/MN,1494299,2025-09-30,25283
DIMENSIONAL FUND ADVISORS LP,1444566,2025-09-30,497039
Capital World Investors,1384000,2025-09-30,-2924
HSBC HOLDINGS PLC,1258896,2025-09-30,471906
Fisher Funds Management LTD,1217090,2025-09-30,-91159
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1142726,2025-09-30,53341
Swiss National Bank,1130300,2025-09-30,-56600
Neuberger Berman Group LLC,1105730,2025-09-30,324849
MACKENZIE FINANCIAL CORP,1105644,2025-09-30,87623
DnB Asset Management AS,1098544,2025-09-30,803086
"Champlain Investment Partners, LLC",1086120,2025-09-30,-704980
Squarepoint Ops LLC,1086094,2025-09-30,1053912
VICTORY CAPITAL MANAGEMENT INC,1081219,2025-09-30,518180
TCW GROUP INC,1037195,2025-09-30,37426
Alphabet Inc.,1036937,2025-09-30,0
FIRST TRUST ADVISORS LP,1014459,2025-09-30,163818
"Sumitomo Mitsui Trust Holdings, Inc.",973141,2025-09-30,10307
ENVESTNET ASSET MANAGEMENT INC,906872,2025-09-30,141601
BANK OF MONTREAL /CAN/,904796,2025-09-30,226810
"Chicago Capital, LLC",889486,2025-09-30,3104
"JANE STREET GROUP, LLC",882451,2025-09-30,755928
Stephens Investment Management Group LLC,861100,2025-09-30,-16732
DekaBank Deutsche Girozentrale,850305,2025-09-30,0
Iron Triangle Partners LP,850000,2025-09-30,850000
RENAISSANCE TECHNOLOGIES LLC,841564,2025-09-30,143762
Assenagon Asset Management S.A.,828759,2025-09-30,-379496
AMERIPRISE FINANCIAL INC,808714,2025-09-30,395609
"Ensign Peak Advisors, Inc",802335,2025-09-30,596107
RHUMBLINE ADVISERS,800557,2025-09-30,-9731
Walleye Capital LLC,798740,2025-09-30,502484
Bellevue Group AG,786118,2025-09-30,-74710
"Sofinnova Investments, Inc.",779616,2025-09-30,255922
Korea Investment CORP,769664,2025-09-30,390501
Pictet Asset Management Holding SA,767165,2025-09-30,-38715
FRONTIER CAPITAL MANAGEMENT CO LLC,688694,2025-09-30,-243677
ZEVENBERGEN CAPITAL INVESTMENTS LLC,685433,2025-09-30,62098
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",671961,2025-09-30,33844
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,663053,2025-09-30,168639
CANADA PENSION PLAN INVESTMENT BOARD,659718,2025-09-30,-82368
CITIGROUP INC,655191,2025-09-30,-39807
"Vestal Point Capital, LP",650000,2025-09-30,650000
BESSEMER GROUP INC,623870,2025-09-30,-319073
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,620132,2025-09-30,1356
"MIG Capital, LLC",605547,2025-09-30,-118644
Castle Hook Partners LP,604265,2025-09-30,604265
