holder,shares,dateReported,change
Lombard Odier Asset Management (Europe) Ltd,22690966,2025-09-30,22678250
VANGUARD GROUP INC,6074033,2025-09-30,134087
"BlackRock, Inc.",5726774,2025-09-30,497553
FMR LLC,3564796,2025-09-30,172092
STATE STREET CORP,2134704,2025-09-30,14670
PRICE T ROWE ASSOCIATES INC /MD/,1573798,2025-09-30,-515006
"GEODE CAPITAL MANAGEMENT, LLC",1337697,2025-09-30,19156
Invesco Ltd.,1139133,2025-09-30,-26926
FRANKLIN RESOURCES INC,1052053,2025-09-30,-36244
JPMORGAN CHASE & CO,863228,2025-09-30,6503
"T. Rowe Price Investment Management, Inc.",750688,2025-09-30,-177118
VAN ECK ASSOCIATES CORP,732448,2025-09-30,-219612
BROWN ADVISORY INC,730119,2025-09-30,-134190
BANK OF AMERICA CORP /DE/,722816,2025-09-30,30069
MORGAN STANLEY,558671,2025-09-30,-6348
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,556587,2025-09-30,71199
UBS Group AG,528319,2025-09-30,25783
FIL Ltd,497333,2025-09-30,-25740
NORTHERN TRUST CORP,485831,2025-09-30,3774
WELLINGTON MANAGEMENT GROUP LLP,452938,2025-09-30,-250213
FIRST TRUST ADVISORS LP,447801,2025-09-30,178622
GOLDMAN SACHS GROUP INC,434325,2025-09-30,-78123
"Rafferty Asset Management, LLC",379318,2025-09-30,-149806
BARCLAYS PLC,362062,2025-09-30,-76537
VOYA INVESTMENT MANAGEMENT LLC,359312,2025-09-30,131177
Legal & General Group Plc,358429,2025-09-30,7855
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,357910,2025-09-30,13949
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,355363,2025-09-30,-8595
UBS ASSET MANAGEMENT AMERICAS INC,315922,2025-09-30,-7371
Bank of New York Mellon Corp,304091,2025-09-30,-32459
ALLIANCEBERNSTEIN L.P.,280703,2025-09-30,-33433
"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",272529,2025-09-30,482
RAYMOND JAMES FINANCIAL INC,267212,2025-09-30,-19236
CITADEL ADVISORS LLC,260466,2025-09-30,252816
AMERICAN CENTURY COMPANIES INC,214950,2025-09-30,33024
"Rakuten Investment Management, Inc.",214264,2025-09-30,214264
ROYAL BANK OF CANADA,206617,2025-09-30,16215
EARNEST PARTNERS LLC,205779,2025-09-30,2643
SEI INVESTMENTS CO,199686,2025-09-30,199
Artisan Partners Limited Partnership,192749,2025-09-30,-14898
DekaBank Deutsche Girozentrale,190443,2025-09-30,0
MACQUARIE GROUP LTD,180795,2025-09-30,-13699
CITIGROUP INC,178183,2025-09-30,-100746
DEUTSCHE BANK AG\,173754,2025-09-30,9836
"Allspring Global Investments Holdings, LLC",171221,2025-09-30,4379
MILLENNIUM MANAGEMENT LLC,170490,2025-09-30,154958
PRINCIPAL FINANCIAL GROUP INC,169712,2025-09-30,-133
"BNP PARIBAS ARBITRAGE, SNC",168996,2025-09-30,-26138
Neuberger Berman Group LLC,167806,2025-09-30,57417
FRONTIER CAPITAL MANAGEMENT CO LLC,163916,2025-09-30,31073
"Ensign Peak Advisors, Inc",163239,2025-09-30,-29552
AMERIPRISE FINANCIAL INC,160204,2025-09-30,-58773
ENVESTNET ASSET MANAGEMENT INC,159740,2025-09-30,-10167
Pictet Asset Management Holding SA,157791,2025-09-30,-7374
DIMENSIONAL FUND ADVISORS LP,156577,2025-09-30,6216
DF DENT & CO INC,149730,2025-09-30,-21348
"TimesSquare Capital Management, LLC",141011,2025-09-30,-6896
Swiss National Bank,138100,2025-09-30,-6800
HSBC HOLDINGS PLC,137912,2025-09-30,-4654
Amundi,137635,2025-09-30,5515
"Nuveen, LLC",134146,2025-09-30,-3652
"MARSHALL WACE, LLP",132145,2025-09-30,132145
Impax Asset Management Group plc,131401,2025-09-30,-42443
"NATIXIS ADVISORS, L.P.",131259,2025-09-30,-1330
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",129902,2025-09-30,53829
JANUS HENDERSON GROUP PLC,127738,2025-09-30,309
NOMURA ASSET MANAGEMENT CO LTD,122401,2025-09-30,53629
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,116896,2025-09-30,-10014
AXA Investment Managers S.A.,115618,2025-09-30,115618
"Sumitomo Mitsui Trust Holdings, Inc.",112504,2025-09-30,-12
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",112332,2025-09-30,2398
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",111107,2025-09-30,4069
"Baird Financial Group, Inc.",108385,2025-09-30,4052
EULAV Asset Management,108277,2025-09-30,-7999
CONGRESS ASSET MANAGEMENT CO /MA,108271,2025-09-30,-16898
RHUMBLINE ADVISERS,107428,2025-09-30,-9666
Robeco Schweiz AG,103237,2025-09-30,-3506
STIFEL FINANCIAL CORP,99322,2025-09-30,-6011
VICTORY CAPITAL MANAGEMENT INC,88206,2025-09-30,-3651
Candriam S.C.A.,85907,2025-09-30,5561
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,85230,2025-09-30,-13953
"ADAGE CAPITAL PARTNERS GP, L.L.C.",83152,2025-09-30,7200
Allianz Asset Management GmbH,80277,2025-09-30,-30275
National Pension Service,79014,2025-09-30,1863
STRS OHIO,77807,2025-09-30,-31599
Analog Century Management LP,77591,2025-09-30,77591
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,74748,2025-09-30,396
ZEVENBERGEN CAPITAL INVESTMENTS LLC,74668,2025-09-30,32240
TD ASSET MANAGEMENT INC,74628,2025-09-30,-15158
WELLS FARGO & COMPANY/MN,71877,2025-09-30,-10208
