date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,adjDividend,declarationDate,dividend
2026-01-05,280.21,286.34,276.37,284.18,284.18,971361,971361,3.97,1.41679,282.3,"January 05, 26",0.0141679,,,,,
2026-01-02,278.5,284.92,277.24,283.26,283.26,1340277,1340277,4.76,1.71,280.98,"January 02, 26",0.0171,,,,,
2025-12-31,282.02,282.02,278.56,278.92,278.92,1026173,1026173,-3.1,-1.1,280.38,"December 31, 25",-0.011,,,,,
2025-12-30,282.12,283.03,280.82,281.7,281.7,921100,921100,-0.42,-0.14887,281.9175,"December 30, 25",-0.0014887,,,,,
2025-12-29,285.05,285.3,280.33,282.69,282.69,1303500,1303500,-2.36,-0.82792,283.3425,"December 29, 25",-0.0082792,,,,,
2025-12-26,292.78,293.6,284.39,285.67,285.67,986534,986534,-7.11,-2.43,289.11,"December 26, 25",-0.0243,2025-12-26,2026-01-14,1,2025-12-10,1
2025-12-24,292,295.23,291.52,294.12,293.12,585314,585314,2.12,0.72603,293.2175,"December 24, 25",0.0072603,,,,,
2025-12-23,300.5,304,291.52,292.29,291.3,1713100,1713100,-8.21,-2.73,297.0775,"December 23, 25",-0.0273,,,,,
2025-12-22,295,301.56,294.46,300.73,299.71,1988600,1988600,5.73,1.94,297.9375,"December 22, 25",0.0194,,,,,
2025-12-19,285.23,300.64,284.87,293.59,292.59,4774900,4774900,8.36,2.93,291.0825,"December 19, 25",0.0293,,,,,
2025-12-18,287,290.89,285.05,286.73,285.76,2318630,2318630,-0.27,-0.09407666,287.4175,"December 18, 25",-0.0009407666,,,,,
2025-12-17,282.98,290.46,282.98,284.88,283.91,2568321,2568321,1.9,0.67143,285.325,"December 17, 25",0.0067143,,,,,
2025-12-16,287.39,290.57,280.93,281.51,280.55,2177104,2177104,-5.88,-2.05,285.1,"December 16, 25",-0.0205,,,,,
2025-12-15,280.6,291.92,280.21,287.22,286.24,3235036,3235036,6.62,2.36,284.9875,"December 15, 25",0.0236,,,,,
2025-12-12,281.38,282.5,276.62,278.86,277.91,2135763,2135763,-2.52,-0.89559,279.84,"December 12, 25",-0.0089559,,,,,
2025-12-11,263.79,281.63,263.19,279.7,278.75,4466525,4466525,15.91,6.03,272.0775,"December 11, 25",0.0603,,,,,
2025-12-10,249.99,263.34,245.25,260.38,259.49,2952822,2952822,10.39,4.16,254.74,"December 10, 25",0.0416,,,,,
2025-12-09,248.63,252.11,245.1,248.32,247.48,2055404,2055404,-0.31,-0.12468,248.54,"December 09, 25",-0.0012468,,,,,
2025-12-08,256.82,257.5,247.72,252.41,251.55,2840139,2840139,-4.41,-1.72,253.6125,"December 08, 25",-0.0172,,,,,
2025-12-05,259.83,260.25,256,257.66,256.78,2389916,2389916,-2.17,-0.83516,258.435,"December 05, 25",-0.0083516,,,,,
2025-12-04,262.16,263.8,258.26,259.27,258.39,2599200,2599200,-2.89,-1.1,260.8725,"December 04, 25",-0.011,,,,,
2025-12-03,263.4,269.46,262.9,265.77,264.87,1446763,1446763,2.37,0.89977,265.3825,"December 03, 25",0.0089977,,,,,
2025-12-02,267.55,268.55,259.22,265.08,264.18,2105995,2105995,-2.47,-0.92319,265.1,"December 02, 25",-0.0092319,,,,,
2025-12-01,262.5,269.57,261,266.6,265.69,1526000,1526000,4.1,1.56,264.9175,"December 01, 25",0.0156,,,,,
2025-11-28,267,268.89,265.56,266.25,265.34,648300,648300,-0.75,-0.2809,266.925,"November 28, 25",-0.002809,,,,,
2025-11-26,266.46,268.86,264.71,265.71,264.81,1517912,1517912,-0.75,-0.28147,266.435,"November 26, 25",-0.0028147,,,,,
2025-11-25,260.01,272.25,258,266.41,265.5,5202121,5202121,6.4,2.46,264.1675,"November 25, 25",0.0246,,,,,
2025-11-24,264.37,268.28,249,255.57,254.7,5550030,5550030,-8.8,-3.33,259.305,"November 24, 25",-0.0333,,,,,
2025-11-21,255.5,267.57,254.16,264.09,263.19,2798994,2798994,8.59,3.36,260.33,"November 21, 25",0.0336,,,,,
2025-11-20,258.85,263.4,252.56,252.72,251.86,1817057,1817057,-6.13,-2.37,256.8825,"November 20, 25",-0.0237,,,,,
2025-11-19,254.89,257.58,252,256,255.13,2590400,2590400,1.11,0.43548,255.1175,"November 19, 25",0.0043548,,,,,
2025-11-18,249.13,253.74,247.49,251.42,250.57,1572400,1572400,2.29,0.9192,250.445,"November 18, 25",0.009192,,,,,
2025-11-17,251.64,252.34,244.45,246.71,245.87,2217200,2217200,-4.93,-1.96,248.785,"November 17, 25",-0.0196,,,,,
2025-11-14,251.86,254.61,246.66,252.87,252.01,1804649,1804649,1.01,0.40102,251.5,"November 14, 25",0.0040102,,,,,
2025-11-13,263.82,266.72,254.79,255.76,254.89,1533439,1533439,-8.06,-3.06,260.2725,"November 13, 25",-0.0306,,,,,
2025-11-12,264.09,270.57,262.86,263.43,262.53,1384200,1384200,-0.66,-0.24991,265.2375,"November 12, 25",-0.0024991,,,,,
2025-11-11,264.51,267.51,261.21,263.55,262.65,2498517,2498517,-0.96,-0.36294,264.195,"November 11, 25",-0.0036294,,,,,
2025-11-10,259.57,265.48,256.16,264.98,264.08,2626311,2626311,5.41,2.08,261.5475,"November 10, 25",0.0208,,,,,
2025-11-07,252,257.73,251.22,256.01,255.14,1893942,1893942,4.01,1.59,254.24,"November 07, 25",0.0159,,,,,
2025-11-06,255,256.68,252.34,253.57,252.71,1660832,1660832,-1.43,-0.56078,254.3975,"November 06, 25",-0.0056078,,,,,
2025-11-05,257.41,262.89,256.11,256.63,255.76,1991848,1991848,-0.78,-0.30302,258.26,"November 05, 25",-0.0030302,,,,,
2025-11-04,266.35,267.5,256.06,257.38,256.5,3815511,3815511,-8.97,-3.37,261.8225,"November 04, 25",-0.0337,,,,,
2025-11-03,285.68,287.08,277.1,277.8,276.86,2467200,2467200,-7.88,-2.76,281.915,"November 03, 25",-0.0276,,,,,
2025-10-31,284.53,290.08,283.53,286.83,285.85,1999470,1999470,2.3,0.80835,286.2425,"October 31, 25",0.0080835,,,,,
2025-10-30,276.99,290.82,275.21,284.53,283.56,3148100,3148100,7.54,2.72,281.8875,"October 30, 25",0.0272,,,,,
2025-10-29,290.01,292.44,280.02,280.05,279.1,4187700,4187700,-9.96,-3.43,285.63,"October 29, 25",-0.0343,,,,,
2025-10-28,295.64,298.8,287.02,292.95,291.95,8597400,8597400,-2.69,-0.90989,293.6025,"October 28, 25",-0.0090989,,,,,
2025-10-27,321,321.98,315.5,320.26,319.17,2644600,2644600,-0.74,-0.23053,319.685,"October 27, 25",-0.0023053,,,,,
2025-10-24,319.3,322.95,314.73,316.45,315.37,1223063,1223063,-2.85,-0.89258,318.3575,"October 24, 25",-0.0089258,,,,,
2025-10-23,316.46,319.72,311.36,316.88,315.8,1188377,1188377,0.42,0.13272,316.105,"October 23, 25",0.0013272,,,,,
2025-10-22,318.39,322.33,313.46,317.98,316.9,1642482,1642482,-0.41,-0.12877,318.04,"October 22, 25",-0.0012877,,,,,
2025-10-21,305.47,317.79,303.96,316.78,315.7,1691600,1691600,11.31,3.7,311,"October 21, 25",0.037,,,,,
2025-10-20,302.38,306.44,301.5,302.84,301.81,1112909,1112909,0.46,0.15213,303.29,"October 20, 25",0.0015213,,,,,
2025-10-17,300.8,302.98,296.35,300.31,299.29,1830189,1830189,-0.49,-0.1629,300.11,"October 17, 25",-0.001629,,,,,
2025-10-16,310.5,311.26,297.9,298.51,297.5,2641100,2641100,-11.99,-3.86,304.5425,"October 16, 25",-0.0386,,,,,
2025-10-15,316.38,318.56,309.73,311.16,310.1,1087461,1087461,-5.22,-1.65,313.9575,"October 15, 25",-0.0165,,,,,
2025-10-14,303,317.69,301.5,313.86,312.79,1555500,1555500,10.86,3.58,309.0125,"October 14, 25",0.0358,,,,,
2025-10-13,308.27,311.5,305.36,306.22,305.18,1338005,1338005,-2.05,-0.665,307.8375,"October 13, 25",-0.00665,,,,,
2025-10-10,306.98,313.2,303.32,304.62,303.58,1413933,1413933,-2.36,-0.76878,307.03,"October 10, 25",-0.0076878,,,,,
2025-10-09,310.51,311.86,306.75,306.99,305.95,1391328,1391328,-3.52,-1.13,309.0275,"October 09, 25",-0.0113,,,,,
2025-10-08,315,315.8,307.77,308.31,307.26,1879300,1879300,-6.69,-2.12,311.72,"October 08, 25",-0.0212,,,,,
2025-10-07,317.3,317.3,308.2,314.75,313.68,1129738,1129738,-2.55,-0.80366,314.3875,"October 07, 25",-0.0080366,,,,,
2025-10-06,314.31,318,310.69,317.3,316.22,1468891,1468891,2.99,0.95129,315.075,"October 06, 25",0.0095129,,,,,
2025-10-03,322.55,322.77,313.93,314.05,312.98,1402037,1402037,-8.5,-2.64,318.325,"October 03, 25",-0.0264,,,,,
2025-10-02,315.75,321.25,311.27,320.11,319.02,1626828,1626828,4.36,1.38,317.095,"October 02, 25",0.0138,,,,,
2025-10-01,320.63,321.01,312.28,316.02,314.95,2280800,2280800,-4.61,-1.44,317.485,"October 01, 25",-0.0144,,,,,
2025-09-30,327.67,330.5,319.21,323.58,322.48,1803374,1803374,-4.09,-1.25,325.24,"September 30, 25",-0.0125,,,,,
2025-09-29,337.54,339.22,320,326.72,325.61,2022511,2022511,-10.82,-3.21,330.87,"September 29, 25",-0.0321,,,,,
2025-09-26,325.48,327.8,323.5,326.89,325.78,1303000,1303000,1.41,0.43321,325.9175,"September 26, 25",0.0043321,,,,,
2025-09-25,322.93,327.48,319.7,324.53,323.43,1572520,1572520,1.6,0.49546,323.66,"September 25, 25",0.0049546,2025-09-25,2025-10-13,1,2025-09-10,1
2025-09-24,330.72,332.23,325.73,327.03,324.92,1130818,1130818,-3.69,-1.12,328.9275,"September 24, 25",-0.0112,,,,,
2025-09-23,331.45,340.17,329.15,330.59,328.46,2064271,2064271,-0.86,-0.25947,332.84,"September 23, 25",-0.0025947,,,,,
2025-09-22,326,333.04,324.63,329.24,327.12,1530258,1530258,3.24,0.99387,328.2275,"September 22, 25",0.0099387,,,,,
2025-09-19,327.82,329.54,316.11,328.6,326.48,3628427,3628427,0.78,0.23794,325.5175,"September 19, 25",0.0023794,,,,,
