date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,dividend,declarationDate,recordDate
2025-11-13,138.01,139.63,134.67,135.45,135.18,1870067,1870067,-2.56,-1.85,136.94,"November 13, 25",-0.0185,,,,,
2025-11-12,139.44,141.52,138.69,138.85,138.58,1487811,1487811,-0.59,-0.42312,139.625,"November 12, 25",-0.0042312,,,,,
2025-11-11,137.86,140.01,136.26,139.51,139.23,1560318,1560318,1.65,1.2,138.41,"November 11, 25",0.012,,,,,
2025-11-10,139.91,140.25,135.59,137.76,137.49,1639400,1639400,-2.15,-1.54,138.3775,"November 10, 25",-0.0154,,,,,
2025-11-07,137.19,140.19,135.91,139.9,139.62,2065646,2065646,2.71,1.98,138.2975,"November 07, 25",0.0198,,,,,
2025-11-06,139.89,140.42,137.46,137.69,137.42,3031616,3031616,-2.2,-1.57,138.865,"November 06, 25",-0.0157,,,,,
2025-11-05,140.47,143.37,138.26,140.78,140.5,2351423,2351423,0.31,0.22069,140.72,"November 05, 25",0.0022069,,,,,
2025-11-04,136.75,141.96,135.21,141.36,141.08,2588178,2588178,4.61,3.37,138.82,"November 04, 25",0.0337,,,,,
2025-11-03,140.22,140.5,135.12,137.51,137.24,2462700,2462700,-2.71,-1.93,138.3375,"November 03, 25",-0.0193,,,,,
2025-10-31,136.4,141.27,134.58,140.42,140.14,2377315,2377315,4.02,2.95,138.1675,"October 31, 25",0.0295,,,,,
2025-10-30,136.32,140.2,134.84,137.25,136.98,2762772,2762772,0.935,0.68222,137.1525,"October 30, 25",0.0068222,,,,,
2025-10-29,142.03,146.99,134.03,136.13,135.86,4290789,4290789,-5.9,-4.15,139.795,"October 29, 25",-0.0415,,,,,
2025-10-28,138,138.24,135.76,136.09,135.82,2065723,2065723,-1.91,-1.38,137.0225,"October 28, 25",-0.0138,,,,,
2025-10-27,136.26,137.74,134.34,136.73,136.46,2082611,2082611,0.47,0.34493,136.2675,"October 27, 25",0.0034493,,,,,
2025-10-24,137.85,138.14,135.86,136.12,135.85,1145638,1145638,-1.73,-1.25,136.9925,"October 24, 25",-0.0125,,,,,
2025-10-23,140.55,141.25,134.43,135.86,135.59,2090731,2090731,-4.69,-3.34,138.0225,"October 23, 25",-0.0334,,,,,
2025-10-22,143.09,144.91,140.72,141.02,140.74,1603177,1603177,-2.07,-1.45,142.435,"October 22, 25",-0.0145,,,,,
2025-10-21,140.14,145,139.74,144.36,144.07,1862729,1862729,4.22,3.01,142.31,"October 21, 25",0.0301,,,,,
2025-10-20,138.58,142.31,137.68,140.71,140.43,2009100,2009100,2.13,1.54,139.82,"October 20, 25",0.0154,,,,,
2025-10-17,138.73,138.95,136,138.04,137.77,1870246,1870246,-0.69,-0.49737,137.93,"October 17, 25",-0.0049737,,,,,
2025-10-16,139.89,140.49,135.5,138.1,137.83,2326800,2326800,-1.79,-1.28,138.495,"October 16, 25",-0.0128,,,,,
2025-10-15,135.46,137.87,134.78,135.04,134.77,1884600,1884600,-0.42,-0.31005,135.7875,"October 15, 25",-0.0031005,,,,,
2025-10-14,134.71,137.48,134.03,135.43,135.16,2628600,2628600,0.72,0.53448,135.4125,"October 14, 25",0.0053448,,,,,
2025-10-13,135.56,137.9,135.25,136.18,135.91,1282433,1282433,0.62,0.45736,136.2225,"October 13, 25",0.0045736,,,,,
2025-10-10,141.85,142.69,134.2,134.31,134.04,2136300,2136300,-7.54,-5.32,138.2625,"October 10, 25",-0.0532,,,,,
2025-10-09,144.5,144.88,140.1,141.28,141,2049442,2049442,-3.22,-2.23,142.69,"October 09, 25",-0.0223,,,,,
2025-10-08,140.64,146.94,139.54,144.78,144.49,2244200,2244200,4.14,2.94,142.975,"October 08, 25",0.0294,,,,,
2025-10-07,142.64,144.61,140.29,141.36,141.08,1478134,1478134,-1.28,-0.89736,142.225,"October 07, 25",-0.0089736,,,,,
2025-10-06,141.52,145.08,140.04,142.82,142.54,1477546,1477546,1.3,0.9186,142.365,"October 06, 25",0.009186,,,,,
2025-10-03,141.09,145.21,141.09,141.33,141.05,1806606,1806606,0.24,0.1701,142.18,"October 03, 25",0.001701,,,,,
2025-10-02,138.99,141.6,137.99,140.6,140.32,1502613,1502613,1.61,1.16,139.795,"October 02, 25",0.0116,,,,,
2025-10-01,139.35,140.64,136.82,139.24,138.96,2305619,2305619,-0.11,-0.07893793,139.0125,"October 01, 25",-0.0007893793,,,,,
2025-09-30,140,141.2,138.07,140.78,140.5,2368156,2368156,0.78,0.55714,140.0125,"September 30, 25",0.0055714,,,,,
2025-09-29,139.64,141.5,136.6,141.04,140.76,2682080,2682080,1.4,1,139.695,"September 29, 25",0.01,,,,,
2025-09-26,140.62,143.4,133.69,138.59,138.32,3893900,3893900,-2.03,-1.44,139.075,"September 26, 25",-0.0144,,,,,
2025-09-25,141.16,142.21,139.66,140.43,140.15,1923309,1923309,-0.73,-0.51714,140.865,"September 25, 25",-0.0051714,,,,,
2025-09-24,139.07,142.21,139.07,141.06,140.78,1667225,1667225,1.99,1.43,140.3525,"September 24, 25",0.0143,,,,,
2025-09-23,139.08,141.62,138.66,139.34,139.06,1541324,1541324,0.26,0.18694,139.675,"September 23, 25",0.0018694,,,,,
2025-09-22,140.83,140.83,138.66,138.93,138.65,2093141,2093141,-1.9,-1.35,139.8125,"September 22, 25",-0.0135,,,,,
2025-09-19,142.85,142.96,140.09,140.84,140.56,4264100,4264100,-2.01,-1.41,141.685,"September 19, 25",-0.0141,,,,,
2025-09-18,142.27,144.48,141.12,142.39,142.11,2222863,2222863,0.12,0.08434666,142.565,"September 18, 25",0.0008434666,,,,,
2025-09-17,146.67,149.88,141.54,141.79,141.51,1977500,1977500,-4.88,-3.33,144.97,"September 17, 25",-0.0333,,,,,
2025-09-16,145.8,147.39,144.63,147.02,146.73,1707700,1707700,1.22,0.83676,146.21,"September 16, 25",0.0083676,,,,,
2025-09-15,145.33,147.01,143.81,145.25,144.96,1582400,1582400,-0.08,-0.05504713,145.35,"September 15, 25",-0.0005504713,,,,,
2025-09-12,149.14,149.39,144.47,144.89,144.6,1864000,1864000,-4.25,-2.85,146.9725,"September 12, 25",-0.0285,,,,,
2025-09-11,145.73,150.84,145.59,149.4,149.1,1682400,1682400,3.67,2.52,147.89,"September 11, 25",0.0252,,,,,
2025-09-10,147.02,148.68,144.88,146.31,146.02,1199200,1199200,-0.71,-0.48293,146.7225,"September 10, 25",-0.0048293,,,,,
2025-09-09,150.65,150.65,147.74,148.22,147.93,1311034,1311034,-2.43,-1.61,149.315,"September 09, 25",-0.0161,,,,,
2025-09-08,150.9,151.29,147.62,151.11,150.81,1603219,1603219,0.21,0.13917,150.23,"September 08, 25",0.0013917,,,,,
2025-09-05,149.27,154.15,148.79,150.71,150.41,1891945,1891945,1.44,0.96469,150.73,"September 05, 25",0.0096469,,,,,
2025-09-04,145.93,148.97,140.71,148.81,148.52,3284603,3284603,2.88,1.97,146.105,"September 04, 25",0.0197,,,,,
2025-09-03,149.05,150.54,147.77,148.11,147.82,1485911,1485911,-0.94,-0.63066,148.8675,"September 03, 25",-0.0063066,0.28,2025-09-17,0.28,2025-07-24,2025-09-03
2025-09-02,148.65,151.26,148.03,149.9,149.32,1794136,1794136,1.25,0.8409,149.46,"September 02, 25",0.008409,,,,,
2025-08-29,149.62,151.13,148.2,150.97,150.39,1679400,1679400,1.35,0.90229,149.98,"August 29, 25",0.0090229,,,,,
2025-08-28,154.36,154.4,147.44,149.7,149.12,1977600,1977600,-4.66,-3.02,151.475,"August 28, 25",-0.0302,,,,,
2025-08-27,153.81,155.99,152.55,153.82,153.22,1975000,1975000,0.01,0.00650153,154.0425,"August 27, 25",6.50153e-05,,,,,
2025-08-26,154.44,156.59,153.82,154.48,153.88,2155643,2155643,0.04,0.02590003,154.8325,"August 26, 25",0.0002590003,,,,,
2025-08-25,158.52,158.87,154.69,155.47,154.87,1721302,1721302,-3.05,-1.92,156.8875,"August 25, 25",-0.0192,,,,,
2025-08-22,150.21,160.06,149.99,159.13,158.51,1962335,1962335,8.91,5.94,154.8475,"August 22, 25",0.0594,,,,,
2025-08-21,149.32,149.98,147.17,149.75,149.17,2050000,2050000,0.43,0.28797,149.055,"August 21, 25",0.0028797,,,,,
2025-08-20,153.88,154.42,150.13,150.24,149.66,1512200,1512200,-3.64,-2.37,152.1675,"August 20, 25",-0.0237,,,,,
2025-08-19,151.9,157.63,151.33,154.8,154.2,2958964,2958964,2.9,1.91,153.915,"August 19, 25",0.0191,,,,,
2025-08-18,151.32,152.39,149.96,150.46,149.88,1136028,1136028,-0.86,-0.56833,151.0325,"August 18, 25",-0.0056833,,,,,
2025-08-15,152.12,153.32,151.02,151.14,150.56,1499700,1499700,-0.98,-0.64423,151.9,"August 15, 25",-0.0064423,,,,,
2025-08-14,151.99,152.72,149.31,151.11,150.53,1662213,1662213,-0.88,-0.57899,151.2825,"August 14, 25",-0.0057899,,,,,
2025-08-13,149.1,153.55,148.61,153.46,152.87,1983135,1983135,4.36,2.92,151.18,"August 13, 25",0.0292,,,,,
2025-08-12,143.49,149.68,143.04,149.23,148.65,1568162,1568162,5.74,4,146.36,"August 12, 25",0.04,,,,,
2025-08-11,144.53,146.08,140.91,143.02,142.47,2071000,2071000,-1.51,-1.04,143.635,"August 11, 25",-0.0104,,,,,
2025-08-08,145.45,146.69,143.78,144.46,143.9,1440300,1440300,-0.99,-0.68065,145.095,"August 08, 25",-0.0068065,,,,,
2025-08-07,150.54,152.49,144.71,145.33,144.77,1806171,1806171,-5.21,-3.46,148.2675,"August 07, 25",-0.0346,,,,,
2025-08-06,147.27,150.91,146.8,149.93,149.35,2849389,2849389,2.66,1.81,148.7275,"August 06, 25",0.0181,,,,,
2025-08-05,144.38,147.97,144.08,147.15,146.58,1790680,1790680,2.77,1.92,145.895,"August 05, 25",0.0192,,,,,
2025-08-04,142.04,145.15,141.88,144.36,143.8,1694100,1694100,2.32,1.63,143.3575,"August 04, 25",0.0163,,,,,
2025-08-01,148.14,148.16,141.73,141.85,141.3,2654029,2654029,-6.29,-4.25,144.97,"August 01, 25",-0.0425,,,,,
2025-07-31,148.79,151.53,147.5,149.25,148.67,4285312,4285312,0.46,0.30916,149.2675,"July 31, 25",0.0030916,,,,,
2025-07-30,152.5,152.5,144.5,146.46,145.89,5557100,5557100,-6.04,-3.96,148.99,"July 30, 25",-0.0396,,,,,
2025-07-29,164.32,165.45,161.55,162.12,161.49,2771715,2771715,-2.2,-1.34,163.36,"July 29, 25",-0.0134,,,,,
2025-07-28,166.48,167.56,164.16,164.32,163.68,1634019,1634019,-2.16,-1.3,165.63,"July 28, 25",-0.013,,,,,
2025-07-25,173.37,174.79,163.78,167.09,166.44,1747307,1747307,-6.28,-3.62,169.7575,"July 25, 25",-0.0362,,,,,
2025-07-24,166.52,168.07,164.49,167.79,167.14,1315691,1315691,1.27,0.76267,166.7175,"July 24, 25",0.0076267,,,,,
2025-07-23,167.76,169,165.84,165.99,165.35,1577615,1577615,-1.77,-1.06,167.1475,"July 23, 25",-0.0106,,,,,
2025-07-22,164.56,167.3,162.67,166.89,166.24,1229020,1229020,2.33,1.42,165.355,"July 22, 25",0.0142,,,,,
2025-07-21,162.82,165.86,162.25,163.25,162.62,1080302,1080302,0.43,0.2641,163.545,"July 21, 25",0.002641,,,,,
2025-07-18,165.51,165.68,160.45,162.09,161.46,1548700,1548700,-3.42,-2.07,163.4325,"July 18, 25",-0.0207,,,,,
2025-07-17,161.02,163.89,160.83,162.23,161.6,1770150,1770150,1.21,0.75146,161.9925,"July 17, 25",0.0075146,,,,,
2025-07-16,163.68,164.5,159.2,160.83,160.21,1452403,1452403,-2.85,-1.74,162.0525,"July 16, 25",-0.0174,,,,,
2025-07-15,166.64,166.81,161.2,161.35,160.73,1142468,1142468,-5.29,-3.17,164,"July 15, 25",-0.0317,,,,,
2025-07-14,166.52,167.6,164.48,165.73,165.09,1017262,1017262,-0.79,-0.47442,166.0825,"July 14, 25",-0.0047442,,,,,
2025-07-11,169.7,170.53,167.27,167.73,167.08,1137600,1137600,-1.97,-1.16,168.8075,"July 11, 25",-0.0116,,,,,
2025-07-10,168,173.26,167.35,171.12,170.46,1262378,1262378,3.13,1.86,169.9325,"July 10, 25",0.0186,,,,,
2025-07-09,167.5,169.12,166.3,168.01,167.36,896612,896612,0.51,0.30448,167.7325,"July 09, 25",0.0030448,,,,,
2025-07-08,164.09,169.39,163.86,167.38,166.73,1971044,1971044,3.29,2,166.18,"July 08, 25",0.02,,,,,
2025-07-07,169.75,170.67,163.63,164.31,163.67,1496908,1496908,-5.44,-3.2,167.09,"July 07, 25",-0.032,,,,,
2025-07-03,170.51,172.62,169.77,171.03,170.37,1369300,1369300,0.52,0.30497,170.9825,"July 03, 25",0.0030497,,,,,
2025-07-02,168.64,171.06,166.95,169.85,169.19,1465236,1465236,1.21,0.7175,169.125,"July 02, 25",0.007175,,,,,
2025-07-01,162.05,172.24,160.57,168.45,167.8,2076800,2076800,6.4,3.95,165.8275,"July 01, 25",0.0395,,,,,
2025-06-30,163.82,164.45,161.32,162.3,161.67,1884808,1884808,-1.52,-0.92785,162.9725,"June 30, 25",-0.0092785,,,,,
2025-06-27,161.57,164.16,161.36,163.68,163.05,6623121,6623121,2.11,1.31,162.6925,"June 27, 25",0.0131,,,,,
2025-06-26,160.93,162.16,159.93,160.99,160.37,1672032,1672032,0.06,0.03728329,161.0025,"June 26, 25",0.0003728329,,,,,
2025-06-25,161.88,162.08,159.13,160.35,159.73,1400600,1400600,-1.53,-0.94514,160.86,"June 25, 25",-0.0094514,,,,,
2025-06-24,162.22,163.77,161.46,161.97,161.34,1177300,1177300,-0.25,-0.15411,162.355,"June 24, 25",-0.0015411,,,,,
2025-06-23,155.87,161.44,155.05,161.36,160.74,1256551,1256551,5.49,3.52,158.43,"June 23, 25",0.0352,,,,,
2025-06-20,157.24,159.31,155.55,156.46,155.85,2545800,2545800,-0.78,-0.49606,157.14,"June 20, 25",-0.0049606,,,,,
2025-06-18,156.82,158.91,155.72,156.03,155.43,1281213,1281213,-0.79,-0.50376,156.87,"June 18, 25",-0.0050376,,,,,
2025-06-17,160.5,160.5,156.06,156.67,156.06,1298820,1298820,-3.83,-2.39,158.4325,"June 17, 25",-0.0239,,,,,
2025-06-16,161.2,161.4,158.25,159.45,158.83,1998441,1998441,-1.75,-1.09,160.075,"June 16, 25",-0.0109,,,,,
2025-06-13,160.16,161.99,159.65,160.18,159.56,1530716,1530716,0.02,0.01248751,160.495,"June 13, 25",0.0001248751,,,,,
2025-06-12,161.48,163.05,159.42,162.41,161.78,1306115,1306115,0.93,0.57592,161.59,"June 12, 25",0.0057592,,,,,
2025-06-11,168.53,170.26,161.57,162.11,161.48,1710526,1710526,-6.42,-3.81,165.6175,"June 11, 25",-0.0381,,,,,
2025-06-10,163.87,168.14,162.93,167.89,167.24,1916581,1916581,4.02,2.45,165.7075,"June 10, 25",0.0245,,,,,
2025-06-09,161.11,163.89,159.42,162.21,161.58,1199035,1199035,1.1,0.68276,161.6575,"June 09, 25",0.0068276,,,,,
2025-06-06,162.54,163.32,159.74,160.33,159.71,1232649,1232649,-2.21,-1.36,161.4825,"June 06, 25",-0.0136,,,,,
2025-06-05,160.14,161.53,157.94,159.68,159.06,1320105,1320105,-0.46,-0.28725,159.8225,"June 05, 25",-0.0028725,,,,,
2025-06-04,162.37,163.19,160.01,161.49,160.87,1318200,1318200,-0.88,-0.54197,161.765,"June 04, 25",-0.0054197,0.28,2025-06-18,0.28,2025-05-22,2025-06-04
2025-06-03,159.61,163.53,158.28,163.03,162.12,1367691,1367691,3.42,2.14,161.1125,"June 03, 25",0.0214,,,,,
2025-06-02,161.95,161.96,157.26,160,159.11,1563520,1563520,-1.95,-1.2,160.2925,"June 02, 25",-0.012,,,,,
2025-05-30,161.85,162.45,158.96,160.17,159.28,2898004,2898004,-1.68,-1.04,160.8575,"May 30, 25",-0.0104,,,,,
2025-05-29,163.92,164.08,160.91,162.01,161.11,1301848,1301848,-1.91,-1.17,162.73,"May 29, 25",-0.0117,,,,,
2025-05-28,165,165.13,162.16,162.43,161.52,1015800,1015800,-2.57,-1.56,163.68,"May 28, 25",-0.0156,,,,,
2025-05-27,164.71,164.71,161.07,164.21,163.29,2223405,2223405,-0.5,-0.30356,163.675,"May 27, 25",-0.0030356,,,,,
2025-05-23,159.67,162.65,158.57,161.56,160.66,896100,896100,1.89,1.18,160.6125,"May 23, 25",0.0118,,,,,
2025-05-22,164.14,164.56,162.34,163.6,162.69,1264400,1264400,-0.535,-0.32899,163.66,"May 22, 25",-0.0032899,,,,,
2025-05-21,166.94,168.65,164.16,164.19,163.27,2048843,2048843,-2.75,-1.65,165.985,"May 21, 25",-0.0165,,,,,
2025-05-20,170.4,171.72,168.81,169.6,168.65,1886569,1886569,-0.8,-0.46948,170.1325,"May 20, 25",-0.0046948,,,,,
2025-05-19,168.99,172.39,167.84,171.61,170.65,2107141,2107141,2.62,1.55,170.2075,"May 19, 25",0.0155,,,,,
2025-05-16,171.19,171.54,168.95,171.28,170.32,1098425,1098425,0.09,0.05257316,170.74,"May 16, 25",0.0005257316,,,,,
2025-05-15,170.55,171.33,168.8,169.93,168.98,1652468,1652468,-0.62,-0.36353,170.1525,"May 15, 25",-0.0036353,,,,,
2025-05-14,170.47,172,168.37,171.65,170.69,1470400,1470400,1.18,0.6922,170.6225,"May 14, 25",0.006922,,,,,
2025-05-13,175.96,176.37,171.24,171.34,170.38,1841039,1841039,-4.62,-2.63,173.7275,"May 13, 25",-0.0263,,,,,
2025-05-12,169.86,176.85,168,176.07,175.09,3596800,3596800,6.22,3.66,172.695,"May 12, 25",0.0366,,,,,
2025-05-09,159.75,160.29,157.34,158.28,157.4,1058013,1058013,-1.47,-0.92019,158.915,"May 09, 25",-0.0092019,,,,,
2025-05-08,156.1,161.43,155.54,160.12,159.23,1733900,1733900,4.02,2.58,158.2975,"May 08, 25",0.0258,,,,,
2025-05-07,153.96,156.5,153.96,155.59,154.72,1173939,1173939,1.63,1.06,155.0025,"May 07, 25",0.0106,,,,,
2025-05-06,154,155.64,152.52,153.35,152.49,1012344,1012344,-0.65,-0.42208,153.8775,"May 06, 25",-0.0042208,,,,,
2025-05-05,156.89,158.73,156.06,156.23,155.36,1272152,1272152,-0.66,-0.42068,156.9775,"May 05, 25",-0.0042068,,,,,
2025-05-02,153,160.82,152.25,158.01,157.13,2628116,2628116,5.01,3.27,156.02,"May 02, 25",0.0327,,,,,
2025-05-01,152.86,154.19,149.61,150.56,149.72,2153700,2153700,-2.3,-1.5,151.805,"May 01, 25",-0.015,,,,,
2025-04-30,149.15,153.66,146.37,153.28,152.42,2958826,2958826,4.13,2.77,150.615,"April 30, 25",0.0277,,,,,
2025-04-29,147.96,150.04,146.57,149.65,148.81,2026262,2026262,1.69,1.14,148.555,"April 29, 25",0.0114,,,,,
2025-04-28,147.01,149.53,145.79,149,148.17,2699025,2699025,1.99,1.35,147.8325,"April 28, 25",0.0135,,,,,
2025-04-25,149.28,151.52,144.9,146.74,145.92,4094902,4094902,-2.54,-1.7,148.11,"April 25, 25",-0.017,,,,,
2025-04-24,151.66,159.18,150.9,158.9,158.01,1834905,1834905,7.24,4.77,155.16,"April 24, 25",0.0477,,,,,
2025-04-23,159.12,167.89,151.6,153.23,152.37,3069909,3069909,-5.89,-3.7,157.96,"April 23, 25",-0.037,,,,,
2025-04-22,150.28,153.17,148.64,152.07,151.22,1840300,1840300,1.79,1.19,151.04,"April 22, 25",0.0119,,,,,
2025-04-21,151.47,152.74,147.05,149.87,149.03,1791328,1791328,-1.6,-1.06,150.2825,"April 21, 25",-0.0106,,,,,
2025-04-17,149.39,154.82,149.05,153.75,152.89,1456548,1456548,4.36,2.92,151.7525,"April 17, 25",0.0292,,,,,
2025-04-16,151.07,151.89,145.9,147.85,147.02,1928000,1928000,-3.22,-2.13,149.1775,"April 16, 25",-0.0213,,,,,
2025-04-15,155.3,156.48,151.47,152.85,152,1001800,1001800,-2.45,-1.58,154.025,"April 15, 25",-0.0158,,,,,
2025-04-14,154.28,155.85,151.95,155.11,154.24,1189200,1189200,0.83,0.53798,154.2975,"April 14, 25",0.0053798,,,,,
2025-04-11,154.82,154.82,146.14,152.23,151.38,2640983,2640983,-2.59,-1.67,152.0025,"April 11, 25",-0.0167,,,,,
2025-04-10,161.96,161.96,152.23,156.75,155.88,2180919,2180919,-5.21,-3.22,158.225,"April 10, 25",-0.0322,,,,,
2025-04-09,146.84,166.21,145.79,165.49,164.57,3158600,3158600,18.65,12.7,156.0825,"April 09, 25",0.127,,,,,
2025-04-08,157.41,157.45,146.32,148.34,147.51,1878193,1878193,-9.07,-5.76,152.38,"April 08, 25",-0.0576,,,,,
2025-04-07,152.27,159.86,145.96,151.41,150.57,2779554,2779554,-0.86,-0.56479,152.375,"April 07, 25",-0.0056479,,,,,
2025-04-04,153.17,155.78,147.06,152.06,151.21,3326641,3326641,-1.11,-0.72468,152.0175,"April 04, 25",-0.0072468,,,,,
2025-04-03,162.53,165.62,153.02,155.75,154.88,2683791,2683791,-6.78,-4.17,159.23,"April 03, 25",-0.0417,,,,,
2025-04-02,164.66,170.58,164.47,170.1,169.15,905220,905220,5.44,3.3,167.4525,"April 02, 25",0.033,,,,,
2025-04-01,163.67,168,163.02,167.09,166.16,1219403,1219403,3.42,2.09,165.445,"April 01, 25",0.0209,,,,,
2025-03-31,162.05,166.62,162.05,165.45,164.53,1608374,1608374,3.4,2.1,164.0425,"March 31, 25",0.021,,,,,
2025-03-28,169.61,169.93,164.72,164.85,163.93,1285993,1285993,-4.76,-2.81,167.2775,"March 28, 25",-0.0281,,,,,
2025-03-27,168.77,171.54,168.36,170.23,169.28,1260200,1260200,1.46,0.86508,169.725,"March 27, 25",0.0086508,,,,,
2025-03-26,167.55,169.48,166.92,168.67,167.73,1423180,1423180,1.13,0.66846,168.155,"March 26, 25",0.0066846,,,,,
2025-03-25,170.12,170.72,167.09,167.6,166.66,1478600,1478600,-2.52,-1.48,168.8825,"March 25, 25",-0.0148,,,,,
2025-03-24,167.61,170.66,167.48,170.05,169.1,1302653,1302653,2.44,1.46,168.95,"March 24, 25",0.0146,,,,,
2025-03-21,158.31,165.37,157.67,165.22,164.3,3630700,3630700,6.91,4.36,161.6425,"March 21, 25",0.0436,,,,,
2025-03-20,160.91,163.41,160.37,161.13,160.23,1585700,1585700,0.22,0.13672,161.455,"March 20, 25",0.0013672,,,,,
2025-03-19,162.09,163.42,159.5,162.44,161.53,1646500,1646500,0.35,0.21593,161.8625,"March 19, 25",0.0021593,,,,,
2025-03-18,165.34,166.37,160.49,162.08,161.18,1148225,1148225,-3.26,-1.97,163.57,"March 18, 25",-0.0197,,,,,
2025-03-17,161.01,167.09,159.11,166.12,165.19,1602822,1602822,5.11,3.17,163.3325,"March 17, 25",0.0317,,,,,
2025-03-14,163.95,164.46,161.76,162.5,161.59,1412360,1412360,-1.45,-0.88442,163.1675,"March 14, 25",-0.0088442,,,,,
2025-03-13,165.77,167.05,159.35,162.98,162.07,2044694,2044694,-2.79,-1.68,163.7875,"March 13, 25",-0.0168,,,,,
