date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,dividend,declarationDate,recordDate
2026-01-02,157.75,160.15,156,159.19,159.19,1891209,1891209,1.44,0.91284,158.2725,"January 02, 26",0.0091284,,,,,
2025-12-31,158.66,159.09,156.66,156.8,156.8,1232805,1232805,-1.86,-1.17,157.8025,"December 31, 25",-0.0117,,,,,
2025-12-30,159.04,160.78,158.35,159.31,159.31,1427669,1427669,0.27,0.16977,159.37,"December 30, 25",0.0016977,,,,,
2025-12-29,159.68,161.5,158.55,159.56,159.56,1523536,1523536,-0.12,-0.0751503,159.8225,"December 29, 25",-0.000751503,,,,,
2025-12-26,158.66,159.62,158.04,159.49,159.49,702500,702500,0.83,0.52313,158.9525,"December 26, 25",0.0052313,,,,,
2025-12-24,158.69,159.88,158.32,159.36,159.36,795143,795143,0.67,0.42221,159.0625,"December 24, 25",0.0042221,,,,,
2025-12-23,158.62,159.45,158.17,158.62,158.62,1175422,1175422,0,0,158.715,"December 23, 25",0,,,,,
2025-12-22,158.4,160.46,157,159.3,159.3,1564305,1564305,0.9,0.56818,158.79,"December 22, 25",0.0056818,,,,,
2025-12-19,158.15,158.15,153.89,157.39,157.39,5049000,5049000,-0.76,-0.48056,156.895,"December 19, 25",-0.0048056,,,,,
2025-12-18,156.91,160.1,156.31,158.55,158.55,2631423,2631423,1.64,1.05,157.9675,"December 18, 25",0.0105,,,,,
2025-12-17,156.13,159.04,154.82,155.73,155.73,2272500,2272500,-0.4,-0.2562,156.43,"December 17, 25",-0.002562,,,,,
2025-12-16,158.78,159.3,154.86,156.94,156.94,2208500,2208500,-1.84,-1.16,157.47,"December 16, 25",-0.0116,,,,,
2025-12-15,160.14,160.9,154.88,157.46,157.46,2593400,2593400,-2.68,-1.67,158.345,"December 15, 25",-0.0167,,,,,
2025-12-12,159.12,161.24,158.02,159.49,159.49,2264000,2264000,0.37,0.23253,159.4675,"December 12, 25",0.0023253,,,,,
2025-12-11,157.13,163.19,157.13,158.92,158.92,3657504,3657504,1.79,1.14,159.0925,"December 11, 25",0.0114,,,,,
2025-12-10,149.32,158.79,148.49,157.32,157.32,2991509,2991509,8,5.36,153.48,"December 10, 25",0.0536,,,,,
2025-12-09,151.79,151.87,147.86,148.89,148.89,1674535,1674535,-2.9,-1.91,150.1025,"December 09, 25",-0.0191,,,,,
2025-12-08,157.03,157.03,151.2,151.68,151.68,3444700,3444700,-5.35,-3.41,154.235,"December 08, 25",-0.0341,,,,,
2025-12-05,153.03,156.73,153.03,155.15,155.15,2833579,2833579,2.12,1.39,154.485,"December 05, 25",0.0139,,,,,
2025-12-04,151.69,154.03,150.9,153.51,153.51,4582750,4582750,1.82,1.2,152.5325,"December 04, 25",0.012,,,,,
2025-12-03,142.3,151.05,141.5,150.95,150.95,4491272,4491272,8.64,6.08,146.45,"December 03, 25",0.0608,0.28,2025-12-17,0.28,2025-10-23,2025-12-03
2025-12-02,139.5,142.45,137.96,141.46,141.18,2293968,2293968,1.96,1.41,140.3425,"December 02, 25",0.0141,,,,,
2025-12-01,136.39,143.27,136,139.67,139.39,2628400,2628400,3.28,2.4,138.8325,"December 01, 25",0.024,,,,,
2025-11-28,135.75,136.38,134.4,135.29,135.02,587600,587600,-0.46,-0.33886,135.455,"November 28, 25",-0.0033886,,,,,
2025-11-26,133.45,136.14,133.44,134.91,134.64,1460200,1460200,1.46,1.09,134.485,"November 26, 25",0.0109,,,,,
2025-11-25,132.33,135.07,132.32,134.33,134.06,2066300,2066300,2,1.51,133.5125,"November 25, 25",0.0151,,,,,
2025-11-24,133.95,134.04,131.75,132.33,132.07,2663200,2663200,-1.62,-1.21,133.0175,"November 24, 25",-0.0121,,,,,
2025-11-21,127.33,136.66,126.84,134.28,134.01,3335907,3335907,6.95,5.46,131.2775,"November 21, 25",0.0546,,,,,
2025-11-20,128.24,130.52,126.01,126.29,126.04,2257713,2257713,-1.95,-1.52,127.765,"November 20, 25",-0.0152,,,,,
2025-11-19,130.8,130.95,126.57,127.51,127.26,1963633,1963633,-3.29,-2.52,128.9575,"November 19, 25",-0.0252,,,,,
2025-11-18,129.2,132.49,128.51,130.66,130.4,2030703,2030703,1.46,1.13,130.215,"November 18, 25",0.0113,,,,,
2025-11-17,132.15,132.77,129.37,129.89,129.63,1991000,1991000,-2.26,-1.71,131.045,"November 17, 25",-0.0171,,,,,
2025-11-14,135.32,135.68,131.46,132.29,132.03,1936200,1936200,-3.03,-2.24,133.6875,"November 14, 25",-0.0224,,,,,
