date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,adjDividend,paymentDate,dividend
2026-01-02,450.63,451.74,431.68,435.83,435.83,353691,353691,-14.8,-3.28,442.47,"January 02, 26",-0.0328,,,,,
2025-12-31,456.21,458.78,453.22,453.95,453.95,181345,181345,-2.26,-0.49539,455.54,"December 31, 25",-0.0049539,,,,,
2025-12-30,458.04,464.38,457.92,458.13,458.13,147336,147336,0.09,0.01964894,459.6175,"December 30, 25",0.0001964894,,,,,
2025-12-29,460.37,463.36,458.54,460.72,460.72,218100,218100,0.35,0.07602581,460.7475,"December 29, 25",0.0007602581,,,,,
2025-12-26,461,462.3,458.87,461.06,461.06,129500,129500,0.06,0.01301518,460.8075,"December 26, 25",0.0001301518,,,,,
2025-12-24,461.44,461.51,457.52,461.32,461.32,113723,113723,-0.12,-0.02600555,460.4475,"December 24, 25",-0.0002600555,,,,,
2025-12-23,465,466,458.84,462.25,462.25,243656,243656,-2.75,-0.5914,463.0225,"December 23, 25",-0.005914,,,,,
2025-12-22,460,469.97,457.9,464.97,464.97,300731,300731,4.97,1.08,463.21,"December 22, 25",0.0108,,,,,
2025-12-19,455.76,460.47,451.9,457.9,457.9,1497419,1497419,2.14,0.46955,456.5075,"December 19, 25",0.0046955,,,,,
2025-12-18,451,458.38,447.35,455.42,455.42,561000,561000,4.42,0.98004,453.0375,"December 18, 25",0.0098004,,,,,
2025-12-17,450.57,456.74,448.84,451.26,451.26,351540,351540,0.69,0.15314,451.8525,"December 17, 25",0.0015314,,,,,
2025-12-16,449,452.21,446.69,450.11,450.11,384151,384151,1.11,0.24722,449.5025,"December 16, 25",0.0024722,,,,,
2025-12-15,458.67,458.67,445.64,447,447,551580,551580,-11.67,-2.54,452.495,"December 15, 25",-0.0254,,,,,
2025-12-12,462.8,462.8,454.35,455.64,455.64,335081,335081,-7.16,-1.55,458.8975,"December 12, 25",-0.0155,,,,,
