holder,shares,dateReported,change
VANGUARD GROUP INC,478787587,2025-09-30,-4655352
"BlackRock, Inc.",377927942,2025-09-30,1310591
STATE STREET CORP,185043550,2025-09-30,-233437
Capital International Investors,146477213,2025-09-30,-4720839
Capital World Investors,135586932,2025-09-30,-12713939
FMR LLC,120822806,2025-09-30,3711323
"GEODE CAPITAL MANAGEMENT, LLC",109728581,2025-09-30,1117863
JPMORGAN CHASE & CO,93948858,2025-09-30,-167600
Capital Research Global Investors,87716681,2025-09-30,-3824140
PRICE T ROWE ASSOCIATES INC /MD/,83054439,2025-09-30,4904436
MORGAN STANLEY,73008578,2025-09-30,-724893
BANK OF AMERICA CORP /DE/,62028856,2025-09-30,-5123905
NORTHERN TRUST CORP,48668426,2025-09-30,-142489
WELLINGTON MANAGEMENT GROUP LLP,46619327,2025-09-30,-10906362
Invesco Ltd.,39149651,2025-09-30,700021
GOLDMAN SACHS GROUP INC,36785819,2025-09-30,-348963
"Nuveen, LLC",36742921,2025-09-30,-2411808
UBS ASSET MANAGEMENT AMERICAS INC,35647634,2025-09-30,-4224464
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,35129748,2025-09-30,655663
Legal & General Group Plc,33450786,2025-09-30,748709
FRANKLIN RESOURCES INC,29511195,2025-09-30,1124590
ALLIANCEBERNSTEIN L.P.,29168484,2025-09-30,-1430106
Bank of New York Mellon Corp,29096173,2025-09-30,-56244
AMERIPRISE FINANCIAL INC,25199933,2025-09-30,-1790992
WELLS FARGO & COMPANY/MN,24593712,2025-09-30,614457
UBS Group AG,23567882,2025-09-30,-1949369
JENNISON ASSOCIATES LLC,22267616,2025-09-30,-973033
Amundi,22216816,2025-09-30,716523
ROYAL BANK OF CANADA,22201752,2025-09-30,279805
JANUS HENDERSON GROUP PLC,20911142,2025-09-30,-871377
BARCLAYS PLC,19860308,2025-09-30,-255623
RAYMOND JAMES FINANCIAL INC,16340261,2025-09-30,-1176845
DEUTSCHE BANK AG\,15418374,2025-09-30,893999
Swiss National Bank,12880230,2025-09-30,-641400
Swedbank AB,12762596,2025-09-30,-1304100
"Fisher Asset Management, LLC",12611740,2025-09-30,237295
"Sumitomo Mitsui Trust Holdings, Inc.",12106885,2025-09-30,161451
HSBC HOLDINGS PLC,11919132,2025-09-30,-45255
BANK OF MONTREAL /CAN/,11710183,2025-09-30,350355
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,11599381,2025-09-30,422317
DIMENSIONAL FUND ADVISORS LP,11368828,2025-09-30,811943
CITIGROUP INC,10738998,2025-09-30,612505
