date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,declarationDate,paymentDate,dividend,recordDate
2026-01-05,197.29,203.17,196.565,203.0128,203.0128,310031,310031,5.72,2.9007,200.92,"January 05, 26",0.029007,,,,,
2026-01-02,194.44,197.25,193.54,196.78,196.78,714600,714600,2.34,1.2,195.5025,"January 02, 26",0.012,,,,,
2025-12-31,196.21,196.86,194.1,194.34,194.34,623800,623800,-1.87,-0.95306,195.3775,"December 31, 25",-0.0095306,,,,,
2025-12-30,197.25,197.77,195.95,196.21,196.21,686448,686448,-1.04,-0.52725,196.795,"December 30, 25",-0.0052725,,,,,
2025-12-29,198.41,198.95,197.35,197.55,197.55,473900,473900,-0.86,-0.43345,198.065,"December 29, 25",-0.0043345,,,,,
2025-12-26,197.24,198.49,196.92,198.28,198.28,349737,349737,1.04,0.52728,197.7325,"December 26, 25",0.0052728,,,,,
2025-12-24,197.56,198.94,196.48,198.29,198.29,280637,280637,0.73,0.36951,197.8175,"December 24, 25",0.0036951,,,,,
2025-12-23,199.28,200.29,195.96,197.03,197.03,856800,856800,-2.25,-1.13,198.14,"December 23, 25",-0.0113,,,,,
2025-12-22,198.71,200.45,197.29,199.58,199.58,691962,691962,0.87,0.43782,199.0075,"December 22, 25",0.0043782,,,,,
2025-12-19,195.49,198.77,194.02,197.68,197.68,2096600,2096600,2.19,1.12,196.49,"December 19, 25",0.0112,,,,,
2025-12-18,195.85,198.37,193.2,196.42,196.42,1198500,1198500,0.57,0.29104,195.96,"December 18, 25",0.0029104,,,,,
2025-12-17,195.83,197.28,193.78,194.1,194.1,954328,954328,-1.73,-0.88342,195.2475,"December 17, 25",-0.0088342,,,,,
2025-12-16,199.17,199.55,195.71,196.76,196.76,947800,947800,-2.41,-1.21,197.7975,"December 16, 25",-0.0121,,,,,
2025-12-15,198.82,200,196.02,197.6,197.6,1143555,1143555,-1.22,-0.61362,198.11,"December 15, 25",-0.0061362,,,,,
2025-12-12,200.39,201.74,196.54,198.68,198.68,1211600,1211600,-1.71,-0.85334,199.3375,"December 12, 25",-0.0085334,,,,,
2025-12-11,200.21,204.43,199.18,199.55,199.55,1803211,1803211,-0.66,-0.32965,200.8425,"December 11, 25",-0.0032965,,,,,
2025-12-10,189.5,199.46,189.5,198.13,198.13,1614947,1614947,8.63,4.55,194.1475,"December 10, 25",0.0455,,,,,
2025-12-09,189.85,190.87,188.63,189.77,189.77,1128100,1128100,-0.08,-0.04213853,189.78,"December 09, 25",-0.0004213853,,,,,
2025-12-08,190.21,191.88,189.16,189.89,189.89,1398517,1398517,-0.32,-0.16824,190.285,"December 08, 25",-0.0016824,,,,,
2025-12-05,187.24,189.12,186.15,188.41,188.41,813343,813343,1.17,0.62487,187.73,"December 05, 25",0.0062487,,,,,
2025-12-04,187.73,190.95,186.41,187.54,187.54,1596100,1596100,-0.195,-0.10121,188.1575,"December 04, 25",-0.0010121,,,,,
2025-12-03,185.83,190.8,185.58,187.92,187.92,1936400,1936400,2.09,1.12,187.5325,"December 03, 25",0.0112,,,,,
2025-12-02,179.73,186.56,178.35,185.73,185.73,2614800,2614800,6,3.34,182.5925,"December 02, 25",0.0334,,,,,
2025-12-01,173.5,180.71,172.79,179.73,179.73,1739854,1739854,6.23,3.59,176.6825,"December 01, 25",0.0359,,,,,
2025-11-28,174.01,175.18,173,173.96,173.96,339700,339700,-0.05,-0.02873398,174.0375,"November 28, 25",-0.0002873398,,,,,
2025-11-26,171.6,175.58,171.21,173.4,173.4,852100,852100,1.8,1.05,172.9475,"November 26, 25",0.0105,,,,,
2025-11-25,167.78,172.6,167.77,172.03,172.03,1103909,1103909,4.25,2.53,170.045,"November 25, 25",0.0253,,,,,
2025-11-24,165.67,167.53,165.26,166.65,166.65,1297838,1297838,0.98,0.59154,166.2775,"November 24, 25",0.0059154,,,,,
2025-11-21,159.61,168.47,159.34,166.43,166.43,1780400,1780400,6.82,4.27,163.4625,"November 21, 25",0.0427,,,,,
2025-11-20,161.5,162.38,158.15,158.92,158.92,1269900,1269900,-2.58,-1.6,160.2375,"November 20, 25",-0.016,,,,,
2025-11-19,161.47,163.26,159.77,159.92,159.92,918300,918300,-1.55,-0.95993,161.105,"November 19, 25",-0.0095993,,,,,
2025-11-18,159.68,162.86,157.82,162.03,162.03,1364736,1364736,2.35,1.47,160.5975,"November 18, 25",0.0147,,,,,
2025-11-17,162.76,163.31,159.01,160.3,160.3,1414400,1414400,-2.46,-1.51,161.345,"November 17, 25",-0.0151,,,,,
2025-11-14,165.46,166.6,162.27,162.81,162.81,1722249,1722249,-2.65,-1.6,164.285,"November 14, 25",-0.016,,,,,
2025-11-13,168.32,170.04,165.48,166.31,166.31,733400,733400,-2.01,-1.19,167.5375,"November 13, 25",-0.0119,,,,,
2025-11-12,168.57,170.46,167.98,169.26,169.26,831048,831048,0.69,0.40933,169.0675,"November 12, 25",0.0040933,,,,,
2025-11-11,168.25,169.53,165,168.03,168.03,1214507,1214507,-0.22,-0.13076,167.7025,"November 11, 25",-0.0013076,,,,,
2025-11-10,171.13,171.13,166.59,168.48,168.48,1134329,1134329,-2.65,-1.55,169.3325,"November 10, 25",-0.0155,,,,,
2025-11-07,168.22,171.88,168.05,170.96,170.96,947466,947466,2.74,1.63,169.7775,"November 07, 25",0.0163,0.44,2025-10-22,2025-11-21,0.44,2025-11-07
2025-11-06,169.32,170.15,166.47,169.03,168.59,1108900,1108900,-0.29,-0.17127,168.7425,"November 06, 25",-0.0017127,,,,,
2025-11-05,171.17,172.59,168.36,170.25,169.81,1099346,1099346,-0.92,-0.53748,170.5925,"November 05, 25",-0.0053748,,,,,
2025-11-04,169.76,173.97,168.99,172.64,172.19,2472327,2472327,2.88,1.7,171.34,"November 04, 25",0.017,,,,,
2025-11-03,168.86,170.49,166.35,169.75,169.31,1153513,1153513,0.89,0.52706,168.8625,"November 03, 25",0.0052706,,,,,
2025-10-31,164.9,169.13,163.71,168.86,168.42,1160816,1160816,3.96,2.4,166.65,"October 31, 25",0.024,,,,,
2025-10-30,168.21,168.98,166.21,166.64,166.21,1093500,1093500,-1.57,-0.93336,167.51,"October 30, 25",-0.0093336,,,,,
2025-10-29,166.34,171.52,166.34,168.88,168.44,1636700,1636700,2.54,1.53,168.27,"October 29, 25",0.0153,,,,,
