holder,shares,dateReported,change
DAVIS SELECTED ADVISERS,23953452,2025-09-30,132343
VANGUARD GROUP INC,23576877,2025-09-30,340629
"BlackRock, Inc.",14598211,2025-09-30,901068
AQR CAPITAL MANAGEMENT LLC,8446982,2025-09-30,5654757
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",7642060,2025-09-30,3429946
STATE STREET CORP,7486660,2025-09-30,-213368
Invesco Ltd.,5940465,2025-09-30,194114
Corvex Management LP,5385478,2025-09-30,-242000
"GEODE CAPITAL MANAGEMENT, LLC",5174839,2025-09-30,-14000
MORGAN STANLEY,4819249,2025-09-30,-190660
GOLDENTREE ASSET MANAGEMENT LP,4155183,2025-09-30,-1246909
Helikon Investments Ltd,3486261,2025-09-30,-5324061
BANK OF AMERICA CORP /DE/,3227409,2025-09-30,743766
LSV ASSET MANAGEMENT,2783800,2025-09-30,114400
UBS Group AG,2412794,2025-09-30,-422216
DIMENSIONAL FUND ADVISORS LP,2373440,2025-09-30,121359
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2107499,2025-09-30,-37388
NORTHERN TRUST CORP,2032618,2025-09-30,-6821
GOLDMAN SACHS GROUP INC,1867167,2025-09-30,-426787
WELLS FARGO & COMPANY/MN,1830082,2025-09-30,-34326
"SAMLYN CAPITAL, LLC",1811526,2025-09-30,1811526
"FULLER & THALER ASSET MANAGEMENT, INC.",1774303,2025-09-30,-3121
"BNP PARIBAS ARBITRAGE, SNC",1750330,2025-09-30,591067
SOUTHEASTERN ASSET MANAGEMENT INC/TN/,1748002,2025-09-30,-27102
ROYAL BANK OF CANADA,1614018,2025-09-30,-208089
JPMORGAN CHASE & CO,1565393,2025-09-30,294817
FMR LLC,1428389,2025-09-30,112177
BARCLAYS PLC,1283054,2025-09-30,507958
Bank of New York Mellon Corp,1228550,2025-09-30,12963
ArrowMark Colorado Holdings LLC,1189551,2025-09-30,-4800
GMT CAPITAL CORP,993900,2025-09-30,-239600
MILLENNIUM MANAGEMENT LLC,934741,2025-09-30,-1999446
Allianz Asset Management GmbH,849236,2025-09-30,402586
DEUTSCHE BANK AG\,821396,2025-09-30,-144492
RAYMOND JAMES FINANCIAL INC,799446,2025-09-30,907
Hosking Partners LLP,733577,2025-09-30,-13365
Artisan Partners Limited Partnership,682023,2025-09-30,-232017
"Brandywine Global Investment Management, LLC",675415,2025-09-30,-69691
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,664244,2025-09-30,-204440
"Nokomis Capital, L.L.C.",658037,2025-09-30,-39500
TODD ASSET MANAGEMENT LLC,649829,2025-09-30,-206258
Mudita Advisors LLP,628338,2025-09-30,324500
HSBC HOLDINGS PLC,513629,2025-09-30,154
ENVESTNET ASSET MANAGEMENT INC,510715,2025-09-30,120800
CITIGROUP INC,472119,2025-09-30,-1297137
"Connor, Clark & Lunn Investment Management Ltd.",467786,2025-09-30,223996
"GAMCO INVESTORS, INC. ET AL",466273,2025-09-30,-9022
"IEQ CAPITAL, LLC",446157,2025-09-30,345085
Legal & General Group Plc,431963,2025-09-30,-317130
UBS ASSET MANAGEMENT AMERICAS INC,431617,2025-09-30,-1198166
RHUMBLINE ADVISERS,408919,2025-09-30,-5636
"Nuveen, LLC",402337,2025-09-30,-66594
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,400649,2025-09-30,-9149
Amundi,398761,2025-09-30,-348533
Swiss National Bank,395700,2025-09-30,-9100
Neuberger Berman Group LLC,382283,2025-09-30,-7408
MACKENZIE FINANCIAL CORP,379483,2025-09-30,371967
Assenagon Asset Management S.A.,352298,2025-09-30,259400
"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",343171,2025-09-30,-2996
WORLDQUANT MILLENNIUM ADVISORS LLC,317123,2025-09-30,-1192199
"Russell Investments Group, Ltd.",305876,2025-09-30,76921
PRICE T ROWE ASSOCIATES INC /MD/,302566,2025-09-30,-24494
"Gotham Asset Management, LLC",297489,2025-09-30,126292
D.A. DAVIDSON & CO.,292747,2025-09-30,1840
CANADA PENSION PLAN INVESTMENT BOARD,285800,2025-09-30,282800
CAPITAL FUND MANAGEMENT S.A.,285095,2025-09-30,-86377
"CI Private Wealth, LLC",278282,2025-09-30,-250244
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",253264,2025-09-30,-62210
CITADEL ADVISORS LLC,252861,2025-09-30,-1320613
"Kovitz Investment Group Partners, LLC",246595,2025-09-30,-7628
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,242865,2025-09-30,-30750
LPL Financial LLC,241052,2025-09-30,9549
MYDA Advisors LLC,241000,2025-09-30,-9000
GABELLI FUNDS LLC,238500,2025-09-30,-30300
ALLIANCEBERNSTEIN L.P.,232536,2025-09-30,-12632
STIFEL FINANCIAL CORP,221501,2025-09-30,6332
PRINCIPAL FINANCIAL GROUP INC,219856,2025-09-30,-5608
Schonfeld Strategic Advisors LLC,218161,2025-09-30,203828
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",216318,2025-09-30,-88
"SRS Capital Advisors, Inc.",215942,2025-09-30,215730
WHITEBOX ADVISORS LLC,214161,2025-09-30,52831
Aquatic Capital Management LLC,214118,2025-09-30,-255528
Mizuho Markets Cayman LP,210525,2025-09-30,210525
Consolidated Investment Group LLC,206528,2025-09-30,0
"CWM, LLC",203725,2025-09-30,135896
Cerity Partners LLC,192155,2025-09-30,145416
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,190719,2025-09-30,-17080
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,188611,2025-09-30,-1791
"ADAGE CAPITAL PARTNERS GP, L.L.C.",185800,2025-09-30,-3600
AMERIPRISE FINANCIAL INC,184785,2025-09-30,-9697
"ACR Alpine Capital Research, LLC",180789,2025-09-30,5595
MAVERICK CAPITAL LTD,179065,2025-09-30,179065
STATE OF WISCONSIN INVESTMENT BOARD,169139,2025-09-30,10383
"D. E. Shaw & Co., Inc.",168833,2025-09-30,168833
GAM Holding AG,160000,2025-09-30,160000
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",154887,2025-09-30,-12507
Creative Planning,152910,2025-09-30,58095
BANK OF MONTREAL /CAN/,150874,2025-09-30,14704
"Engine Capital Management, LP",150000,2025-09-30,0
BALYASNY ASSET MANAGEMENT L.P.,149693,2025-09-30,-2334
Quantinno Capital Management LP,145337,2025-09-30,-6832
PRUDENTIAL FINANCIAL INC,139991,2025-09-30,11232
"LEVIN CAPITAL STRATEGIES, L.P.",135727,2025-09-30,-1089
NEW YORK STATE COMMON RETIREMENT FUND,134162,2025-09-30,-22399
Cetera Investment Advisers,133665,2025-09-30,6461
"HighTower Advisors, LLC",132770,2025-09-30,-1317
"Mariner, LLC",131896,2025-09-30,80716
"Beverly Hills Private Wealth, LLC",131727,2025-09-30,8321
ALGERT GLOBAL LLC,130290,2025-09-30,130290
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",129115,2025-09-30,67542
"COMMONWEALTH EQUITY SERVICES, LLC",128244,2025-09-30,-12357
