date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,dividend,adjDividend,paymentDate
2026-01-05,160.775,163.685,159.7,163.095,163.095,192184,192184,2.32,1.44301,162.16,"January 05, 26",0.0144301,,,,,
2026-01-02,159.23,161.57,158.63,160.91,160.91,394000,394000,1.68,1.06,160.085,"January 02, 26",0.0106,,,,,
2025-12-31,160.65,161.13,159.14,159.22,159.22,358800,358800,-1.43,-0.89013,160.035,"December 31, 25",-0.0089013,,,,,
2025-12-30,160.87,161.49,159.58,161.13,161.13,354200,354200,0.26,0.16162,160.7675,"December 30, 25",0.0016162,,,,,
2025-12-29,160.75,161.64,160.29,161.35,161.35,493208,493208,0.6,0.37325,161.0075,"December 29, 25",0.0037325,,,,,
2025-12-26,160.35,161.45,159.9,160.79,160.79,255000,255000,0.44,0.2744,160.6225,"December 26, 25",0.002744,,,,,
2025-12-24,160.98,161.85,160.68,160.85,160.85,252130,252130,-0.13,-0.08075537,161.09,"December 24, 25",-0.0008075537,,,,,
2025-12-23,160.94,161.8,160.07,160.62,160.62,424946,424946,-0.32,-0.19883,160.8575,"December 23, 25",-0.0019883,,,,,
2025-12-22,159.83,162.68,159.83,160.77,160.77,857014,857014,0.94,0.58812,160.7775,"December 22, 25",0.0058812,,,,,
2025-12-19,159.2,160.57,158.73,160,160,2752023,2752023,0.8,0.50251,159.625,"December 19, 25",0.0050251,,,,,
2025-12-18,162.05,164.56,159.31,159.92,159.92,976200,976200,-2.13,-1.31,161.46,"December 18, 25",-0.0131,,,,,
2025-12-17,158.56,161.82,158.2,160.71,160.71,993900,993900,2.15,1.36,159.8225,"December 17, 25",0.0136,,,,,
2025-12-16,161.59,162.64,158.09,159.67,159.67,777100,777100,-1.92,-1.19,160.4975,"December 16, 25",-0.0119,2025-12-16,2025-12-03,0.51,0.51,2025-12-31
2025-12-15,161.01,163.21,160.38,163.06,162.55,1068837,1068837,2.05,1.27,161.915,"December 15, 25",0.0127,,,,,
2025-12-12,164.92,165.01,159.85,160.83,160.33,741947,741947,-4.09,-2.48,162.6525,"December 12, 25",-0.0248,,,,,
2025-12-11,160.74,164.76,159.88,164.71,164.19,1009000,1009000,3.97,2.47,162.5225,"December 11, 25",0.0247,,,,,
2025-12-10,157.65,160.81,157.17,160.3,159.8,891000,891000,2.65,1.68,158.9825,"December 10, 25",0.0168,,,,,
