date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,dividend,adjDividend,paymentDate
2025-12-09,158.82,159.89,157.09,157.49,157,1013400,1013400,-1.33,-0.83743,158.3225,"December 09, 25",-0.0083743,,,,,
2025-12-08,158.81,159.51,157.16,158.86,158.36,1029600,1029600,0.05,0.03148416,158.585,"December 08, 25",0.0003148416,,,,,
2025-12-05,161.81,163.1,158.82,159.08,158.58,1160511,1160511,-2.73,-1.69,160.7025,"December 05, 25",-0.0169,,,,,
2025-12-04,164.11,164.92,160.71,160.85,160.35,1073100,1073100,-3.26,-1.99,162.6475,"December 04, 25",-0.0199,,,,,
2025-12-03,164.73,165.98,163.96,164.03,163.52,553403,553403,-0.7,-0.42494,164.675,"December 03, 25",-0.0042494,,,,,
2025-12-02,166.12,166.25,163.26,164.16,163.65,754300,754300,-1.96,-1.18,164.9475,"December 02, 25",-0.0118,,,,,
2025-12-01,164.13,167.01,163.31,165.17,164.65,652800,652800,1.04,0.63364,164.905,"December 01, 25",0.0063364,,,,,
2025-11-28,166.52,166.72,165.46,166.03,165.51,267933,267933,-0.49,-0.29426,166.1825,"November 28, 25",-0.0029426,,,,,
2025-11-26,165.73,167.26,165.21,165.67,165.15,677727,677727,-0.06,-0.03620346,165.9675,"November 26, 25",-0.0003620346,,,,,
2025-11-25,163.63,166.44,162.66,166.09,165.57,699835,699835,2.46,1.5,164.705,"November 25, 25",0.015,,,,,
2025-11-24,162.5,163.46,161.03,162.29,161.78,1524300,1524300,-0.21,-0.12923,162.32,"November 24, 25",-0.0012923,,,,,
2025-11-21,159.83,164.52,159.08,162.87,162.36,1145900,1145900,3.04,1.9,161.575,"November 21, 25",0.019,,,,,
2025-11-20,162.03,163.58,158.74,159.45,158.95,923324,923324,-2.58,-1.59,160.95,"November 20, 25",-0.0159,,,,,
2025-11-19,161.24,161.84,160.31,160.68,160.18,586321,586321,-0.56,-0.34731,161.0175,"November 19, 25",-0.0034731,,,,,
2025-11-18,159.95,161.44,158.73,161.07,160.57,1043516,1043516,1.12,0.70022,160.2975,"November 18, 25",0.0070022,,,,,
2025-11-17,161.58,161.58,159.38,159.97,159.47,752647,752647,-1.61,-0.99641,160.6275,"November 17, 25",-0.0099641,,,,,
2025-11-14,163.33,164.14,160.47,161.25,160.75,888602,888602,-2.08,-1.27,162.2975,"November 14, 25",-0.0127,,,,,
2025-11-13,168.37,169.45,163.95,164.52,164.01,757315,757315,-3.85,-2.29,166.5725,"November 13, 25",-0.0229,,,,,
2025-11-12,168.17,169.42,167.07,168.38,167.85,743219,743219,0.21,0.12487,168.26,"November 12, 25",0.0012487,,,,,
2025-11-11,166.81,168.05,166.23,167.55,167.03,387847,387847,0.74,0.44362,167.16,"November 11, 25",0.0044362,,,,,
2025-11-10,166.9,167.85,165.03,166.88,166.36,547900,547900,-0.02,-0.01198322,166.665,"November 10, 25",-0.0001198322,,,,,
2025-11-07,165.18,167.63,164.69,167.35,166.83,613549,613549,2.17,1.31,166.2125,"November 07, 25",0.0131,,,,,
2025-11-06,165.73,166.73,164.94,165.07,164.55,655516,655516,-0.66,-0.39824,165.6175,"November 06, 25",-0.0039824,,,,,
2025-11-05,165.18,166.91,163.95,165.81,165.29,578640,578640,0.63,0.3814,165.4625,"November 05, 25",0.003814,,,,,
2025-11-04,164.39,165.62,163.35,165.55,165.03,797442,797442,1.16,0.70564,164.7275,"November 04, 25",0.0070564,,,,,
2025-11-03,165.4,165.4,163.52,164.68,164.16,679850,679850,-0.72,-0.43531,164.75,"November 03, 25",-0.0043531,,,,,
2025-10-31,165,166.27,164.83,165.77,165.25,830611,830611,0.77,0.46667,165.4675,"October 31, 25",0.0046667,,,,,
2025-10-30,165.38,167.66,164.27,165.29,164.77,636443,636443,-0.09,-0.05442012,165.65,"October 30, 25",-0.0005442012,,,,,
2025-10-29,168.92,169.17,164.2,165.59,165.07,1146734,1146734,-3.33,-1.97,166.97,"October 29, 25",-0.0197,,,,,
2025-10-28,170.96,171.47,168.83,169.08,168.55,778400,778400,-1.88,-1.1,170.085,"October 28, 25",-0.011,,,,,
2025-10-27,168.2,171.79,167.43,170.94,170.4,1057800,1057800,2.74,1.63,169.59,"October 27, 25",0.0163,,,,,
2025-10-24,173.73,173.73,166.63,167.3,166.78,1078240,1078240,-6.43,-3.7,170.3475,"October 24, 25",-0.037,,,,,
2025-10-23,171.7,173.38,166.16,171.22,170.68,1454700,1454700,-0.475,-0.27956,170.615,"October 23, 25",-0.0027956,,,,,
2025-10-22,179.1,179.75,175.45,175.5,174.95,966700,966700,-3.6,-2.01,177.45,"October 22, 25",-0.0201,,,,,
2025-10-21,177.75,180.68,177.4,179.47,178.91,797939,797939,1.72,0.96765,178.825,"October 21, 25",0.0096765,,,,,
2025-10-20,178.18,178.45,173.97,177.97,177.41,591810,591810,-0.21,-0.11786,177.1425,"October 20, 25",-0.0011786,,,,,
2025-10-17,176.75,178.5,176.58,177.49,176.93,568800,568800,0.74,0.41867,177.33,"October 17, 25",0.0041867,,,,,
2025-10-16,177.28,178.15,175.91,177.5,176.94,919539,919539,0.22,0.1241,177.21,"October 16, 25",0.001241,,,,,
2025-10-15,175.85,177.71,175.21,177.28,176.73,581200,581200,1.43,0.81319,176.5125,"October 15, 25",0.0081319,,,,,
2025-10-14,172.08,176.7,172.05,175.6,175.05,1068805,1068805,3.52,2.05,174.1075,"October 14, 25",0.0205,,,,,
2025-10-13,173.99,175.69,173.69,173.69,173.15,812843,812843,-0.3,-0.17242,174.265,"October 13, 25",-0.0017242,,,,,
2025-10-10,175.97,176.77,172.97,173.29,172.75,985000,985000,-2.68,-1.52,174.75,"October 10, 25",-0.0152,,,,,
2025-10-09,178.01,178.22,174.62,175.45,174.9,714423,714423,-2.56,-1.44,176.575,"October 09, 25",-0.0144,,,,,
2025-10-08,177.42,178.61,176.49,178.27,177.71,505735,505735,0.85,0.47909,177.6975,"October 08, 25",0.0047909,,,,,
2025-10-07,177.8,178.02,176.5,177.03,176.48,808222,808222,-0.77,-0.43307,177.3375,"October 07, 25",-0.0043307,,,,,
2025-10-06,177.53,178.23,176.72,177.36,176.8,451380,451380,-0.17,-0.09575846,177.46,"October 06, 25",-0.0009575846,,,,,
2025-10-03,177.8,179.56,177.21,177.29,176.74,689400,689400,-0.51,-0.28684,177.965,"October 03, 25",-0.0028684,,,,,
2025-10-02,176.32,177.75,175.9,177.74,177.18,885545,885545,1.42,0.80535,176.9275,"October 02, 25",0.0080535,,,,,
2025-10-01,176.83,177.91,175.26,176.73,176.18,843300,843300,-0.1,-0.05655149,176.6825,"October 01, 25",-0.0005655149,,,,,
2025-09-30,175.67,177.91,175.46,177.35,176.79,929327,929327,1.68,0.95634,176.5975,"September 30, 25",0.0095634,,,,,
2025-09-29,176.41,178.01,174.45,175.04,174.49,553346,553346,-1.37,-0.7766,175.9775,"September 29, 25",-0.007766,,,,,
2025-09-26,173.56,175.4,173.5,175.01,174.46,617400,617400,1.45,0.83545,174.3675,"September 26, 25",0.0083545,,,,,
2025-09-25,174.2,174.84,172.67,172.97,172.43,928189,928189,-1.23,-0.70608,173.67,"September 25, 25",-0.0070608,,,,,
2025-09-24,176.27,177.78,174.95,175.34,174.79,601864,601864,-0.93,-0.5276,176.085,"September 24, 25",-0.005276,,,,,
2025-09-23,178.11,179.71,176.09,177.44,176.88,592032,592032,-0.67,-0.37617,177.8375,"September 23, 25",-0.0037617,,,,,
2025-09-22,177.93,179.27,177.35,177.81,177.25,783300,783300,-0.12,-0.06744225,178.09,"September 22, 25",-0.0006744225,,,,,
2025-09-19,178.81,180.34,177.42,179.33,178.77,3246000,3246000,0.52,0.29081,178.975,"September 19, 25",0.0029081,,,,,
2025-09-18,176.45,179.92,175.7,178.78,178.22,1241528,1241528,2.33,1.32,177.7125,"September 18, 25",0.0132,,,,,
2025-09-17,177.88,179.6,175.62,176.61,176.06,967426,967426,-1.27,-0.71396,177.4275,"September 17, 25",-0.0071396,,,,,
2025-09-16,176.09,177.68,175.43,177.04,176.49,905453,905453,0.95,0.5395,176.56,"September 16, 25",0.005395,,,,,
2025-09-15,175.07,177.63,174.4,176.2,175.65,865300,865300,1.13,0.64546,175.825,"September 15, 25",0.0064546,2025-09-15,2025-09-04,0.51,0.51,2025-09-30
2025-09-12,176.29,177.7,174.46,175.02,173.96,1100200,1100200,-1.27,-0.7204,175.8675,"September 12, 25",-0.007204,,,,,
2025-09-11,171.77,177.75,170.49,177.18,176.11,1364734,1364734,5.41,3.15,174.2975,"September 11, 25",0.0315,,,,,
2025-09-10,170.08,171.65,169.61,170.43,169.4,545552,545552,0.35,0.20579,170.4425,"September 10, 25",0.0020579,,,,,
2025-09-09,172.15,173.09,168.51,169.97,168.94,556609,556609,-2.18,-1.27,170.93,"September 09, 25",-0.0127,,,,,
2025-09-08,171.53,173.25,170.7,173.1,172.05,578200,578200,1.57,0.91529,172.145,"September 08, 25",0.0091529,,,,,
2025-09-05,171.36,173.25,170.82,171.86,170.82,596800,596800,0.5,0.29178,171.8225,"September 05, 25",0.0029178,,,,,
2025-09-04,168.18,170.82,167.82,170.75,169.72,660436,660436,2.57,1.53,169.3925,"September 04, 25",0.0153,,,,,
2025-09-03,167.99,168.47,166.84,167.69,166.67,635942,635942,-0.3,-0.17858,167.7475,"September 03, 25",-0.0017858,,,,,
2025-09-02,167.25,168.47,166.91,167.99,166.97,810022,810022,0.74,0.44245,167.655,"September 02, 25",0.0044245,,,,,
2025-08-29,170.84,171.89,169.01,169.8,168.77,952300,952300,-1.04,-0.60876,170.385,"August 29, 25",-0.0060876,,,,,
2025-08-28,172.47,172.95,170.56,170.97,169.93,848319,848319,-1.5,-0.86972,171.7375,"August 28, 25",-0.0086972,,,,,
2025-08-27,171.43,172.45,171.05,172,170.96,552886,552886,0.57,0.3325,171.7325,"August 27, 25",0.003325,,,,,
2025-08-26,169.97,172.12,169.35,171.53,170.49,1278942,1278942,1.56,0.91781,170.7425,"August 26, 25",0.0091781,,,,,
2025-08-25,171.67,171.91,169.8,169.82,168.79,626900,626900,-1.85,-1.08,170.8,"August 25, 25",-0.0108,,,,,
2025-08-22,167.82,172.67,167.13,172.24,171.2,754458,754458,4.42,2.63,169.965,"August 22, 25",0.0263,,,,,
2025-08-21,167.62,168.07,166.7,167.21,166.2,483300,483300,-0.41,-0.2446,167.4,"August 21, 25",-0.002446,,,,,
2025-08-20,169.22,170.51,168.01,168.52,167.5,671307,671307,-0.7,-0.41366,169.065,"August 20, 25",-0.0041366,,,,,
2025-08-19,167.32,170.29,167.32,169.86,168.83,844080,844080,2.54,1.52,168.6975,"August 19, 25",0.0152,,,,,
2025-08-18,167.51,168.15,166.86,167.2,166.19,563324,563324,-0.31,-0.18506,167.43,"August 18, 25",-0.0018506,,,,,
2025-08-15,169.27,169.48,166.92,167.17,166.16,549900,549900,-2.1,-1.24,168.21,"August 15, 25",-0.0124,,,,,
2025-08-14,168.58,169.43,167.3,168.55,167.53,959088,959088,-0.03,-0.01779571,168.465,"August 14, 25",-0.0001779571,,,,,
2025-08-13,167.03,170.11,166.23,169.62,168.59,988418,988418,2.59,1.55,168.2475,"August 13, 25",0.0155,,,,,
2025-08-12,164.86,166.74,163.46,166.43,165.42,749800,749800,1.57,0.95232,165.3725,"August 12, 25",0.0095232,,,,,
2025-08-11,163.36,164.56,163.06,164.45,163.45,793519,793519,1.09,0.66724,163.8575,"August 11, 25",0.0066724,,,,,
2025-08-08,164.32,164.94,163.37,163.72,162.73,576600,576600,-0.6,-0.36514,164.0875,"August 08, 25",-0.0036514,,,,,
2025-08-07,165.35,165.6,163.07,163.74,162.75,953900,953900,-1.61,-0.97369,164.44,"August 07, 25",-0.0097369,,,,,
2025-08-06,165.91,165.91,163.72,164.49,163.49,863900,863900,-1.42,-0.85589,165.0075,"August 06, 25",-0.0085589,,,,,
2025-08-05,166.96,167.21,164.4,165.4,164.4,1162000,1162000,-1.56,-0.93436,165.9925,"August 05, 25",-0.0093436,,,,,
2025-08-04,165.07,167.24,164,166.73,165.72,878347,878347,1.66,1.01,165.76,"August 04, 25",0.0101,,,,,
2025-08-01,165.11,165.78,163.41,165.13,164.13,1366400,1366400,0.02,0.01211314,164.8575,"August 01, 25",0.0001211314,,,,,
2025-07-31,164.02,166.37,163.91,165.92,164.91,1322700,1322700,1.9,1.16,165.055,"July 31, 25",0.0116,,,,,
2025-07-30,163.47,165.69,163.22,164.82,163.82,1191030,1191030,1.35,0.82584,164.3,"July 30, 25",0.0082584,,,,,
2025-07-29,165.32,165.65,163.3,164.11,163.12,1109434,1109434,-1.21,-0.73191,164.595,"July 29, 25",-0.0073191,,,,,
2025-07-28,165.02,165.64,163,163.67,162.68,1066113,1066113,-1.35,-0.81808,164.3325,"July 28, 25",-0.0081808,,,,,
2025-07-25,164.04,166.22,161.72,165.39,164.39,1446818,1446818,1.35,0.82297,164.3425,"July 25, 25",0.0082297,,,,,
2025-07-24,157.87,164.06,156,163.67,162.68,1895612,1895612,5.8,3.67,160.4,"July 24, 25",0.0367,,,,,
2025-07-23,152.68,154.57,152.68,154.36,153.42,1665600,1665600,1.68,1.1,153.5725,"July 23, 25",0.011,,,,,
2025-07-22,149.68,153.16,149.68,152.71,151.78,1114400,1114400,3.03,2.02,151.3075,"July 22, 25",0.0202,,,,,
2025-07-21,153.22,153.57,149.57,149.61,148.7,1106228,1106228,-3.61,-2.36,151.4925,"July 21, 25",-0.0236,,,,,
2025-07-18,154.16,154.39,152.26,152.82,151.89,934541,934541,-1.34,-0.86923,153.4075,"July 18, 25",-0.0086923,,,,,
2025-07-17,148.05,153.77,147.9,153.53,152.6,1394808,1394808,5.48,3.7,150.8125,"July 17, 25",0.037,,,,,
2025-07-16,145.46,146.16,143.6,146.07,145.18,1075700,1075700,0.61,0.41936,145.3225,"July 16, 25",0.0041936,,,,,
2025-07-15,148.94,149.67,145.33,145.55,144.67,950551,950551,-3.39,-2.28,147.3725,"July 15, 25",-0.0228,,,,,
2025-07-14,148.32,149.34,147.44,148.31,147.41,725300,725300,-0.01,-0.00674218,148.3525,"July 14, 25",-6.74218e-05,,,,,
2025-07-11,149.77,149.99,147.84,148.81,147.91,876106,876106,-0.96,-0.64098,149.1025,"July 11, 25",-0.0064098,,,,,
2025-07-10,150.3,153.16,149.79,151.53,150.61,867442,867442,1.23,0.81836,151.195,"July 10, 25",0.0081836,,,,,
2025-07-09,149.73,150.35,148.19,150.06,149.15,711000,711000,0.33,0.2204,149.5825,"July 09, 25",0.002204,,,,,
2025-07-08,148.4,150.05,147.68,148.54,147.64,960800,960800,0.14,0.09433962,148.6675,"July 08, 25",0.0009433962,,,,,
2025-07-07,148.37,149.65,147.02,148.15,147.25,697303,697303,-0.22,-0.14828,148.2975,"July 07, 25",-0.0014828,,,,,
2025-07-03,148.34,148.51,147.19,148.11,147.21,411800,411800,-0.23,-0.15505,148.0375,"July 03, 25",-0.0015505,,,,,
2025-07-02,147.52,148.69,146.55,147.95,147.05,765147,765147,0.43,0.29149,147.6775,"July 02, 25",0.0029149,,,,,
2025-07-01,143.62,148.74,143.31,147.65,146.76,832500,832500,4.03,2.81,145.83,"July 01, 25",0.0281,,,,,
2025-06-30,144.05,144.25,142.64,144.12,143.25,597300,597300,0.07,0.04859424,143.765,"June 30, 25",0.0004859424,,,,,
2025-06-27,143.64,144.72,143.09,143.89,143.02,699900,699900,0.25,0.17405,143.835,"June 27, 25",0.0017405,,,,,
2025-06-26,142.57,143.64,142.49,143.39,142.52,628600,628600,0.82,0.57516,143.0225,"June 26, 25",0.0057516,,,,,
2025-06-25,143.54,144.31,141.93,142.82,141.95,793500,793500,-0.72,-0.5016,143.15,"June 25, 25",-0.005016,,,,,
2025-06-24,144.12,144.12,142.07,143.61,142.74,902501,902501,-0.51,-0.35387,143.48,"June 24, 25",-0.0035387,,,,,
2025-06-23,137.72,142.61,137.32,142.45,141.59,1397617,1397617,4.73,3.43,140.025,"June 23, 25",0.0343,,,,,
2025-06-20,137.81,138.86,136.54,137.63,136.8,2000400,2000400,-0.18,-0.13061,137.71,"June 20, 25",-0.0013061,,,,,
2025-06-18,136.44,138,135.96,136.8,135.97,942840,942840,0.36,0.26385,136.8,"June 18, 25",0.0026385,,,,,
2025-06-17,135.1,136.54,134.68,136.24,135.41,1199400,1199400,1.14,0.84382,135.64,"June 17, 25",0.0084382,,,,,
2025-06-16,136.41,136.53,135.17,136.1,135.28,608838,608838,-0.31,-0.22726,136.0525,"June 16, 25",-0.0022726,,,,,
2025-06-13,136.68,138.29,134.67,135.3,134.48,556600,556600,-1.38,-1.01,136.235,"June 13, 25",-0.0101,2025-06-13,2025-04-10,0.51,0.51,2025-06-30
2025-06-12,137.36,138.92,136.63,138.67,137.32,649320,649320,1.31,0.9537,137.895,"June 12, 25",0.009537,,,,,
2025-06-11,139.91,139.91,137.48,137.94,136.6,643845,643845,-1.97,-1.41,138.81,"June 11, 25",-0.0141,,,,,
2025-06-10,139.17,140.05,138.96,139.67,138.31,643513,643513,0.5,0.35927,139.4625,"June 10, 25",0.0035927,,,,,
2025-06-09,139.65,140.46,138.23,139.6,138.24,659447,659447,-0.05,-0.0358038,139.485,"June 09, 25",-0.000358038,,,,,
2025-06-06,139.18,139.94,138.74,139.15,137.79,737728,737728,-0.03,-0.02155482,139.2525,"June 06, 25",-0.0002155482,,,,,
2025-06-05,138.44,138.87,137.64,138.23,136.88,766200,766200,-0.21,-0.15169,138.295,"June 05, 25",-0.0015169,,,,,
2025-06-04,139.28,139.9,137.86,138.11,136.76,949700,949700,-1.17,-0.84003,138.7875,"June 04, 25",-0.0084003,,,,,
2025-06-03,139.27,139.87,137.36,139.1,137.75,1492800,1492800,-0.17,-0.12207,138.9,"June 03, 25",-0.0012207,,,,,
2025-06-02,141.77,143.06,138.78,139.41,138.05,1146525,1146525,-2.36,-1.66,140.755,"June 02, 25",-0.0166,,,,,
2025-05-30,142.8,143.08,141.63,142.7,141.31,1088334,1088334,-0.1,-0.07002801,142.5525,"May 30, 25",-0.0007002801,,,,,
2025-05-29,143.49,144.01,142.1,143.35,141.95,875341,875341,-0.14,-0.09756777,143.2375,"May 29, 25",-0.0009756777,,,,,
2025-05-28,144.2,144.8,142.49,143.1,141.71,1152949,1152949,-1.1,-0.76283,143.6475,"May 28, 25",-0.0076283,,,,,
2025-05-27,142.49,144.71,141.02,144.53,143.12,1178623,1178623,2.04,1.43,143.1875,"May 27, 25",0.0143,,,,,
2025-05-23,140.53,141.69,140.16,141.31,139.93,617200,617200,0.78,0.55504,140.9225,"May 23, 25",0.0055504,,,,,
2025-05-22,141.41,142.3,140.38,141.63,140.25,861500,861500,0.22,0.15558,141.43,"May 22, 25",0.0015558,,,,,
2025-05-21,142.48,143.74,141.84,141.96,140.58,1054616,1054616,-0.52,-0.36496,142.505,"May 21, 25",-0.0036496,,,,,
2025-05-20,144.3,144.7,143.22,143.68,142.28,706800,706800,-0.62,-0.42966,143.975,"May 20, 25",-0.0042966,,,,,
2025-05-19,144.15,145.07,143.43,144.49,143.08,695600,695600,0.34,0.23587,144.285,"May 19, 25",0.0023587,,,,,
2025-05-16,143.09,145.75,142.35,145.64,144.22,764300,764300,2.55,1.78,144.2075,"May 16, 25",0.0178,,,,,
2025-05-15,141.52,143.03,140.9,142.91,141.52,677400,677400,1.39,0.98219,142.09,"May 15, 25",0.0098219,,,,,
2025-05-14,142.22,143.02,140.53,141.08,139.71,925000,925000,-1.14,-0.80158,141.7125,"May 14, 25",-0.0080158,,,,,
2025-05-13,144.06,144.82,142.78,142.85,141.46,916400,916400,-1.21,-0.83993,143.6275,"May 13, 25",-0.0083993,,,,,
2025-05-12,145,145.94,142.65,143.8,142.4,1109406,1109406,-1.2,-0.82759,144.3475,"May 12, 25",-0.0082759,,,,,
2025-05-09,142.14,142.2,141.16,141.85,140.47,593225,593225,-0.29,-0.20402,141.8375,"May 09, 25",-0.0020402,,,,,
2025-05-08,141.5,142.53,140.81,140.91,139.54,882846,882846,-0.59,-0.41696,141.4375,"May 08, 25",-0.0041696,,,,,
2025-05-07,139.81,141.13,139.11,140.23,138.86,898929,898929,0.42,0.30041,140.07,"May 07, 25",0.0030041,,,,,
2025-05-06,139.66,141.37,139.25,139.9,138.54,908651,908651,0.24,0.17185,140.045,"May 06, 25",0.0017185,,,,,
2025-05-05,140.5,141.87,140.36,140.89,139.52,664610,664610,0.39,0.27758,140.905,"May 05, 25",0.0027758,,,,,
2025-05-02,140.46,141.55,140.23,140.93,139.56,819700,819700,0.47,0.33461,140.7925,"May 02, 25",0.0033461,,,,,
2025-05-01,139.37,140.27,138.59,138.69,137.34,631500,631500,-0.68,-0.48791,139.23,"May 01, 25",-0.0048791,,,,,
2025-04-30,138.54,139.54,136.19,139.2,137.84,842700,842700,0.66,0.4764,138.3675,"April 30, 25",0.004764,,,,,
2025-04-29,137,138.75,136.66,138.2,136.85,968122,968122,1.2,0.87591,137.6525,"April 29, 25",0.0087591,,,,,
2025-04-28,137.06,138.69,136.62,137.26,135.92,918600,918600,0.2,0.14592,137.4075,"April 28, 25",0.0014592,,,,,
2025-04-25,138.13,138.49,136.15,136.49,135.16,1052900,1052900,-1.64,-1.19,137.315,"April 25, 25",-0.0119,,,,,
2025-04-24,139.61,142,134.19,139.51,138.15,2617900,2617900,-0.1,-0.07162811,138.8275,"April 24, 25",-0.0007162811,,,,,
2025-04-23,128.05,130.84,126.16,126.46,125.23,1466600,1466600,-1.59,-1.24,127.8775,"April 23, 25",-0.0124,,,,,
2025-04-22,124.17,127.05,124.17,126.82,125.58,890836,890836,2.65,2.13,125.5525,"April 22, 25",0.0213,,,,,
2025-04-21,124.65,125.28,122.14,123.27,122.07,992400,992400,-1.38,-1.11,123.835,"April 21, 25",-0.0111,,,,,
2025-04-17,125.52,127.27,125.52,126.35,125.12,798400,798400,0.83,0.66125,126.165,"April 17, 25",0.0066125,,,,,
2025-04-16,126.47,127.22,124.36,125.13,123.91,708100,708100,-1.34,-1.06,125.795,"April 16, 25",-0.0106,,,,,
2025-04-15,126.39,127.99,125.92,126.9,125.66,753400,753400,0.51,0.40351,126.8,"April 15, 25",0.0040351,,,,,
2025-04-14,126.19,126.99,124.84,126.29,125.06,758018,758018,0.1,0.07924558,126.0775,"April 14, 25",0.0007924558,,,,,
2025-04-11,121.91,125.77,120.36,125.15,123.93,1115100,1115100,3.24,2.66,123.2975,"April 11, 25",0.0266,,,,,
2025-04-10,123.24,123.24,118.16,122.08,120.89,1494237,1494237,-1.16,-0.94125,121.68,"April 10, 25",-0.0094125,,,,,
2025-04-09,117.43,126.38,116.65,124.65,123.44,1348900,1348900,7.22,6.15,121.2775,"April 09, 25",0.0615,,,,,
2025-04-08,123.03,123.7,116.57,118.52,117.37,1543200,1543200,-4.51,-3.67,120.455,"April 08, 25",-0.0367,,,,,
2025-04-07,121.47,125.06,118.85,120.78,119.6,1604000,1604000,-0.69,-0.56804,121.54,"April 07, 25",-0.0056804,,,,,
2025-04-04,123.44,127.89,122.82,123.64,122.44,2382800,2382800,0.2,0.16202,124.4475,"April 04, 25",0.0016202,,,,,
2025-04-03,129.52,130.81,125.65,127.21,125.97,1646473,1646473,-2.31,-1.78,128.2975,"April 03, 25",-0.0178,,,,,
2025-04-02,129.63,133.13,129.48,132.15,130.86,909971,909971,2.52,1.94,131.0975,"April 02, 25",0.0194,,,,,
2025-04-01,130.09,131.69,129.2,131,129.72,1074700,1074700,0.91,0.69952,130.495,"April 01, 25",0.0069952,,,,,
2025-03-31,127.7,131.52,126.82,130.46,129.19,1384800,1384800,2.76,2.16,129.125,"March 31, 25",0.0216,,,,,
2025-03-28,130.42,131.05,128.01,128.29,127.04,1190417,1190417,-2.13,-1.63,129.4425,"March 28, 25",-0.0163,,,,,
2025-03-27,130.45,131.64,129.32,130.19,128.92,825324,825324,-0.26,-0.19931,130.4,"March 27, 25",-0.0019931,,,,,
2025-03-26,129.17,130.62,129.17,130.38,129.11,978143,978143,1.21,0.93675,129.835,"March 26, 25",0.0093675,,,,,
2025-03-25,130.53,131.72,128.57,129.59,128.33,1063309,1063309,-0.94,-0.72014,130.1025,"March 25, 25",-0.0072014,,,,,
2025-03-24,128.45,130.84,128.26,130.59,129.32,1057200,1057200,2.14,1.67,129.535,"March 24, 25",0.0167,,,,,
2025-03-21,126.25,127.47,125.63,127.06,125.82,2503029,2503029,0.81,0.64158,126.6025,"March 21, 25",0.0064158,,,,,
2025-03-20,127.51,129.15,126.97,127.72,126.48,996700,996700,0.21,0.16469,127.8375,"March 20, 25",0.0016469,,,,,
2025-03-19,127.5,129.25,126.63,128.65,127.4,1255000,1255000,1.15,0.90196,128.0075,"March 19, 25",0.0090196,,,,,
2025-03-18,127.14,128.57,127.05,127.98,126.73,1027824,1027824,0.84,0.66069,127.685,"March 18, 25",0.0066069,,,,,
2025-03-17,126.58,128.35,126.43,127.37,126.13,982200,982200,0.79,0.62411,127.1825,"March 17, 25",0.0062411,,,,,
2025-03-14,125.75,126.91,124.99,126.66,125.43,1084900,1084900,0.91,0.72366,126.0775,"March 14, 25",0.0072366,2025-03-14,2025-02-06,0.51,0.51,2025-03-31
2025-03-13,123.71,126.57,123.71,124.99,123.27,1069400,1069400,1.28,1.03,124.745,"March 13, 25",0.0103,,,,,
