holder,shares,dateReported,change
DODGE & COX,11807549,2025-09-30,681063
VANGUARD GROUP INC,9362352,2025-09-30,1130648
Capital International Investors,9137281,2025-09-30,-591012
STATE STREET CORP,7961695,2025-09-30,1475383
"BlackRock, Inc.",7045782,2025-09-30,-827936
HARRIS ASSOCIATES L P,3494551,2025-09-30,-177816
TAM Capital Management Inc.,3103456,2025-09-30,3103456
FRANKLIN RESOURCES INC,3006805,2025-09-30,-97099
"GEODE CAPITAL MANAGEMENT, LLC",2512821,2025-09-30,-82346
Invesco Ltd.,2407731,2025-09-30,559361
JPMORGAN CHASE & CO,2288208,2025-09-30,42499
DIMENSIONAL FUND ADVISORS LP,1899330,2025-09-30,473546
UBS Group AG,1615283,2025-09-30,670566
Veritas Asset Management LLP,1544527,2025-09-30,-45895
MORGAN STANLEY,1477593,2025-09-30,120941
"First Eagle Investment Management, LLC",1352359,2025-09-30,597933
AQR CAPITAL MANAGEMENT LLC,1244034,2025-09-30,1109703
Capital Research Global Investors,1189287,2025-09-30,1189287
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1093356,2025-09-30,-482462
BERKSHIRE HATHAWAY INC,1060882,2025-09-30,0
NORTHERN TRUST CORP,904868,2025-09-30,-73157
FMR LLC,864082,2025-09-30,-605223
Allianz Asset Management GmbH,842290,2025-09-30,97019
ROYAL BANK OF CANADA,827069,2025-09-30,-130073
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,789125,2025-09-30,-78775
GOLDMAN SACHS GROUP INC,752245,2025-09-30,-32353
BARCLAYS PLC,669350,2025-09-30,-733211
"First Pacific Advisors, LP",646100,2025-09-30,19592
Cryder Capital Partners LLP,644678,2025-09-30,77404
BANK OF AMERICA CORP /DE/,612366,2025-09-30,-411068
UBS ASSET MANAGEMENT AMERICAS INC,593357,2025-09-30,-128778
Bank of New York Mellon Corp,570213,2025-09-30,-31356
Rothschild & Co Wealth Management UK Ltd,558319,2025-09-30,4566
Legal & General Group Plc,535639,2025-09-30,15969
PRICE T ROWE ASSOCIATES INC /MD/,508684,2025-09-30,-971122
Contour Asset Management LLC,484839,2025-09-30,484839
Capital World Investors,454091,2025-09-30,-698789
DEUTSCHE BANK AG\,441851,2025-09-30,101317
PZENA INVESTMENT MANAGEMENT LLC,405081,2025-09-30,-2244951
"Ruane, Cunniff & Goldfarb L.P.",373432,2025-09-30,-13182
"BNP PARIBAS ARBITRAGE, SNC",321807,2025-09-30,-50852
"Long Focus Capital Management, LLC",313540,2025-09-30,313540
Amundi,311288,2025-09-30,-26717
L1 Capital Pty Ltd,289544,2025-09-30,289544
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,288090,2025-09-30,134392
"Nuveen, LLC",286908,2025-09-30,87105
"Clearbridge Investments, LLC",273364,2025-09-30,66833
WELLS FARGO & COMPANY/MN,266193,2025-09-30,-66250
Swiss National Bank,256016,2025-09-30,-23400
CITIGROUP INC,233979,2025-09-30,-22768
"Sumitomo Mitsui Trust Holdings, Inc.",222934,2025-09-30,-9864
Lind Value II ApS,220445,2025-09-30,220445
HSBC HOLDINGS PLC,213873,2025-09-30,65419
EAGLE CAPITAL MANAGEMENT LLC,204164,2025-09-30,-37564
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",194280,2025-09-30,119025
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",193318,2025-09-30,5359
STEADFAST CAPITAL MANAGEMENT LP,178636,2025-09-30,-192330
RHUMBLINE ADVISERS,174430,2025-09-30,-4928
National Pension Service,172800,2025-09-30,6049
REAVES W H & CO INC,170920,2025-09-30,-26101
ProShare Advisors LLC,169520,2025-09-30,-38277
FIRST TRUST ADVISORS LP,166019,2025-09-30,35665
JUPITER ASSET MANAGEMENT LTD,165160,2025-09-30,156530
Makaira Partners LLC,164000,2025-09-30,-36162
Triple Frond Partners LLC,160480,2025-09-30,0
"Russell Investments Group, Ltd.",153974,2025-09-30,-36063
CALEDONIA INVESTMENTS PLC,153200,2025-09-30,0
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,131938,2025-09-30,-5143
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,131459,2025-09-30,-9128
Woodline Partners LP,130079,2025-09-30,119755
Voyager Global Management LP,125000,2025-09-30,125000
"Douglas Lane & Associates, LLC",123983,2025-09-30,-17751
CAPITAL FUND MANAGEMENT S.A.,116761,2025-09-30,116761
ALLIANCEBERNSTEIN L.P.,114814,2025-09-30,-71787
Universal- Beteiligungs- und Servicegesellschaft mbH,105716,2025-09-30,-2097
PRINCIPAL FINANCIAL GROUP INC,104550,2025-09-30,-3301
AustralianSuper Pty Ltd,104144,2025-09-30,104144
"WEITZ INVESTMENT MANAGEMENT, INC.",102605,2025-09-30,8155
"Capco Asset Management, LLC",100932,2025-09-30,-1533
"Connor, Clark & Lunn Investment Management Ltd.",99309,2025-09-30,84528
GREAT WEST LIFE ASSURANCE CO /CAN/,96663,2025-09-30,3795
SCHRODER INVESTMENT MANAGEMENT GROUP,95986,2025-09-30,-23147
SEI INVESTMENTS CO,92712,2025-09-30,-17885
FERNBRIDGE CAPITAL MANAGEMENT LP,91887,2025-09-30,91887
VICTORY CAPITAL MANAGEMENT INC,91299,2025-09-30,-38623
Mount Capital Ltd,89261,2025-09-30,51030
AMERIPRISE FINANCIAL INC,86579,2025-09-30,14038
BANK OF MONTREAL /CAN/,85544,2025-09-30,-7017
BNP Paribas Asset Management Holding S.A.,85362,2025-09-30,78430
"Holocene Advisors, LP",85251,2025-09-30,-282356
NATIXIS,83543,2025-09-30,78500
"JANE STREET GROUP, LLC",82749,2025-09-30,79873
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,82090,2025-09-30,-10947
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,78856,2025-09-30,-6681
DAVENPORT & Co LLC,76865,2025-09-30,76347
TD ASSET MANAGEMENT INC,76445,2025-09-30,-76258
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,75450,2025-09-30,-3978
14B Captial Management LP,75000,2025-09-30,18000
AVIVA PLC,73367,2025-09-30,4240
FIL Ltd,71922,2025-09-30,71922
PRUDENTIAL FINANCIAL INC,71518,2025-09-30,-10982
"SG Americas Securities, LLC",71052,2025-09-30,-15467
"Bridgewater Associates, LP",70746,2025-09-30,-365595
ROYAL LONDON ASSET MANAGEMENT LTD,70666,2025-09-30,-517
Zurcher Kantonalbank (Zurich Cantonalbank),67416,2025-09-30,992
Pictet Asset Management Holding SA,66103,2025-09-30,2015
KIZE CAPITAL LP,65834,2025-09-30,12500
Man Group plc,64851,2025-09-30,55456
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",63277,2025-09-30,-15803
Korea Investment CORP,62822,2025-09-30,-11690
Treasurer of the State of North Carolina,62315,2025-09-30,-17221
LOS ANGELES CAPITAL MANAGEMENT LLC,62199,2025-09-30,24158
"Capital International, Inc./CA/",60717,2025-09-30,-1728
Mitsubishi UFJ Trust & Banking Corp,60500,2025-09-30,-10507
South Dakota Investment Council,60463,2025-09-30,12742
TREMBLANT CAPITAL GROUP,58916,2025-09-30,-9957
OSSIAM,57281,2025-09-30,25237
NEOS Investment Management LLC,55391,2025-09-30,22524
Rockefeller Capital Management L.P.,54823,2025-09-30,54823
"Rafferty Asset Management, LLC",54538,2025-09-30,15970
"Gotham Asset Management, LLC",53451,2025-09-30,28203
STRS OHIO,52110,2025-09-30,-4312
"Ensign Peak Advisors, Inc",51414,2025-09-30,14345
