holder,shares,dateReported,change
VANGUARD GROUP INC,3069749,2025-09-30,72224
"BlackRock, Inc.",2322563,2025-09-30,-211966
STATE STREET CORP,1070684,2025-09-30,-12726
Capital World Investors,808393,2025-09-30,725432
"Valley Forge Capital Management, LP",768422,2025-09-30,0
EDGEWOOD MANAGEMENT LLC,759895,2025-09-30,424666
"GEODE CAPITAL MANAGEMENT, LLC",710234,2025-09-30,-2465
MORGAN STANLEY,488473,2025-09-30,-20768
PRINCIPAL FINANCIAL GROUP INC,404105,2025-09-30,30253
Capital International Investors,377883,2025-09-30,302734
"D. E. Shaw & Co., Inc.",355767,2025-09-30,244237
AMERICAN CENTURY COMPANIES INC,335922,2025-09-30,-61467
KENSICO CAPITAL MANAGEMENT CORP,324880,2025-09-30,75700
UBS ASSET MANAGEMENT AMERICAS INC,323354,2025-09-30,-13248
AKRE CAPITAL MANAGEMENT LLC,260849,2025-09-30,251701
NORTHERN TRUST CORP,232016,2025-09-30,-9502
Lindsell Train Ltd,222955,2025-09-30,-159
FMR LLC,220972,2025-09-30,44583
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,208270,2025-09-30,-16193
Invesco Ltd.,198564,2025-09-30,-26933
ALLIANCEBERNSTEIN L.P.,180991,2025-09-30,-30956
PRIMECAP MANAGEMENT CO/CA/,180650,2025-09-30,162050
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,177098,2025-09-30,5071
PRICE T ROWE ASSOCIATES INC /MD/,168871,2025-09-30,-751845
Legal & General Group Plc,160862,2025-09-30,-8831
Neuberger Berman Group LLC,156662,2025-09-30,33117
FRANKLIN RESOURCES INC,153745,2025-09-30,-54547
Heard Capital LLC,149530,2025-09-30,44806
BANK OF AMERICA CORP /DE/,143980,2025-09-30,-51032
DEUTSCHE BANK AG\,142114,2025-09-30,36296
"AF Advisors, Inc.",139679,2025-09-30,-159
GOLDMAN SACHS GROUP INC,131937,2025-09-30,-35968
Bank of New York Mellon Corp,130167,2025-09-30,-7271
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",127872,2025-09-30,-12827
AKO CAPITAL LLP,123646,2025-09-30,-29627
JPMORGAN CHASE & CO,118339,2025-09-30,-442593
BROWN ADVISORY INC,110204,2025-09-30,10817
DIMENSIONAL FUND ADVISORS LP,95939,2025-09-30,-1467
ROYAL BANK OF CANADA,93198,2025-09-30,-31440
AustralianSuper Pty Ltd,87944,2025-09-30,3510
RAYMOND JAMES FINANCIAL INC,85029,2025-09-30,-12216
Pictet Asset Management Holding SA,84641,2025-09-30,-9073
"Bowie Capital Management, LLC",78485,2025-09-30,6829
BAMCO INC /NY/,75829,2025-09-30,-5081
CAPTRUST FINANCIAL ADVISORS,73347,2025-09-30,-5475
"Nuveen, LLC",70803,2025-09-30,-5671
Swiss National Bank,70200,2025-09-30,-3700
Amundi,63533,2025-09-30,-18847
UBS Group AG,61177,2025-09-30,-23722
WELLS FARGO & COMPANY/MN,60746,2025-09-30,-13791
FIL Ltd,59547,2025-09-30,21735
"Clearbridge Investments, LLC",58652,2025-09-30,58652
"Sumitomo Mitsui Trust Holdings, Inc.",57453,2025-09-30,-37
Artisan Partners Limited Partnership,57042,2025-09-30,10928
BARCLAYS PLC,54560,2025-09-30,10679
"Point72 Asset Management, L.P.",50976,2025-09-30,46562
RHUMBLINE ADVISERS,50662,2025-09-30,-1165
No Street GP LP,50000,2025-09-30,34000
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",48935,2025-09-30,1869
EULAV Asset Management,48500,2025-09-30,-8400
TOMS Capital Investment Management LP,47500,2025-09-30,47500
GCQ FUNDS MANAGEMENT PTY Ltd,47237,2025-09-30,47237
"Colony Group, LLC",44684,2025-09-30,1288
"YCG, LLC",44418,2025-09-30,13310
HSBC HOLDINGS PLC,41972,2025-09-30,-3249
LGT CAPITAL PARTNERS LTD.,41268,2025-09-30,41268
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,40542,2025-09-30,-1445
MILLENNIUM MANAGEMENT LLC,39355,2025-09-30,29206
CYPRESS FUNDS LLC,38930,2025-09-30,0
ENVESTNET ASSET MANAGEMENT INC,38194,2025-09-30,-9535
National Pension Service,37938,2025-09-30,2113
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,37388,2025-09-30,145
CONGRESS ASSET MANAGEMENT CO /MA,35569,2025-09-30,-13209
Silvant Capital Management LLC,33568,2025-09-30,566
"TimesSquare Capital Management, LLC",33164,2025-09-30,9700
WESTFIELD CAPITAL MANAGEMENT CO LP,32468,2025-09-30,-9836
NOMURA ASSET MANAGEMENT CO LTD,30950,2025-09-30,6900
BOWEN HANES & CO INC,30000,2025-09-30,-220
"Chicago Capital, LLC",29635,2025-09-30,-1031
"Square Wave Capital, LLC",28300,2025-09-30,20016
Spyglass Capital Management LLC,27673,2025-09-30,27673
NORDEA INVESTMENT MANAGEMENT AB,27527,2025-09-30,-713
Newbrook Capital Advisors LP,27343,2025-09-30,9280
JANUS HENDERSON GROUP PLC,26745,2025-09-30,18769
CITIGROUP INC,25798,2025-09-30,-7887
"RMB Capital Management, LLC",25164,2025-09-30,3010
GREAT WEST LIFE ASSURANCE CO /CAN/,24436,2025-09-30,140
"Coalescence Partners Investment Management, LP",24329,2025-09-30,10753
CANADA PENSION PLAN INVESTMENT BOARD,23362,2025-09-30,11039
OAKMONT Corp,23293,2025-09-30,-413
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,22958,2025-09-30,-1445
BANK OF MONTREAL /CAN/,21905,2025-09-30,2133
"ADAGE CAPITAL PARTNERS GP, L.L.C.",21800,2025-09-30,-2000
"MARSHALL WACE, LLP",21305,2025-09-30,-27018
"Russell Investments Group, Ltd.",20053,2025-09-30,-6681
CITADEL ADVISORS LLC,20008,2025-09-30,11769
"RBF Capital, LLC",20000,2025-09-30,0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,19907,2025-09-30,-1277
BALYASNY ASSET MANAGEMENT L.P.,19868,2025-09-30,-29343
Squarepoint Ops LLC,19640,2025-09-30,16114
"FEDERATED HERMES, INC.",19315,2025-09-30,621
AVIVA PLC,19307,2025-09-30,1075
