holder,shares,dateReported,change
VANGUARD GROUP INC,23974821,2025-09-30,-279856
"BlackRock, Inc.",15324157,2025-09-30,-128850
Capital World Investors,10551592,2025-09-30,2159233
"T. Rowe Price Investment Management, Inc.",9826604,2025-09-30,2446986
STATE STREET CORP,8586552,2025-09-30,-73189
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,7550246,2025-09-30,-304551
WELLINGTON MANAGEMENT GROUP LLP,6184992,2025-09-30,4756178
"GEODE CAPITAL MANAGEMENT, LLC",5302713,2025-09-30,97098
Invesco Ltd.,4419074,2025-09-30,-204864
"Sustainable Growth Advisers, LP",4132535,2025-09-30,747476
Neuberger Berman Group LLC,3878855,2025-09-30,-1185151
PRICE T ROWE ASSOCIATES INC /MD/,3797253,2025-09-30,-2750065
JANUS HENDERSON GROUP PLC,3423213,2025-09-30,-297078
ALLIANCEBERNSTEIN L.P.,3190534,2025-09-30,-594374
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,3099750,2025-09-30,1525693
UBS ASSET MANAGEMENT AMERICAS INC,2662310,2025-09-30,-342967
UBS Group AG,2660110,2025-09-30,857624
AMERIPRISE FINANCIAL INC,2493241,2025-09-30,-895172
"JANA Partners Management, LP",2434607,2025-09-30,2434607
MILLENNIUM MANAGEMENT LLC,2177918,2025-09-30,226738
MORGAN STANLEY,2111268,2025-09-30,187694
"Champlain Investment Partners, LLC",1948834,2025-09-30,-121981
BANK OF AMERICA CORP /DE/,1941503,2025-09-30,56973
FRANKLIN RESOURCES INC,1932270,2025-09-30,362758
NORTHERN TRUST CORP,1790362,2025-09-30,-21126
Findlay Park Partners LLP,1783400,2025-09-30,-32500
DIMENSIONAL FUND ADVISORS LP,1760875,2025-09-30,223169
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1745306,2025-09-30,557631
"Holocene Advisors, LP",1717723,2025-09-30,-328977
"River Road Asset Management, LLC",1566764,2025-09-30,994955
Alecta Tjanstepension Omsesidigt,1563000,2025-09-30,213500
Boston Trust Walden Corp,1494960,2025-09-30,29339
MACQUARIE GROUP LTD,1446893,2025-09-30,-120664
Altshuler Shaham Ltd,1440000,2025-09-30,1440000
JPMORGAN CHASE & CO,1376493,2025-09-30,-1318798
Ruffer LLP,1347850,2025-09-30,1100188
BESSEMER GROUP INC,1341718,2025-09-30,-487158
Legal & General Group Plc,1277538,2025-09-30,50979
"Select Equity Group, L.P.",1265211,2025-09-30,-176629
WELLS FARGO & COMPANY/MN,1203245,2025-09-30,-71536
ArrowMark Colorado Holdings LLC,1151464,2025-09-30,299289
