symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
FANG,2026-01-01,21,2,0,0,8
FANG,2025-12-01,21,3,0,0,8
FANG,2025-11-01,21,3,0,0,8
FANG,2025-10-01,20,3,0,0,7
FANG,2025-09-01,20,3,0,0,9
FANG,2025-08-01,20,3,0,0,8
FANG,2025-07-01,20,3,0,0,10
FANG,2025-06-01,18,3,0,0,12
FANG,2025-05-01,16,3,0,0,12
FANG,2025-04-01,15,5,0,0,13
FANG,2025-03-01,13,5,0,0,12
FANG,2025-02-01,14,5,0,0,11
FANG,2025-01-01,14,6,0,0,11
FANG,2024-12-01,14,5,0,0,10
FANG,2024-11-01,19,6,0,0,9
FANG,2024-10-01,19,7,0,0,9
FANG,2024-09-01,19,7,0,0,9
FANG,2024-08-01,20,6,1,0,9
FANG,2024-07-01,20,6,1,0,4
FANG,2024-06-01,20,5,1,0,4
FANG,2024-05-01,20,4,1,0,4
FANG,2024-04-01,20,4,1,0,4
FANG,2024-03-01,20,4,1,0,4
FANG,2024-02-01,20,4,1,0,4
FANG,2024-01-01,20,4,1,0,4
FANG,2023-12-01,23,2,0,0,8
FANG,2023-11-01,23,2,0,0,8
FANG,2023-10-01,23,2,0,0,8
FANG,2023-09-01,23,2,0,0,8
FANG,2023-08-01,23,2,0,0,8
FANG,2023-07-01,23,2,0,0,8
FANG,2023-06-01,23,2,0,0,8
FANG,2023-05-01,23,2,0,0,8
FANG,2023-04-01,23,2,0,0,8
FANG,2023-03-01,23,2,0,0,8
FANG,2023-02-01,23,2,0,0,8
FANG,2023-01-01,19,2,0,0,9
FANG,2022-12-01,19,2,0,0,9
FANG,2022-11-01,19,2,0,0,9
FANG,2022-10-01,19,2,0,0,9
FANG,2022-09-01,21,3,0,0,7
FANG,2022-08-01,19,2,0,0,9
FANG,2022-07-01,21,3,0,0,7
FANG,2022-06-01,19,2,0,0,9
FANG,2022-05-01,23,3,0,0,7
FANG,2022-04-01,19,2,0,0,9
FANG,2022-03-01,19,2,0,0,9
FANG,2022-02-01,19,2,0,0,9
FANG,2022-01-01,19,2,0,0,9
FANG,2021-12-01,19,2,0,0,9
FANG,2021-11-01,19,2,0,0,9
FANG,2021-10-01,19,2,0,0,9
FANG,2021-09-01,19,2,0,0,9
FANG,2021-08-01,19,2,0,0,9
FANG,2021-07-01,19,2,0,0,9
FANG,2021-06-01,19,2,0,0,9
FANG,2021-05-01,19,2,0,0,9
FANG,2021-04-01,19,2,0,0,9
FANG,2021-03-01,19,2,0,0,9
FANG,2021-02-01,21,2,0,0,8
FANG,2021-01-01,22,3,0,0,8
FANG,2020-12-01,17,2,0,0,13
FANG,2020-09-01,22,3,0,0,11
FANG,2020-08-01,25,5,0,0,10
FANG,2020-07-01,25,5,0,0,10
FANG,2020-06-01,20,3,0,0,15
FANG,2020-05-01,26,4,0,0,10
FANG,2020-04-01,20,3,0,0,15
FANG,2020-03-01,20,3,0,0,15
FANG,2020-02-01,20,3,0,0,15
FANG,2020-01-01,20,3,0,0,15
FANG,2019-12-01,20,3,0,0,15
FANG,2019-11-01,20,3,0,0,15
FANG,2019-10-01,20,3,0,0,15
FANG,2019-09-01,20,3,0,0,15
FANG,2019-08-01,20,3,0,0,15
FANG,2019-07-01,20,3,0,0,15
FANG,2019-06-01,20,3,0,0,15
FANG,2019-05-01,20,3,0,0,15
FANG,2019-04-01,20,3,0,0,15
FANG,2019-03-01,20,3,0,0,15
FANG,2019-02-01,20,3,0,0,15
FANG,2019-01-01,20,3,0,0,15
