date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,recordDate,declarationDate,dividend,adjDividend
2026-01-02,488.18,499.67,484.93,498.91,498.91,284767,284767,10.73,2.2,492.9225,"January 02, 26",0.022,,,,,
2025-12-31,492.53,494.43,485.42,485.58,485.58,178300,178300,-6.95,-1.41,489.49,"December 31, 25",-0.0141,2026-01-15,2025-12-31,2025-12-05,1.3,1.3
2025-12-30,494.5,499.01,490.96,494,492.7,154808,154808,-0.5,-0.10111,494.6175,"December 30, 25",-0.0010111,,,,,
2025-12-29,499.75,499.8,493.46,496.58,495.27,140421,140421,-3.17,-0.63432,497.3975,"December 29, 25",-0.0063432,,,,,
2025-12-26,495.75,499.53,494.65,498.16,496.85,123800,123800,2.41,0.48613,497.0225,"December 26, 25",0.0048613,,,,,
2025-12-24,496.16,498.65,491.37,497.23,495.92,89648,89648,1.07,0.21566,495.8525,"December 24, 25",0.0021566,,,,,
2025-12-23,495.97,497.4,490.08,494.55,493.25,231200,231200,-1.42,-0.28631,494.5,"December 23, 25",-0.0028631,,,,,
2025-12-22,496.76,497.35,486.81,495.48,494.18,399948,399948,-1.28,-0.25767,494.1,"December 22, 25",-0.0025767,,,,,
2025-12-19,492.67,499.01,491.13,496.92,495.61,804624,804624,4.25,0.86265,494.9325,"December 19, 25",0.0086265,,,,,
2025-12-18,494.02,508.94,491.42,494.01,492.71,366931,366931,-0.01,-0.00202421,497.0975,"December 18, 25",-2.02421e-05,,,,,
2025-12-17,490.2,495,486.48,487.47,486.19,617611,617611,-2.73,-0.55692,489.7875,"December 17, 25",-0.0055692,,,,,
2025-12-16,498.44,500.49,488.21,492.43,491.13,303517,303517,-6.01,-1.21,494.8925,"December 16, 25",-0.0121,,,,,
2025-12-15,509.55,509.55,493.65,496.13,494.82,369200,369200,-13.42,-2.63,502.22,"December 15, 25",-0.0263,,,,,
2025-12-12,517,518.71,504.47,505.76,504.43,297118,297118,-11.24,-2.17,511.485,"December 12, 25",-0.0217,,,,,
