holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-22
Glencore plc,32806103,2025-09-30,32806103
CANADA PENSION PLAN INVESTMENT BOARD,26247358,2025-09-30,26244732
VANGUARD GROUP INC,16792204,2025-09-30,125001
Capital World Investors,16200000,2025-09-30,694709
"BlackRock, Inc.",15787532,2025-09-30,-256685
STATE STREET CORP,6921322,2025-09-30,85873
FMR LLC,4372278,2025-09-30,114393
"GEODE CAPITAL MANAGEMENT, LLC",3648764,2025-09-30,112895
DIMENSIONAL FUND ADVISORS LP,3096051,2025-09-30,-823359
Invesco Ltd.,3074418,2025-09-30,-65061
NORTHERN TRUST CORP,2299447,2025-09-30,65774
FIL Ltd,2246199,2025-09-30,-86378
LSV ASSET MANAGEMENT,2072372,2025-09-30,-63490
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1830158,2025-09-30,127169
MORGAN STANLEY,1754884,2025-09-30,-321028
DEUTSCHE BANK AG\,1502205,2025-09-30,458241
MILLENNIUM MANAGEMENT LLC,1488240,2025-09-30,1478325
Amundi,1409058,2025-09-30,-68515
UBS Group AG,1314716,2025-09-30,375760
"Merewether Investment Management, LP",921700,2025-09-30,921700
JPMORGAN CHASE & CO,877469,2025-09-30,-37450
Bank of New York Mellon Corp,764764,2025-09-30,13724
Neuberger Berman Group LLC,661811,2025-09-30,-56964
BANK OF MONTREAL /CAN/,650667,2025-09-30,69547
Legal & General Group Plc,563684,2025-09-30,-208583
"Nuveen, LLC",547673,2025-09-30,32959
BANK OF AMERICA CORP /DE/,531202,2025-09-30,2971
AustralianSuper Pty Ltd,516467,2025-09-30,-667572
CITIGROUP INC,506501,2025-09-30,319513
GOLDMAN SACHS GROUP INC,489644,2025-09-30,-123720
BARCLAYS PLC,462525,2025-09-30,76713
AQR CAPITAL MANAGEMENT LLC,449294,2025-09-30,-138741
"MARSHALL WACE, LLP",447533,2025-09-30,447533
"Sumitomo Mitsui Trust Holdings, Inc.",405810,2025-09-30,-31832
Swiss National Bank,403700,2025-09-30,-1700
AMERIPRISE FINANCIAL INC,398271,2025-09-30,100991
MBB PUBLIC MARKETS I LLC,380853,2025-09-30,0
HORIZON KINETICS ASSET MANAGEMENT LLC,350083,2025-09-30,-1226
RHUMBLINE ADVISERS,342586,2025-09-30,42801
"COHEN & STEERS, INC.",341550,2025-09-30,18299
"Baker Avenue Asset Management, LP",339911,2025-09-30,35110
Walleye Capital LLC,328660,2025-09-30,305428
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,322166,2025-09-30,-62470
CITADEL ADVISORS LLC,319580,2025-09-30,-77047
VAN ECK ASSOCIATES CORP,318652,2025-09-30,-202300
Verition Fund Management LLC,317838,2025-09-30,-247771
VOYA INVESTMENT MANAGEMENT LLC,303928,2025-09-30,266827
FIRST TRUST ADVISORS LP,280238,2025-09-30,-113556
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",276267,2025-09-30,18045
"BNP PARIBAS ARBITRAGE, SNC",267473,2025-09-30,-6300
"THOMIST CAPITAL MANAGEMENT, LP",266664,2025-09-30,266664
"MANAGED ASSET PORTFOLIOS, LLC",259712,2025-09-30,-36106
"Gotham Asset Management, LLC",240717,2025-09-30,-84201
VICTORY CAPITAL MANAGEMENT INC,216781,2025-09-30,193857
AVIVA PLC,215024,2025-09-30,25399
"Ensign Peak Advisors, Inc",206709,2025-09-30,-12330
PRICE T ROWE ASSOCIATES INC /MD/,199111,2025-09-30,2507
Rubric Capital Management LP,188347,2025-09-30,188347
"PUNCH & ASSOCIATES INVESTMENT MANAGEMENT, INC.",188110,2025-09-30,-860
"Old West Investment Management, LLC",187851,2025-09-30,18823
Allianz Asset Management GmbH,185900,2025-09-30,-21196
Capital International Sarl,175587,2025-09-30,27633
