symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
CRWD,2025-01-31,2025,FY,16.153724208375895,-0.07873748723186925,5.645462717058223,4.363252298263534,17.664126659856997,13.56043718079673,9.287019407558734,13.399362614913176,3.3307946884576096,97427632500,93893238500,-5055.660448342068,24.642614598656827,70.51149213990897,91.23240481840162,29.708129516321726,29.708129516321726,23.74865149037946,318.49701493549884,67.9535382170284,87.9227558418063,-0.00019779809388265697,0.010961017655848304,0.24055570767929443,0.09066183168156397,-11.989084161858338,1.6660559656751563,-4.57717304549428,-83.25662810315738,0,0,0.12199339137965573,0.2723832615342278,0.12019877314206688,0.22712228971424891,0.07937552989358623,1.466754846790929,0.21889309656153444,,0.0069751358353365,-0.002517222880486187,-0.8700429009193054,2305253000,2272998000,383642000,4182575000,990834500,79533500,0,104.18943733647914,48.18423651083581,0,3.503234198503585,7.575091491133573,0,-0.005876211391147537,1.2822104187946886
CRWD,2024-01-31,2024,FY,12.804196331666924,0.3743216684755507,4.886949634800974,3.8933400939502256,14.560441172156875,9.793489693551294,6.639917531648487,9.65462187338929,3.430440375968521,69801322500,67219127500,781.4134864038868,22.844073335286062,59.85328719515489,75.12829420027016,30.296370363940188,30.296370363940188,21.99899118163476,228.77110510606582,57.639104807294075,72.3490358897637,0.0012797321999164126,0.013310564423761455,0.3441368085244905,0.11929159921282115,-8.788147447307429,1.672402817802682,-0.0774576797639385,13.055481545333437,0,0,0.1285409688256307,0.2515081548196645,0.11322601902950717,0.20331896481499426,0.07760030501823728,1.632395665523841,0.20667898303254237,9.017400888466787,-0.00037125625971779494,0.01515568223135511,-0.8168986787463804,1813658000,1584530000,201506000,3234600000,739643000,36776000,0,101.90728852859792,13.610410163512292,0,3.581686896689153,26.817707594038325,0,0.03877124069532759,0.9936095408507483
CRWD,2023-01-31,2023,FY,9.613303651469725,-0.7859903319478937,4.03624876146848,2.8934240946388208,11.604103131608182,6.380030797078138,4.160179120610452,6.277975799844728,3.469762673769725,24689420100,23017669100,-134.73448170482143,11.015984081997612,26.237233198052728,36.600234371525566,16.868494460048606,16.868494460048606,10.270078251464817,-564.7953354271973,24.460677869558886,34.1219874883259,-0.007422005023115143,0.027322229411131452,0.535389484169957,0.15589610348271377,41.020537861314224,1.6374083009020082,-7.508669378727438,-5.162284334969964,0,0,0.1415932994115747,0.27144129400027484,0.10296028679767792,0.28314029544944935,0.11887949327960108,2.84017695341648,0.23491680483447527,,-0.07396297547035778,-0.04063977737000128,-1.561734630413616,1344340000,969900000,-85694000,2394144999,497163000,46503000,0,101.97768775800496,27.544787278101097,0,3.579214316627301,13.251146081283611,0,-0.12519805061487072,1.1428246668296596
CRWD,2022-01-31,2022,FY,6.390689524614558,-1.0337233976983562,2.5305051465603015,1.9419350010125824,8.790241346822693,4.568256861346646,2.306319399318488,4.515959175317643,3.52179253506617,41030930880,39809013880,-174.74693946388868,28.26612047170214,71.38495657499165,93.02062113603645,40.00036160364407,40.00036160364407,27.424344465463484,-603.3314219029432,69.25908494321345,90.25043104093223,-0.005722560881855383,0.01075030447859047,0.7552575453566879,0.21410570086455794,18.51894456063775,1.7373314472964039,-5.649716618445563,-2.473487163156581,0,0,0.15368760135409765,0.2557760641060792,0.1419919569000611,0.23258998162788108,0.0920980659881482,1.9428716756285425,0.2135252694623979,,-0.09318642102615614,-0.0756303549327996,-1.3559634501765416,1037300000,523862001,-136608000,1843392999,303672000,29849500,0,92.56922045695973,45.36914730664551,0,3.9429952871830394,8.045114833942142,0,-0.2289045045730836,0.588570145547719
CRWD,2021-01-31,2021,FY,4.015678098422087,-0.4253797828762468,1.6374566028031374,1.3442706515549514,8.810815775455097,4.003903451569647,3.548150223185584,3.9979334668160695,3.584521207222763,46819717560,45680101560,-505.4542050545725,53.54263831169277,131.30729671365188,159.94546912951836,53.78028468573607,53.78028468573607,52.23938296368639,-989.4535395412307,128.1112095937358,156.0523141673186,-0.0019784185985593544,0.006252130838356129,0.8948027393420892,0.28508054614527983,24.68464487621028,2.5608433993049644,-59.351507376523415,-3.849399216228179,0,0,0.13887319627006145,0.2454948206733925,0.03631904902886809,0.17904960091539854,0.073010322058282,1.5903893580449893,0.17116708102804315,,-0.051940187916344346,-0.03517614846826593,1.0899734106063668,1347871000,772631000,350765000,1650612000,202093000,6705000,0,99.84428284223695,19.18458254372781,0,3.655692540520654,19.025694156651472,0,-0.10639991545807709,0.293185951248186
CRWD,2020-01-31,2020,FY,2.260706839228356,-0.6657916486654019,0.4693305407893007,0.058493153258072396,4.28303623419802,3.487269192478915,3.448532035990007,3.484921201420065,0.0020756240960234425,13008993320,12744195320,-91.75543148139006,27.022521867917984,130.1641267522488,1044.3957385998715,17.52980812739942,17.52980812739942,26.472478557911813,-110.02784601172438,127.51463654282941,1023.1370680796404,-0.010898537381983988,0.0009574914594544507,0,0,2.286150897459142,2.2889356230835376,-330.46380090497735,-0.7049210390819515,0,0,0.18501369925614805,0.27042892485246556,0.005871567208055201,0.8753689603073752,0.181729616773955,3.7207927529451794,0.1660528485936192,,-0.16248095796255335,-0.10151311309791881,1.7539739748671037,635569000,734358000,466366000,779896000,128731500,4100000,0,125.0906290440848,3.466323511759763,0,2.9178844393800722,105.29888475836431,0,-0.1910492691754693,0.4108373875312283
CRWD,2019-01-31,2019,FY,1.459235289307368,-0.8181972173222275,-0.13415731124636393,-0.3832490274646324,1.1194670623006742,0.40956881344844104,0.35702853938622214,0.40956881344844104,0.0024999707947337066,9929716000,9841308000,-70.88755470205673,39.74684577942872,-432.32828282828285,-151.33763126209746,141.61234472824768,141.61234472824768,39.39296464711157,-80.08616255981251,-428.4791013584117,-149.99021535366467,-0.014106848574521163,-0.00660774185283849,0,0,0.7194427264737476,1.075051524411911,-319.77570093457945,0.16396696102857714,0,0,0.16898696682464456,0.3384422633534008,0.020763170590394234,-1.8567136886102404,0.1707001729217369,2.7695155214962983,0.08207778275906238,,-0.9104988010306851,-0.33019583993361995,-0.5963014450765762,21121000,61124000,-60559000,103851000,76144000,9558000,0,135.11007749455618,28.68102203168344,0,2.7015009299710195,12.72618526622903,0,-1.9977039033642807,0.24909171621826848
CRWD,2018-01-31,2018,FY,0.6936367565799465,-0.7914043060244623,-0.34325533580215184,-0.5170558755154729,0.38417775493276946,-0.10781416104952045,-0.1671417389983762,-0.10781416104952045,0.10291351736545133,9929716000,9882508000,-73.28744556793859,83.61725276205874,-168.97042507572405,-112.17356333525377,-537.9627261891862,-537.9627261891862,83.21971840474265,-79.26679179299613,-168.16710342715174,-111.64026615153466,-0.01364490182800797,-0.008914756474404706,-0.8652616751544046,0.0733614144040275,0.3786515231724337,0.831846404243776,-79.75728155339806,0.4337294265259429,0,0,0.2740332794395042,0.4958821746160065,0.04665530562279803,-0.5063301909267264,0.25056420102398275,3.844811991213335,0.10393930207491242,,-2.5543290839767128,-0.652819134071483,-0.7332274155675751,-27895000,-28615000,-98166000,23016000,42231500,7362000,0,183.84010374562112,82.13605329809494,0,1.9854209857553669,4.443846342060191,0,7.340448585978979,0.1738005397133211
CRWD,2017-01-31,2017,FY,0.30808635413137697,-0.5335218046518149,-0.30372308734711045,-0.37759488791018797,0.19538323150430487,-0.1677842548568358,-0.1701381993201014,-0.1677842548568358,0.14647025151575332,9929716000,9931351000,-108.71158309612436,188.2589060574462,-190.9634216700642,-153.60377446051513,-345.6820191470844,-345.6820191470844,188.28990425632762,-113.34958969149822,-190.99486518712257,-153.62906643978653,-0.009198651804341635,-0.006510256688106689,-0.8515578764142733,0.26771076162020774,-0.018660762180855314,0.713798059647862,-147.24552845528456,0.5692796146266695,0,0,0.3109678642525358,0.7421556545644137,0.004410589793260444,-0.2432208931112735,0.23977628211204854,4.186362131744455,0.03780453123518817,,-4.138730634381599,-1.0040893501011345,-0.39811304774476935,-25488000,-29128000,-56528000,-10005000,0,0,0,170.58706986444213,26.436364171028643,0,2.1396697902721997,13.806739748274461,0,3.1798085291557876,0.07387180056307753
