date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,dividend,paymentDate,adjDividend,declarationDate
2025-12-05,162.6,165.46,162.31,165.46,164.39,1349300,1349300,2.86,1.76,163.9575,"December 05, 25",0.0176,,,,,
2025-12-04,163.65,163.96,160.79,163.07,162.02,1745164,1745164,-0.58,-0.35441,162.8675,"December 04, 25",-0.0035441,,,,,
2025-12-03,159.61,163.79,159.26,162.05,161,1715400,1715400,2.44,1.53,161.1775,"December 03, 25",0.0153,,,,,
2025-12-02,160.69,161.69,158.56,159.92,158.89,1565827,1565827,-0.77,-0.47918,160.215,"December 02, 25",-0.0047918,,,,,
2025-12-01,154.53,161.05,153.56,159.51,158.48,2114689,2114689,4.98,3.22,157.1625,"December 01, 25",0.0322,,,,,
2025-11-28,155.2,157.11,154.39,156.85,155.84,753300,753300,1.65,1.06,155.8875,"November 28, 25",0.0106,,,,,
2025-11-26,153.1,155.33,152.13,154.55,153.55,1103448,1103448,1.45,0.94709,153.7775,"November 26, 25",0.0094709,,,,,
2025-11-25,149.67,153.86,147.68,152.87,151.88,1384642,1384642,3.2,2.14,151.02,"November 25, 25",0.0214,,,,,
2025-11-24,147.49,150.53,146.78,150.11,149.14,1694625,1694625,2.62,1.78,148.7275,"November 24, 25",0.0178,,,,,
2025-11-21,144.86,148.31,142.9,147.43,146.48,1424110,1424110,2.57,1.77,145.875,"November 21, 25",0.0177,,,,,
2025-11-20,147.74,150.1,143.32,144.31,143.38,1079262,1079262,-3.43,-2.32,146.3675,"November 20, 25",-0.0232,,,,,
2025-11-19,142.5,145.54,140.41,145.17,144.23,1393257,1393257,2.67,1.87,143.405,"November 19, 25",0.0187,,,,,
2025-11-18,140.51,143.75,139.43,142.69,141.77,2298200,2298200,2.18,1.55,141.595,"November 18, 25",0.0155,,,,,
2025-11-17,146.34,147.22,140.09,142.06,141.14,2345129,2345129,-4.28,-2.92,143.9275,"November 17, 25",-0.0292,,,,,
2025-11-14,146.29,149.43,144.76,146.4,145.46,1775909,1775909,0.11,0.07519311,146.72,"November 14, 25",0.0007519311,,,,,
2025-11-13,151.59,153.45,147.49,148.47,147.51,2070400,2070400,-3.12,-2.06,150.25,"November 13, 25",-0.0206,,,,,
2025-11-12,154.94,158.43,153.39,153.69,152.7,1553800,1553800,-1.25,-0.80676,155.1125,"November 12, 25",-0.0080676,,,,,
2025-11-11,153.8,155.45,152.4,153.87,152.88,1758500,1758500,0.07,0.04551365,153.88,"November 11, 25",0.0004551365,,,,,
2025-11-10,155.8,156.88,152.74,153.34,152.35,1415250,1415250,-2.46,-1.58,154.69,"November 10, 25",-0.0158,,,,,
2025-11-07,149.46,153.98,146.96,153.88,152.89,1235224,1235224,4.42,2.96,151.07,"November 07, 25",0.0296,,,,,
2025-11-06,152.91,154.49,149.65,151.26,150.28,1501539,1501539,-1.65,-1.08,152.0775,"November 06, 25",-0.0108,,,,,
2025-11-05,151.03,154.3,149.18,153.25,152.26,1530892,1530892,2.22,1.47,151.94,"November 05, 25",0.0147,,,,,
2025-11-04,156.52,158.15,152.52,153.01,152.02,1906835,1906835,-3.51,-2.24,155.05,"November 04, 25",-0.0224,,,,,
2025-11-03,154.32,159.07,151.37,155.5,154.5,4049100,4049100,1.18,0.76464,155.065,"November 03, 25",0.0076464,,,,,
2025-10-31,145.55,149,144.13,148.71,147.75,3410671,3410671,3.16,2.17,146.8475,"October 31, 25",0.0217,,,,,
2025-10-30,149.93,151.06,146.27,147.29,146.34,2639400,2639400,-2.64,-1.76,148.6375,"October 30, 25",-0.0176,,,,,
2025-10-29,149.15,153.53,147.78,150.52,149.55,1954100,1954100,1.37,0.91854,150.245,"October 29, 25",0.0091854,,,,,
2025-10-28,152.35,152.9,149.28,150.93,149.96,1996306,1996306,-1.42,-0.93206,151.365,"October 28, 25",-0.0093206,,,,,
2025-10-27,150.85,152.14,150.37,150.97,150,2031033,2031033,0.12,0.07954922,151.0825,"October 27, 25",0.0007954922,,,,,
2025-10-24,150.75,151.68,149.13,149.34,148.38,1758400,1758400,-1.41,-0.93532,150.225,"October 24, 25",-0.0093532,,,,,
2025-10-23,150.25,151.99,146.52,148.43,147.47,1668243,1668243,-1.82,-1.21,149.2975,"October 23, 25",-0.0121,,,,,
2025-10-22,150.71,151.66,148.51,150.1,149.13,1510400,1510400,-0.61,-0.40475,150.245,"October 22, 25",-0.0040475,,,,,
2025-10-21,146.33,150.72,145.95,150.11,149.14,1844643,1844643,3.78,2.58,148.2775,"October 21, 25",0.0258,,,,,
2025-10-20,143.93,148.19,143.08,146.61,145.66,1392303,1392303,2.68,1.86,145.4525,"October 20, 25",0.0186,,,,,
2025-10-17,141.46,142.54,139.2,141.87,140.95,2644111,2644111,0.41,0.28983,141.2675,"October 17, 25",0.0028983,,,,,
2025-10-16,151.09,151.56,141.22,141.24,140.33,2161327,2161327,-9.85,-6.52,146.2775,"October 16, 25",-0.0652,,,,,
2025-10-15,153.48,154.71,149.03,151.09,150.12,2795356,2795356,-2.39,-1.56,152.0775,"October 15, 25",-0.0156,,,,,
2025-10-14,142.47,151.75,141.51,149.58,148.62,3758400,3758400,7.11,4.99,146.3275,"October 14, 25",0.0499,,,,,
2025-10-13,144,145.1,142.36,143.63,142.7,1790054,1790054,-0.37,-0.25694,143.7725,"October 13, 25",-0.0025694,,,,,
2025-10-10,147.8,148.5,140.72,140.88,139.97,1997641,1997641,-6.92,-4.68,144.475,"October 10, 25",-0.0468,,,,,
2025-10-09,149.98,151.44,146.1,147.26,146.31,1799400,1799400,-2.72,-1.81,148.695,"October 09, 25",-0.0181,,,,,
2025-10-08,149.41,149.85,147.49,149.8,148.83,1927115,1927115,0.39,0.26103,149.1375,"October 08, 25",0.0026103,,,,,
2025-10-07,150.53,151.21,146.67,148.64,147.68,2171300,2171300,-1.89,-1.26,149.2625,"October 07, 25",-0.0126,,,,,
2025-10-06,152.97,153.5,148.86,150.1,149.13,2078005,2078005,-2.87,-1.88,151.3575,"October 06, 25",-0.0188,,,,,
2025-10-03,151.59,153.28,149.17,152.4,151.42,4091700,4091700,0.81,0.53434,151.61,"October 03, 25",0.0053434,,,,,
2025-10-02,153.78,154.14,149.66,150.61,149.64,4022674,4022674,-3.17,-2.06,152.0475,"October 02, 25",-0.0206,,,,,
2025-10-01,157.51,158.43,153.93,154.14,153.15,2313218,2313218,-3.37,-2.14,156.0025,"October 01, 25",-0.0214,,,,,
2025-09-30,163.14,164.26,154.51,159.89,158.86,3514220,3514220,-3.25,-1.99,160.45,"September 30, 25",-0.0199,,,,,
2025-09-29,164.86,165.27,162.51,163.42,162.37,1807614,1807614,-1.44,-0.87347,164.015,"September 29, 25",-0.0087347,,,,,
2025-09-26,164.82,166.17,162.83,163.05,162,2619226,2619226,-1.77,-1.07,164.2175,"September 26, 25",-0.0107,,,,,
2025-09-25,164.76,166.81,162.85,163.32,162.27,2265538,2265538,-1.44,-0.874,164.435,"September 25, 25",-0.00874,,,,,
2025-09-24,181.31,181.31,167.75,168.23,167.14,1889227,1889227,-13.08,-7.21,174.65,"September 24, 25",-0.0721,,,,,
2025-09-23,182.15,186.85,180.37,181.15,179.98,1056758,1056758,-1,-0.549,182.63,"September 23, 25",-0.00549,,,,,
2025-09-22,181.54,182.42,179.52,181.99,180.82,1053938,1053938,0.45,0.24788,181.3675,"September 22, 25",0.0024788,,,,,
2025-09-19,183.4,183.85,180.81,183,181.82,2112012,2112012,-0.4,-0.2181,182.765,"September 19, 25",-0.002181,,,,,
2025-09-18,180.42,185.94,180.42,183.42,182.24,1365974,1365974,3,1.66,182.55,"September 18, 25",0.0166,,,,,
2025-09-17,178.46,182.12,177.64,178.89,177.74,1175567,1175567,0.43,0.24095,179.2775,"September 17, 25",0.0024095,,,,,
2025-09-16,179.2,179.99,176.7,178.61,177.46,1120321,1120321,-0.59,-0.32924,178.625,"September 16, 25",-0.0032924,2025-09-16,1.12,2025-09-30,1.12,2025-08-01
2025-09-15,184.17,184.28,178.95,179.92,177.65,1311900,1311900,-4.25,-2.31,181.83,"September 15, 25",-0.0231,,,,,
2025-09-12,185.2,185.82,182.79,182.79,180.48,837100,837100,-2.41,-1.3,184.15,"September 12, 25",-0.013,,,,,
2025-09-11,179.1,185.14,178.65,184.71,182.38,1412400,1412400,5.61,3.13,181.9,"September 11, 25",0.0313,,,,,
2025-09-10,175.58,179.88,175.02,178.93,176.67,1202723,1202723,3.35,1.91,177.3525,"September 10, 25",0.0191,,,,,
2025-09-09,175.37,176.65,174.87,175.07,172.86,980003,980003,-0.3,-0.17107,175.49,"September 09, 25",-0.0017107,,,,,
2025-09-08,177,177.65,173.36,176.25,174.02,1731254,1731254,-0.75,-0.42373,176.065,"September 08, 25",-0.0042373,,,,,
2025-09-05,181.36,181.86,174.53,177.31,175.07,1638839,1638839,-4.05,-2.23,178.765,"September 05, 25",-0.0223,,,,,
2025-09-04,177.7,180.19,176.48,180.05,177.77,1171300,1171300,2.35,1.32,178.605,"September 04, 25",0.0132,,,,,
2025-09-03,178.67,179.83,174.97,176.82,174.59,1244000,1244000,-1.85,-1.04,177.5725,"September 03, 25",-0.0104,,,,,
2025-09-02,175.94,179.9,173.43,179.78,177.51,1430700,1430700,3.84,2.18,177.2625,"September 02, 25",0.0218,,,,,
2025-08-29,180.27,180.95,178.13,179.2,176.94,899384,899384,-1.07,-0.59355,179.6375,"August 29, 25",-0.0059355,,,,,
2025-08-28,180.12,181.77,180.12,180.27,177.99,1024300,1024300,0.15,0.08327781,180.57,"August 28, 25",0.0008327781,,,,,
2025-08-27,178.63,180.94,178.63,179.51,177.24,1556109,1556109,0.88,0.49264,179.4275,"August 27, 25",0.0049264,,,,,
2025-08-26,177.81,179.39,177.02,178.93,176.67,1971526,1971526,1.12,0.62989,178.2875,"August 26, 25",0.0062989,,,,,
2025-08-25,181.26,181.26,176.98,178.13,175.88,1564701,1564701,-3.13,-1.73,179.4075,"August 25, 25",-0.0173,,,,,
2025-08-22,178.41,183.94,178.29,181.07,178.78,1500383,1500383,2.66,1.49,180.4275,"August 22, 25",0.0149,,,,,
2025-08-21,178.22,179.13,177.43,178.26,176.01,1041511,1041511,0.04,0.02244417,178.26,"August 21, 25",0.0002244417,,,,,
2025-08-20,179.28,180.5,175.94,178.93,176.67,1709439,1709439,-0.35,-0.19523,178.6625,"August 20, 25",-0.0019523,,,,,
2025-08-19,188.53,189.76,179.37,180.59,178.31,2409235,2409235,-7.94,-4.21,184.5625,"August 19, 25",-0.0421,,,,,
2025-08-18,187.86,190.6,186.73,189.27,186.88,1388800,1388800,1.41,0.75056,188.615,"August 18, 25",0.0075056,,,,,
2025-08-15,190.3,191.38,187.43,187.78,185.41,928300,928300,-2.52,-1.32,189.2225,"August 15, 25",-0.0132,,,,,
2025-08-14,190.14,191.95,188.78,190.45,188.04,885722,885722,0.31,0.16304,190.33,"August 14, 25",0.0016304,,,,,
2025-08-13,194.24,195.26,187.35,190.94,188.53,1194141,1194141,-3.3,-1.7,191.9475,"August 13, 25",-0.017,,,,,
2025-08-12,187.84,193.15,186.65,192.76,190.32,1278924,1278924,4.92,2.62,190.1,"August 12, 25",0.0262,,,,,
2025-08-11,188.07,189.13,186.54,186.55,184.19,751753,751753,-1.52,-0.80821,187.5725,"August 11, 25",-0.0080821,,,,,
2025-08-08,188.4,189.87,187.22,188.43,186.05,953246,953246,0.03,0.01592357,188.48,"August 08, 25",0.0001592357,,,,,
2025-08-07,191.5,191.5,185.71,186.95,184.59,1240800,1240800,-4.55,-2.38,188.915,"August 07, 25",-0.0238,,,,,
2025-08-06,188.24,191.52,187.84,189.29,186.9,1390610,1390610,1.05,0.5578,189.2225,"August 06, 25",0.005578,,,,,
2025-08-05,189.92,191.91,185.06,187.98,185.6,1602731,1602731,-1.94,-1.02,188.7175,"August 05, 25",-0.0102,,,,,
2025-08-04,184.3,189,182.96,188.55,186.17,1381711,1381711,4.25,2.31,186.2025,"August 04, 25",0.0231,,,,,
2025-08-01,179.89,183.22,173.7,182.83,180.52,2193800,2193800,2.94,1.63,179.91,"August 01, 25",0.0163,,,,,
2025-07-31,188.19,189.36,184.14,185.53,183.19,1802835,1802835,-2.66,-1.41,186.805,"July 31, 25",-0.0141,,,,,
2025-07-30,188.99,190.08,186.46,187.73,185.36,951800,951800,-1.26,-0.6667,188.315,"July 30, 25",-0.006667,,,,,
2025-07-29,188.22,189.18,185.69,187.93,185.56,1243942,1243942,-0.29,-0.15408,187.755,"July 29, 25",-0.0015408,,,,,
2025-07-28,186.22,187.85,185.61,187.36,184.99,1335404,1335404,1.14,0.61218,186.76,"July 28, 25",0.0061218,,,,,
2025-07-25,183.61,186.42,181.45,186.22,183.87,1320320,1320320,2.61,1.42,184.425,"July 25, 25",0.0142,,,,,
2025-07-24,181.19,183.63,179.53,182.34,180.04,1222703,1222703,1.15,0.63469,181.6725,"July 24, 25",0.0063469,,,,,
2025-07-23,180,180.76,178.72,180.57,178.29,871964,871964,0.57,0.31667,180.0125,"July 23, 25",0.0031667,,,,,
2025-07-22,178.62,179.57,175.4,178.25,176,1266403,1266403,-0.37,-0.20714,177.96,"July 22, 25",-0.0020714,,,,,
2025-07-21,183.64,183.64,178.38,178.89,176.63,1653446,1653446,-4.75,-2.59,181.1375,"July 21, 25",-0.0259,,,,,
2025-07-18,184.77,185.57,182.27,183.12,180.81,2397953,2397953,-1.65,-0.893,183.9325,"July 18, 25",-0.00893,,,,,
2025-07-17,178.97,184.41,178.34,183.17,180.86,1868000,1868000,4.2,2.35,181.2225,"July 17, 25",0.0235,,,,,
2025-07-16,175.78,180.02,174.74,179.92,177.65,1747000,1747000,4.14,2.36,177.615,"July 16, 25",0.0236,,,,,
2025-07-15,179.93,180.09,174.36,174.49,172.29,1090343,1090343,-5.44,-3.02,177.2175,"July 15, 25",-0.0302,,,,,
2025-07-14,177.48,181.55,176.75,180.34,178.06,1331612,1331612,2.86,1.61,179.03,"July 14, 25",0.0161,,,,,
2025-07-11,178.62,179.25,177.12,177.37,175.13,713925,713925,-1.25,-0.69981,178.09,"July 11, 25",-0.0069981,,,,,
2025-07-10,177.52,180.2,177.04,180.13,177.85,980100,980100,2.61,1.47,178.7225,"July 10, 25",0.0147,,,,,
2025-07-09,176.53,178.55,175.46,176.97,174.73,927300,927300,0.44,0.24925,176.8775,"July 09, 25",0.0024925,,,,,
2025-07-08,175.49,177.84,174.08,175.1,172.89,1033726,1033726,-0.39,-0.22223,175.6275,"July 08, 25",-0.0022223,,,,,
2025-07-07,177.96,178.59,172.62,174.86,172.65,1269735,1269735,-3.1,-1.74,176.0075,"July 07, 25",-0.0174,,,,,
2025-07-03,178.84,179.94,176.67,177.96,175.71,684400,684400,-0.88,-0.49206,178.3525,"July 03, 25",-0.0049206,,,,,
2025-07-02,174.45,178.29,173.77,177.98,175.73,2546330,2546330,3.53,2.02,176.1225,"July 02, 25",0.0202,,,,,
2025-07-01,172.55,175.94,171.12,174.73,172.52,2485675,2485675,2.18,1.26,173.585,"July 01, 25",0.0126,,,,,
2025-06-30,174.8,174.93,172.32,173.2,171.01,1491727,1491727,-1.6,-0.91533,173.8125,"June 30, 25",-0.0091533,,,,,
2025-06-27,172.49,175.65,171.41,173.18,170.99,1591509,1591509,0.69,0.40002,173.1825,"June 27, 25",0.0040002,,,,,
2025-06-26,169.53,172.09,168.7,171.11,168.95,877700,877700,1.58,0.93199,170.3575,"June 26, 25",0.0093199,,,,,
2025-06-25,170.47,171.01,168.12,168.8,166.67,1233335,1233335,-1.67,-0.97964,169.6,"June 25, 25",-0.0097964,,,,,
2025-06-24,167.63,170.26,167.04,169.82,167.67,1099323,1099323,2.19,1.31,168.6875,"June 24, 25",0.0131,,,,,
2025-06-23,165.53,166.46,160.82,165.35,163.26,1119505,1119505,-0.18,-0.10874,164.54,"June 23, 25",-0.0010874,,,,,
2025-06-20,168.71,169.28,165.63,165.76,163.67,2491600,2491600,-2.95,-1.75,167.345,"June 20, 25",-0.0175,,,,,
2025-06-18,165.51,169.3,165.44,167.34,165.23,1497200,1497200,1.83,1.11,166.8975,"June 18, 25",0.0111,,,,,
2025-06-17,165.67,166.59,163.61,165.18,163.09,1086937,1086937,-0.49,-0.29577,165.2625,"June 17, 25",-0.0029577,,,,,
2025-06-16,167.32,170.46,166.82,167.03,164.92,750300,750300,-0.29,-0.17332,167.9075,"June 16, 25",-0.0017332,2025-06-16,1.12,2025-06-30,1.12,2025-05-05
2025-06-13,168.46,169.47,164.89,166.56,163.35,1143332,1143332,-1.9,-1.13,167.345,"June 13, 25",-0.0113,,,,,
2025-06-12,166.53,171.17,166.15,170.81,167.52,2457049,2457049,4.28,2.57,168.665,"June 12, 25",0.0257,,,,,
2025-06-11,169.16,170.3,168.06,168.78,165.53,1415300,1415300,-0.38,-0.22464,169.075,"June 11, 25",-0.0022464,,,,,
2025-06-10,171.91,172.3,167.1,168.58,165.33,1450374,1450374,-3.33,-1.94,169.9725,"June 10, 25",-0.0194,,,,,
2025-06-09,173.42,174.64,170.02,172.3,168.98,2359337,2359337,-1.12,-0.64583,172.595,"June 09, 25",-0.0064583,,,,,
2025-06-06,172.54,174.88,172.34,173.88,170.53,1865236,1865236,1.34,0.77663,173.41,"June 06, 25",0.0077663,,,,,
2025-06-05,168.93,170.46,167.66,169.99,166.71,1163959,1163959,1.06,0.62748,169.26,"June 05, 25",0.0062748,,,,,
2025-06-04,168.82,170.76,168.69,169.01,165.75,1364858,1364858,0.19,0.11255,169.32,"June 04, 25",0.0011255,,,,,
2025-06-03,166.4,168.74,164.94,168.53,165.28,1280147,1280147,2.13,1.28,167.1525,"June 03, 25",0.0128,,,,,
2025-06-02,164.67,167.05,163.17,166.79,163.58,1319000,1319000,2.12,1.29,165.42,"June 02, 25",0.0129,,,,,
2025-05-30,164.36,165.88,162.58,165.5,162.31,3004200,3004200,1.14,0.6936,164.58,"May 30, 25",0.006936,,,,,
2025-05-29,165.4,165.4,163.04,164.9,161.72,1112171,1112171,-0.5,-0.3023,164.685,"May 29, 25",-0.003023,,,,,
2025-05-28,165.5,165.5,163.48,163.99,160.83,999948,999948,-1.51,-0.91239,164.6175,"May 28, 25",-0.0091239,,,,,
2025-05-27,162.73,165.15,161.38,164.6,161.43,1079400,1079400,1.87,1.15,163.465,"May 27, 25",0.0115,,,,,
2025-05-23,156.13,161.71,155.52,160.29,157.2,1008800,1008800,4.16,2.66,158.4125,"May 23, 25",0.0266,,,,,
2025-05-22,158.84,160.91,158.25,159.88,156.8,961156,961156,1.04,0.65475,159.47,"May 22, 25",0.0065475,,,,,
2025-05-21,163.26,164.86,158.88,158.98,155.92,1561142,1561142,-4.28,-2.62,161.495,"May 21, 25",-0.0262,,,,,
2025-05-20,167.04,168,165.3,166.03,162.83,1984143,1984143,-1.01,-0.60465,166.5925,"May 20, 25",-0.0060465,,,,,
2025-05-19,166.75,169.94,165.29,168.64,165.39,940100,940100,1.89,1.13,167.655,"May 19, 25",0.0113,,,,,
2025-05-16,168.75,170.87,168.46,170.15,166.87,1702104,1702104,1.4,0.82963,169.5575,"May 16, 25",0.0082963,,,,,
2025-05-15,173.12,174.38,168.09,168.7,165.45,3115610,3115610,-4.42,-2.55,171.0725,"May 15, 25",-0.0255,,,,,
2025-05-14,173.34,176.39,172.25,175.83,172.44,1817900,1817900,2.49,1.44,174.4525,"May 14, 25",0.0144,,,,,
2025-05-13,173.71,175.84,171.54,172.5,169.17,2291500,2291500,-1.21,-0.69656,173.3975,"May 13, 25",-0.0069656,,,,,
2025-05-12,173.51,174.63,169.12,172.57,169.24,1892500,1892500,-0.94,-0.54176,172.4575,"May 12, 25",-0.0054176,,,,,
2025-05-09,166.02,167.64,164.51,164.95,161.77,1659104,1659104,-1.07,-0.6445,165.78,"May 09, 25",-0.006445,,,,,
2025-05-08,164.88,168.71,164.32,165.85,162.65,1785300,1785300,0.97,0.58831,165.94,"May 08, 25",0.0058831,,,,,
2025-05-07,160.07,163.52,159.8,162.08,158.96,1478903,1478903,2.01,1.26,161.3675,"May 07, 25",0.0126,,,,,
2025-05-06,159.07,163.64,156.71,159.63,156.55,1707603,1707603,0.56,0.35205,159.7625,"May 06, 25",0.0035205,,,,,
2025-05-05,156.45,163.16,155.15,160.76,157.66,2157010,2157010,4.31,2.75,158.88,"May 05, 25",0.0275,,,,,
2025-05-02,156.07,158.99,154.76,157.07,154.04,1942700,1942700,1,0.64074,156.7225,"May 02, 25",0.0064074,,,,,
2025-05-01,153.69,156.25,152.1,152.27,149.33,1075509,1075509,-1.42,-0.92394,153.5775,"May 01, 25",-0.0092394,,,,,
2025-04-30,148.81,152.91,146.18,152.53,149.59,1722226,1722226,3.72,2.5,150.1075,"April 30, 25",0.025,,,,,
2025-04-29,153,153.68,150.82,152.79,149.84,1146300,1146300,-0.21,-0.13725,152.5725,"April 29, 25",-0.0013725,,,,,
2025-04-28,153.94,156.54,151.93,153.38,150.42,1294700,1294700,-0.56,-0.36378,153.9475,"April 28, 25",-0.0036378,,,,,
2025-04-25,151.93,154.41,150.83,153.88,150.91,1290725,1290725,1.95,1.28,152.7625,"April 25, 25",0.0128,,,,,
2025-04-24,146.35,153.92,145.16,152.97,150.02,1341663,1341663,6.62,4.52,149.6,"April 24, 25",0.0452,,,,,
2025-04-23,147.99,153.33,145.29,145.95,143.14,1523017,1523017,-2.04,-1.38,148.14,"April 23, 25",-0.0138,,,,,
2025-04-22,139.82,142.86,139.28,141.72,138.99,1150627,1150627,1.9,1.36,140.92,"April 22, 25",0.0136,,,,,
2025-04-21,138.7,139.74,133.82,137.08,134.44,1532500,1532500,-1.62,-1.17,137.335,"April 21, 25",-0.0117,,,,,
2025-04-17,140.98,142.82,139.61,141.24,138.52,1210000,1210000,0.26,0.18442,141.1625,"April 17, 25",0.0018442,,,,,
2025-04-16,139.35,141.03,136.64,139.6,136.91,1783339,1783339,0.25,0.1794,139.155,"April 16, 25",0.001794,,,,,
2025-04-15,139.63,142.56,138.42,141.32,138.6,1683500,1683500,1.69,1.21,140.4825,"April 15, 25",0.0121,,,,,
2025-04-14,141.04,143.53,136.26,138.38,135.71,2297830,2297830,-2.66,-1.89,139.8025,"April 14, 25",-0.0189,,,,,
2025-04-11,133.59,138.73,130.18,137.74,135.09,3184539,3184539,4.15,3.11,135.06,"April 11, 25",0.0311,,,,,
2025-04-10,136.79,139.09,130.7,135.77,133.15,3935100,3935100,-1.02,-0.74567,135.5875,"April 10, 25",-0.0074567,,,,,
2025-04-09,121.41,143.93,118.82,142.37,139.63,4616518,4616518,20.96,17.26,131.6325,"April 09, 25",0.1726,,,,,
2025-04-08,131.32,134.5,120.69,123.21,120.84,4718977,4718977,-8.11,-6.18,127.43,"April 08, 25",-0.0618,,,,,
2025-04-07,114,128,110.63,124.73,122.33,6475236,6475236,10.73,9.41,119.34,"April 07, 25",0.0941,,,,,
2025-04-04,121.6,124.19,113.24,118.04,115.76,7645287,7645287,-3.56,-2.93,119.2675,"April 04, 25",-0.0293,,,,,
2025-04-03,145.83,145.83,129.69,130.59,128.07,3035358,3035358,-15.24,-10.45,137.985,"April 03, 25",-0.1045,,,,,
2025-04-02,146.02,154.85,146.02,154.5,151.52,2113600,2113600,8.48,5.81,150.3475,"April 02, 25",0.0581,,,,,
2025-04-01,147.09,149.93,144.77,149.44,146.56,2170713,2170713,2.35,1.6,147.8075,"April 01, 25",0.016,,,,,
2025-03-31,142,147.3,139.54,146.61,143.78,2009812,2009812,4.61,3.25,143.8625,"March 31, 25",0.0325,,,,,
2025-03-28,146.99,148.67,142.69,144.9,142.11,1654290,1654290,-2.09,-1.42,145.8125,"March 28, 25",-0.0142,,,,,
2025-03-27,150.8,152.75,144.95,148.4,145.54,1921868,1921868,-2.4,-1.59,149.225,"March 27, 25",-0.0159,,,,,
2025-03-26,155.66,156.4,152.02,153.28,150.33,2110418,2110418,-2.38,-1.53,154.34,"March 26, 25",-0.0153,,,,,
2025-03-25,154.34,156.05,151.5,155.63,152.63,3835846,3835846,1.29,0.83582,154.38,"March 25, 25",0.0083582,,,,,
2025-03-24,151.04,154.12,150.55,153.75,150.79,1724915,1724915,2.71,1.79,152.365,"March 24, 25",0.0179,,,,,
2025-03-21,145.98,149.04,144.48,147.71,144.86,1749571,1749571,1.73,1.19,146.8025,"March 21, 25",0.0119,,,,,
2025-03-20,146,149.26,146,147.34,144.5,993127,993127,1.34,0.91781,147.15,"March 20, 25",0.0091781,,,,,
2025-03-19,145.06,149.19,142.73,147.61,144.76,1638000,1638000,2.55,1.76,146.1475,"March 19, 25",0.0176,,,,,
2025-03-18,146.22,147.23,142.85,144.02,141.24,1292300,1292300,-2.2,-1.5,145.08,"March 18, 25",-0.015,,,,,
2025-03-17,142.9,148.21,142.53,147.11,144.27,1481718,1481718,4.21,2.95,145.1875,"March 17, 25",0.0295,2025-03-17,1.12,2025-03-31,1.12,2025-02-05
2025-03-14,143.91,145.78,142,144.36,140.48,1565829,1565829,0.45,0.3127,144.0125,"March 14, 25",0.003127,,,,,
