date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,dividend,paymentDate,adjDividend,declarationDate
2026-01-02,162.68,166.55,161.22,166.33,166.33,1310000,1310000,3.65,2.24,164.195,"January 02, 26",0.0224,,,,,
2025-12-31,163.2,164.05,161.52,161.63,161.63,1247341,1247341,-1.57,-0.96201,162.6,"December 31, 25",-0.0096201,,,,,
2025-12-30,169.01,169.01,163.11,163.23,163.23,1852738,1852738,-5.78,-3.42,166.09,"December 30, 25",-0.0342,,,,,
2025-12-29,168.53,170.07,167.56,169.16,169.16,1648100,1648100,0.625,0.37382,168.83,"December 29, 25",0.0037382,,,,,
2025-12-26,168.81,169.85,168.02,168.73,168.73,765600,765600,-0.08,-0.04739056,168.8525,"December 26, 25",-0.0004739056,,,,,
2025-12-24,169.17,169.69,168.14,169.06,169.06,644645,644645,-0.11,-0.06502335,169.015,"December 24, 25",-0.0006502335,,,,,
2025-12-23,170,171.08,168.49,168.74,168.74,1502300,1502300,-1.26,-0.74118,169.5775,"December 23, 25",-0.0074118,,,,,
2025-12-22,167.06,171.91,166.75,170.29,170.29,1942213,1942213,3.23,1.93,169.0025,"December 22, 25",0.0193,,,,,
2025-12-19,166,167.39,162.08,165.68,165.68,5186149,5186149,-0.32,-0.19277,165.2875,"December 19, 25",-0.0019277,,,,,
2025-12-18,169.84,171.07,166.59,166.66,166.66,2757113,2757113,-3.18,-1.87,168.54,"December 18, 25",-0.0187,,,,,
2025-12-17,172.45,173.83,167.94,168.51,168.51,3255900,3255900,-3.94,-2.28,170.6825,"December 17, 25",-0.0228,2025-12-17,1.12,2025-12-31,1.12,2025-11-03
2025-12-16,172.94,174.64,171.1,173.61,172.49,2884400,2884400,0.67,0.38742,173.0725,"December 16, 25",0.0038742,,,,,
2025-12-15,174.38,175.68,172.03,172.68,171.57,2785147,2785147,-1.7,-0.97488,173.6925,"December 15, 25",-0.0097488,,,,,
2025-12-12,178.21,178.21,171.05,173.78,172.66,3332495,3332495,-4.43,-2.49,175.3125,"December 12, 25",-0.0249,,,,,
2025-12-11,178,179.88,174.89,176.87,175.73,4140936,4140936,-1.13,-0.63483,177.41,"December 11, 25",-0.0063483,,,,,
2025-12-10,178.58,181.19,174.71,178.28,177.13,47940600,47940600,-0.3,-0.16799,178.19,"December 10, 25",-0.0016799,,,,,
2025-12-09,178.81,179.71,173.53,176.2,175.06,15485828,15485828,-2.61,-1.46,177.0625,"December 09, 25",-0.0146,,,,,
2025-12-08,162.16,165.53,160,164.26,163.2,2344100,2344100,2.1,1.3,162.9875,"December 08, 25",0.013,,,,,
