date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,recordDate,adjDividend,declarationDate
2026-01-02,199.29,208.81,199.26,207.56,207.56,3224130,3224130,8.27,4.15,203.73,"January 02, 26",0.0415,,,,,
2025-12-31,197.77,198.3,193.4,193.56,193.56,1193949,1193949,-4.21,-2.13,195.7575,"December 31, 25",-0.0213,,,,,
2025-12-30,198.01,198.2,195,196.67,196.67,1989405,1989405,-1.34,-0.67673,196.97,"December 30, 25",-0.0067673,,,,,
2025-12-29,196.71,199.09,195.6,197.36,197.36,1717971,1717971,0.65,0.33044,197.19,"December 29, 25",0.0033044,,,,,
2025-12-26,199.25,199.47,196.73,198.9,198.9,1247800,1247800,-0.35,-0.17566,198.5875,"December 26, 25",-0.0017566,,,,,
2025-12-24,198.5,199.63,197.29,198.53,198.53,713100,713100,0.03,0.01511335,198.4875,"December 24, 25",0.0001511335,,,,,
2025-12-23,196.14,199.32,195.61,198.5,198.5,1344900,1344900,2.36,1.2,197.3925,"December 23, 25",0.012,,,,,
2025-12-22,201.05,202,196.91,197.22,197.22,2756506,2756506,-3.82,-1.9,199.295,"December 22, 25",-0.019,,,,,
2025-12-19,191.94,196.49,191.51,195.18,195.18,7880500,7880500,3.24,1.69,193.78,"December 19, 25",0.0169,,,,,
2025-12-18,192.5,195.08,189.27,190.45,190.45,2754700,2754700,-2.05,-1.06,191.825,"December 18, 25",-0.0106,,,,,
2025-12-17,194,194.57,182.16,185.21,185.21,3577500,3577500,-8.79,-4.53,188.985,"December 17, 25",-0.0453,,,,,
2025-12-16,194.4,195.38,189.14,192.29,192.29,3711556,3711556,-2.11,-1.09,192.8025,"December 16, 25",-0.0109,,,,,
2025-12-15,199.91,200.49,193.55,194.7,194.7,3223300,3223300,-5.21,-2.61,197.1625,"December 15, 25",-0.0261,,,,,
2025-12-12,201.31,202.29,191.85,193.37,193.37,4163304,4163304,-7.94,-3.94,197.205,"December 12, 25",-0.0394,,,,,
2025-12-11,201.14,204.03,195.98,203.97,203.97,2507100,2507100,2.83,1.41,201.28,"December 11, 25",0.0141,,,,,
2025-12-10,199.78,204.7,198.83,204.01,204.01,2057565,2057565,4.23,2.12,201.83,"December 10, 25",0.0212,,,,,
2025-12-09,200.2,201.88,198,199.97,199.97,1871446,1871446,-0.23,-0.11489,200.0125,"December 09, 25",-0.0011489,,,,,
2025-12-08,203.06,205,201.48,202.99,202.99,2100000,2100000,-0.07,-0.03447257,203.1325,"December 08, 25",-0.0003447257,,,,,
2025-12-05,200,203.12,199.04,200.77,200.77,2656318,2656318,0.77,0.385,200.7325,"December 05, 25",0.00385,,,,,
2025-12-04,193,200.85,193,198.63,198.63,4260700,4260700,5.63,2.92,196.37,"December 04, 25",0.0292,,,,,
2025-12-03,191.52,196.2,189,195.08,195.08,3339579,3339579,3.56,1.86,192.95,"December 03, 25",0.0186,,,,,
2025-12-02,186.34,191.48,185.89,189.94,189.94,3721700,3721700,3.6,1.93,188.4125,"December 02, 25",0.0193,,,,,
2025-12-01,179.17,182.87,178.04,179.63,179.63,2765810,2765810,0.465,0.25674,179.9275,"December 01, 25",0.0025674,,,,,
2025-11-28,179.7,182.17,179.46,181.89,181.89,1877111,1877111,2.19,1.22,180.805,"November 28, 25",0.0122,,,,,
2025-11-26,169.62,180.89,168.81,179.38,179.38,3744931,3744931,9.76,5.75,174.675,"November 26, 25",0.0575,,,,,
2025-11-25,165.33,168.09,160.36,167.67,167.67,2833722,2833722,2.34,1.42,165.3625,"November 25, 25",0.0142,,,,,
2025-11-24,160,167.61,159.5,165.97,165.97,5139900,5139900,5.97,3.73,163.27,"November 24, 25",0.0373,2025-12-17,0.12,2025-11-24,0.12,2025-11-10
2025-11-21,155.33,160.62,151.52,158.91,158.79,3871582,3871582,3.58,2.3,156.595,"November 21, 25",0.023,,,,,
2025-11-20,172.28,173.83,154.71,155.9,155.78,5142703,5142703,-16.38,-9.51,164.18,"November 20, 25",-0.0951,,,,,
2025-11-19,164.58,170.4,162.76,168.23,168.1,2726226,2726226,3.65,2.22,166.4925,"November 19, 25",0.0222,,,,,
2025-11-18,165.51,167.32,163,163.72,163.6,2803857,2803857,-1.79,-1.08,164.8875,"November 18, 25",-0.0108,,,,,
2025-11-17,168.47,173.38,164.49,167.44,167.31,3517700,3517700,-1.03,-0.61138,168.445,"November 17, 25",-0.0061138,,,,,
2025-11-14,163.92,173.81,163.2,169.97,169.84,3208315,3208315,6.05,3.69,167.725,"November 14, 25",0.0369,,,,,
2025-11-13,176.23,177,167.6,169.59,169.46,4473200,4473200,-6.64,-3.77,172.605,"November 13, 25",-0.0377,,,,,
2025-11-12,180.2,181.27,177.19,179.27,179.13,2365827,2365827,-0.93,-0.51609,179.4825,"November 12, 25",-0.0051609,,,,,
2025-11-11,183.36,183.36,175.65,177.23,177.1,2928800,2928800,-6.13,-3.34,179.9,"November 11, 25",-0.0334,,,,,
