holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-7
VANGUARD GROUP INC,281214155,2025-09-30,18736600
"BlackRock, Inc.",184571751,2025-09-30,10531463
STATE STREET CORP,158329431,2025-09-30,-2389393
HARRIS ASSOCIATES L P,95960593,2025-09-30,-12965492
"GEODE CAPITAL MANAGEMENT, LLC",65569229,2025-09-30,5477766
"Sessa Capital IM, L.P.",50624148,2025-09-30,0
FMR LLC,41218389,2025-09-30,22852939
Invesco Ltd.,35719966,2025-09-30,-8854526
Jericho Capital Asset Management L.P.,35095390,2025-09-30,18291865
Pentwater Capital Management LP,27060000,2025-09-30,27060000
MORGAN STANLEY,26207929,2025-09-30,451683
UBS Group AG,24497118,2025-09-30,-2664214
NORTHERN TRUST CORP,23496725,2025-09-30,876869
JPMORGAN CHASE & CO,23170273,2025-09-30,5494651
"Pacer Advisors, Inc.",22788847,2025-09-30,22308046
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,19094455,2025-09-30,-368779
DIMENSIONAL FUND ADVISORS LP,18820858,2025-09-30,1658317
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,18344401,2025-09-30,-1327200
UBS ASSET MANAGEMENT AMERICAS INC,17410291,2025-09-30,-1000563
Amundi,15523538,2025-09-30,5798592
GOLDMAN SACHS GROUP INC,15470876,2025-09-30,4450201
BANK OF AMERICA CORP /DE/,15312230,2025-09-30,-2490010
Legal & General Group Plc,14285853,2025-09-30,869863
Bank of New York Mellon Corp,13307032,2025-09-30,621751
Independent Franchise Partners LLP,13107132,2025-09-30,69208
DEUTSCHE BANK AG\,12916433,2025-09-30,2428513
Slate Path Capital LP,11804700,2025-09-30,-9523300
Contrarius Group Holdings Ltd,11803203,2025-09-30,-3122167
BARCLAYS PLC,11325254,2025-09-30,-11180465
Allianz Asset Management GmbH,9326978,2025-09-30,5873183
Newport Trust Co,8178358,2025-09-30,-412286
Neuberger Berman Group LLC,7852367,2025-09-30,5836952
"BNP PARIBAS ARBITRAGE, SNC",7755858,2025-09-30,-4677781
YACKTMAN ASSET MANAGEMENT LP,7338337,2025-09-30,-288460
"Nuveen, LLC",7272417,2025-09-30,-7713143
Swiss National Bank,6775127,2025-09-30,-338900
CITADEL ADVISORS LLC,6391148,2025-09-30,-9572539
"D. E. Shaw & Co., Inc.",6128665,2025-09-30,1826906
RHUMBLINE ADVISERS,5877052,2025-09-30,176223
THRIVENT FINANCIAL FOR LUTHERANS,5864153,2025-09-30,-1099717
XN LP,5614725,2025-09-30,5614725
"MARSHALL WACE, LLP",5127260,2025-09-30,5127260
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",5043156,2025-09-30,441656
"Sumitomo Mitsui Trust Holdings, Inc.",4990533,2025-09-30,93054
MILLENNIUM MANAGEMENT LLC,4935725,2025-09-30,3893578
"EMINENCE CAPITAL, LP",4750267,2025-09-30,-1458540
CANADA PENSION PLAN INVESTMENT BOARD,4455108,2025-09-30,4317564
SOUND SHORE MANAGEMENT INC /CT/,4340858,2025-09-30,-4206380
HSBC HOLDINGS PLC,4172318,2025-09-30,-193180
CITIGROUP INC,4051806,2025-09-30,-3481332
PRIVATE MANAGEMENT GROUP INC,3974671,2025-09-30,-1619537
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,3961385,2025-09-30,267057
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",3959259,2025-09-30,1318596
Sachem Head Capital Management LP,3860000,2025-09-30,3860000
Senator Investment Group LP,3836744,2025-09-30,-229639
National Pension Service,3739343,2025-09-30,125100
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,3716841,2025-09-30,186936
PRICE T ROWE ASSOCIATES INC /MD/,3631992,2025-09-30,358512
Verition Fund Management LLC,3583830,2025-09-30,3123300
ROYAL BANK OF CANADA,3396509,2025-09-30,-2878455
FIRST TRUST ADVISORS LP,3342809,2025-09-30,-1309320
ProShare Advisors LLC,3131958,2025-09-30,-634650
