date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,recordDate,paymentDate,declarationDate
2022-03-28,709.89,733.64,706.69,730.92,677.07,515500,515500,21.03,2.96,720.285,"March 28, 22",0.0296,,,,,
2022-03-25,717.12,717.74,700.55,710.14,657.82,365347,365347,-6.98,-0.97334,711.3875,"March 25, 22",-0.0097334,,,,,
2022-03-24,708.92,711.99,702.54,711.63,659.2,273600,273600,2.71,0.38227,708.77,"March 24, 22",0.0038227,,,,,
2022-03-23,715.86,718.23,701.97,707.82,655.67,264816,264816,-8.04,-1.12,710.97,"March 23, 22",-0.0112,,,,,
2022-03-22,719.61,721.4,714.8,719.1,666.12,348808,348808,-0.51,-0.07087172,718.7275,"March 22, 22",-0.0007087172,,,,,
2022-03-21,728.15,735.5,713.6,717.75,664.87,348800,348800,-10.4,-1.43,723.75,"March 21, 22",-0.0143,,,,,
2022-03-18,724.88,734.84,719.86,732.26,678.31,714700,714700,7.38,1.02,727.96,"March 18, 22",0.0102,,,,,
2022-03-17,705.77,720.35,705.77,719.86,666.82,312200,312200,14.09,2,712.9375,"March 17, 22",0.02,,,,,
2022-03-16,707.24,711.22,690.42,704.06,652.18,434326,434326,-3.18,-0.44964,703.235,"March 16, 22",-0.0044964,,,,,
2022-03-15,693.12,704,681.33,701.64,649.94,330861,330861,8.52,1.23,695.0225,"March 15, 22",0.0123,,,,,
2022-03-14,698.74,702.24,676.39,683.6,633.23,355126,355126,-15.14,-2.17,690.2425,"March 14, 22",-0.0217,,,,,
2022-03-11,710.82,711.1,693.53,693.55,642.45,359900,359900,-17.27,-2.43,702.25,"March 11, 22",-0.0243,,,,,
2022-03-10,689.81,708.26,687,706.48,654.43,464900,464900,16.67,2.42,697.8875,"March 10, 22",0.0242,,,,,
2022-03-09,699.45,713.77,688.12,704.2,652.31,465319,465319,4.75,0.67911,701.385,"March 09, 22",0.0067911,,,,,
2022-03-08,703.78,703.78,681.07,681.42,631.21,702959,702959,-22.36,-3.18,692.5125,"March 08, 22",-0.0318,,,,,
2022-03-07,717.94,720.56,701.97,703.07,651.27,460643,460643,-14.87,-2.07,710.885,"March 07, 22",-0.0207,,,,,
2022-03-04,717.72,725.47,713.36,720.92,667.8,463800,463800,3.2,0.44586,719.3675,"March 04, 22",0.0044586,3.1,3.1,2022-03-07,2022-03-23,2022-02-16
2022-03-03,710.28,725.3,709.02,720.82,664.84,406903,406903,10.54,1.48,716.355,"March 03, 22",0.0148,,,,,
2022-03-02,705.44,712,699.04,709.46,654.36,530518,530518,4.02,0.56986,706.485,"March 02, 22",0.0056986,,,,,
2022-03-01,711.45,717.06,703.66,710.8,655.6,506300,506300,-0.65,-0.09136271,710.7425,"March 01, 22",-0.0009136271,,,,,
2022-02-28,707.67,711.02,698.61,709.73,654.61,583100,583100,2.06,0.2911,706.7575,"February 28, 22",0.002911,,,,,
2022-02-25,700,718.59,691.86,715.74,660.16,565804,565804,15.74,2.25,706.5475,"February 25, 22",0.0225,,,,,
2022-02-24,668,709.19,662.26,705.49,650.7,832300,832300,37.49,5.61,686.235,"February 24, 22",0.0561,,,,,
2022-02-23,681.81,693.19,672.32,674.13,621.78,415800,415800,-7.68,-1.13,680.3625,"February 23, 22",-0.0113,,,,,
2022-02-22,679,691.8,676,680.77,627.9,588840,588840,1.77,0.26068,681.8925,"February 22, 22",0.0026068,,,,,
2022-02-18,691.18,702.52,688.22,692.94,639.13,536448,536448,1.76,0.25464,693.715,"February 18, 22",0.0025464,,,,,
2022-02-17,713.14,719.95,689.44,691.61,637.9,767110,767110,-21.53,-3.02,703.535,"February 17, 22",-0.0302,,,,,
2022-02-16,677.64,677.64,666.24,673.58,621.27,451429,451429,-4.06,-0.59914,673.775,"February 16, 22",-0.0059914,,,,,
2022-02-15,675.53,680.68,670.3,673.38,621.09,443900,443900,-2.15,-0.31827,674.9725,"February 15, 22",-0.0031827,,,,,
2022-02-14,666.89,673.98,662.45,669.38,617.4,539400,539400,2.49,0.37337,668.175,"February 14, 22",0.0037337,,,,,
