holder,shares,dateReported,change
VANGUARD GROUP INC,20679128,2025-09-30,372715
"BlackRock, Inc.",14549643,2025-09-30,-367301
STATE STREET CORP,12809337,2025-09-30,1894732
PRINCIPAL FINANCIAL GROUP INC,9725776,2025-09-30,1763511
CANADA PENSION PLAN INVESTMENT BOARD,8900478,2025-09-30,94257
FMR LLC,8167453,2025-09-30,2164553
BANK OF AMERICA CORP /DE/,6222773,2025-09-30,351560
"Select Equity Group, L.P.",5571318,2025-09-30,-1280051
WELLINGTON MANAGEMENT GROUP LLP,5559713,2025-09-30,-1085995
Independent Franchise Partners LLP,5540614,2025-09-30,-99692
Capital World Investors,5145834,2025-09-30,237342
MORGAN STANLEY,4874459,2025-09-30,756784
"GEODE CAPITAL MANAGEMENT, LLC",4281735,2025-09-30,35653
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,3071673,2025-09-30,212592
Jericho Capital Asset Management L.P.,2897162,2025-09-30,0
CANTILLON CAPITAL MANAGEMENT LLC,2775959,2025-09-30,-30626
Artisan Partners Limited Partnership,2375919,2025-09-30,-104381
Findlay Park Partners LLP,2022600,2025-09-30,-36800
GROUPAMA ASSET MANAGMENT,2005387,2025-09-30,1398
PRICE T ROWE ASSOCIATES INC /MD/,1907888,2025-09-30,86096
Invesco Ltd.,1689374,2025-09-30,-111523
GOLDMAN SACHS GROUP INC,1593940,2025-09-30,300494
NORTHERN TRUST CORP,1465749,2025-09-30,-345
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",1400174,2025-09-30,-224841
Third Point LLC,1350000,2025-09-30,-625000
UBS Group AG,1339541,2025-09-30,7927
DIMENSIONAL FUND ADVISORS LP,1206435,2025-09-30,19825
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",1198141,2025-09-30,1198141
FRANKLIN RESOURCES INC,1157799,2025-09-30,-207563
BARCLAYS PLC,1150063,2025-09-30,104031
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1149746,2025-09-30,39425
HSBC HOLDINGS PLC,1084934,2025-09-30,-85343
BESSEMER GROUP INC,1084387,2025-09-30,-147953
JPMORGAN CHASE & CO,1065903,2025-09-30,-166558
CI INVESTMENTS INC.,1014190,2025-09-30,-103097
Sculptor Capital LP,1000000,2025-09-30,278337
"Nuveen, LLC",976103,2025-09-30,-368042
DEUTSCHE BANK AG\,955214,2025-09-30,-52352
DAVENPORT & Co LLC,927408,2025-09-30,-190081
"Bain Capital Public Equity Management II, LLC",911914,2025-09-30,783252
Bank of New York Mellon Corp,858070,2025-09-30,31553
Legal & General Group Plc,824118,2025-09-30,35687
"Holocene Advisors, LP",814163,2025-09-30,456373
"Clearbridge Investments, LLC",804910,2025-09-30,-26163
Amundi,800756,2025-09-30,-77490
