holder,shares,dateReported,change
VANGUARD GROUP INC,21883139,2025-09-30,-315555
"BlackRock, Inc.",14549563,2025-09-30,-429798
PRIMECAP MANAGEMENT CO/CA/,9646282,2025-09-30,-367570
WELLINGTON MANAGEMENT GROUP LLP,9018292,2025-09-30,-550333
STATE STREET CORP,8032171,2025-09-30,-143086
JPMORGAN CHASE & CO,5847869,2025-09-30,230871
FMR LLC,5785627,2025-09-30,-300192
"GEODE CAPITAL MANAGEMENT, LLC",4561877,2025-09-30,-35291
"T. Rowe Price Investment Management, Inc.",3643236,2025-09-30,-539509
VICTORY CAPITAL MANAGEMENT INC,2764001,2025-09-30,-75372
MORGAN STANLEY,2670096,2025-09-30,421357
FIRST TRUST ADVISORS LP,2597519,2025-09-30,111950
EARNEST PARTNERS LLC,2471824,2025-09-30,-8911
DIMENSIONAL FUND ADVISORS LP,2357328,2025-09-30,227337
Invesco Ltd.,2083748,2025-09-30,-57424
NORTHERN TRUST CORP,2056105,2025-09-30,-46072
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,2007355,2025-09-30,-399394
BANK OF AMERICA CORP /DE/,1997480,2025-09-30,-291230
GOLDMAN SACHS GROUP INC,1912163,2025-09-30,88517
UBS ASSET MANAGEMENT AMERICAS INC,1452018,2025-09-30,-383954
MILLENNIUM MANAGEMENT LLC,1406856,2025-09-30,1334567
HSBC HOLDINGS PLC,1300452,2025-09-30,329100
Legal & General Group Plc,1251403,2025-09-30,-4213
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1088537,2025-09-30,-18301
"Harfst & Associates, Inc.",1030937,2025-09-30,-6518
Bank of New York Mellon Corp,984832,2025-09-30,-12025
SEI INVESTMENTS CO,932602,2025-09-30,25018
MERCER GLOBAL ADVISORS INC /ADV,897019,2025-09-30,-151732
AQR CAPITAL MANAGEMENT LLC,783144,2025-09-30,242552
RAYMOND JAMES FINANCIAL INC,750933,2025-09-30,-14641
"Nuveen, LLC",741647,2025-09-30,-31100
PRUDENTIAL FINANCIAL INC,670337,2025-09-30,168044
CONGRESS ASSET MANAGEMENT CO /MA,639090,2025-09-30,-101863
ENVESTNET ASSET MANAGEMENT INC,618929,2025-09-30,-37336
UBS Group AG,614078,2025-09-30,-27398
FRANKLIN RESOURCES INC,606732,2025-09-30,-49487
BARCLAYS PLC,597679,2025-09-30,-122574
DEUTSCHE BANK AG\,597226,2025-09-30,10626
"PNC FINANCIAL SERVICES GROUP, INC.",581418,2025-09-30,-3340
PRINCIPAL FINANCIAL GROUP INC,575952,2025-09-30,-28121
"Sumitomo Mitsui Trust Holdings, Inc.",470732,2025-09-30,-11653
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,466925,2025-09-30,348782
AMERIPRISE FINANCIAL INC,437816,2025-09-30,-131234
SILVERCREST ASSET MANAGEMENT GROUP LLC,421058,2025-09-30,26113
"BNP PARIBAS ARBITRAGE, SNC",408221,2025-09-30,-8754
Sterling Capital Management LLC,381254,2025-09-30,-29016
"PALISADE CAPITAL MANAGEMENT, LP",378059,2025-09-30,2500
PRICE T ROWE ASSOCIATES INC /MD/,377152,2025-09-30,69907
CITIGROUP INC,375569,2025-09-30,7558
ALLIANCEBERNSTEIN L.P.,374179,2025-09-30,90294
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",372074,2025-09-30,16915
WELLS FARGO & COMPANY/MN,369168,2025-09-30,-45239
"Fisher Asset Management, LLC",367253,2025-09-30,-120948
Amundi,357760,2025-09-30,-34210
RHUMBLINE ADVISERS,356206,2025-09-30,-4720
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,341202,2025-09-30,-1792
NEW YORK STATE COMMON RETIREMENT FUND,325183,2025-09-30,591
TD ASSET MANAGEMENT INC,324038,2025-09-30,-53350
CANADA PENSION PLAN INVESTMENT BOARD,323846,2025-09-30,93536
"NATIXIS ADVISORS, L.P.",315859,2025-09-30,36191
Qube Research & Technologies Ltd,299193,2025-09-30,-221682
IAT REINSURANCE CO LTD.,298125,2025-09-30,0
"CBOE Vest Financial, LLC",298088,2025-09-30,5822
BANK OF MONTREAL /CAN/,291348,2025-09-30,10274
BALYASNY ASSET MANAGEMENT L.P.,288583,2025-09-30,284941
"Clearbridge Investments, LLC",287920,2025-09-30,42257
AMERICAN CENTURY COMPANIES INC,284620,2025-09-30,-403785
National Pension Service,280805,2025-09-30,4488
Ceredex Value Advisors LLC,280137,2025-09-30,-4744
