date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2026-01-02,938.4,1004.96,938.4,1003.64,1003.64,395974,395974,65.24,6.95,971.35,"January 02, 26",0.0695,,,,,
2025-12-31,950.51,954.95,932.33,933.29,933.29,192800,192800,-17.22,-1.81,942.77,"December 31, 25",-0.0181,,,,,
2025-12-30,950.67,958.06,944.23,946.93,946.93,216200,216200,-3.74,-0.39341,949.9725,"December 30, 25",-0.0039341,,,,,
2025-12-29,953.94,964.68,943.5,950.67,950.67,259472,259472,-3.27,-0.34279,953.1975,"December 29, 25",-0.0034279,,,,,
2025-12-26,961.66,967.08,953.3,963.83,963.83,170536,170536,2.17,0.22565,961.4675,"December 26, 25",0.0022565,,,,,
2025-12-24,964.03,964.72,953,958.07,958.07,155010,155010,-5.96,-0.61824,959.955,"December 24, 25",-0.0061824,,,,,
2025-12-23,948.33,970,946.23,965.37,965.37,327851,327851,17.04,1.8,957.4825,"December 23, 25",0.018,,,,,
2025-12-22,955.1,974.35,943.87,950.79,950.79,452041,452041,-4.31,-0.45126,956.0275,"December 22, 25",-0.0045126,,,,,
2025-12-19,929.05,952.84,922.05,940.74,940.74,8010017,8010017,11.69,1.26,936.17,"December 19, 25",0.0126,,,,,
2025-12-18,908,926.48,896.19,918.54,918.54,512532,512532,10.54,1.16,912.3025,"December 18, 25",0.0116,,,,,
2025-12-17,970.3,976.62,878.59,883.79,883.79,800100,800100,-86.51,-8.92,927.325,"December 17, 25",-0.0892,,,,,
2025-12-16,985.1,985.1,953.14,968.5,968.5,428441,428441,-16.6,-1.69,972.96,"December 16, 25",-0.0169,,,,,
2025-12-15,962.86,986.2,961.4,968.48,968.48,400300,400300,5.62,0.58368,969.735,"December 15, 25",0.0058368,,,,,
2025-12-12,1011.69,1023.87,912.4,967.95,967.95,869453,869453,-43.74,-4.32,978.9775,"December 12, 25",-0.0432,,,,,
2025-12-11,1016.4,1025.4,975.05,1024.92,1024.92,438900,438900,8.53,0.83825,1010.4425,"December 11, 25",0.0083825,,,,,
2025-12-10,993.41,1028.95,968.3,1021.36,1021.36,401795,401795,27.95,2.81,1003.005,"December 10, 25",0.0281,,,,,
2025-12-09,983.9,997.83,978,983.61,983.61,345201,345201,-0.29,-0.02947454,985.835,"December 09, 25",-0.0002947454,,,,,
2025-12-08,1008.65,1036.67,986.11,989.48,989.48,647827,647827,-19.17,-1.9,1005.2275,"December 08, 25",-0.019,,,,,
2025-12-05,1008.08,1014.78,977.17,1001.48,1001.48,381400,381400,-6.6,-0.65471,1000.3775,"December 05, 25",-0.0065471,,,,,
2025-12-04,950,1006.6,940,1004.65,1004.65,518454,518454,54.65,5.75,975.3125,"December 04, 25",0.0575,,,,,
