date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,close,change,vwap,low,open,high,unadjustedVolume,changePercent,changeOverTime,adjClose,volume
2025-10-06,"October 06, 25",,,,,,167.05,-0.01,166.8325,165.38,167.06,167.84,334803,-0.00598587,-5.98587e-05,166.33,334803
2025-10-03,"October 03, 25",,,,,,167,0.27,166.9275,165.69,166.73,168.29,471330,0.16194,0.0016194,166.29,471330
2025-10-02,"October 02, 25",,,,,,165.18,0.64,164.9325,163.72,164.54,166.29,603309,0.38896,0.0038896,164.47,603309
2025-10-01,"October 01, 25",,,,,,164.1,2.52,162.7275,161,161.58,164.23,630314,1.56,0.0156,163.4,630314
2025-09-30,"September 30, 25",,,,,,162.76,0.69,161.9975,160.35,162.07,162.81,690400,0.42574,0.0042574,162.06,690400
2025-09-29,"September 29, 25",,,,,,162.19,-0.21,162.025,160.58,162.4,162.93,691900,-0.12931,-0.0012931,161.5,691900
2025-09-26,"September 26, 25",,,,,,161.35,1.55,160.5225,159.29,159.8,161.65,489300,0.96996,0.0096996,160.66,489300
2025-09-25,"September 25, 25",,,,,,159.28,0.28,159.0525,158.19,159,159.74,835617,0.1761,0.001761,158.6,835617
2025-09-24,"September 24, 25",,,,,,159.76,0.61,159.6625,159.06,159.15,160.68,630836,0.38329,0.0038329,159.08,630836
2025-09-23,"September 23, 25",,,,,,159.4,-1.96,160.5725,159.15,161.36,162.38,478500,-1.21,-0.0121,158.72,478500
2025-09-22,"September 22, 25",,,,,,160.6,-0.26,160.43,159,160.86,161.26,661308,-0.16163,-0.0016163,159.91,661308
2025-09-19,"September 19, 25",,,,,,161.03,-2.97,162.5925,160.59,164,164.75,1828327,-1.81,-0.0181,160.34,1828327
2025-09-18,"September 18, 25",,,,,,162.06,1.23,161.51,160.08,160.83,163.07,608231,0.76478,0.0076478,161.37,608231
2025-09-17,"September 17, 25",,,,,,159.59,-4.6,162.2175,159.18,164.19,165.91,1033300,-2.8,-0.028,158.91,1033300
2025-09-16,"September 16, 25",,,,,,163.84,2.61,162.4625,160.8,161.23,163.98,747700,1.62,0.0162,163.14,747700
2025-09-15,"September 15, 25",,,,,,161.16,-0.31,161.1875,159.97,161.47,162.15,677300,-0.19199,-0.0019199,160.47,677300
2025-09-12,"September 12, 25",,,,,,160.55,-3.67,162.4425,160.55,164.22,164.45,394466,-2.23,-0.0223,159.86,394466
2025-09-11,"September 11, 25",,,,,,164.49,3.91,162.605,160.58,160.58,164.77,743108,2.43,0.0243,163.79,743108
2025-09-10,"September 10, 25",,,,,,160.17,-1.44,160.9575,159.4,161.61,162.65,786132,-0.89103,-0.0089103,159.48,786132
2025-09-09,"September 09, 25",,,,,,162.01,-1.79,162.6575,161,163.8,163.82,557850,-1.09,-0.0109,161.32,557850
2025-09-08,"September 08, 25",,,,,,164.17,-0.66,164.0225,162.22,164.83,164.87,738400,-0.40041,-0.0040041,163.47,738400
2025-09-05,"September 05, 25",,,,,,164.93,-0.68,165.3825,163.99,165.61,167,647510,-0.4106,-0.004106,164.22,647510
2025-09-04,"September 04, 25",,,,,,164.86,3.47,162.8875,160.39,161.39,164.91,515700,2.15,0.0215,164.15,515700
2025-09-03,"September 03, 25",,,,,,161.32,-0.28,161.4525,160.3,161.6,162.59,960100,-0.17327,-0.0017327,160.63,960100
2025-09-02,"September 02, 25",,,,,,162.15,-0.31,162.05,160.6,162.46,162.99,839315,-0.19082,-0.0019082,161.46,839315
2025-08-29,"August 29, 25",,,,,,164.5,-1.13,164.985,163.83,165.63,165.98,445723,-0.68224,-0.0068224,163.8,445723
2025-08-28,"August 28, 25",,,,,,165.22,-1.78,165.7325,163.71,167,167,584200,-1.07,-0.0107,164.51,584200
2025-08-27,"August 27, 25",,,,,,166.08,1,165.805,164.97,165.08,167.09,612300,0.60577,0.0060577,165.37,612300
2025-08-26,"August 26, 25",,,,,,166,0.3,165.6625,164.69,165.7,166.26,755121,0.18105,0.0018105,165.29,755121
2025-08-25,"August 25, 25",,,,,,165.98,-2.75,167.375,165.96,168.73,168.83,463600,-1.63,-0.0163,165.27,463600
2025-08-22,"August 22, 25",,,,,,168.56,5.03,166.05,163.29,163.53,168.82,1228900,3.08,0.0308,167.84,1228900
2025-08-21,"August 21, 25",,,,,,162.38,-1.31,163.23,162.25,163.69,164.6,676800,-0.80029,-0.0080029,161.69,676800
2025-08-20,"August 20, 25",,,,,,164.47,-0.8,164.81,163.64,165.27,165.86,705102,-0.48406,-0.0048406,163.77,705102
2025-08-19,"August 19, 25",,,,,,165.9,1.32,165.5,163.78,164.58,167.74,822030,0.80204,0.0080204,165.19,822030
2025-08-18,"August 18, 25",,,,,,163.78,-0.71,164.3925,163.78,164.49,165.52,486806,-0.43164,-0.0043164,163.08,486806
2025-08-15,"August 15, 25",,,,,,164.77,-2.83,166.06,164.16,167.6,167.71,579229,-1.69,-0.0169,164.06,579229
2025-08-14,"August 14, 25",,,,,,167.19,0,167.0925,165.57,167.19,168.42,850800,0,0,166.47,850800
2025-08-13,"August 13, 25",,,,,,169.5,5.39,166.785,163.73,164.11,169.8,1048047,3.28,0.0328,168.77,1048047
2025-08-12,"August 12, 25",,,,,,163.32,3.65,161.3775,158.88,159.67,163.64,657300,2.29,0.0229,162.62,657300
2025-08-11,"August 11, 25",,,,,,157.53,-1.08,158.2975,157.25,158.61,159.8,765100,-0.68092,-0.0068092,156.86,765100
2025-08-08,"August 08, 25",,,,,,158.26,0.01,158.6125,157.94,158.25,160,639114,0.00631912,6.31912e-05,157.58,639114
2025-08-07,"August 07, 25",,,,,,158.53,-3.12,160.125,158.31,161.65,162.01,747700,-1.93,-0.0193,157.85,747700
2025-08-06,"August 06, 25",,,,,,159.72,-2.13,160.87,158.9,161.85,163.01,1006935,-1.32,-0.0132,159.04,1006935
2025-08-05,"August 05, 25",,,,,,161.84,2.25,160.7825,159.19,159.59,162.51,695500,1.41,0.0141,161.15,695500
2025-08-04,"August 04, 25",,,,,,158.25,-0.78,158.765,157.46,159.03,160.32,1008900,-0.49047,-0.0049047,157.57,1008900
2025-08-01,"August 01, 25",,,,,,159.12,-3.06,160.7475,158.34,162.18,163.35,1320400,-1.89,-0.0189,158.44,1320400
2025-07-31,"July 31, 25",,,,,,163.51,1.01,163.1775,161.28,162.5,165.42,1484848,0.62154,0.0062154,162.81,1484848
2025-07-30,"July 30, 25",,,,,,164.28,-10.72,170.1675,163.16,175,178.23,2650956,-6.13,-0.0613,163.58,2650956
2025-07-29,"July 29, 25",,,,,,185.18,-0.08,185.0375,183.42,185.26,186.29,701900,-0.04318255,-0.0004318255,184.39,701900
2025-07-28,"July 28, 25",,,,,,184.43,-1.57,185.31,184.19,186,186.62,534900,-0.84409,-0.0084409,183.64,534900
2025-07-25,"July 25, 25",,,,,,185.69,0.78,184.73,182.59,184.91,185.73,369300,0.42183,0.0042183,184.9,369300
2025-07-24,"July 24, 25",,,,,,183.66,-0.37,183.8975,183,184.03,184.9,352308,-0.20105,-0.0020105,182.87,352308
2025-07-23,"July 23, 25",,,,,,184.4,-1.86,185.1,183.04,186.26,186.7,729000,-0.9986,-0.009986,183.61,729000
2025-07-22,"July 22, 25",,,,,,184.54,4.28,182.48,180.26,180.26,184.86,468405,2.37,0.0237,183.75,468405
2025-07-21,"July 21, 25",,,,,,180.9,-3.44,182.53,180.31,184.34,184.57,652523,-1.87,-0.0187,180.13,652523
2025-07-18,"July 18, 25",,,,,,183.38,-1.56,183.885,182.28,184.94,184.94,652000,-0.84352,-0.0084352,182.6,652000
2025-07-17,"July 17, 25",,,,,,183.96,3.63,182.2175,180.33,180.33,184.25,498614,2.01,0.0201,183.17,498614
2025-07-16,"July 16, 25",,,,,,179.77,-0.06,179.4125,177.09,179.83,180.96,685700,-0.03336484,-0.0003336484,179,685700
2025-07-15,"July 15, 25",,,,,,179.47,-2.46,180.9125,179.41,181.93,182.84,766800,-1.35,-0.0135,178.7,766800
2025-07-14,"July 14, 25",,,,,,180.87,0.17,180.685,179.25,180.7,181.92,793534,0.09407858,0.0009407858,180.1,793534
2025-07-11,"July 11, 25",0.71,0.71,2025-07-11,2025-07-25,2025-06-18,181.47,-1.67,182.4425,181.23,183.14,183.93,674900,-0.91187,-0.0091187,180.69,674900
2025-07-10,"July 10, 25",,,,,,185.42,1.15,185.315,183.86,184.27,187.71,686200,0.62408,0.0062408,183.92,686200
2025-07-09,"July 09, 25",,,,,,184.38,0.86,183.6275,181.72,183.52,184.89,1036200,0.46861,0.0046861,182.89,1036200
2025-07-08,"July 08, 25",,,,,,182.47,3.01,181.1,178.44,179.46,184.03,911539,1.68,0.0168,180.99,911539
2025-07-07,"July 07, 25",,,,,,179.33,-0.79,179.775,178.27,180.12,181.38,802533,-0.4386,-0.004386,177.88,802533
2025-07-03,"July 03, 25",,,,,,181.25,-1.5,182.055,180.69,182.75,183.53,224100,-0.82079,-0.0082079,179.78,224100
2025-07-02,"July 02, 25",,,,,,182.16,1.69,181.1475,179.65,180.47,182.31,488000,0.93644,0.0093644,180.69,488000
2025-07-01,"July 01, 25",,,,,,180.19,5.32,178.1575,174.51,174.87,183.06,644030,3.04,0.0304,178.73,644030
2025-06-30,"June 30, 25",,,,,,175.57,-0.37,175.5725,173.76,175.94,177.02,902706,-0.2103,-0.002103,174.15,902706
2025-06-27,"June 27, 25",,,,,,176.32,-0.85,176.7725,175.42,177.17,178.18,788116,-0.47977,-0.0047977,174.89,788116
2025-06-26,"June 26, 25",,,,,,176.35,0.97,175.955,174.98,175.38,177.11,608111,0.55308,0.0055308,174.92,608111
2025-06-25,"June 25, 25",,,,,,174.5,-0.86,174.495,172.76,175.36,175.36,551944,-0.49042,-0.0049042,173.09,551944
2025-06-24,"June 24, 25",,,,,,174.88,0.74,174.3675,172.54,174.14,175.91,501300,0.42495,0.0042495,173.47,501300
2025-06-23,"June 23, 25",,,,,,172.72,-0.47,172.5225,170.26,173.19,173.92,965446,-0.27138,-0.0027138,171.32,965446
2025-06-20,"June 20, 25",,,,,,173.15,-2.63,174.52,172.29,175.78,176.86,2463836,-1.5,-0.015,171.75,2463836
2025-06-18,"June 18, 25",,,,,,175.03,-0.6,175.4775,174.06,175.63,177.19,888840,-0.34163,-0.0034163,173.61,888840
2025-06-17,"June 17, 25",,,,,,175.99,-2.76,177.5975,175.7,178.75,179.95,652104,-1.54,-0.0154,174.57,652104
2025-06-16,"June 16, 25",,,,,,179.92,0.29,179.59,178.09,179.63,180.72,600527,0.16144,0.0016144,178.46,600527
2025-06-13,"June 13, 25",,,,,,177.82,-2.4,179.22,177.2,180.22,181.64,650936,-1.33,-0.0133,176.38,650936
2025-06-12,"June 12, 25",,,,,,182.51,0.87,182.455,181.64,181.64,184.03,622239,0.47897,0.0047897,181.03,622239
2025-06-11,"June 11, 25",,,,,,183.17,-1.2,184.1325,183.14,184.37,185.85,532000,-0.65087,-0.0065087,181.69,532000
2025-06-10,"June 10, 25",,,,,,184.26,0.94,183.7325,182.47,183.32,184.88,345100,0.51276,0.0051276,182.77,345100
2025-06-09,"June 09, 25",,,,,,183.23,-0.72,183.5025,182.04,183.95,184.79,626600,-0.39141,-0.0039141,181.75,626600
2025-06-06,"June 06, 25",,,,,,183.31,0.63,182.635,180.93,182.68,183.62,479634,0.34487,0.0034487,181.83,479634
2025-06-05,"June 05, 25",,,,,,180.28,-0.82,180.63,179.53,181.1,181.61,683323,-0.45279,-0.0045279,178.82,683323
2025-06-04,"June 04, 25",,,,,,180.89,-1.81,181.815,180.87,182.7,182.8,389500,-0.9907,-0.009907,179.43,389500
2025-06-03,"June 03, 25",,,,,,182.04,2.84,180.5025,178.56,179.2,182.21,464922,1.58,0.0158,180.57,464922
2025-06-02,"June 02, 25",,,,,,179.17,-0.6,178.87,176.77,179.77,179.77,557200,-0.33376,-0.0033376,177.72,557200
2025-05-30,"May 30, 25",,,,,,180.91,-1.23,181.4425,179.42,182.14,183.3,834200,-0.6753,-0.006753,179.45,834200
2025-05-29,"May 29, 25",,,,,,182.14,-0.42,181.73,179.66,182.56,182.56,551602,-0.23006,-0.0023006,180.67,551602
2025-05-28,"May 28, 25",,,,,,180.7,-3.19,182.35,180.35,183.89,184.46,419834,-1.73,-0.0173,179.24,419834
2025-05-27,"May 27, 25",,,,,,183.45,1.5,182.2925,180.3,181.95,183.47,500400,0.8244,0.008244,181.97,500400
2025-05-23,"May 23, 25",,,,,,179.6,1.32,179.085,178.21,178.28,180.25,421433,0.74041,0.0074041,178.15,421433
2025-05-22,"May 22, 25",,,,,,181.13,0.63,180.6675,179.03,180.5,182.01,468920,0.34903,0.0034903,179.66,468920
2025-05-21,"May 21, 25",,,,,,181.16,-4.23,182.92,179.72,185.39,185.41,986316,-2.28,-0.0228,179.69,986316
2025-05-20,"May 20, 25",,,,,,188.26,-0.79,188.605,187.68,189.05,189.43,524538,-0.41788,-0.0041788,186.74,524538
2025-05-19,"May 19, 25",0.71,0.71,2025-05-19,2025-05-30,2025-05-08,189.93,2.43,189.0175,187.5,187.5,191.14,490700,1.3,0.013,188.39,490700
2025-05-16,"May 16, 25",,,,,,190.85,1.37,189.8,187.97,189.48,190.9,421500,0.72303,0.0072303,188.6,421500
2025-05-15,"May 15, 25",,,,,,189.56,1.5,188.82,187.47,188.06,190.19,529000,0.79762,0.0079762,187.33,529000
2025-05-14,"May 14, 25",,,,,,188.47,-0.81,189.015,188.32,189.28,189.99,517542,-0.42794,-0.0042794,186.25,517542
2025-05-13,"May 13, 25",,,,,,190.31,-1.26,191.1425,190.21,191.57,192.48,471418,-0.65772,-0.0065772,188.07,471418
2025-05-12,"May 12, 25",,,,,,191.29,1.91,190.9075,189.38,189.38,193.58,889006,1.01,0.0101,189.03,889006
2025-05-09,"May 09, 25",,,,,,183.47,-1.4,184.1925,183.02,184.87,185.41,383500,-0.75729,-0.0075729,181.31,383500
2025-05-08,"May 08, 25",,,,,,184.65,2.34,183.8,181.58,182.31,186.66,630905,1.28,0.0128,182.47,630905
2025-05-07,"May 07, 25",,,,,,180.09,0.41,180.29,179.59,179.68,181.8,677403,0.22818,0.0022818,177.97,677403
2025-05-06,"May 06, 25",,,,,,179.54,-0.32,180.0625,179.3,179.86,181.55,583139,-0.17792,-0.0017792,177.42,583139
2025-05-05,"May 05, 25",,,,,,181.73,1.73,181.245,179.97,180,183.28,660831,0.96111,0.0096111,179.59,660831
2025-05-02,"May 02, 25",,,,,,181.45,2.09,180.0175,176.65,179.36,182.61,780131,1.17,0.0117,179.31,780131
2025-05-01,"May 01, 25",,,,,,175.25,-8.75,178.955,172.57,184,184,915000,-4.76,-0.0476,173.18,915000
2025-04-30,"April 30, 25",,,,,,173.97,2.15,172.2675,169.31,171.82,173.97,1082105,1.25,0.0125,171.92,1082105
2025-04-29,"April 29, 25",,,,,,172.2,-1.37,172.995,172,173.57,174.21,742619,-0.78931,-0.0078931,170.17,742619
2025-04-28,"April 28, 25",,,,,,174.1,0.45,173.9325,172.74,173.65,175.24,676662,0.25914,0.0025914,172.05,676662
2025-04-25,"April 25, 25",,,,,,173,-0.4,173.235,171.54,173.4,175,603239,-0.23068,-0.0023068,170.96,603239
2025-04-24,"April 24, 25",,,,,,173.79,6.91,170.31,166.47,166.88,174.1,995409,4.14,0.0414,171.74,995409
2025-04-23,"April 23, 25",,,,,,167.15,-3.88,169.9775,166.64,171.03,175.09,1068910,-2.27,-0.0227,165.18,1068910
2025-04-22,"April 22, 25",,,,,,166.4,3.96,164.41,161.86,162.44,166.94,631243,2.44,0.0244,164.44,631243
2025-04-21,"April 21, 25",,,,,,160.66,-1.47,160.8525,158.28,162.13,162.34,604143,-0.90668,-0.0090668,158.77,604143
2025-04-17,"April 17, 25",,,,,,163.95,-0.38,164.345,163.63,164.33,165.47,863921,-0.23124,-0.0023124,162.02,863921
2025-04-16,"April 16, 25",,,,,,164.08,-1.88,165.19,162.76,165.96,167.96,724514,-1.13,-0.0113,162.15,724514
2025-04-15,"April 15, 25",,,,,,167.34,-2.34,168.8225,166.79,169.68,171.48,440400,-1.38,-0.0138,165.37,440400
2025-04-14,"April 14, 25",,,,,,169.86,-0.3,169.87,167.97,170.16,171.49,445827,-0.1763,-0.001763,167.86,445827
2025-04-11,"April 11, 25",,,,,,168.51,1.8,166.975,161.96,166.71,170.72,793100,1.08,0.0108,166.52,793100
2025-04-10,"April 10, 25",,,,,,166.97,-2.44,167.1975,162.07,169.41,170.34,807815,-1.44,-0.0144,165,807815
2025-04-09,"April 09, 25",,,,,,173.8,14.42,167.0225,159.38,159.38,175.53,1198100,9.05,0.0905,171.75,1198100
2025-04-08,"April 08, 25",,,,,,161.94,-5.69,164.22,158.88,167.63,168.43,1656032,-3.39,-0.0339,160.03,1656032
2025-04-07,"April 07, 25",,,,,,162.93,3.33,160.5275,153.36,159.6,166.22,1613800,2.09,0.0209,161.01,1613800
2025-04-04,"April 04, 25",,,,,,162.49,-2.82,163.44,160.13,165.31,165.83,1053501,-1.71,-0.0171,160.57,1053501
2025-04-03,"April 03, 25",,,,,,168.68,-9.69,173.465,168.44,178.37,178.37,779100,-5.43,-0.0543,166.69,779100
2025-04-02,"April 02, 25",,,,,,183.3,4.11,181.3325,179.16,179.19,183.68,477101,2.29,0.0229,181.14,477101
2025-04-01,"April 01, 25",,,,,,181.15,0.85,180.61,178.81,180.3,182.18,632300,0.47144,0.0047144,179.01,632300
2025-03-31,"March 31, 25",,,,,,180.97,1.45,179.5925,176.39,179.52,181.49,760334,0.80771,0.0080771,178.84,760334
2025-03-28,"March 28, 25",,,,,,180.91,-4.11,182.995,179.89,185.02,186.16,370500,-2.22,-0.0222,178.78,370500
2025-03-27,"March 27, 25",,,,,,183.93,-0.81,184.36,182.31,184.74,186.46,319724,-0.43845,-0.0043845,181.76,319724
2025-03-26,"March 26, 25",,,,,,184.74,0.51,185.03,183.49,184.23,187.66,492000,0.27683,0.0027683,182.56,492000
2025-03-25,"March 25, 25",,,,,,184.37,-1.23,184.655,182.6,185.6,186.05,425300,-0.66272,-0.0066272,182.2,425300
2025-03-24,"March 24, 25",,,,,,185.1,1.39,184.425,183.08,183.71,185.81,561806,0.75663,0.0075663,182.92,561806
2025-03-21,"March 21, 25",,,,,,181.91,-0.45,181.4125,179.02,182.36,182.36,1170552,-0.24676,-0.0024676,179.77,1170552
2025-03-20,"March 20, 25",,,,,,183.73,0.62,183.92,182.65,183.11,186.19,653200,0.33859,0.0033859,181.56,653200
2025-03-19,"March 19, 25",,,,,,184.58,-0.45,184.6025,183,185.03,185.8,519900,-0.2432,-0.002432,182.4,519900
2025-03-18,"March 18, 25",,,,,,184.62,0.31,184.06,182.55,184.31,184.76,511248,0.16819,0.0016819,182.44,511248
2025-03-17,"March 17, 25",,,,,,184.59,2.54,183.565,182.05,182.05,185.57,378000,1.4,0.014,182.41,378000
2025-03-14,"March 14, 25",,,,,,182.39,1.49,181.0875,178.35,180.9,182.71,554632,0.82366,0.0082366,180.24,554632
2025-03-13,"March 13, 25",,,,,,178.23,-3.29,180.4125,177.71,181.52,184.19,559000,-1.81,-0.0181,176.13,559000
2025-03-12,"March 12, 25",,,,,,181.9,-3.25,183.525,181.42,185.15,185.63,494300,-1.76,-0.0176,179.76,494300
2025-03-11,"March 11, 25",,,,,,184.76,-1.61,184.91,181.09,186.37,187.42,878800,-0.86387,-0.0086387,182.58,878800
2025-03-10,"March 10, 25",,,,,,186.23,0.1,186.5225,184.85,186.13,188.88,697822,0.05372589,0.0005372589,184.03,697822
