date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,close,change,vwap,low,open,high,unadjustedVolume,changePercent,changeOverTime,adjClose,volume
2026-01-16,"January 16, 26",0.71,0.71,2026-01-16,2026-01-30,2025-11-13,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,179.06,1.03,178.5575,177.29,178.03,179.85,493300,0.57855,0.0057855,179.06,493300
2025-12-31,"December 31, 25",,,,,,177.94,-1.21,178.4775,177.39,179.15,179.43,466341,-0.67541,-0.0067541,177.94,466341
2025-12-30,"December 30, 25",,,,,,179.28,-0.27,179.425,178.65,179.55,180.22,380800,-0.15038,-0.0015038,179.28,380800
2025-12-29,"December 29, 25",,,,,,180.01,-0.33,180.195,179.2,180.34,181.23,344948,-0.18299,-0.0018299,180.01,344948
2025-12-26,"December 26, 25",,,,,,180.32,0.905,179.785,178.87,179.42,180.53,225116,0.50162,0.0050162,180.32,225116
2025-12-24,"December 24, 25",,,,,,180.2,-0.05,180.375,179.84,180.25,181.21,159722,-0.02773925,-0.0002773925,180.2,159722
2025-12-23,"December 23, 25",,,,,,180.34,0.61,180.005,178.22,179.73,181.73,464219,0.3394,0.003394,180.34,464219
2025-12-22,"December 22, 25",,,,,,179.52,0.88,178.985,177.44,178.64,180.34,515234,0.49261,0.0049261,179.52,515234
2025-12-19,"December 19, 25",,,,,,177.78,0.65,177.6025,176.47,177.13,179.03,1571747,0.36696,0.0036696,177.78,1571747
2025-12-18,"December 18, 25",,,,,,177.5,-0.12,177.6175,176.57,177.62,178.78,574600,-0.06755996,-0.0006755996,177.5,574600
2025-12-17,"December 17, 25",,,,,,176.33,-0.05,177.0625,175.82,176.38,179.72,977500,-0.02834789,-0.0002834789,176.33,977500
2025-12-16,"December 16, 25",,,,,,177.19,-1.51,177.8775,176.51,178.7,179.11,664609,-0.84499,-0.0084499,177.19,664609
2025-12-15,"December 15, 25",,,,,,178.69,-0.51,178.735,177.45,179.2,179.6,562213,-0.2846,-0.002846,178.69,562213
2025-12-12,"December 12, 25",,,,,,178.93,-3.52,180.495,177.55,182.45,183.05,742241,-1.93,-0.0193,178.93,742241
2025-12-11,"December 11, 25",,,,,,181.24,4.5,179.0725,176.69,176.74,181.62,632200,2.55,0.0255,181.24,632200
2025-12-10,"December 10, 25",,,,,,176.51,2.17,175.695,174.08,174.34,177.85,807621,1.24,0.0124,176.51,807621
2025-12-09,"December 09, 25",,,,,,173.5,-2.26,174.68,173.03,175.76,176.43,541900,-1.29,-0.0129,173.5,541900
2025-12-08,"December 08, 25",,,,,,175.95,-1.45,176.5675,175.42,177.4,177.5,583708,-0.81736,-0.0081736,175.95,583708
2025-12-05,"December 05, 25",,,,,,177.54,0.39,177.7375,176.76,177.15,179.5,597300,0.22015,0.0022015,177.54,597300
2025-12-04,"December 04, 25",,,,,,179.03,0.82,178.4425,176.94,178.21,179.59,904066,0.46013,0.0046013,179.03,904066
2025-12-03,"December 03, 25",,,,,,178.21,2.21,177.13,176,176,178.31,466528,1.26,0.0126,178.21,466528
2025-12-02,"December 02, 25",,,,,,175.1,0.46,174.87,173.39,174.64,176.35,446931,0.2634,0.002634,175.1,446931
2025-12-01,"December 01, 25",,,,,,174.64,2.26,173.975,172.38,172.38,176.5,762409,1.31,0.0131,174.64,762409
2025-11-28,"November 28, 25",,,,,,173.93,-0.435,174.085,173.43,174.37,174.61,243300,-0.25234,-0.0025234,173.93,243300
2025-11-26,"November 26, 25",,,,,,173.76,0.74,173.745,172.57,173.02,175.63,406231,0.4277,0.004277,173.76,406231
2025-11-25,"November 25, 25",,,,,,173.65,2.35,172.68,171.1,171.3,174.67,533007,1.37,0.0137,173.65,533007
2025-11-24,"November 24, 25",,,,,,169.91,0.06,169.9725,168.92,169.85,171.21,982431,0.03532529,0.0003532529,169.91,982431
2025-11-21,"November 21, 25",,,,,,170.65,7.14,167.1625,162.9,163.51,171.59,974000,4.37,0.0437,170.65,974000
2025-11-20,"November 20, 25",,,,,,163,-0.46,163.12,161.74,163.46,164.28,596735,-0.28141,-0.0028141,163,596735
2025-11-19,"November 19, 25",,,,,,161.68,0.52,161.585,160.6,161.16,162.9,384400,0.32266,0.0032266,161.68,384400
2025-11-18,"November 18, 25",,,,,,161.68,-0.32,161.85,160.72,162,163,627500,-0.19753,-0.0019753,161.68,627500
2025-11-17,"November 17, 25",,,,,,162.76,-1.86,163.775,162.27,164.62,165.45,513342,-1.13,-0.0113,162.76,513342
2025-11-14,"November 14, 25",,,,,,164.49,-1.51,165.4675,164.2,166,167.18,891900,-0.90964,-0.0090964,164.49,891900
2025-11-13,"November 13, 25",,,,,,167.06,-2.64,168.795,166.68,169.7,171.74,548900,-1.56,-0.0156,167.06,548900
2025-11-12,"November 12, 25",,,,,,169.57,0.21,170.0225,169.23,169.36,171.93,546128,0.124,0.00124,169.57,546128
2025-11-11,"November 11, 25",,,,,,169.51,-0.06,169.7425,169.03,169.57,170.86,333400,-0.03538362,-0.0003538362,169.51,333400
2025-11-10,"November 10, 25",,,,,,168.8,-1.4,168.925,166.5,170.2,170.2,612912,-0.82256,-0.0082256,168.8,612912
2025-11-07,"November 07, 25",,,,,,167.96,2.08,167.08,165.43,165.88,169.05,872764,1.25,0.0125,167.96,872764
2025-11-06,"November 06, 25",,,,,,166.82,-1.83,167.9225,166,168.65,170.22,544014,-1.09,-0.0109,166.82,544014
2025-11-05,"November 05, 25",,,,,,168.27,0.16,168.1275,166.5,168.11,169.63,549723,0.09517578,0.0009517578,168.27,549723
2025-11-04,"November 04, 25",,,,,,167.86,0.47,167.875,167,167.39,169.25,912462,0.28078,0.0028078,167.86,912462
2025-11-03,"November 03, 25",,,,,,168.25,-2.27,169.17,167.39,170.52,170.52,772300,-1.33,-0.0133,168.25,772300
2025-10-31,"October 31, 25",,,,,,171.46,1.46,170.8425,169.5,170,172.41,633100,0.85882,0.0085882,171.46,633100
2025-10-30,"October 30, 25",,,,,,170.3,-3.01,172.7275,170.3,173.31,177,855948,-1.74,-0.0174,170.3,855948
2025-10-29,"October 29, 25",,,,,,173.4,0.4,174.7525,171.34,173,181.27,1690706,0.23121,0.0023121,173.4,1690706
2025-10-28,"October 28, 25",,,,,,166.95,-0.53,166.8275,165.4,167.48,167.48,897600,-0.31646,-0.0031646,166.95,897600
2025-10-27,"October 27, 25",,,,,,167.6,-1.7,168.555,167.51,169.3,169.81,570000,-1,-0.01,167.6,570000
2025-10-24,"October 24, 25",,,,,,167.95,-1.31,168.49,167.47,169.26,169.28,427017,-0.77396,-0.0077396,167.95,427017
2025-10-23,"October 23, 25",,,,,,168.37,1.91,167.37,165.79,166.46,168.86,408132,1.15,0.0115,168.37,408132
2025-10-22,"October 22, 25",,,,,,166.35,-3.13,167.8075,165.64,169.48,169.76,496400,-1.85,-0.0185,166.35,496400
2025-10-21,"October 21, 25",,,,,,169.33,2.83,168.265,166.24,166.5,170.99,412000,1.7,0.017,169.33,412000
2025-10-20,"October 20, 25",,,,,,166.61,-0.05,166.8775,165.29,166.66,168.95,361831,-0.0300012,-0.000300012,166.61,361831
2025-10-17,"October 17, 25",,,,,,166.31,2.34,165.325,163.97,163.97,167.05,819903,1.43,0.0143,166.31,819903
2025-10-16,"October 16, 25",,,,,,165.03,0.47,164.9325,163.46,164.56,166.68,558500,0.28561,0.0028561,165.03,558500
2025-10-15,"October 15, 25",,,,,,163.19,-0.81,163.7375,162.76,164,165,1050600,-0.4939,-0.004939,163.19,1050600
2025-10-14,"October 14, 25",,,,,,163.65,4.38,161.625,159.27,159.27,164.31,364359,2.75,0.0275,163.65,364359
2025-10-13,"October 13, 25",,,,,,160.84,-1.54,161.96,160.76,162.38,163.86,515354,-0.94839,-0.0094839,160.84,515354
2025-10-10,"October 10, 25",0.71,0.71,2025-10-10,2025-10-24,2025-09-18,161.16,-4.69,163.27,160.11,165.85,165.96,741628,-2.83,-0.0283,161.16,741628
2025-10-09,"October 09, 25",,,,,,165.85,-1.2,166.125,164.39,167.05,167.21,606200,-0.71835,-0.0071835,165.14,606200
2025-10-08,"October 08, 25",,,,,,166.89,0.89,166.1125,164.25,166,167.31,573804,0.53614,0.0053614,166.18,573804
2025-10-07,"October 07, 25",,,,,,165.8,-1.51,166.25,164.33,167.31,167.56,484037,-0.90252,-0.0090252,165.09,484037
