date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,close,volume,high,unadjustedVolume,changePercent,vwap,low,adjClose,change,open,changeOverTime
2025-10-16,"October 16, 25",,,,,,131.43,752774,132.78,752774,-0.43182,131.845,131.17,131.43,-0.57,132,-0.0043182
2025-10-15,"October 15, 25",1.515,1.515,2025-10-15,2025-10-31,2025-09-23,132,1068500,133.34,1068500,-0.07570023,132.26,131.6,132,-0.1,132.1,-0.0007570023
2025-10-14,"October 14, 25",,,,,,133.76,893911,135.06,893911,-0.5354,134.135,133.24,132.24,-0.72,134.48,-0.005354
2025-10-13,"October 13, 25",,,,,,134.54,533000,135.34,533000,0.02230317,134.6125,134.06,133.02,0.03,134.51,0.0002230317
2025-10-10,"October 10, 25",,,,,,134.55,510618,135.42,510618,-0.55432,134.6375,133.28,133.03,-0.75,135.3,-0.0055432
2025-10-09,"October 09, 25",,,,,,134.91,479934,136.33,479934,-1.01,135.47,134.35,133.38,-1.38,136.29,-0.0101
2025-10-08,"October 08, 25",,,,,,135.85,757511,136.61,757511,0.2657,135.73,134.97,134.31,0.36,135.49,0.002657
2025-10-07,"October 07, 25",,,,,,136.22,735016,137.69,735016,0.13968,136.3575,135.49,134.68,0.19,136.03,0.0013968
2025-10-06,"October 06, 25",,,,,,136,904430,137.52,904430,-0.88908,136.54,135.42,134.46,-1.22,137.22,-0.0088908
2025-10-03,"October 03, 25",,,,,,136.7,874318,137.54,874318,-0.05848808,136.8475,136.37,135.15,-0.08,136.78,-0.0005848808
2025-10-02,"October 02, 25",,,,,,136.26,954904,137.82,954904,-0.90182,136.9125,136.07,134.72,-1.24,137.5,-0.0090182
2025-10-01,"October 01, 25",,,,,,138,832800,139.88,832800,-1.02,138.8175,137.97,136.44,-1.42,139.42,-0.0102
2025-09-30,"September 30, 25",,,,,,139.73,1150900,139.76,1150900,1.17,138.9,138,138.15,1.62,138.11,0.0117
2025-09-29,"September 29, 25",,,,,,138.61,1071500,139.21,1071500,-0.06488825,138.54,137.64,137.04,-0.09,138.7,-0.0006488825
2025-09-26,"September 26, 25",,,,,,139.57,801100,140.59,801100,0.35232,139.4075,138.39,137.99,0.49,139.08,0.0035232
2025-09-25,"September 25, 25",,,,,,138.74,692082,141.69,692082,-1.24,139.79,138.25,137.17,-1.74,140.48,-0.0124
2025-09-24,"September 24, 25",,,,,,140.43,870479,141.87,870479,-0.50305,140.8,139.76,138.84,-0.71,141.14,-0.0050305
2025-09-23,"September 23, 25",,,,,,141.12,528339,141.83,528339,-0.03541829,141.12,140.36,139.52,-0.05,141.17,-0.0003541829
2025-09-22,"September 22, 25",,,,,,141.25,868800,141.76,868800,0.6843,140.6825,139.43,139.65,0.955,140.29,0.006843
2025-09-19,"September 19, 25",,,,,,140.86,1566405,141.97,1566405,0.18492,140.9,140.17,139.26,0.26,140.6,0.0018492
2025-09-18,"September 18, 25",,,,,,140.54,560413,140.83,560413,0.83226,139.97,139.13,138.95,1.16,139.38,0.0083226
2025-09-17,"September 17, 25",,,,,,139.55,519327,141.89,519327,0.05736001,140.0275,139.2,137.97,0.08,139.47,0.0005736001
2025-09-16,"September 16, 25",,,,,,139.39,612900,141.73,612900,-0.92402,140.205,139.01,137.82,-1.3,140.69,-0.0092402
2025-09-15,"September 15, 25",,,,,,140.61,633600,142.57,633600,-1.12,141.44,140.38,139.02,-1.59,142.2,-0.0112
2025-09-12,"September 12, 25",,,,,,142.2,737100,144,737100,-1.13,142.93,141.7,140.59,-1.62,143.82,-0.0113
2025-09-11,"September 11, 25",,,,,,144.09,779401,144.55,779401,2.19,142.66,141,142.46,3.09,141,0.0219
2025-09-10,"September 10, 25",,,,,,141.46,744252,145.8,744252,-2.68,143.44,141.15,139.86,-3.89,145.35,-0.0268
2025-09-09,"September 09, 25",,,,,,145.43,930802,145.54,930802,1.05,144.6475,143.7,143.79,1.51,143.92,0.0105
2025-09-08,"September 08, 25",,,,,,144.65,585400,144.71,585400,0.54915,144.195,143.56,143.02,0.79,143.86,0.0054915
2025-09-05,"September 05, 25",,,,,,145.4,620300,146.41,620300,0.46293,145.165,144.12,143.76,0.67,144.73,0.0046293
2025-09-04,"September 04, 25",,,,,,144,516673,144.41,516673,-0.02082899,143.69,142.32,142.37,-0.03,144.03,-0.0002082899
2025-09-03,"September 03, 25",,,,,,143.41,769762,143.49,769762,1.06,142.66,141.83,141.79,1.5,141.91,0.0106
2025-09-02,"September 02, 25",,,,,,142.3,665087,145.29,665087,-1.75,143.58,141.9,140.69,-2.53,144.83,-0.0175
2025-08-29,"August 29, 25",,,,,,145.82,594416,145.96,594416,1.39,144.855,143.82,144.17,2,143.82,0.0139
2025-08-28,"August 28, 25",,,,,,144.13,389148,144.42,389148,-0.2008,143.9575,142.86,142.5,-0.29,144.42,-0.002008
2025-08-27,"August 27, 25",,,,,,144.42,970242,145,970242,0.85196,143.84,142.74,142.79,1.22,143.2,0.0085196
2025-08-26,"August 26, 25",,,,,,142.62,1129100,143.17,1129100,0.3377,142.43,141.79,141.01,0.48,142.14,0.003377
2025-08-25,"August 25, 25",,,,,,142.03,722525,143.03,722525,-0.2248,142.195,141.37,140.43,-0.32,142.35,-0.002248
2025-08-22,"August 22, 25",,,,,,143.03,849700,143.73,849700,0.76083,142.5675,141.56,141.42,1.08,141.95,0.0076083
2025-08-21,"August 21, 25",,,,,,141.01,635849,142.66,635849,-0.22642,141.44,140.76,139.42,-0.32,141.33,-0.0022642
2025-08-20,"August 20, 25",,,,,,142.36,922100,144.66,922100,-0.52407,143.1,142.27,140.75,-0.75,143.11,-0.0052407
2025-08-19,"August 19, 25",,,,,,142.4,810641,142.41,810641,1.29,141.4875,140.56,140.79,1.82,140.58,0.0129
2025-08-18,"August 18, 25",,,,,,140.06,623421,141.75,623421,-1.09,140.8525,140,138.48,-1.54,141.6,-0.0109
2025-08-15,"August 15, 25",,,,,,140.9,927500,141.62,927500,0.7364,140.49,139.57,139.31,1.03,139.87,0.007364
2025-08-14,"August 14, 25",,,,,,140.03,879800,140.21,879800,0.43032,139.5175,138.4,138.45,0.6,139.43,0.0043032
2025-08-13,"August 13, 25",,,,,,139.77,1637710,139.99,1637710,1.15,138.97,137.94,138.19,1.59,138.18,0.0115
2025-08-12,"August 12, 25",,,,,,138.38,910949,138.82,910949,-0.10107,138.26,137.32,136.82,-0.14,138.52,-0.0010107
2025-08-11,"August 11, 25",,,,,,138.48,724995,141,724995,-1.44,139.5825,138.34,136.92,-2.03,140.51,-0.0144
2025-08-08,"August 08, 25",,,,,,140.48,481246,142.49,481246,-1.38,141.355,140.01,138.89,-1.96,142.44,-0.0138
2025-08-07,"August 07, 25",,,,,,142.15,587326,142.45,587326,0.6158,141.625,140.62,140.55,0.87,141.28,0.006158
2025-08-06,"August 06, 25",,,,,,140.61,808000,142.49,808000,-0.76923,141.1125,139.65,139.02,-1.09,141.7,-0.0076923
2025-08-05,"August 05, 25",,,,,,141.8,996337,142.95,996337,0.97558,141.175,139.52,140.2,1.37,140.43,0.0097558
2025-08-04,"August 04, 25",,,,,,140.1,1154400,142.03,1154400,0.07142857,140.4025,139.48,138.52,0.1,140,0.0007142857
2025-08-01,"August 01, 25",,,,,,140,1382707,144.25,1382707,-2.95,141.7925,138.67,138.42,-4.25,144.25,-0.0295
2025-07-31,"July 31, 25",,,,,,142.43,1824721,149.18,1824721,-2.67,145.02,142.14,140.82,-3.9,146.33,-0.0267
2025-07-30,"July 30, 25",,,,,,148.79,1302342,151.72,1302342,-1.87,149.865,147.32,147.11,-2.84,151.63,-0.0187
2025-07-29,"July 29, 25",,,,,,152.32,619448,152.35,619448,1.76,150.8825,149.17,150.6,2.63,149.69,0.0176
2025-07-28,"July 28, 25",,,,,,149.35,714307,151.64,714307,-1.25,150.3425,149.14,147.66,-1.89,151.24,-0.0125
2025-07-25,"July 25, 25",,,,,,151.65,560427,151.9,560427,0.17174,151.3625,150.51,149.94,0.26,151.39,0.0017174
2025-07-24,"July 24, 25",,,,,,151.68,569866,153.31,569866,-0.80439,152.345,151.48,149.97,-1.23,152.91,-0.0080439
2025-07-23,"July 23, 25",,,,,,152.73,701921,153.93,701921,-0.3198,153.03,152.24,151.01,-0.49,153.22,-0.003198
2025-07-22,"July 22, 25",,,,,,153.2,678839,153.47,678839,2.11,151.6825,150.03,151.47,3.17,150.03,0.0211
2025-07-21,"July 21, 25",,,,,,150.02,741200,152.05,741200,-0.91804,150.8275,149.83,148.33,-1.39,151.41,-0.0091804
2025-07-18,"July 18, 25",,,,,,150.77,720100,151.95,720100,0.00663306,150.9375,150.27,149.07,0.01,150.76,6.63306e-05
2025-07-17,"July 17, 25",,,,,,150.66,867200,151.57,867200,-0.01990842,150.78,150.2,148.96,-0.03,150.69,-0.0001990842
2025-07-16,"July 16, 25",,,,,,150.36,1027598,150.59,1027598,1.79,149.05,147.53,148.66,2.64,147.72,0.0179
2025-07-15,"July 15, 25",1.515,1.515,2025-07-15,2025-07-31,2025-05-20,147.43,1022677,149.7,1022677,-1.35,148.34,146.79,145.77,-2.01,149.44,-0.0135
2025-07-14,"July 14, 25",,,,,,151.26,696600,152.75,696600,0.17219,151.4475,150.78,148.05,0.26,151,0.0017219
2025-07-11,"July 11, 25",,,,,,150.72,940004,151.5,940004,0.91731,150.23,149.35,147.52,1.37,149.35,0.0091731
2025-07-10,"July 10, 25",,,,,,151.1,1219310,152.83,1219310,0.68635,150.7675,149.07,147.89,1.03,150.07,0.0068635
2025-07-09,"July 09, 25",,,,,,150.23,800800,151.06,800800,-0.50993,150.45,149.51,147.04,-0.77,151,-0.0050993
2025-07-08,"July 08, 25",,,,,,150.26,1186508,151.59,1186508,1.03,149.8275,148.73,147.07,1.53,148.73,0.0103
2025-07-07,"July 07, 25",,,,,,150.09,1262440,152.31,1262440,-0.25254,150.445,148.91,146.91,-0.38,150.47,-0.0025254
2025-07-03,"July 03, 25",,,,,,150.47,403534,150.94,403534,1.04,149.585,148.01,147.28,1.55,148.92,0.0104
2025-07-02,"July 02, 25",,,,,,149.21,1680625,149.81,1680625,0.48488,148.6275,147,146.04,0.72,148.49,0.0048488
2025-07-01,"July 01, 25",,,,,,148.9,912340,150.1,912340,0.59451,148.2725,146.07,145.74,0.88,148.02,0.0059451
2025-06-30,"June 30, 25",,,,,,148.01,825900,148.1,825900,0.35937,147.18,145.13,144.87,0.53,147.48,0.0035937
2025-06-27,"June 27, 25",,,,,,147.85,956600,149.08,956600,-0.03380663,147.9625,147.02,144.71,-0.05,147.9,-0.0003380663
2025-06-26,"June 26, 25",,,,,,147.46,1236027,147.5,1236027,0.55919,146.7525,145.41,144.33,0.82,146.64,0.0055919
2025-06-25,"June 25, 25",,,,,,145.91,1387000,148.19,1387000,-1.51,146.87,145.24,142.81,-2.23,148.14,-0.0151
2025-06-24,"June 24, 25",,,,,,149.17,1312700,150.16,1312700,-0.48699,149.3925,148.34,146,-0.73,149.9,-0.0048699
2025-06-23,"June 23, 25",,,,,,150.16,779800,150.77,779800,0.66367,149.605,148.32,146.97,0.99,149.17,0.0066367
2025-06-20,"June 20, 25",,,,,,148.56,1473200,150.23,1473200,-0.72837,149.0875,147.91,145.41,-1.09,149.65,-0.0072837
2025-06-18,"June 18, 25",,,,,,148.92,1187100,150.21,1187100,-0.39462,149.2925,148.53,145.76,-0.59,149.51,-0.0039462
2025-06-17,"June 17, 25",,,,,,148.99,840633,150.57,840633,-0.44103,149.4525,148.6,145.83,-0.66,149.65,-0.0044103
2025-06-16,"June 16, 25",,,,,,149.53,663969,151.41,663969,-0.86847,150.225,149.12,146.36,-1.31,150.84,-0.0086847
2025-06-13,"June 13, 25",,,,,,149.85,862800,151.17,862800,-0.43851,150.115,148.93,146.67,-0.66,150.51,-0.0043851
2025-06-12,"June 12, 25",,,,,,151.45,907656,151.45,907656,0.57109,150.68,149.23,148.24,0.86,150.59,0.0057109
2025-06-11,"June 11, 25",,,,,,150.36,1400000,152.26,1400000,-0.98775,151.06,149.76,147.17,-1.5,151.86,-0.0098775
2025-06-10,"June 10, 25",,,,,,151.86,1811100,152.94,1811100,-0.03949447,151.89,150.84,148.64,-0.06,151.92,-0.0003949447
2025-06-09,"June 09, 25",,,,,,151,1231000,151.8,1231000,0.95607,150.0225,147.72,147.8,1.43,149.57,0.0095607
2025-06-06,"June 06, 25",,,,,,149.89,645259,151.89,645259,-0.57048,150.27,148.55,146.71,-0.86,150.75,-0.0057048
2025-06-05,"June 05, 25",,,,,,149.82,974114,151.91,974114,-1.34,150.715,149.27,146.64,-2.04,151.86,-0.0134
2025-06-04,"June 04, 25",,,,,,151.86,859900,152.63,859900,-0.02633311,151.81,150.85,148.64,-0.04,151.9,-0.0002633311
2025-06-03,"June 03, 25",,,,,,152.42,1252800,155.36,1252800,-1.51,153.0775,149.78,149.19,-2.33,154.75,-0.0151
2025-06-02,"June 02, 25",,,,,,155.67,759228,156.23,759228,0.09645062,155.2975,153.77,152.37,0.15,155.52,0.0009645062
2025-05-30,"May 30, 25",,,,,,156.65,1329400,156.71,1329400,1.22,155.6175,154.35,153.33,1.89,154.76,0.0122
2025-05-29,"May 29, 25",,,,,,155.75,701635,156.76,701635,0.79601,155.22,153.85,152.44,1.23,154.52,0.0079601
2025-05-28,"May 28, 25",,,,,,154.82,886000,154.9,886000,0.36302,154.1875,152.77,151.53,0.56,154.26,0.0036302
2025-05-27,"May 27, 25",,,,,,154.23,970400,154.89,970400,0.15585,153.85,152.29,150.96,0.24,153.99,0.0015585
2025-05-23,"May 23, 25",,,,,,152.76,659325,154.52,659325,-1.1,153.4725,152.15,149.52,-1.7,154.46,-0.011
2025-05-22,"May 22, 25",,,,,,154.41,668531,157.57,668531,-1.81,155.81,154.01,151.13,-2.84,157.25,-0.0181
2025-05-21,"May 21, 25",,,,,,156.04,538542,159.37,538542,-1.81,157.5525,155.89,152.73,-2.87,158.91,-0.0181
2025-05-20,"May 20, 25",,,,,,160.35,593100,161.63,593100,0.12488,160.485,159.81,156.95,0.2,160.15,0.0012488
2025-05-19,"May 19, 25",,,,,,161.34,693017,162.65,693017,-0.31511,161.74,161.12,157.92,-0.51,161.85,-0.0031511
2025-05-16,"May 16, 25",,,,,,163.2,1660837,163.63,1660837,1.37,162.045,160.35,159.74,2.2,161,0.0137
2025-05-15,"May 15, 25",,,,,,160.9,965732,161.38,965732,0.97904,160.1175,158.85,157.49,1.56,159.34,0.0097904
2025-05-14,"May 14, 25",,,,,,158.34,819207,160.78,819207,-1.09,159.18,157.52,154.98,-1.74,160.08,-0.0109
2025-05-13,"May 13, 25",,,,,,160.93,677300,163.86,677300,-1.79,162.125,159.85,157.52,-2.93,163.86,-0.0179
2025-05-12,"May 12, 25",,,,,,163.63,548900,164.81,548900,-0.00611098,163.47,161.8,160.16,-0.01,163.64,-6.11098e-05
2025-05-09,"May 09, 25",,,,,,163.02,632899,163.59,632899,0.99746,162.23,160.9,159.56,1.61,161.41,0.0099746
2025-05-08,"May 08, 25",,,,,,161.66,956500,165.29,956500,-2.11,163.4,161.5,158.23,-3.49,165.15,-0.0211
2025-05-07,"May 07, 25",,,,,,164.82,820045,166.04,820045,0.10933,164.9925,164.47,161.32,0.18,164.64,0.0010933
2025-05-06,"May 06, 25",,,,,,164.65,471805,165.33,471805,0.36574,164.3775,163.48,161.16,0.6,164.05,0.0036574
2025-05-05,"May 05, 25",,,,,,165.34,653826,167.74,653826,-1.04,166.23,164.77,161.83,-1.73,167.07,-0.0104
2025-05-02,"May 02, 25",,,,,,167.77,1026370,169,1026370,1.68,166.435,163.97,164.21,2.77,165,0.0168
2025-05-01,"May 01, 25",,,,,,162.07,1056653,163.73,1056653,2.61,159.9575,156.09,158.63,4.13,157.94,0.0261
2025-04-30,"April 30, 25",,,,,,159.65,957852,159.94,957852,1.33,158.09,155.21,156.26,2.09,157.56,0.0133
2025-04-29,"April 29, 25",,,,,,157.49,1309400,160.85,1309400,-1.32,158.835,157.41,154.15,-2.1,159.59,-0.0132
2025-04-28,"April 28, 25",,,,,,160.44,676609,161.07,676609,0.88663,159.8925,159.03,157.04,1.41,159.03,0.0088663
2025-04-25,"April 25, 25",,,,,,159.38,366610,159.83,366610,0.18858,159.075,158.01,156,0.3,159.08,0.0018858
2025-04-24,"April 24, 25",,,,,,159.46,683403,161.07,683403,-0.05640865,159.615,158.38,156.08,-0.09,159.55,-0.0005640865
2025-04-23,"April 23, 25",,,,,,159.52,599800,161.87,599800,-0.0438624,159.9675,158.89,156.13,-0.07,159.59,-0.000438624
2025-04-22,"April 22, 25",,,,,,158.32,581700,160.01,581700,0.77016,157.9775,156.47,154.96,1.21,157.11,0.0077016
2025-04-21,"April 21, 25",,,,,,154.82,577400,157.62,577400,-0.69912,155.41,153.29,151.53,-1.09,155.91,-0.0069912
2025-04-17,"April 17, 25",,,,,,157.08,895700,157.95,895700,1.68,155.895,154.07,153.75,2.6,154.48,0.0168
2025-04-16,"April 16, 25",,,,,,153.82,1642383,156.32,1642383,-0.76769,154.5525,153.06,150.56,-1.19,155.01,-0.0076769
2025-04-15,"April 15, 25",1.515,1.515,2025-04-15,2025-04-30,2025-03-18,154.89,1545037,158.2,1545037,-1.67,156.3325,154.72,151.6,-2.63,157.52,-0.0167
2025-04-14,"April 14, 25",,,,,,158.43,1064300,158.99,1064300,1.16,157.28,155.09,153.59,1.82,156.61,0.0116
2025-04-11,"April 11, 25",,,,,,154.3,1588648,155.6,1588648,1.05,153.15,150.01,149.59,1.61,152.69,0.0105
2025-04-10,"April 10, 25",,,,,,154.87,1545079,157.53,1545079,-0.94659,154.81,150.49,150.14,-1.48,156.35,-0.0094659
2025-04-09,"April 09, 25",,,,,,157.85,2457800,158.74,2457800,7.4,152.555,146.65,153.03,10.87,146.98,0.074
2025-04-08,"April 08, 25",,,,,,149.97,2130699,154.36,2130699,-2.84,151.8575,148.74,145.39,-4.39,154.36,-0.0284
2025-04-07,"April 07, 25",,,,,,150.71,1861632,156.24,1861632,0.52024,150.76,146.16,146.11,0.78,149.93,0.0052024
2025-04-04,"April 04, 25",,,,,,153.08,1386533,164.13,1386533,-5.93,158.16,152.7,148.4,-9.65,162.73,-0.0593
2025-04-03,"April 03, 25",,,,,,163.64,1011500,168.45,1011500,-1.56,165.3625,163.12,158.64,-2.6,166.24,-0.0156
2025-04-02,"April 02, 25",,,,,,168,511502,168.71,511502,0.28653,167.72,166.65,162.87,0.48,167.52,0.0028653
2025-04-01,"April 01, 25",,,,,,167.48,588100,169.02,588100,0.04181351,167.17,164.77,162.36,0.07,167.41,0.0004181351
2025-03-31,"March 31, 25",,,,,,167.58,976100,169.42,976100,0.0238749,167.7075,166.29,162.46,0.04,167.54,0.000238749
2025-03-28,"March 28, 25",,,,,,165.9,527554,166.45,527554,-0.33043,165.665,163.86,160.83,-0.55,166.45,-0.0033043
2025-03-27,"March 27, 25",,,,,,165.25,717044,166.81,717044,0.15152,165.265,164,160.2,0.25,165,0.0015152
2025-03-26,"March 26, 25",,,,,,164.5,501022,164.59,501022,0.42122,163.885,162.64,159.47,0.69,163.81,0.0042122
2025-03-25,"March 25, 25",,,,,,163.04,605919,164.82,605919,-0.42751,163.325,161.7,158.06,-0.7,163.74,-0.0042751
2025-03-24,"March 24, 25",,,,,,163.71,472244,164.11,472244,1.04,162.765,161.21,158.71,1.68,162.03,0.0104
2025-03-21,"March 21, 25",,,,,,161.27,1539253,162.62,1539253,-0.35836,161.3275,159.57,156.34,-0.58,161.85,-0.0035836
2025-03-20,"March 20, 25",,,,,,162.57,687000,163.04,687000,0.27139,162.065,160.52,157.6,0.44,162.13,0.0027139
2025-03-19,"March 19, 25",,,,,,161.79,753218,162.96,753218,-0.32652,161.77,160.01,156.85,-0.53,162.32,-0.0032652
2025-03-18,"March 18, 25",,,,,,162.32,626605,165.2,626605,-1.29,163.38,161.56,157.36,-2.12,164.44,-0.0129
2025-03-17,"March 17, 25",,,,,,164.49,662400,164.98,662400,1.23,163.6125,162.49,159.46,2,162.49,0.0123
2025-03-14,"March 14, 25",,,,,,163.31,1081100,163.6,1081100,0.68434,162.585,161.23,158.32,1.11,162.2,0.0068434
2025-03-13,"March 13, 25",,,,,,161.74,1191200,162.76,1191200,0.02473717,161.22,158.68,156.8,0.04,161.7,0.0002473717
