date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,close,volume,high,unadjustedVolume,changePercent,vwap,low,adjClose,change,open,changeOverTime
2026-01-15,"January 15, 26",1.53,1.53,2026-01-15,2026-01-30,2025-12-17,,,,,,,,,,,
2026-01-05,"January 05, 26",,,,,,138.88,167086,139.555,167086,0.13699618,138.96,138.445,138.88,0.19,138.69,0.0013699618
2026-01-02,"January 02, 26",,,,,,139.13,841200,140,841200,0.44762,138.7975,137.55,139.13,0.62,138.51,0.0044762
2025-12-31,"December 31, 25",,,,,,138.91,1042400,140.22,1042400,-0.70765,139.4525,138.78,138.91,-0.99,139.9,-0.0070765
2025-12-30,"December 30, 25",,,,,,139.91,1039627,140.16,1039627,0.5245,139.5825,139.08,139.91,0.73,139.18,0.005245
2025-12-29,"December 29, 25",,,,,,139.18,518437,139.29,518437,0.56358,138.6725,137.82,139.18,0.78,138.4,0.0056358
2025-12-26,"December 26, 25",,,,,,137.8,507500,137.98,507500,0.52524,137.44,136.9,137.8,0.72,137.08,0.0052524
2025-12-24,"December 24, 25",,,,,,137.44,520521,137.95,520521,0.6002,137.1575,136.62,137.44,0.82,136.62,0.006002
2025-12-23,"December 23, 25",,,,,,136.24,802900,137.62,802900,-0.56926,136.62,135.6,136.24,-0.78,137.02,-0.0056926
2025-12-22,"December 22, 25",,,,,,136.68,1545017,137.36,1545017,2.34,135.1725,133.1,136.68,3.13,133.55,0.0234
2025-12-19,"December 19, 25",,,,,,134.23,2492000,136.4,2492000,-1.29,135.205,134.2,134.23,-1.76,135.99,-0.0129
2025-12-18,"December 18, 25",,,,,,136.31,1068100,137.61,1068100,-0.86545,136.8875,136.13,136.31,-1.19,137.5,-0.0086545
2025-12-17,"December 17, 25",,,,,,137.09,1515037,137.61,1515037,2.64,135.44,133.49,137.09,3.52,133.57,0.0264
2025-12-16,"December 16, 25",,,,,,133.19,1063900,133.77,1063900,0.31634,132.8925,131.84,133.19,0.42,132.77,0.0031634
2025-12-15,"December 15, 25",,,,,,132.7,1137440,133.04,1137440,-0.0753012,132.54,131.62,132.7,-0.1,132.8,-0.000753012
2025-12-12,"December 12, 25",,,,,,132.11,1045030,133.72,1045030,-1.09,132.68,131.32,132.11,-1.46,133.57,-0.0109
2025-12-11,"December 11, 25",,,,,,132.96,823500,133.51,823500,0.33203,132.7475,132,132.96,0.44,132.52,0.0033203
2025-12-10,"December 10, 25",,,,,,131.9,979203,132.44,979203,0.92586,131.43,130.69,131.9,1.21,130.69,0.0092586
2025-12-09,"December 09, 25",,,,,,130.51,1191700,132.74,1191700,-0.91862,131.355,130.45,130.51,-1.21,131.72,-0.0091862
2025-12-08,"December 08, 25",,,,,,131,1051000,131.77,1051000,-0.12199,130.955,129.89,131,-0.16,131.16,-0.0012199
2025-12-05,"December 05, 25",,,,,,131.67,874502,132.9,874502,0.12928,131.8625,131.38,131.67,0.17,131.5,0.0012928
2025-12-04,"December 04, 25",,,,,,132.86,788000,135.19,788000,-1.19,133.8,132.69,132.86,-1.6,134.46,-0.0119
2025-12-03,"December 03, 25",,,,,,134.52,735600,136.16,735600,-0.44405,135,134.2,134.52,-0.6,135.12,-0.0044405
2025-12-02,"December 02, 25",,,,,,135.26,947600,136.21,947600,-0.54412,135.4125,134.18,135.26,-0.74,136,-0.0054412
2025-12-01,"December 01, 25",,,,,,135.37,880200,136.95,880200,0.19985,135.5675,134.85,135.37,0.27,135.1,0.0019985
2025-11-28,"November 28, 25",,,,,,135.89,388232,136.72,388232,0.39897,135.765,135.1,135.89,0.54,135.35,0.0039897
2025-11-26,"November 26, 25",,,,,,135.51,707895,136.16,707895,0.82589,134.9925,133.9,135.51,1.11,134.4,0.0082589
2025-11-25,"November 25, 25",,,,,,135.06,888219,135.98,888219,1.36,134.3225,133,135.06,1.81,133.25,0.0136
2025-11-24,"November 24, 25",,,,,,133.31,1034000,133.76,1034000,-0.13484,133.22,132.32,133.31,-0.18,133.49,-0.0013484
2025-11-21,"November 21, 25",,,,,,133.61,1611843,134.13,1611843,1.79,132.5,131,133.61,2.35,131.26,0.0179
2025-11-20,"November 20, 25",,,,,,130.87,1368500,131.97,1368500,0.18373,130.93,130.25,130.87,0.24,130.63,0.0018373
2025-11-19,"November 19, 25",,,,,,129.83,818700,131.24,818700,-0.76435,130.385,129.64,129.83,-1,130.83,-0.0076435
2025-11-18,"November 18, 25",,,,,,130.43,717700,130.97,717700,-0.12252,130.415,129.67,130.43,-0.16,130.59,-0.0012252
2025-11-17,"November 17, 25",,,,,,130.27,653000,131.62,653000,-0.8826,130.82,129.96,130.27,-1.16,131.43,-0.008826
2025-11-14,"November 14, 25",,,,,,130.94,649100,131.94,649100,-0.18295,131.0875,130.29,130.94,-0.24,131.18,-0.0018295
2025-11-13,"November 13, 25",,,,,,130.55,1079500,131.54,1079500,-0.09947964,130.7975,130.42,130.55,-0.13,130.68,-0.0009947964
2025-11-12,"November 12, 25",,,,,,131.5,999700,132.13,999700,0.49675,131.205,130.34,131.5,0.65,130.85,0.0049675
2025-11-11,"November 11, 25",,,,,,131.57,1091552,132.07,1091552,0.99018,130.9525,129.89,131.57,1.29,130.28,0.0099018
2025-11-10,"November 10, 25",,,,,,129.55,1039310,129.93,1039310,0.10818,129.3225,128.4,129.55,0.14,129.41,0.0010818
2025-11-07,"November 07, 25",,,,,,129.65,1134300,129.68,1134300,2.05,128.3525,127.04,129.65,2.61,127.04,0.0205
2025-11-06,"November 06, 25",,,,,,127.04,862000,128.91,862000,-0.68017,127.695,126.92,127.04,-0.87,127.91,-0.0068017
2025-11-05,"November 05, 25",,,,,,128.5,1802121,129.99,1802121,-0.94812,129.06,128.02,128.5,-1.23,129.73,-0.0094812
2025-11-04,"November 04, 25",,,,,,129.09,1442815,129.15,1442815,1.57,127.985,126.61,129.09,2,127.09,0.0157
2025-11-03,"November 03, 25",,,,,,127.59,1364085,128.5,1364085,0.97341,127.05,125.75,127.59,1.23,126.36,0.0097341
2025-10-31,"October 31, 25",,,,,,128.23,1687300,130.61,1687300,0.03900765,128.735,127.92,128.23,0.05,128.18,0.0003900765
2025-10-30,"October 30, 25",,,,,,128.81,2662446,129.6,2662446,1.86,127.8325,126.46,128.81,2.36,126.46,0.0186
2025-10-29,"October 29, 25",,,,,,126.28,1869805,130.39,1869805,-2.76,128.1475,126.05,126.28,-3.59,129.87,-0.0276
2025-10-28,"October 28, 25",,,,,,130.71,1017600,132.71,1017600,-1.16,131.55,130.53,130.71,-1.54,132.25,-0.0116
2025-10-27,"October 27, 25",,,,,,133.01,1082000,133.99,1082000,-0.67209,133.335,132.43,133.01,-0.9,133.91,-0.0067209
2025-10-24,"October 24, 25",,,,,,133.99,720323,135.19,720323,-0.56401,134.465,133.93,133.99,-0.76,134.75,-0.0056401
2025-10-23,"October 23, 25",,,,,,134.43,837640,135.1,837640,-0.05204461,134.2275,132.88,134.43,-0.07,134.5,-0.0005204461
2025-10-22,"October 22, 25",,,,,,134.36,832703,135.42,832703,0.17894,134.1925,132.87,134.36,0.24,134.12,0.0017894
2025-10-21,"October 21, 25",,,,,,133.4,1004908,134.28,1004908,0.14263,133.265,132.17,133.4,0.19,133.21,0.0014263
2025-10-20,"October 20, 25",,,,,,132.89,761228,133.9,761228,-0.00752445,132.99,132.27,132.89,-0.01,132.9,-7.52445e-05
2025-10-17,"October 17, 25",,,,,,132.7,794900,133.24,794900,0.65231,132.295,131.4,132.7,0.86,131.84,0.0065231
