symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
IBKR,2024-12-31,44.17,432448000,74093664032,3633000000,16262000000,86722664032
IBKR,2023-12-31,20.73,419860000,33761643766,3753000000,11364000000,41372643766
IBKR,2022-12-31,18.09,401840000,28197558842,3436000000,8958000000,33719558842
IBKR,2021-12-31,19.86,376672000,29017658263,2395000000,11796000000,38418658263
IBKR,2020-12-31,15.23,319756000,18890279570,4292000000,9956000000,24554279570
IBKR,2019-12-31,11.66,304488000,13771730380,2882000000,3834000000,14723730380
IBKR,2018-12-31,13.66,293912000,15573556291,2597000000,4054000000,17030556291
IBKR,2017-12-31,14.8,283620000,16282397304,1732000000,2647000000,17197397304
IBKR,2016-12-31,9.13,268800000,9519624576,1925000000,4367000000,11961624576
IBKR,2015-12-31,10.9,250040000,10571966244,1601000000,5788000000,14758966244
IBKR,2014-12-31,7.29,230840000,6527672744,1269000000,3233000000,8491672744
IBKR,2013-12-31,6.09,202740000,4789349321,1213241000,2588288000,6164396321
IBKR,2012-12-31,3.42,187756000,2490804892,1380599000,1949694000,3059899892
IBKR,2011-12-31,3.74,175484000,2545827110,1695495000,107949000,958281110
IBKR,2010-12-31,4.46,159152000,2753383711,1354219000,481983000,1881147711
IBKR,2009-12-31,4.43,159328000,2737887572,806560000,526580000,2457907572
IBKR,2008-12-31,4.47,159256000,2761360487,943497000,651171000,2469034487
IBKR,2007-12-31,8.08,160056000,5016526369,521776000,1876181000,6370931369
IBKR,2006-12-31,7.83,160076000,4861919515,669271000,1597507000,5790155515
IBKR,2005-12-31,7.83,160076000,4861919515,408232000,871962000,5325649515
IBKR,2004-12-31,7.83,160076000,4861919515,0,0,4861919515
