holder,shares,dateReported,change
Bronte Capital Management Pty Ltd.,571018,2025-09-30,-76802
Ninety One UK Ltd,564768,2025-09-30,49571
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,551389,2025-09-30,23548
MACKENZIE FINANCIAL CORP,545460,2025-09-30,-6213
LAZARD ASSET MANAGEMENT LLC,540477,2025-09-30,330905
Universal- Beteiligungs- und Servicegesellschaft mbH,539899,2025-09-30,23076
Zurcher Kantonalbank (Zurich Cantonalbank),537899,2025-09-30,-34344
AVIVA PLC,537614,2025-09-30,26930
STALEY CAPITAL ADVISERS INC,536078,2025-09-30,-7070
abrdn plc,525044,2025-09-30,19758
SCHRODER INVESTMENT MANAGEMENT GROUP,522286,2025-09-30,37681
CLIFFORD SWAN INVESTMENT COUNSEL LLC,517759,2025-09-30,2333
"JANE STREET GROUP, LLC",504028,2025-09-30,-238738
TORONTO DOMINION BANK,503570,2025-09-30,-129711
PRUDENTIAL FINANCIAL INC,498557,2025-09-30,70207
Treasurer of the State of North Carolina,489261,2025-09-30,-12141
"Brandywine Global Investment Management, LLC",482881,2025-09-30,66621
WELLINGTON MANAGEMENT GROUP LLP,478933,2025-09-30,96951
DEARBORN PARTNERS LLC,470442,2025-09-30,2456
Azimuth Capital Investment Management LLC,454878,2025-09-30,2670
CHILTON CAPITAL MANAGEMENT LLC,445350,2025-09-30,68380
Pictet Asset Management Holding SA,431705,2025-09-30,110577
TD ASSET MANAGEMENT INC,428111,2025-09-30,-126
STATE OF WISCONSIN INVESTMENT BOARD,423505,2025-09-30,-6918
FIRST TRUST ADVISORS LP,422551,2025-09-30,149347
Mitsubishi UFJ Trust & Banking Corp,408242,2025-09-30,105052
MACQUARIE GROUP LTD,404594,2025-09-30,47836
NATIONAL BANK OF CANADA /FI/,404379,2025-09-30,-19373
KLP KAPITALFORVALTNING AS,398576,2025-09-30,146900
"Grantham, Mayo, Van Otterloo & Co. LLC",391814,2025-09-30,-22825
KING LUTHER CAPITAL MANAGEMENT CORP,389977,2025-09-30,-2550
Allianz Asset Management GmbH,385913,2025-09-30,-89869
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",377538,2025-09-30,21749
Capital International Sarl,377202,2025-09-30,-15042
Albar Capital Partners LLP,375478,2025-09-30,-250146
Handelsbanken Fonder AB,374328,2025-09-30,-4119
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",370830,2025-09-30,51389
Quantinno Capital Management LP,365696,2025-09-30,115636
NOMURA ASSET MANAGEMENT CO LTD,348878,2025-09-30,19347
"Chevy Chase Trust Holdings, LLC",348860,2025-09-30,-13746
"Asset Management One Co., Ltd.",343122,2025-09-30,12085
"Stanley Capital Management, LLC",341700,2025-09-30,0
"Nikko Asset Management Americas, Inc.",339908,2025-09-30,-37287
STRS OHIO,339359,2025-09-30,-91892
"PineBridge Investments, L.P.",337690,2025-09-30,332324
GATEWAY INVESTMENT ADVISERS LLC,334516,2025-09-30,28
"Cubist Systematic Strategies, LLC",324733,2025-09-30,170173
ROYAL LONDON ASSET MANAGEMENT LTD,323603,2025-09-30,-1613
TRUIST FINANCIAL CORP,321913,2025-09-30,13910
WILKINS INVESTMENT COUNSEL INC,321502,2025-09-30,-18550
HUNTINGTON NATIONAL BANK,311819,2025-09-30,-15346
"State of Tennessee, Treasury Department",297374,2025-09-30,55517
"St. James Investment Company, LLC",296208,2025-09-30,-5336
Schonfeld Strategic Advisors LLC,294778,2025-09-30,268544
"Point72 Asset Management, L.P.",293807,2025-09-30,-190095
"Ensign Peak Advisors, Inc",282063,2025-09-30,8375
JENNISON ASSOCIATES LLC,281349,2025-09-30,-7532
"ADVISOR GROUP HOLDINGS, INC.",277602,2025-09-30,97669
BROWN ADVISORY INC,275267,2025-09-30,-1838
FIL Ltd,274483,2025-09-30,-1181459
Cerity Partners LLC,264622,2025-09-30,10241
US BANCORP \DE\,262344,2025-09-30,-2436
COMERICA BANK,260311,2025-09-30,-27988
VOYA INVESTMENT MANAGEMENT LLC,256732,2025-09-30,-53465
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,252101,2025-09-30,209600
DAVIDSON INVESTMENT ADVISORS,251940,2025-09-30,1932
AMERIPRISE FINANCIAL INC,250612,2025-09-30,16901
