date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,declarationDate,recordDate,adjDividend
2026-01-05,235.61,241.87,235,241.87,241.87,53954,53954,6.26,2.65693,239.58,"January 05, 26",0.0265693,,,,,
2026-01-02,250.39,252.28,236.89,237.03,237.03,910181,910181,-13.36,-5.34,244.1475,"January 02, 26",-0.0534,,,,,
2025-12-31,252.75,255.64,251.66,252.28,252.28,582000,582000,-0.47,-0.18595,253.0825,"December 31, 25",-0.0018595,,,,,
2025-12-30,252.12,255.5,250.9,254.66,254.66,680900,680900,2.54,1.01,253.295,"December 30, 25",0.0101,,,,,
2025-12-29,251.68,255.51,251.48,253.8,253.8,547000,547000,2.12,0.84234,253.1175,"December 29, 25",0.0084234,,,,,
2025-12-26,251.76,252.71,250.34,252.61,252.61,540126,540126,0.85,0.33762,251.855,"December 26, 25",0.0033762,,,,,
2025-12-24,249.77,254.41,248.56,251.18,251.18,342200,342200,1.41,0.56452,250.98,"December 24, 25",0.0056452,,,,,
2025-12-23,250.79,251.92,248.64,250.38,250.38,744404,744404,-0.41,-0.16348,250.4325,"December 23, 25",-0.0016348,,,,,
2025-12-22,251,253.7,249.64,250.46,250.46,649347,649347,-0.54,-0.21514,251.2,"December 22, 25",-0.0021514,,,,,
2025-12-19,250.15,253.52,246.85,250.76,250.76,3381000,3381000,0.61,0.24385,250.32,"December 19, 25",0.0024385,,,,,
2025-12-18,252.05,254.53,246.18,249.57,249.57,1170264,1170264,-2.48,-0.98393,250.5825,"December 18, 25",-0.0098393,,,,,
2025-12-17,246.77,256.9,246.43,251.29,251.29,1189200,1189200,4.52,1.83,250.3475,"December 17, 25",0.0183,,,,,
2025-12-16,247.23,248.45,244.65,247.34,247.34,1223400,1223400,0.11,0.04449298,246.9175,"December 16, 25",0.0004449298,,,,,
2025-12-15,237.3,246.85,237.21,246.35,246.35,1510181,1510181,9.05,3.81,241.9275,"December 15, 25",0.0381,,,,,
