date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-02,115.48,116.03,110.41,115.21,115.21,25793456,25793456,-0.268,-0.23381,114.2825,"January 02, 26",-0.0023381
2025-12-31,114.84,115.65,112.85,113.1,113.1,15992237,15992237,-1.74,-1.52,114.11,"December 31, 25",-0.0152
2025-12-30,117.63,118.64,115.18,115.45,115.45,16471600,16471600,-2.17,-1.85,116.725,"December 30, 25",-0.0185
2025-12-29,116.89,118.95,116.02,117.43,117.43,15386400,15386400,0.54,0.46197,117.3225,"December 29, 25",0.0046197
2025-12-26,120.71,121.03,117.7,118.13,118.13,12959108,12959108,-2.58,-2.14,119.3925,"December 26, 25",-0.0214
2025-12-24,119.96,120.67,118.6,120.44,120.44,7980732,7980732,0.48,0.40013,119.9175,"December 24, 25",0.0040013
2025-12-23,120.3,121.15,116.75,120.24,120.24,16953514,16953514,-0.055,-0.04987531,119.61,"December 23, 25",-0.0004987531
2025-12-22,123.51,124.55,121.07,122.37,122.37,16977000,16977000,-1.14,-0.923,122.875,"December 22, 25",-0.00923
2025-12-19,119.47,122.96,118.2,121.35,121.35,27580900,27580900,1.88,1.57,120.495,"December 19, 25",0.0157
2025-12-18,121.87,124.25,117.05,117.16,117.16,24274300,24274300,-4.71,-3.86,120.0825,"December 18, 25",-0.0386
2025-12-17,120.97,124.7,115.59,115.8,115.8,36270000,36270000,-5.17,-4.27,119.265,"December 17, 25",-0.0427
2025-12-16,116.7,120.7,115.76,119.4,119.4,21011900,21011900,2.71,2.31,118.14,"December 16, 25",0.0231
2025-12-15,120.4,120.66,114.1,115.26,115.26,28422000,28422000,-5.14,-4.27,117.605,"December 15, 25",-0.0427
2025-12-12,125.34,125.65,117.84,119.5,119.5,31553300,31553300,-5.84,-4.66,122.0825,"December 12, 25",-0.0466
2025-12-11,131.78,131.78,122.53,123.38,123.38,44624831,44624831,-8.4,-6.37,127.3675,"December 11, 25",-0.0637
2025-12-10,135.26,137.46,133.43,135.66,135.66,18232100,18232100,0.4,0.29573,135.4525,"December 10, 25",0.0029573
2025-12-09,134.5,139.75,133.57,135.71,135.71,18948210,18948210,1.21,0.89963,135.8825,"December 09, 25",0.0089963
2025-12-08,134.1,138.09,132,136.43,136.43,22593100,22593100,2.33,1.74,135.155,"December 08, 25",0.0174
2025-12-05,135.06,135.24,129.96,131.95,131.95,23123000,23123000,-3.11,-2.3,133.0525,"December 05, 25",-0.023
2025-12-04,133.21,137.36,132.77,137.08,137.08,20572100,20572100,3.87,2.91,135.105,"December 04, 25",0.0291
2025-12-03,126.1,134.34,124.4,133.64,133.64,25004525,25004525,7.54,5.98,129.62,"December 03, 25",0.0598
2025-12-02,125.25,129.18,124.51,125.95,125.95,25394800,25394800,0.7,0.55888,126.2225,"December 02, 25",0.0055888
2025-12-01,123.45,125.29,118.86,123.24,123.24,31467300,31467300,-0.21,-0.17011,122.71,"December 01, 25",-0.0017011
2025-11-28,128.07,129.95,127.15,128.49,128.49,12783443,12783443,0.415,0.32795,128.415,"November 28, 25",0.0032795
2025-11-26,121.33,128.9,120.86,128.2,128.2,47127643,47127643,6.87,5.66,124.8225,"November 26, 25",0.0566
2025-11-25,112.47,116.81,109.19,115.57,115.57,22078847,22078847,3.1,2.76,113.51,"November 25, 25",0.0276
2025-11-24,109.92,115.72,108.64,114.97,114.97,30736501,30736501,5.05,4.59,112.3125,"November 24, 25",0.0459
2025-11-21,107.84,109.99,102.1,107.3,107.3,40155620,40155620,-0.54,-0.50074,106.8075,"November 21, 25",-0.0050074
2025-11-20,121.63,122.63,105.24,106.21,106.21,42907300,42907300,-15.42,-12.68,113.9275,"November 20, 25",-0.1268
2025-11-19,114.74,119.2,113.55,118.16,118.16,25278834,25278834,3.42,2.98,116.4125,"November 19, 25",0.0298
2025-11-18,113.91,116.97,112.35,114.3,114.3,28581139,28581139,0.39,0.34238,114.3825,"November 18, 25",0.0034238
2025-11-17,120.5,120.98,112.42,115.97,115.97,40078600,40078600,-4.53,-3.76,117.4675,"November 17, 25",-0.0376
2025-11-14,115.15,126.5,114,122.5,122.5,32063800,32063800,7.35,6.38,119.5375,"November 14, 25",0.0638
2025-11-13,129.87,130.15,119.47,121.53,121.53,36727300,36727300,-8.34,-6.42,125.255,"November 13, 25",-0.0642
2025-11-12,133.33,133.84,128.33,132.98,132.98,22044600,22044600,-0.35,-0.26251,132.12,"November 12, 25",-0.0026251
2025-11-11,133.99,134.67,130.9,131.93,131.93,17218426,17218426,-2.06,-1.54,132.8725,"November 11, 25",-0.0154
2025-11-10,135.45,138.99,131.65,135.88,135.88,30980500,30980500,0.43,0.31746,135.4925,"November 10, 25",0.0031746
2025-11-07,123.77,132.2,120.7,130.36,130.36,44897800,44897800,6.59,5.32,126.7575,"November 07, 25",0.0532
2025-11-06,140,140.16,126.15,127.08,127.08,50477800,50477800,-12.92,-9.23,133.3475,"November 06, 25",-0.0923
2025-11-05,139.64,144.77,135.51,142.48,142.48,32318500,32318500,2.84,2.03,140.6,"November 05, 25",0.0203
2025-11-04,139.87,144.4,136.63,136.8,136.8,26617700,26617700,-3.07,-2.19,139.425,"November 04, 25",-0.0219
