symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
FICO,2025-09-30,1496.53,24239000,36274390670,134136000,3074878000,39215132670
FICO,2024-09-30,1943.52,24676000,47958299520,150667000,2242539000,50050171520
FICO,2023-09-30,868.53,24986000,21701090580,136778000,1901897000,23466209580
FICO,2022-09-30,412.01,26042000,10729564420,133202000,1912230000,12508592420
FICO,2021-09-30,397.93,28734000,11434120620,195354000,1334762000,12573528620
FICO,2020-09-30,425.38,29067000,12364520460,157394000,907642000,13114768460
FICO,2019-09-30,303.52,28980000,8796009600,106426000,824790000,9514373600
FICO,2018-09-30,227.47,29711000,6758361170,90023000,763944000,7432282170
FICO,2017-09-30,140.5,30862000,4336111000,105618000,604801000,4835294000
FICO,2016-09-30,124.59,31129000,3878362110,75926000,570624000,4373060110
FICO,2015-09-30,84.5,31402000,2653469000,86120000,608000000,3175349000
FICO,2014-09-30,55.1,33870000,1866237000,105075000,546000000,2307162000
FICO,2013-09-30,55.28,35332000,1953152960,83178000,470000000,2339974960
FICO,2012-09-30,43.44,34909000,1516446960,71609000,504000000,1948837960
FICO,2011-09-30,21.83,39359000,859206969,135752000,512000000,1235454969
FICO,2010-09-30,24.66,44903000,1107307980,146199000,520000000,1481108980
FICO,2009-09-30,21.49,48658000,1045660419,178157000,570000000,1437503419
FICO,2008-09-30,23.05,48940000,1128066951,129678000,570000000,1568388951
FICO,2007-09-30,36.27,56054000,2033078580,95284000,560963000,2498757580
FICO,2006-09-30,36.57,63579000,2325084030,75154000,400000000,2649930030
FICO,2005-09-30,44.8,66556000,2981708733,82880000,400000000,3298828733
FICO,2004-09-30,29.2,69923810,2041775321,159870000,400000000,2281905321
FICO,2003-09-30,39.31,72403378,2845935468,249458000,541364000,3137841468
FICO,2002-09-30,21.8,54801000,1194661745,96834000,139922000,1237749745
FICO,2001-09-30,20.55,49468500,1016412796,24608000,0,991804796
FICO,2000-09-30,12.65,48127500,608723742,39506000,364000,569581742
FICO,1999-09-30,8.31,47496375,394923571,20700000,800000,375023571
FICO,1998-09-30,9.89,46450125,459340130,14200000,1200000,446340130
FICO,1997-09-30,13.11,47931750,628438494,13200000,1600000,616838494
FICO,1996-09-30,11.48,46909626,538591979,8200000,2000000,532391979
FICO,1995-09-30,8.59,46382021,398541828,8300000,1900000,392141828
FICO,1994-09-30,5.24,39646355,207776278,11000000,2300000,199076278
FICO,1993-09-30,3.07,40592497,124784339,5200000,2700000,122284339
FICO,1992-09-30,1.81,39826804,72278281,6100000,2700000,68878281
FICO,1991-09-30,1.26,39315903,49538037,5400000,0,44138037
FICO,1990-09-30,0.7037,38514310,27102674,3300000,0,23802674
FICO,1989-09-30,0.96296,39646355,38177854,13500000,0,24677854
FICO,1988-09-30,1.11,38513383,42792643,14300000,0,28492643
FICO,1987-09-30,1.48,33699210,49924739,10100000,0,39824739
FICO,1986-09-30,1.37,29955254,41038697,700000,0,40338697
