symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
XYZ,2026-01-02,B+,3,Neutral,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,3,Neutral
XYZ,2025-12-31,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-30,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-29,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-26,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-24,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-23,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-22,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-19,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-18,A-,4,Buy,3,Neutral,4,Buy,4,Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-17,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-16,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-15,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-12,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-11,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-10,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-09,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
XYZ,2025-12-08,A-,4,Buy,3,Neutral,4,Buy,5,Strong Buy,2,Sell,3,Neutral,4,Buy
