holder,shares,dateReported,change
VANGUARD GROUP INC,394893400,2025-09-30,903832
"BlackRock, Inc.",376229920,2025-09-30,6523725
STATE STREET CORP,194463199,2025-09-30,-232051
"GEODE CAPITAL MANAGEMENT, LLC",101018304,2025-09-30,1765909
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,76353025,2025-09-30,-287857
MORGAN STANLEY,75119906,2025-09-30,4784943
FMR LLC,73505038,2025-09-30,-19588307
Invesco Ltd.,53612720,2025-09-30,5081469
BANK OF AMERICA CORP /DE/,50708955,2025-09-30,902972
NORTHERN TRUST CORP,48498612,2025-09-30,1631703
FRANKLIN RESOURCES INC,42641483,2025-09-30,1804625
WELLS FARGO & COMPANY/MN,38344455,2025-09-30,-165258
Legal & General Group Plc,37674954,2025-09-30,2535716
JPMORGAN CHASE & CO,37149661,2025-09-30,5122288
UBS ASSET MANAGEMENT AMERICAS INC,35889318,2025-09-30,-4973815
WELLINGTON MANAGEMENT GROUP LLP,33748414,2025-09-30,5498375
GOLDMAN SACHS GROUP INC,32434207,2025-09-30,-716682
AMERIPRISE FINANCIAL INC,32256632,2025-09-30,-1499979
FIRST TRUST ADVISORS LP,29193618,2025-09-30,-1162718
DIMENSIONAL FUND ADVISORS LP,28831933,2025-09-30,279810
UBS Group AG,25869275,2025-09-30,-77693
ROYAL BANK OF CANADA,24675749,2025-09-30,-356911
NORDEA INVESTMENT MANAGEMENT AB,20768169,2025-09-30,-573141
"Nuveen, LLC",20216396,2025-09-30,-167289
HSBC HOLDINGS PLC,19566783,2025-09-30,1521324
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",18771803,2025-09-30,-3621568
BARCLAYS PLC,18462047,2025-09-30,-2322029
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",18406442,2025-09-30,9648265
VICTORY CAPITAL MANAGEMENT INC,18235392,2025-09-30,1083227
FIL Ltd,17609499,2025-09-30,-1060407
Amundi,16201266,2025-09-30,-2939864
DEUTSCHE BANK AG\,16006397,2025-09-30,317298
"BNP PARIBAS ARBITRAGE, SNC",14752182,2025-09-30,1510305
PRICE T ROWE ASSOCIATES INC /MD/,14414744,2025-09-30,1538516
STIFEL FINANCIAL CORP,13733524,2025-09-30,4696930
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,12440221,2025-09-30,260967
VOYA INVESTMENT MANAGEMENT LLC,11793912,2025-09-30,-1903940
Allianz Asset Management GmbH,11665524,2025-09-30,-62412
Swiss National Bank,11467800,2025-09-30,-574800
"Sumitomo Mitsui Trust Holdings, Inc.",11058929,2025-09-30,102698
ALLIANCEBERNSTEIN L.P.,10938374,2025-09-30,1783035
"SG Americas Securities, LLC",9862375,2025-09-30,5334261
RAYMOND JAMES FINANCIAL INC,9591974,2025-09-30,-129166
ENVESTNET ASSET MANAGEMENT INC,9409980,2025-09-30,-37764
National Pension Service,9323224,2025-09-30,273795
Swedbank AB,9100401,2025-09-30,336788
LSV ASSET MANAGEMENT,8693083,2025-09-30,-187683
DekaBank Deutsche Girozentrale,8586581,2025-09-30,0
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,8518018,2025-09-30,903030
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",8440324,2025-09-30,337390
CANADA PENSION PLAN INVESTMENT BOARD,8417776,2025-09-30,2233186
RHUMBLINE ADVISERS,7406963,2025-09-30,-56781
GREAT WEST LIFE ASSURANCE CO /CAN/,7094878,2025-09-30,398144
BANK OF MONTREAL /CAN/,6934909,2025-09-30,882143
CITIGROUP INC,6778321,2025-09-30,-302787
Neuberger Berman Group LLC,6619289,2025-09-30,-752224
"PNC FINANCIAL SERVICES GROUP, INC.",6601007,2025-09-30,-125874
"Pacer Advisors, Inc.",6416446,2025-09-30,-837113
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,6324642,2025-09-30,13936
ACADIAN ASSET MANAGEMENT LLC,6301971,2025-09-30,-423688
LPL Financial LLC,6181490,2025-09-30,811232
abrdn plc,6077448,2025-09-30,71432
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,6000000,2025-09-30,0
PRUDENTIAL FINANCIAL INC,5728862,2025-09-30,-257296
Robeco Institutional Asset Management B.V.,5710819,2025-09-30,156534
"HighTower Advisors, LLC",5685868,2025-09-30,96203
AQR CAPITAL MANAGEMENT LLC,5637731,2025-09-30,627263
ProShare Advisors LLC,5333066,2025-09-30,-1128468
AMERICAN CENTURY COMPANIES INC,5316228,2025-09-30,-765967
PRIMECAP MANAGEMENT CO/CA/,5248560,2025-09-30,-250800
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,5189973,2025-09-30,449878
NEW YORK STATE COMMON RETIREMENT FUND,4857423,2025-09-30,-352216
NATIONAL BANK OF CANADA /FI/,4857295,2025-09-30,-773502
PRINCIPAL FINANCIAL GROUP INC,4721879,2025-09-30,-48455
SCHRODER INVESTMENT MANAGEMENT GROUP,4508183,2025-09-30,342024
Universal- Beteiligungs- und Servicegesellschaft mbH,4281094,2025-09-30,102493
JENNISON ASSOCIATES LLC,4231396,2025-09-30,742367
"Russell Investments Group, Ltd.",4208469,2025-09-30,210410
Pictet Asset Management Holding SA,4114683,2025-09-30,253772
"ADAGE CAPITAL PARTNERS GP, L.L.C.",4101021,2025-09-30,-199700
