holder,shares,dateReported,change
VANGUARD GROUP INC,24584155,2025-09-30,-965594
"BlackRock, Inc.",20993657,2025-09-30,-941367
STATE STREET CORP,18727973,2025-09-30,2143273
DODGE & COX,13151969,2025-09-30,-865978
Independent Franchise Partners LLP,10576112,2025-09-30,-160080
LSV ASSET MANAGEMENT,7136803,2025-09-30,-342908
"GEODE CAPITAL MANAGEMENT, LLC",6504704,2025-09-30,-236435
"Holocene Advisors, LP",5662174,2025-09-30,3793360
"ASSETMARK, INC",4875616,2025-09-30,1575087
MORGAN STANLEY,4178453,2025-09-30,-104221
DIMENSIONAL FUND ADVISORS LP,3778132,2025-09-30,-108948
BANK OF AMERICA CORP /DE/,3598740,2025-09-30,300833
Robeco Institutional Asset Management B.V.,3508754,2025-09-30,-190104
Invesco Ltd.,3435726,2025-09-30,-450950
NORTHERN TRUST CORP,3427589,2025-09-30,-119976
FIRST TRUST ADVISORS LP,3278502,2025-09-30,1887302
GOLDMAN SACHS GROUP INC,3030698,2025-09-30,862937
UBS Group AG,2938581,2025-09-30,1203675
Squarepoint Ops LLC,2579237,2025-09-30,-292920
UBS ASSET MANAGEMENT AMERICAS INC,2575454,2025-09-30,-447302
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2391682,2025-09-30,46716
Allianz Asset Management GmbH,2093289,2025-09-30,87170
DEUTSCHE BANK AG\,2011567,2025-09-30,29913
Bank of New York Mellon Corp,1924975,2025-09-30,16757
Qube Research & Technologies Ltd,1787107,2025-09-30,-839036
BARCLAYS PLC,1715080,2025-09-30,-88773
"GREAT LAKES ADVISORS, LLC",1703883,2025-09-30,-16350
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,1674429,2025-09-30,971709
JUPITER ASSET MANAGEMENT LTD,1638319,2025-09-30,356455
YACKTMAN ASSET MANAGEMENT LP,1520292,2025-09-30,-116171
Legal & General Group Plc,1510422,2025-09-30,-24841
AMERIPRISE FINANCIAL INC,1479952,2025-09-30,-341332
"TWO SIGMA INVESTMENTS, LP",1414026,2025-09-30,1318672
"Pacer Advisors, Inc.",1392253,2025-09-30,-163692
"FEDERATED HERMES, INC.",1308229,2025-09-30,27912
"Clark Capital Management Group, Inc.",1144595,2025-09-30,80061
JPMORGAN CHASE & CO,1139067,2025-09-30,-1420615
AustralianSuper Pty Ltd,1123791,2025-09-30,-1411591
Amundi,1083686,2025-09-30,-87185
CITIGROUP INC,998017,2025-09-30,483112
ROYAL BANK OF CANADA,997342,2025-09-30,161476
AQR CAPITAL MANAGEMENT LLC,996788,2025-09-30,-91499
"BNP PARIBAS ARBITRAGE, SNC",995238,2025-09-30,-187983
Quantinno Capital Management LP,983154,2025-09-30,354384
WORLDQUANT MILLENNIUM ADVISORS LLC,972302,2025-09-30,826677
VIRGINIA RETIREMENT SYSTEMS ET AL,971500,2025-09-30,-520000
Andra AP-fonden,944500,2025-09-30,23700
FMR LLC,939341,2025-09-30,3043
BALYASNY ASSET MANAGEMENT L.P.,886062,2025-09-30,752129
MILLENNIUM MANAGEMENT LLC,849908,2025-09-30,747445
Zurcher Kantonalbank (Zurich Cantonalbank),843407,2025-09-30,-55026
Man Group plc,784097,2025-09-30,409828
"Alyeska Investment Group, L.P.",772103,2025-09-30,772103
"PNC FINANCIAL SERVICES GROUP, INC.",728047,2025-09-30,-918
CAPITAL FUND MANAGEMENT S.A.,706188,2025-09-30,167838
SEI INVESTMENTS CO,702025,2025-09-30,100866
Meridiem Capital Partners LP,689777,2025-09-30,25539
FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,662247,2025-09-30,56234
"Gotham Asset Management, LLC",657647,2025-09-30,13850
Swiss National Bank,617034,2025-09-30,-42400
VOYA INVESTMENT MANAGEMENT LLC,600734,2025-09-30,39546
Retirement Systems of Alabama,593176,2025-09-30,-1141
Aware Super Pty Ltd as trustee of Aware Super,579226,2025-09-30,367575
HSBC HOLDINGS PLC,571868,2025-09-30,-11760
AXA Investment Managers S.A.,562368,2025-09-30,562368
WELLS FARGO & COMPANY/MN,559971,2025-09-30,-106916
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,559131,2025-09-30,-127137
"Sumitomo Mitsui Trust Holdings, Inc.",555429,2025-09-30,-3740
"TWO SIGMA ADVISERS, LP",534100,2025-09-30,534100
