symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
WDAY,2025-01-31,262.06,265257000,69513249420,1543000000,3362000000,71332249420
WDAY,2024-01-31,291.07,261344000,76069398080,2012000000,3296000000,77353398080
WDAY,2023-01-31,181.43,254686805,46207827031,1886311000,3249076000,47570592031
WDAY,2022-01-31,253.01,247249000,62556469490,1534273000,2102756000,63124952490
WDAY,2021-01-31,236.69,237019000,56100027110,1384181000,2238065000,56953911110
WDAY,2020-01-31,184.63,226733018,41861717113,731141000,1569858000,42700434113
WDAY,2019-01-31,181.53,216789000,39353707170,638554000,1204778000,39919931170
WDAY,2018-01-31,119.89,207774000,24910024860,1134355000,1491354000,25267023860
WDAY,2017-01-31,83.09,198214000,16469601260,539923000,534423000,16464101260
WDAY,2016-01-31,64.84,190016000,12320637440,300087000,507476000,12528026440
WDAY,2015-01-31,79.46,183702000,14596960919,298192000,493708000,14792476919
WDAY,2014-01-31,89.54,171297000,15337933380,581326000,481378000,15237985380
WDAY,2013-01-31,53.42,74011000,3953667620,84158000,24980000,3894489620
WDAY,2012-01-31,51.5,226071000,11642656500,57529000,15716000,11600843500
WDAY,2011-01-31,51.5,226071000,11642656500,30887000,4160000,11615929500
WDAY,2010-01-31,51.5,226071000,11642656500,0,0,11642656500
