date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,declarationDate,recordDate,paymentDate,dividend
2026-01-05,99.085,99.44,98.41,99.06,99.06,106655,106655,-0.025,-0.02523086,98.97,"January 05, 26",-0.0002523086,,,,,
2026-01-02,99.35,99.62,98.33,99.03,99.03,631047,631047,-0.32,-0.32209,99.0825,"January 02, 26",-0.0032209,1.13,2025-10-31,2026-01-02,2026-01-15,1.13
2025-12-31,101.84,101.9,100.72,100.8,99.67,407808,407808,-1.04,-1.02,101.315,"December 31, 25",-0.0102,,,,,
2025-12-30,102.08,102.22,101.62,101.81,100.67,451900,451900,-0.27,-0.2645,101.9325,"December 30, 25",-0.002645,,,,,
2025-12-29,102.64,102.75,101.85,102.04,100.9,425510,425510,-0.6,-0.58457,102.32,"December 29, 25",-0.0058457,,,,,
2025-12-26,102.42,102.42,101.47,102.35,101.2,422400,422400,-0.07,-0.06834603,102.165,"December 26, 25",-0.0006834603,,,,,
2025-12-24,101.26,102.55,101.1,102.33,101.18,312213,312213,1.07,1.06,101.81,"December 24, 25",0.0106,,,,,
2025-12-23,101.93,101.93,100.91,101.13,100,472600,472600,-0.8,-0.78485,101.475,"December 23, 25",-0.0078485,,,,,
2025-12-22,100.91,102.09,100.89,101.67,100.53,468241,468241,0.76,0.75315,101.39,"December 22, 25",0.0075315,,,,,
2025-12-19,101.56,102.59,101.33,101.37,100.23,1472915,1472915,-0.19,-0.18708,101.7125,"December 19, 25",-0.0018708,,,,,
2025-12-18,102.62,102.81,101.5,101.65,100.51,655998,655998,-0.97,-0.94523,102.145,"December 18, 25",-0.0094523,,,,,
2025-12-17,100,101.96,100,101.7,100.56,549512,549512,1.7,1.7,100.915,"December 17, 25",0.017,,,,,
2025-12-16,102.58,102.58,100.01,100.12,99,983400,983400,-2.45,-2.4,101.3225,"December 16, 25",-0.024,,,,,
2025-12-15,99.96,100.98,99.68,100.91,99.78,771172,771172,0.95,0.95038,100.3825,"December 15, 25",0.0095038,,,,,
2025-12-12,98.9,99.9,98.9,99.58,98.46,650106,650106,0.68,0.68756,99.32,"December 12, 25",0.0068756,,,,,
2025-12-11,97.91,99.2,97.26,98.78,97.67,1027300,1027300,0.87,0.88857,98.2875,"December 11, 25",0.0088857,,,,,
2025-12-10,97.26,98.07,96.73,97.5,96.41,886398,886398,0.24,0.24676,97.39,"December 10, 25",0.0024676,,,,,
2025-12-09,95.77,97.29,95.77,96.93,95.84,965023,965023,1.16,1.21,96.44,"December 09, 25",0.0121,,,,,
2025-12-08,97.11,97.11,95.44,95.52,94.45,584000,584000,-1.59,-1.64,96.295,"December 08, 25",-0.0164,,,,,
2025-12-05,96.77,97.8,96.77,97.2,96.11,690347,690347,0.43,0.44435,97.135,"December 05, 25",0.0044435,,,,,
2025-12-04,97.7,98.13,96.9,97.13,96.04,509000,509000,-0.57,-0.58342,97.465,"December 04, 25",-0.0058342,,,,,
2025-12-03,97.67,98.21,97.36,97.88,96.78,422900,422900,0.21,0.21501,97.78,"December 03, 25",0.0021501,,,,,
2025-12-02,98.88,98.88,97.4,97.6,96.51,419914,419914,-1.28,-1.29,98.19,"December 02, 25",-0.0129,,,,,
2025-12-01,98.01,99.13,98,98.32,97.22,496400,496400,0.31,0.31629,98.365,"December 01, 25",0.0031629,,,,,
2025-11-28,98.72,99.31,98.42,98.73,97.62,199634,199634,0.01,0.01012966,98.795,"November 28, 25",0.0001012966,,,,,
2025-11-26,98.05,99.18,98.05,98.57,97.47,548700,548700,0.52,0.53034,98.4625,"November 26, 25",0.0053034,,,,,
2025-11-25,97.39,98.95,97.39,98.38,97.28,504625,504625,0.99,1.02,98.0275,"November 25, 25",0.0102,,,,,
2025-11-24,98.02,98.24,97,97.14,96.05,852500,852500,-0.88,-0.89778,97.6,"November 24, 25",-0.0089778,,,,,
2025-11-21,96.75,98.7,96.62,97.97,96.87,659953,659953,1.22,1.26,97.51,"November 21, 25",0.0126,,,,,
2025-11-20,97.04,97.75,96.05,96.26,95.18,503823,503823,-0.78,-0.80379,96.775,"November 20, 25",-0.0080379,,,,,
2025-11-19,97.07,97.07,96,96.17,95.09,505936,505936,-0.9,-0.92717,96.5775,"November 19, 25",-0.0092717,,,,,
