date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2024-12-31,SYF,2024,FY,0.39381704925596955,0,0.6704515792221352,0.19847262597450452,0,-0.029193205944798302,-0.0056925996204933585,0.6452680344142951,0.2338092809790923,0.18508226691042048,0.24872002155753167,0.05021834061135371,1.3460325163795195,0.6831710572263404,1.173082173082173,0.5590870938939797,-3.4888010540184453,0.5678374655647382,0.12485169144059102,0.5825825825825826,0.563449508489723,0.1217035332444733,0.6583493282149713,0.6473988439306358,-0.05864197530864197,-0.05407319952774498
2023-12-31,SYF,2023,FY,0.31398256915498296,-1,-0.07675623569104711,-0.29736985411694494,0,0.1207614515169542,0.08213552361396304,0.03848797250859107,0.0825282914711565,0.5682339449541285,1.4398422090729783,0.26519337016574585,-0.1480256357246227,-0.3516090819521517,-0.18145251396648043,-0.3770484439165986,-0.47953216374269003,-0.2670368500757193,-0.44218198381476387,-0.2959830866807611,-0.2579575596816976,-0.4352722346330909,-0.15831987075928924,-0.15609756097560973,-0.12323064113238967,-0.12391394290442698
2022-12-31,SYF,2022,FY,0.17560584461867426,1.7849829351535835,-0.1232833298119586,-0.2542426747568597,0,0.11992005329780146,0.00205761316872428,0.09234234234234234,0.09159385357035252,0.659372026641294,0.4738372093023256,0.06784660766961652,-0.23319594166138238,-0.3477371163174575,-0.2502931814374267,-0.36228045993973834,-0.10085836909871244,-0.28002907504997276,-0.38757456137823104,-0.2620904836193448,-0.28547737502961384,-0.3922090228974961,-0.1635135135135135,-0.16212534059945496,-0.14913212894084307,-0.1508870542771825
2021-12-31,SYF,2021,FY,-0.12497076479301474,-0.7479569892473118,0.6175666438824333,0.8485858285435194,0,0.08768115942028985,0.08482142857142858,0.06474820143884892,0.07794738551477752,-0.4933474739683764,-0.3801801801801802,0.03669724770642202,1.2674335010783608,1.5912659935284532,1.4313645621181263,1.7786095183087351,0.2917933130699088,2.062326099053979,2.4996843248176166,2.1116504854368934,2.047653429602888,2.482916120185915,2.24561403508772,2.233480176211454,-0.04142614601018676,-0.036391333784698714
2020-12-31,SYF,2020,FY,-0.1779145036210985,0.07788595271210014,-0.3591765221200175,-0.22049047124593574,0,-0.05154639175257732,-0.18397085610200364,-0.07470414201183433,-0.08253873659117998,0.03813432088879992,-0.27324312527280664,0.08637873754152824,-0.5295112464062236,-0.42768877955377704,-0.562544547398432,-0.4678710978428943,0.09241379310344827,-0.6322897483118478,-0.5527104500177445,-0.6385964912280702,-0.6303709634374166,-0.5503764044276647,-0.592128801431127,-0.591726618705036,-0.12115786332438078,-0.12279138827023015
2019-12-31,SYF,2019,FY,0.029629140820905373,-0.12730950775455158,0.17999741568678124,0.14604119966522153,0,0.019621583742116328,0.03977272727272727,-0.36822429906542054,-0.18046398046398046,-0.1319721980886186,0.2251336898395722,0.25416666666666665,0.522399588053553,0.47859022962276027,0.54006586169045,0.4957481298539673,0,0.3411086717892426,0.30251623503454433,0.33489461358313816,0.34301075268817205,0.3043635801777989,0.4867021276595745,0.4866310160427806,-0.09713054021285195,-0.0982728611594591
2018-12-31,SYF,2018,FY,0.10146823666230556,0.1088679527441304,0.09447037194173384,-0.006353215197163902,0,0.08599695585996955,0.060240963855421686,0.10594315245478036,0.09287429943955164,0.10312440099674142,0.3443565780014378,0.22448979591836735,0.10340909090909091,0.00176206093076421,0.09626955475330927,-0.004719774613960555,0,0.09626955475330927,-0.004719774613960555,-0.3851691864650828,0.4418604651162791,0.3090349922870268,0.5473251028806583,0.5454545454545456,-0.06699346405228758,-0.06602475928473177
2017-12-31,SYF,2017,FY,0.12585924713584287,0.2776079480320978,0.012167191525908961,-0.10098247698004159,0,0.08864954432477216,0.1773049645390071,0.08342665173572228,0.09689695550351288,0.206242774566474,0.11458333333333333,0.12643678160919541,-0.05982905982905983,-0.16493030296398759,-0.06890756302521009,-0.17299392514499418,0,-0.06890756302521009,-0.17299392514499418,0.05307050796057619,-0.14038205242114615,-0.23647831634314417,-0.10332103321033204,-0.10701107011070111,-0.04052098408104197,-0.038244137101623575
2016-12-31,SYF,2016,FY,0.12295533909207866,0.28064595057499386,0.028108903605592348,-0.0844614493475241,0,0.15834932821497122,-0.023094688221709007,-0.0016769144773616546,0.04656862745098039,0.17671065161202557,0.09955947136563877,0,0.010526315789473684,-0.10011887323512,0.011045029736618521,-0.09965695473489256,0,0.011045029736618521,-0.09965695473489256,0.0015186028853454822,0.016711833785004515,-0.09461062403113088,0.01879699248120294,0.022641509433962283,-0.005516910530103142,-0.0047875523638539795
2015-12-31,SYF,2015,FY,-0.1449673921584034,0.0646001562907007,0.07635038808807224,0.2588413332990027,0,0.20323325635103925,-0.058695652173913045,0.1174266083697689,0.1151349504612231,-0.12685592113077562,0.23101952277657267,0.3282442748091603,-0.16535255688218067,-0.023841388752991775,-0.18036211699164345,-0.04139576014004135,1,0.04282339043118724,0.219629966030765,0.031323414252153486,0.049786628733997154,0.22777379379966117,-0.043165467625899165,-0.04676258992805752,0.10087140216530235,0.1028247096092925
