holder,shares,dateReported,change
VANGUARD GROUP INC,65269963,2025-09-30,1253589
"BlackRock, Inc.",55439906,2025-09-30,1732709
MORGAN STANLEY,30759375,2025-09-30,180307
STATE STREET CORP,29736916,2025-09-30,505924
BANK OF AMERICA CORP /DE/,17459010,2025-09-30,904439
JPMORGAN CHASE & CO,15750208,2025-09-30,133051
"GEODE CAPITAL MANAGEMENT, LLC",15448501,2025-09-30,274472
ROYAL BANK OF CANADA,9920223,2025-09-30,2454869
UBS Group AG,8084781,2025-09-30,1298111
"Nuveen, LLC",7661272,2025-09-30,932822
FMR LLC,7599248,2025-09-30,-2772474
NORTHERN TRUST CORP,7528248,2025-09-30,36511
UBS ASSET MANAGEMENT AMERICAS INC,5920436,2025-09-30,-1497345
FIRST TRUST ADVISORS LP,5906963,2025-09-30,611375
"Clearbridge Investments, LLC",5859097,2025-09-30,604209
BARCLAYS PLC,5804717,2025-09-30,1338539
AMERIPRISE FINANCIAL INC,5585298,2025-09-30,-375506
WELLS FARGO & COMPANY/MN,5580894,2025-09-30,788228
Legal & General Group Plc,5440431,2025-09-30,10751
GOLDMAN SACHS GROUP INC,5353723,2025-09-30,-346709
Invesco Ltd.,5289011,2025-09-30,252495
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,4713839,2025-09-30,237201
PRICE T ROWE ASSOCIATES INC /MD/,4552030,2025-09-30,602799
FRANKLIN RESOURCES INC,4037320,2025-09-30,17394
Pictet Asset Management Holding SA,4036866,2025-09-30,255514
Bank of New York Mellon Corp,3977200,2025-09-30,-4260
BANK OF MONTREAL /CAN/,3785530,2025-09-30,1159553
Amundi,3532201,2025-09-30,708332
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",3388984,2025-09-30,2882007
DEUTSCHE BANK AG\,3239327,2025-09-30,52408
CITIGROUP INC,2807455,2025-09-30,81966
"JANE STREET GROUP, LLC",2610066,2025-09-30,2608526
CITADEL ADVISORS LLC,2529379,2025-09-30,2271937
"SG Americas Securities, LLC",2519546,2025-09-30,773463
VICTORY CAPITAL MANAGEMENT INC,2467692,2025-09-30,1282738
NORDEA INVESTMENT MANAGEMENT AB,2430115,2025-09-30,64814
Swedbank AB,2392224,2025-09-30,560540
SCHRODER INVESTMENT MANAGEMENT GROUP,2277112,2025-09-30,42561
RAYMOND JAMES FINANCIAL INC,2238686,2025-09-30,121575
STIFEL FINANCIAL CORP,2144841,2025-09-30,167895
AQR CAPITAL MANAGEMENT LLC,2096542,2025-09-30,143893
"Sumitomo Mitsui Trust Holdings, Inc.",2081938,2025-09-30,201327
Capital Research Global Investors,2062988,2025-09-30,-1295420
Swiss National Bank,1922100,2025-09-30,-82100
"SCGE MANAGEMENT, L.P.",1885000,2025-09-30,0
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1877928,2025-09-30,-227011
LPL Financial LLC,1848984,2025-09-30,188709
National Pension Service,1725100,2025-09-30,38138
Mirova US LLC,1717294,2025-09-30,-65280
"MARSHALL WACE, LLP",1713968,2025-09-30,1705568
ABN AMRO Bank N.V.,1709588,2025-09-30,53588
ALLIANCEBERNSTEIN L.P.,1690807,2025-09-30,-330332
VOYA INVESTMENT MANAGEMENT LLC,1572908,2025-09-30,-40556
BNP Paribas Asset Management Holding S.A.,1518765,2025-09-30,287945
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1445107,2025-09-30,76296
FIFTH THIRD BANCORP,1435149,2025-09-30,56993
HSBC HOLDINGS PLC,1390603,2025-09-30,-205657
US BANCORP \DE\,1364442,2025-09-30,8344
BLAIR WILLIAM & CO/IL,1237864,2025-09-30,79978
"CI Private Wealth, LLC",1208797,2025-09-30,-312508
