holder,shares,dateReported,change
VANGUARD GROUP INC,3772178,2025-09-30,-81490
"BlackRock, Inc.",3029057,2025-09-30,22397
Capital International Investors,1492088,2025-09-30,-73441
STATE STREET CORP,1422980,2025-09-30,31543
MORGAN STANLEY,1323550,2025-09-30,-78393
"MATHER GROUP, LLC.",1065654,2025-09-30,-3
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,1052673,2025-09-30,-61814
"GEODE CAPITAL MANAGEMENT, LLC",940645,2025-09-30,2938
Invesco Ltd.,718477,2025-09-30,117522
"Fisher Asset Management, LLC",598648,2025-09-30,13651
"Beacon Pointe Advisors, LLC",418642,2025-09-30,-3312
LONDON CO OF VIRGINIA,336553,2025-09-30,-16474
NORTHERN TRUST CORP,321056,2025-09-30,16
DIMENSIONAL FUND ADVISORS LP,311659,2025-09-30,8380
CITADEL ADVISORS LLC,278188,2025-09-30,-288522
GOLDMAN SACHS GROUP INC,264736,2025-09-30,20340
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,255383,2025-09-30,16422
WELLINGTON MANAGEMENT GROUP LLP,246803,2025-09-30,-21861
UBS ASSET MANAGEMENT AMERICAS INC,226778,2025-09-30,-67404
JPMORGAN CHASE & CO,196704,2025-09-30,8140
WELLS FARGO & COMPANY/MN,188548,2025-09-30,-28178
EULAV Asset Management,187400,2025-09-30,0
DEUTSCHE BANK AG\,184926,2025-09-30,46734
Bank of New York Mellon Corp,184638,2025-09-30,-5065
Amundi,177872,2025-09-30,-9784
"True North Advisors, LLC",177727,2025-09-30,-3859
ROYAL BANK OF CANADA,164677,2025-09-30,-55509
AQR CAPITAL MANAGEMENT LLC,162935,2025-09-30,-5195
UBS Group AG,155283,2025-09-30,28806
"Rakuten Investment Management, Inc.",155134,2025-09-30,155134
BANK OF AMERICA CORP /DE/,142092,2025-09-30,-10524
PRICE T ROWE ASSOCIATES INC /MD/,134179,2025-09-30,22720
Legal & General Group Plc,130802,2025-09-30,-95
"Holocene Advisors, LP",125005,2025-09-30,125005
VICTORY CAPITAL MANAGEMENT INC,116721,2025-09-30,9491
NORDEA INVESTMENT MANAGEMENT AB,110196,2025-09-30,95114
Freestone Grove Partners LP,110121,2025-09-30,110121
AXA Investment Managers S.A.,103676,2025-09-30,103676
"FEDERATED HERMES, INC.",99695,2025-09-30,4103
AMERICAN CENTURY COMPANIES INC,95193,2025-09-30,10544
RAYMOND JAMES FINANCIAL INC,94949,2025-09-30,-3481
CAPTRUST FINANCIAL ADVISORS,94426,2025-09-30,160
BNP Paribas Asset Management Holding S.A.,92465,2025-09-30,-29696
BARCLAYS PLC,92274,2025-09-30,9017
Swiss National Bank,92100,2025-09-30,-4300
Achmea Investment Management B.V.,91071,2025-09-30,-2822
HSBC HOLDINGS PLC,87728,2025-09-30,2014
ENVESTNET ASSET MANAGEMENT INC,87267,2025-09-30,-2828
"Nuveen, LLC",86569,2025-09-30,-296
AMERIPRISE FINANCIAL INC,85096,2025-09-30,13281
Fiera Capital Corp,78150,2025-09-30,-1860
FMR LLC,73289,2025-09-30,-4784
RHUMBLINE ADVISERS,70120,2025-09-30,38
Man Group plc,69439,2025-09-30,-3041
"BNP PARIBAS ARBITRAGE, SNC",67766,2025-09-30,2276
VIRGINIA RETIREMENT SYSTEMS ET AL,67357,2025-09-30,34500
"Sumitomo Mitsui Trust Holdings, Inc.",66080,2025-09-30,488
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",64215,2025-09-30,3010
"Baird Financial Group, Inc.",64106,2025-09-30,-16521
Skandinaviska Enskilda Banken AB (publ),64070,2025-09-30,-19247
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,62047,2025-09-30,1858
CITIGROUP INC,60833,2025-09-30,12283
SCHRODER INVESTMENT MANAGEMENT GROUP,56049,2025-09-30,-131
"D. E. Shaw & Co., Inc.",53158,2025-09-30,7920
"SG Americas Securities, LLC",49456,2025-09-30,17673
