date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,dividend,paymentDate,adjDividend,declarationDate
2026-01-02,257.71,257.71,250.2,251.6,251.6,1317908,1317908,-6.1,-2.37,254.305,"January 02, 26",-0.0237,,,,,
2025-12-31,257.91,258.39,255.91,256.03,256.03,808069,808069,-1.88,-0.72894,257.06,"December 31, 25",-0.0072894,,,,,
2025-12-30,255.41,260.04,254.46,257.91,257.91,1073403,1073403,2.5,0.97882,256.955,"December 30, 25",0.0097882,,,,,
2025-12-29,255,256.57,254.16,255.7,255.7,1076395,1076395,0.7,0.27451,255.3575,"December 29, 25",0.0027451,,,,,
2025-12-26,250.74,256.29,249.84,256.09,256.09,920781,920781,5.35,2.13,253.24,"December 26, 25",0.0213,,,,,
2025-12-24,249.23,251.72,248.76,251.6,251.6,485848,485848,2.37,0.95093,250.3275,"December 24, 25",0.0095093,,,,,
2025-12-23,248.54,249.46,247.66,249.23,249.23,648297,648297,0.69,0.27762,248.7225,"December 23, 25",0.0027762,,,,,
2025-12-22,247.4,249.78,247.06,248.58,248.58,1084600,1084600,1.18,0.47696,248.205,"December 22, 25",0.0047696,,,,,
2025-12-19,246.2,250.38,244.39,247.4,247.4,3905575,3905575,1.2,0.48741,247.0925,"December 19, 25",0.0048741,,,,,
2025-12-18,242.98,246.85,241.38,246.65,246.65,1810300,1810300,3.67,1.51,244.465,"December 18, 25",0.0151,,,,,
2025-12-17,244.69,246.2,240.28,240.55,240.55,1564050,1564050,-4.14,-1.69,242.93,"December 17, 25",-0.0169,,,,,
2025-12-16,244.5,246.91,243.19,244.53,244.53,1526946,1526946,0.03,0.01226994,244.7825,"December 16, 25",0.0001226994,,,,,
2025-12-15,244.28,246.84,242.65,244.56,244.56,1888704,1888704,0.285,0.11462,244.5825,"December 15, 25",0.0011462,,,,,
2025-12-12,242.16,243.3,240.5,241.47,241.47,1529900,1529900,-0.69,-0.28494,241.8575,"December 12, 25",-0.0028494,,,,,
2025-12-11,244.01,246.74,242.06,242.41,242.41,1478445,1478445,-1.6,-0.65571,243.805,"December 11, 25",-0.0065571,,,,,
2025-12-10,249.29,250.18,245.36,246.02,246.02,1150064,1150064,-3.27,-1.31,247.7125,"December 10, 25",-0.0131,,,,,
2025-12-09,247,249.5,246.23,248.73,248.73,1356600,1356600,1.73,0.7004,247.865,"December 09, 25",0.007004,,,,,
2025-12-08,248.52,248.95,245.99,247.28,247.28,1096187,1096187,-1.24,-0.49895,247.685,"December 08, 25",-0.0049895,,,,,
2025-12-05,247.7,251.34,246.84,247.88,247.88,1362734,1362734,0.18,0.07266855,248.44,"December 05, 25",0.0007266855,,,,,
2025-12-04,244.21,247.9,242.19,247.51,247.51,1014070,1014070,3.3,1.35,245.4525,"December 04, 25",0.0135,,,,,
