date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,VLTO,2024,FY,0.4448818897637795,0,0.4448818897637795,-0.01694915254237288,-0.030303030303030304,-0.010638297872340425,0.15147129763627593,0.022900763358778626,0.06316620607974734,0.2529274004683841,0.09054054054054055,0,0,0.314070351758794,0.11022099447513813,0,0.1252415246794309,-0.08352668213457076,0,-1,0.13942307692307693,-0.2074074074074074,-0.015810276679841896,-0.011411182959300114,0.13333333333333333,0,0.325,0.02533728200065811,0,0.01324349442379182,0,4.151685393258427,-0.12264150943396226,0,0.47360809833694867,0.1252415246794309,0,-0.0036010082823190494,-0.17320099255583127
2023-12-31,VLTO,2023,FY,0,0,0,0.012254901960784314,-0.1391304347826087,0.5798319327731093,0.61953125,0.06072874493927125,0.023021001615508886,-0.10855949895615867,0.001692047377326565,0,0,0.16034985422740525,0.021156558533145273,0,0.17989637305699482,-0.020454545454545454,0,1.106060606060606,0.08333333333333333,0.4835164835164835,0.12644701691896706,0,0.07142857142857142,0,-0.21568627450980393,5.577922077922078,0,1.7154574132492113,-0.9995225590833134,0,0,0,-0.5724884080370943,0.17989637305699482,0,21.577235772357724,15.382113821138212
2022-12-31,VLTO,2022,FY,0,0,0,0.07793923381770146,0.07142857142857142,-0.05555555555555555,0.06224066390041494,-0.05,-0.010391686650679457,-0.10131332082551595,-0.026359143327841845,0,0,0.008823529411764706,-0.024759284731774415,0,-0.0030991735537190084,-0.05172413793103448,0,0.13793103448275862,0.09714285714285714,0.1165644171779141,0.001784121320249777,0,0.07692307692307693,0,-0.11633663366336634,-0.10810810810810811,0,-0.03294691885295912,0.025710088148873652,0,-0.07553551296505073,0,0.0118861432593056,-0.0030991735537190084,0,-0.08888888888888889,-0.08888888888888889
2021-12-31,VLTO,2021,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,VLTO,2020,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
