symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
Q,2026-01-02,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-31,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-30,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-29,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-26,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-24,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-23,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-22,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-19,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-18,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-17,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-16,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-15,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-12,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,3,Neutral
Q,2025-12-11,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-10,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-09,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-08,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-05,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-04,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-12-03,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-12-02,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-12-01,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-28,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-26,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-25,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-24,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-21,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-20,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-19,B+,3,Neutral,4,Buy,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
Q,2025-11-18,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-11-17,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-11-14,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-11-13,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-11-12,A-,4,Buy,4,Buy,3,Neutral,4,Buy,3,Neutral,2,Sell,4,Buy
Q,2025-11-11,C,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,1,Strong Sell,1,Strong Sell
Q,2025-11-10,C,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,1,Strong Sell,1,Strong Sell
