date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,vwap,low,changeOverTime,adjClose,changePercent,open,volume,change,close,high,unadjustedVolume
2026-01-16,"January 16, 26",0.66,0.66,2026-01-16,2026-02-20,2025-12-17,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,185.24,181.44,0.0283,187.85,2.83,182.68,1687703,5.17,187.85,188.99,1687703
2025-12-31,"December 31, 25",,,,,,179.99,178.52,-0.0128,178.59,-1.28,180.9,867258,-2.31,178.59,181.95,867258
2025-12-30,"December 30, 25",,,,,,184.07,181.28,-0.0284,181.4,-2.84,186.7,711349,-5.29,181.4,186.9,711349
2025-12-29,"December 29, 25",,,,,,187.235,186.08,0.0007486631,187.14,0.07486631,187,703200,0.14,187.14,188.72,703200
2025-12-26,"December 26, 25",,,,,,188.295,186.61,-0.0005829359,188.59,-0.05829359,188.7,498929,-0.11,188.59,189.28,498929
2025-12-24,"December 24, 25",,,,,,188.6,187.4,0.011,189.47,1.1,187.4,370011,2.07,189.47,190.13,370011
2025-12-23,"December 23, 25",,,,,,189.39,186.43,-0.0153,188.11,-1.53,191.03,1005900,-2.92,188.11,191.99,1005900
2025-12-22,"December 22, 25",,,,,,190.3075,188.12,0.0015724,191.09,0.15724,190.79,955828,0.3,191.09,191.23,955828
2025-12-19,"December 19, 25",,,,,,189.9025,187.24,0.00824,190.88,0.824,189.32,3556200,1.56,190.88,192.17,3556200
2025-12-18,"December 18, 25",,,,,,191.0575,188.89,0.0011632,189.36,0.11632,189.14,1532985,0.22,189.36,196.84,1532985
2025-12-17,"December 17, 25",,,,,,186.07,183.91,-0.005676,185.69,-0.5676,186.75,1090700,-1.06,185.69,187.93,1090700
2025-12-16,"December 16, 25",,,,,,185.765,183.95,-0.0050949,185.51,-0.50949,186.46,1388817,-0.95,185.51,187.14,1388817
2025-12-15,"December 15, 25",,,,,,187.5425,185.26,-0.0176,185.43,-1.76,188.75,1244300,-3.32,185.43,190.73,1244300
2025-12-12,"December 12, 25",,,,,,188.1375,183.18,-0.0125,187.59,-1.25,189.97,1551000,-2.38,187.59,191.81,1551000
2025-12-11,"December 11, 25",,,,,,189.0475,186.68,0.0001585205,189.28,0.01585205,189.25,1203805,0.03,189.28,190.98,1203805
2025-12-10,"December 10, 25",,,,,,184.345,180.45,0.0347,187.1,3.47,180.83,1494167,6.27,187.1,189,1494167
2025-12-09,"December 09, 25",,,,,,179.96,178.49,0.0111,180.48,1.11,178.49,1183300,1.99,180.48,182.38,1183300
2025-12-08,"December 08, 25",,,,,,179.895,178.51,-0.0010577,179.45,-0.10577,179.64,1080300,-0.19,179.45,181.98,1080300
2025-12-05,"December 05, 25",,,,,,178.74,176.83,0.0124,179.36,1.24,177.17,1006000,2.19,179.36,181.6,1006000
2025-12-04,"December 04, 25",,,,,,177.415,175.22,-0.008642,176.66,-0.8642,178.2,1131824,-1.54,176.66,179.58,1131824
2025-12-03,"December 03, 25",,,,,,179.175,178.15,-0.0036872,178.34,-0.36872,179,1233022,-0.66,178.34,181.21,1233022
2025-12-02,"December 02, 25",,,,,,180.1575,176.4,-0.0249,178.06,-2.49,182.61,1349908,-4.55,178.06,183.56,1349908
2025-12-01,"December 01, 25",,,,,,180.3275,176.52,0.0271,182.44,2.71,177.63,1187207,4.81,182.44,184.72,1187207
2025-11-28,"November 28, 25",,,,,,180.0825,178.3,-0.0017192,180.01,-0.17192,180.32,431500,-0.31,180.01,181.7,431500
2025-11-26,"November 26, 25",,,,,,181.075,179.58,0.0085756,181.12,0.85756,179.58,968974,1.54,181.12,184.02,968974
2025-11-25,"November 25, 25",,,,,,177.8525,174.63,0.0231,179.58,2.31,175.53,1414208,4.05,179.58,181.67,1414208
2025-11-24,"November 24, 25",,,,,,175.89,173.15,-0.0251,173.73,-2.51,178.21,2518318,-4.48,173.73,178.47,2518318
2025-11-21,"November 21, 25",,,,,,176.6275,172.96,0.0256,177.93,2.56,173.49,2077443,4.44,177.93,182.13,2077443
2025-11-20,"November 20, 25",,,,,,175.44,172.45,-0.0205,172.55,-2.05,176.17,2014446,-3.62,172.55,180.59,2014446
2025-11-19,"November 19, 25",,,,,,178.2675,170.13,-0.0299,174.62,-2.99,180,3348500,-5.38,174.62,188.32,3348500
2025-11-18,"November 18, 25",,,,,,179.18,176.14,0.0172,180.75,1.72,177.7,1853800,3.05,180.75,182.13,1853800
2025-11-17,"November 17, 25",,,,,,181.5825,179.73,0.001436,181.32,0.1436,181.06,1403600,0.26,181.32,184.22,1403600
2025-11-14,"November 14, 25",,,,,,183.6375,181.73,-0.0112,182.24,-1.12,184.31,1476371,-2.07,182.24,186.27,1476371
2025-11-13,"November 13, 25",,,,,,189.6075,186.21,-0.025,186.47,-2.5,191.26,777537,-4.79,186.47,194.49,777537
2025-11-12,"November 12, 25",,,,,,192.605,191.27,-0.004978,191.89,-0.4978,192.85,910407,-0.96,191.89,194.41,910407
2025-11-11,"November 11, 25",,,,,,192.9675,190.96,-0.0161,191.49,-1.61,194.63,664204,-3.14,191.49,194.79,664204
2025-11-10,"November 10, 25",,,,,,195.175,189.43,-0.0126,194.65,-1.26,197.14,782307,-2.49,194.65,199.48,782307
