date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,paymentDate,dividend,declarationDate
2026-01-02,241.18,241.92,239.25,241.03,241.03,305300,305300,-0.15,-0.06219421,240.845,"January 02, 26",-0.0006219421,,,,,
2025-12-31,243.38,245.2,240.19,240.43,240.43,241145,241145,-2.95,-1.21,242.3,"December 31, 25",-0.0121,,,,,
2025-12-30,243.14,244.16,242.21,243.96,243.96,227540,227540,0.82,0.33725,243.3675,"December 30, 25",0.0033725,,,,,
2025-12-29,243.94,245.66,242.38,243.14,243.14,335135,335135,-0.8,-0.32795,243.78,"December 29, 25",-0.0032795,,,,,
2025-12-26,242.81,244.14,242.44,243.99,243.99,251500,251500,1.18,0.48598,243.345,"December 26, 25",0.0048598,,,,,
2025-12-24,242.41,244.24,241.44,243.47,243.47,143500,143500,1.06,0.43728,242.89,"December 24, 25",0.0043728,,,,,
2025-12-23,243.36,243.36,241.67,241.98,241.98,298341,298341,-1.38,-0.56706,242.5925,"December 23, 25",-0.0056706,,,,,
2025-12-22,240.46,243.74,240.13,243.36,243.36,362700,362700,2.9,1.21,241.9225,"December 22, 25",0.0121,,,,,
2025-12-19,238.64,242.69,238.47,240.38,240.38,1787622,1787622,1.74,0.72913,240.045,"December 19, 25",0.0072913,,,,,
2025-12-18,239.32,239.5,236.26,238.34,238.34,648408,648408,-0.98,-0.40949,238.355,"December 18, 25",-0.0040949,,,,,
2025-12-17,235.71,239.62,235.54,238.07,238.07,658700,658700,2.36,1,237.235,"December 17, 25",0.01,0.82,2025-12-17,2026-01-02,0.82,2025-12-01
2025-12-16,237.15,239.74,235.06,236.37,235.55,581251,581251,-0.78,-0.32891,237.08,"December 16, 25",-0.0032891,,,,,
2025-12-15,237.2,239.56,234.6,237.79,236.97,796900,796900,0.59,0.24874,237.2875,"December 15, 25",0.0024874,,,,,
2025-12-12,239.41,239.41,232.1,235.45,234.63,729901,729901,-3.96,-1.65,236.5925,"December 12, 25",-0.0165,,,,,
2025-12-11,250,251.47,231.39,234.43,233.62,1518400,1518400,-15.57,-6.23,241.8225,"December 11, 25",-0.0623,,,,,
2025-12-10,234.42,237.41,233.35,236.32,235.5,1006900,1006900,1.9,0.81051,235.375,"December 10, 25",0.0081051,,,,,
2025-12-09,234.78,237.38,233.27,233.44,232.63,451747,451747,-1.34,-0.57075,234.7175,"December 09, 25",-0.0057075,,,,,
2025-12-08,238.74,239.71,234.43,234.45,233.64,503600,503600,-4.29,-1.8,236.8325,"December 08, 25",-0.018,,,,,
2025-12-05,238.13,240.26,238.01,238.93,238.1,360400,360400,0.8,0.33595,238.8325,"December 05, 25",0.0033595,,,,,
2025-12-04,238.75,240.67,237.46,238.41,237.58,350313,350313,-0.34,-0.14241,238.8225,"December 04, 25",-0.0014241,,,,,
2025-12-03,236.54,239.68,235.42,238.59,237.76,305020,305020,2.05,0.86666,237.5575,"December 03, 25",0.0086666,,,,,
2025-12-02,235.69,237.56,233.14,236.53,235.71,282800,282800,0.84,0.3564,235.73,"December 02, 25",0.003564,,,,,
2025-12-01,235.22,238.02,234.54,235.03,234.21,401623,401623,-0.19,-0.08077544,235.7025,"December 01, 25",-0.0008077544,,,,,
2025-11-28,237.95,240,237.35,237.66,236.84,170805,170805,-0.29,-0.12187,238.24,"November 28, 25",-0.0012187,,,,,
2025-11-26,237.55,240.18,235.76,238,237.17,296730,296730,0.45,0.18943,237.8725,"November 26, 25",0.0018943,,,,,
