date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,recordDate,adjDividend,paymentDate
2026-01-02,927.61,957.1,926.18,936.31,936.31,618935,618935,8.7,0.93789,936.8,"January 02, 26",0.0093789,,,,,
2025-12-31,926.36,928.07,906.33,906.36,906.36,381933,381933,-20,-2.16,916.78,"December 31, 25",-0.0216,1.56,2025-12-12,2025-12-31,1.56,2026-01-15
2025-12-30,929.39,935.16,923.12,923.91,922.35,288335,288335,-5.48,-0.58963,927.895,"December 30, 25",-0.0058963,,,,,
2025-12-29,938,949.29,928.9,930.04,928.47,446386,446386,-7.96,-0.84861,936.5575,"December 29, 25",-0.0084861,,,,,
2025-12-26,960.44,960.44,944.62,946.32,944.72,221600,221600,-14.12,-1.47,952.955,"December 26, 25",-0.0147,,,,,
2025-12-24,954.75,958.08,947.05,953.25,951.64,191715,191715,-1.5,-0.15711,953.2825,"December 24, 25",-0.0015711,,,,,
2025-12-23,939.88,946.51,935.83,943.55,941.96,355430,355430,3.67,0.39048,941.4425,"December 23, 25",0.0039048,,,,,
2025-12-22,976.05,976.05,937.1,945.16,943.56,569200,569200,-30.89,-3.16,958.59,"December 22, 25",-0.0316,,,,,
2025-12-19,941.89,966.33,937.11,937.11,935.53,5577200,5577200,-4.78,-0.50749,945.61,"December 19, 25",-0.0050749,,,,,
2025-12-18,936.41,951.63,922.88,929.48,927.91,731426,731426,-6.93,-0.74006,935.1,"December 18, 25",-0.0074006,,,,,
2025-12-17,959.61,966.14,909,912.25,910.71,855814,855814,-47.36,-4.94,936.75,"December 17, 25",-0.0494,,,,,
2025-12-16,947.81,968.84,942,951.36,949.75,577000,577000,3.55,0.37455,952.5025,"December 16, 25",0.0037455,,,,,
2025-12-15,960.8,975,946.45,949.4,947.8,690903,690903,-11.4,-1.19,957.9125,"December 15, 25",-0.0119,,,,,
2025-12-12,980,988.1,941.37,946.51,944.91,781916,781916,-33.49,-3.42,963.995,"December 12, 25",-0.0342,,,,,
2025-12-11,967.62,987.59,950.55,981.48,979.82,590900,590900,13.86,1.43,971.81,"December 11, 25",0.0143,,,,,
2025-12-10,968.54,989.25,962.95,979.02,977.37,446734,446734,10.48,1.08,974.94,"December 10, 25",0.0108,,,,,
2025-12-09,978.54,988.05,957.39,962.95,961.32,440423,440423,-15.59,-1.59,971.7325,"December 09, 25",-0.0159,,,,,
2025-12-08,976.03,1002.5,974.46,983.58,981.92,444838,444838,7.55,0.77354,984.1425,"December 08, 25",0.0077354,,,,,
2025-12-05,964.25,971.12,954.39,963.28,961.65,348120,348120,-0.975,-0.1006,963.26,"December 05, 25",-0.001006,,,,,
2025-12-04,950.1,959.38,931.98,952.74,951.13,479087,479087,2.64,0.27787,948.55,"December 04, 25",0.0027787,,,,,
2025-12-03,954.31,962.22,933.82,958.02,956.4,464203,464203,3.71,0.38876,952.0925,"December 03, 25",0.0038876,,,,,
2025-12-02,938.65,963.91,931.6,952.18,950.57,603031,603031,13.53,1.44,946.585,"December 02, 25",0.0144,,,,,
2025-12-01,908.72,937.69,894.39,928.35,926.78,545000,545000,19.63,2.16,917.2875,"December 01, 25",0.0216,,,,,
2025-11-28,919.06,930.4,910.03,928.17,926.6,357500,357500,9.11,0.99123,921.915,"November 28, 25",0.0099123,,,,,
2025-11-26,920.19,931.78,914.34,924.95,923.39,603712,603712,4.76,0.51728,922.815,"November 26, 25",0.0051728,,,,,
2025-11-25,883.69,913.26,864.45,908.61,907.07,559769,559769,24.92,2.82,892.5025,"November 25, 25",0.0282,,,,,
