date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,recordDate,adjDividend,paymentDate
2025-11-24,887.69,903.63,881.89,892.97,891.46,1145218,1145218,5.28,0.5948,891.545,"November 24, 25",0.005948,,,,,
2025-11-21,864.16,883.79,833.18,872.35,870.88,763005,763005,8.19,0.94774,863.37,"November 21, 25",0.0094774,,,,,
2025-11-20,908.62,917.44,852.69,857.19,855.74,1053100,1053100,-51.43,-5.66,883.985,"November 20, 25",-0.0566,,,,,
2025-11-19,866.16,890.84,859.97,884.65,883.15,843342,843342,18.49,2.13,875.405,"November 19, 25",0.0213,,,,,
2025-11-18,887.22,894.51,852.04,856.96,855.51,878728,878728,-30.26,-3.41,872.6825,"November 18, 25",-0.0341,,,,,
2025-11-17,914.29,924,879.42,897.01,895.49,484222,484222,-17.28,-1.89,903.68,"November 17, 25",-0.0189,,,,,
2025-11-14,879.11,938.54,866.38,920.19,918.63,486200,486200,41.08,4.67,901.055,"November 14, 25",0.0467,,,,,
2025-11-13,950.67,959.17,912.95,924.29,922.73,676205,676205,-26.38,-2.77,936.77,"November 13, 25",-0.0277,,,,,
2025-11-12,973.99,980.95,957,958.35,956.73,543923,543923,-15.64,-1.61,967.5725,"November 12, 25",-0.0161,,,,,
2025-11-11,967.19,978.76,951.12,954.71,953.1,580565,580565,-12.48,-1.29,962.945,"November 11, 25",-0.0129,,,,,
2025-11-10,986.65,989.72,947.87,976.31,974.66,608506,608506,-10.34,-1.05,975.1375,"November 10, 25",-0.0105,,,,,
2025-11-07,944,959.01,904.06,958.26,956.64,740045,740045,14.26,1.51,941.3325,"November 07, 25",0.0151,,,,,
2025-11-06,995.15,1006,954.09,958.07,956.45,676976,676976,-37.08,-3.73,978.3275,"November 06, 25",-0.0373,,,,,
2025-11-05,961.04,1014.99,956.68,1000.15,998.46,697162,697162,39.11,4.07,983.215,"November 05, 25",0.0407,,,,,
2025-11-04,966.12,976.91,953.09,957.87,956.25,866121,866121,-8.25,-0.85393,963.4975,"November 04, 25",-0.0085393,,,,,
2025-11-03,1030,1040.39,984.75,1003.93,1002.23,828008,828008,-26.07,-2.53,1014.7675,"November 03, 25",-0.0253,,,,,
2025-10-31,1020.16,1038.33,935.93,1005,1003.3,1646500,1646500,-15.16,-1.49,999.855,"October 31, 25",-0.0149,,,,,
2025-10-30,1070.76,1100.51,1070.76,1087.56,1085.72,1262725,1262725,16.8,1.57,1082.3975,"October 30, 25",0.0157,,,,,
2025-10-29,1095.97,1123.38,1090.5,1094.08,1092.23,817568,817568,-1.89,-0.17245,1100.9825,"October 29, 25",-0.0017245,,,,,
2025-10-28,1097.85,1111.03,1085.99,1086.36,1084.52,475891,475891,-11.49,-1.05,1095.3075,"October 28, 25",-0.0105,,,,,
2025-10-27,1097.28,1112.06,1093.7,1105.05,1103.18,555034,555034,7.77,0.70811,1102.0225,"October 27, 25",0.0070811,,,,,
2025-10-24,1086.1,1091.91,1073.53,1074.91,1073.09,378719,378719,-11.19,-1.03,1081.6125,"October 24, 25",-0.0103,,,,,
2025-10-23,1045,1076,1038.6,1070.8,1068.99,727570,727570,25.8,2.47,1057.6,"October 23, 25",0.0247,,,,,
2025-10-22,1013.55,1022.76,980.78,1001.4,999.71,713158,713158,-12.15,-1.2,1004.6225,"October 22, 25",-0.012,,,,,
2025-10-21,1027.32,1035.7,1012.35,1028.67,1026.93,255137,255137,1.35,0.13141,1026.01,"October 21, 25",0.0013141,,,,,
2025-10-20,1018.58,1037.89,1018.58,1031.59,1029.85,442631,442631,13.01,1.28,1026.66,"October 20, 25",0.0128,,,,,
2025-10-17,1002.9,1024.34,994.86,1004.65,1002.95,502945,502945,1.75,0.17449,1006.6875,"October 17, 25",0.0017449,,,,,
2025-10-16,1011.52,1041.5,1007.93,1026.83,1025.09,517834,517834,15.31,1.51,1021.945,"October 16, 25",0.0151,,,,,
2025-10-15,1000,1016.96,987.31,1007.93,1006.23,632176,632176,7.93,0.793,1003.05,"October 15, 25",0.00793,,,,,
2025-10-14,967.54,994.83,960,968.25,966.61,754100,754100,0.71,0.07338198,972.655,"October 14, 25",0.0007338198,,,,,
2025-10-13,967.6,990.67,953.66,981.67,980.01,774368,774368,14.07,1.45,973.4,"October 13, 25",0.0145,,,,,
2025-10-10,985.45,990.25,901.39,904.44,902.91,872625,872625,-81.01,-8.22,945.3825,"October 10, 25",-0.0822,,,,,
2025-10-09,973.83,980.1,961.94,979.25,977.6,361405,361405,5.42,0.55657,973.78,"October 09, 25",0.0055657,,,,,
2025-10-08,947.19,983.48,945.99,980.9,979.24,570450,570450,33.71,3.56,964.39,"October 08, 25",0.0356,,,,,
2025-10-07,969.7,972.74,940.88,945.49,943.89,423286,423286,-24.21,-2.5,957.2025,"October 07, 25",-0.025,,,,,
2025-10-06,932.58,986.63,930.61,968.1,966.46,652354,652354,35.52,3.81,954.48,"October 06, 25",0.0381,,,,,
2025-10-03,940.44,954.81,916.8,918.83,917.28,420468,420468,-21.61,-2.3,932.72,"October 03, 25",-0.023,,,,,
2025-10-02,927.25,940.11,925.05,930.51,928.94,389536,389536,3.26,0.35158,930.73,"October 02, 25",0.0035158,,,,,
2025-10-01,907.37,923.34,894.89,915.87,914.32,444382,444382,8.5,0.93677,910.3675,"October 01, 25",0.0093677,,,,,
2025-09-30,898.16,929.5,894.38,920.64,919.08,505776,505776,22.48,2.5,910.67,"September 30, 25",0.025,1.56,2025-09-11,2025-09-30,1.56,2025-10-15
2025-09-29,908.52,915.65,885.92,886.59,883.53,333465,333465,-21.93,-2.41,899.17,"September 29, 25",-0.0241,,,,,
2025-09-26,888.55,892.54,877,887.55,884.49,304300,304300,-1,-0.11254,886.41,"September 26, 25",-0.0011254,,,,,
2025-09-25,897.65,898.19,872.29,891.39,888.31,336512,336512,-6.26,-0.69738,889.88,"September 25, 25",-0.0069738,,,,,
2025-09-24,920.33,920.33,899.9,908.45,905.32,349436,349436,-11.88,-1.29,912.2525,"September 24, 25",-0.0129,,,,,
2025-09-23,917.64,932.25,907.02,914.27,911.12,425500,425500,-3.37,-0.36725,917.795,"September 23, 25",-0.0036725,,,,,
2025-09-22,920.4,938.04,917.79,922.81,919.63,416584,416584,2.41,0.26184,924.76,"September 22, 25",0.0026184,,,,,
2025-09-19,923.37,923.37,893.07,916.36,913.2,1232124,1232124,-7.01,-0.75918,914.0425,"September 19, 25",-0.0075918,,,,,
2025-09-18,895.35,924.4,890.09,917.78,914.61,853397,853397,22.43,2.51,906.905,"September 18, 25",0.0251,,,,,
2025-09-17,856.42,884.46,850,877.66,874.63,408444,408444,21.24,2.48,867.135,"September 17, 25",0.0248,,,,,
2025-09-16,847.57,860.2,844.63,857.02,854.06,401264,401264,9.45,1.11,852.355,"September 16, 25",0.0111,,,,,
2025-09-15,838,852.54,831,849.71,846.78,393389,393389,11.71,1.4,842.8125,"September 15, 25",0.014,,,,,
2025-09-12,844.96,844.96,830,834.14,831.26,329700,329700,-10.82,-1.28,838.515,"September 12, 25",-0.0128,,,,,
2025-09-11,855.16,860.6,830.37,840.38,837.48,576065,576065,-14.78,-1.73,846.6275,"September 11, 25",-0.0173,,,,,
2025-09-10,868.88,869.7,846,855.18,852.23,751897,751897,-13.7,-1.58,859.94,"September 10, 25",-0.0158,,,,,
2025-09-09,865.71,869.32,848.13,857.87,854.91,282346,282346,-7.84,-0.90562,860.2575,"September 09, 25",-0.0090562,,,,,
2025-09-08,869.31,879.5,850.66,864.32,861.34,495424,495424,-4.99,-0.57402,865.9475,"September 08, 25",-0.0057402,,,,,
2025-09-05,853.65,867.22,846.34,865.86,862.87,491525,491525,12.21,1.43,858.2675,"September 05, 25",0.0143,,,,,
2025-09-04,827.56,850.14,817.57,848.11,845.18,424657,424657,20.55,2.48,835.845,"September 04, 25",0.0248,,,,,
2025-09-03,830.26,830.26,809.54,827.56,824.7,432681,432681,-2.7,-0.3252,824.405,"September 03, 25",-0.003252,,,,,
2025-09-02,811.11,824.97,800.97,823.65,820.81,517496,517496,12.54,1.55,815.175,"September 02, 25",0.0155,,,,,
2025-08-29,849.41,853.49,825.16,835.76,832.88,568929,568929,-13.65,-1.61,840.955,"August 29, 25",-0.0161,,,,,
2025-08-28,866.98,875.05,857.4,858.46,855.5,468149,468149,-8.52,-0.98272,864.4725,"August 28, 25",-0.0098272,,,,,
2025-08-27,847.9,870,843.53,866.32,863.33,326701,326701,18.42,2.17,856.9375,"August 27, 25",0.0217,,,,,
2025-08-26,839.86,857.99,839.86,850.64,847.71,404065,404065,10.78,1.28,847.0875,"August 26, 25",0.0128,,,,,
2025-08-25,841.41,850.44,832.2,837.86,834.97,348017,348017,-3.55,-0.42191,840.4775,"August 25, 25",-0.0042191,,,,,
2025-08-22,822.24,859.79,820.64,844,841.09,548835,548835,21.76,2.65,836.6675,"August 22, 25",0.0265,,,,,
2025-08-21,814.22,831.31,812,820.74,817.91,413072,413072,6.52,0.80077,819.5675,"August 21, 25",0.0080077,,,,,
2025-08-20,840.83,847.57,805.94,826.27,823.42,673298,673298,-14.56,-1.73,830.1525,"August 20, 25",-0.0173,,,,,
2025-08-19,854.4,868,839.96,844.8,841.89,558061,558061,-9.6,-1.12,851.79,"August 19, 25",-0.0112,,,,,
2025-08-18,823.59,853.24,823.01,850.31,847.38,563880,563880,26.72,3.24,837.5375,"August 18, 25",0.0324,,,,,
2025-08-15,851.92,851.92,823.85,826.47,823.62,575639,575639,-25.45,-2.99,838.54,"August 15, 25",-0.0299,,,,,
2025-08-14,845.53,854.99,836.51,848.81,845.88,582684,582684,3.28,0.38792,846.46,"August 14, 25",0.0038792,,,,,
2025-08-13,845.6,865.13,840,861.8,858.83,543993,543993,16.2,1.92,853.1325,"August 13, 25",0.0192,,,,,
2025-08-12,807.8,844,803,840.56,837.66,714110,714110,32.76,4.06,823.84,"August 12, 25",0.0406,,,,,
2025-08-11,806.23,815.4,795.82,797.51,794.76,540527,540527,-8.72,-1.08,803.74,"August 11, 25",-0.0108,,,,,
2025-08-08,798.52,815,794.5,804.29,801.52,399400,399400,5.77,0.72259,803.0775,"August 08, 25",0.0072259,,,,,
2025-08-07,816.3,819.5,785,797.94,795.19,640358,640358,-18.36,-2.25,804.685,"August 07, 25",-0.0225,,,,,
2025-08-06,802,807.4,790.07,805.85,803.07,416428,416428,3.85,0.48005,801.33,"August 06, 25",0.0048005,,,,,
2025-08-05,830,834.44,774.14,802.78,800.01,988895,988895,-27.22,-3.28,810.34,"August 05, 25",-0.0328,,,,,
2025-08-04,791.42,831.97,778.9,830.63,827.76,1360548,1360548,39.21,4.95,808.23,"August 04, 25",0.0495,,,,,
2025-08-01,740,803,711.46,785.62,782.91,1524271,1524271,45.62,6.16,760.02,"August 01, 25",0.0616,,,,,
2025-07-31,731.24,740,706,711.24,708.79,1344500,1344500,-20,-2.74,722.12,"July 31, 25",-0.0274,,,,,
2025-07-30,734.46,747.5,726.05,730.54,728.02,629956,629956,-3.92,-0.53373,734.6375,"July 30, 25",-0.0053373,,,,,
2025-07-29,745.52,751.49,715,724.37,721.87,488924,488924,-21.15,-2.84,734.095,"July 29, 25",-0.0284,,,,,
2025-07-28,722.56,741.07,721.72,738.55,736,545600,545600,16,2.21,730.975,"July 28, 25",0.0221,,,,,
2025-07-25,711.61,718.25,704.02,714.68,712.21,275910,275910,3.07,0.43142,712.14,"July 25, 25",0.0043142,,,,,
2025-07-24,717.46,720.82,702.56,713,710.54,343509,343509,-4.46,-0.62164,713.46,"July 24, 25",-0.0062164,,,,,
2025-07-23,717.88,721.46,708,720.01,717.53,401900,401900,2.13,0.29671,716.8375,"July 23, 25",0.0029671,,,,,
2025-07-22,723.49,729.95,702.32,719.98,717.5,554220,554220,-3.51,-0.48515,718.935,"July 22, 25",-0.0048515,,,,,
2025-07-21,728.59,737.76,723.91,724.77,722.27,409706,409706,-3.82,-0.5243,728.7575,"July 21, 25",-0.005243,,,,,
2025-07-18,719.89,725.83,705.84,725.24,722.74,432751,432751,5.35,0.74317,719.2,"July 18, 25",0.0074317,,,,,
2025-07-17,709.89,717.72,703.43,713.57,711.11,431703,431703,3.68,0.51839,711.1525,"July 17, 25",0.0051839,,,,,
2025-07-16,716.54,722.23,686.87,714.03,711.57,779809,779809,-2.51,-0.35029,709.9175,"July 16, 25",-0.0035029,,,,,
2025-07-15,742.75,754.99,716.95,717.62,715.14,585728,585728,-25.13,-3.38,733.0775,"July 15, 25",-0.0338,,,,,
2025-07-14,729.43,729.58,703.06,721.14,718.65,561207,561207,-8.29,-1.14,720.8025,"July 14, 25",-0.0114,,,,,
2025-07-11,739.14,747.6,725,736.06,733.52,383155,383155,-3.08,-0.4167,736.95,"July 11, 25",-0.004167,,,,,
2025-07-10,756.41,756.41,735.4,740.45,737.9,386935,386935,-15.96,-2.11,747.1675,"July 10, 25",-0.0211,,,,,
2025-07-09,762.01,778.86,730,751.14,748.55,584820,584820,-10.87,-1.43,755.5025,"July 09, 25",-0.0143,,,,,
2025-07-08,753.16,770.15,750.16,761.31,758.68,504242,504242,8.15,1.08,758.695,"July 08, 25",0.0108,,,,,
2025-07-07,748.23,755.31,736.63,741.17,738.61,450936,450936,-7.06,-0.94356,745.335,"July 07, 25",-0.0094356,,,,,
2025-07-03,770,776.88,754.41,758.64,756.02,400100,400100,-11.36,-1.48,764.9825,"July 03, 25",-0.0148,,,,,
2025-07-02,743.09,770,735.76,764.4,761.76,578867,578867,21.31,2.87,753.3125,"July 02, 25",0.0287,,,,,
2025-07-01,729.23,756.74,722.25,746.97,744.39,587232,587232,17.74,2.43,738.7975,"July 01, 25",0.0243,,,,,
2025-06-30,737.48,741.49,723.2,731.38,728.86,396528,396528,-6.1,-0.82714,733.3875,"June 30, 25",-0.0082714,1.56,2025-06-13,2025-06-30,1.56,2025-07-15
2025-06-27,736.09,745.48,724.98,736.03,731.94,562300,562300,-0.06,-0.00815118,735.645,"June 27, 25",-8.15118e-05,,,,,
2025-06-26,728,744.01,718.99,735.17,731.08,494548,494548,7.17,0.98489,731.5425,"June 26, 25",0.0098489,,,,,
2025-06-25,717.32,724.99,708.83,722.82,718.8,337437,337437,5.5,0.76674,718.49,"June 25, 25",0.0076674,,,,,
2025-06-24,705.85,719.15,700.65,716.58,712.6,709971,709971,10.73,1.52,710.5575,"June 24, 25",0.0152,,,,,
2025-06-23,685.9,695,671.18,692.62,688.77,480644,480644,6.72,0.97973,686.175,"June 23, 25",0.0097973,,,,,
2025-06-20,704.97,704.97,676.66,685.9,682.09,1074812,1074812,-19.07,-2.71,693.125,"June 20, 25",-0.0271,,,,,
2025-06-18,693.85,706.4,686.06,693.24,689.39,455221,455221,-0.61,-0.08791526,694.8875,"June 18, 25",-0.0008791526,,,,,
2025-06-17,700,710.73,689.82,690.87,687.03,430405,430405,-9.13,-1.3,697.855,"June 17, 25",-0.013,,,,,
2025-06-16,684.46,712.73,681.22,706.59,702.66,613938,613938,22.13,3.23,696.25,"June 16, 25",0.0323,,,,,
2025-06-13,699.85,702.94,670,673.01,669.27,1027998,1027998,-26.84,-3.84,686.45,"June 13, 25",-0.0384,,,,,
2025-06-12,713.44,730,713.41,718.57,714.57,322799,322799,5.13,0.71905,718.855,"June 12, 25",0.0071905,,,,,
2025-06-11,736.61,740.9,709.21,720.83,716.82,565097,565097,-15.78,-2.14,726.8875,"June 11, 25",-0.0214,,,,,
2025-06-10,712.72,738.81,708.8,731.84,727.77,901254,901254,19.12,2.68,723.0425,"June 10, 25",0.0268,,,,,
2025-06-09,693.54,711,689.9,706.28,702.35,550527,550527,12.74,1.84,700.18,"June 09, 25",0.0184,,,,,
2025-06-06,698.27,698.76,685.52,687.08,683.26,293532,293532,-11.19,-1.6,692.4075,"June 06, 25",-0.016,,,,,
2025-06-05,701.76,705.9,674.82,681.06,677.27,568871,568871,-20.7,-2.95,690.885,"June 05, 25",-0.0295,,,,,
2025-06-04,693.39,721.27,689.19,694.75,690.89,534656,534656,1.37,0.19614,699.65,"June 04, 25",0.0019614,,,,,
2025-06-03,669.79,688.8,662.79,685.76,681.95,521392,521392,15.97,2.38,676.785,"June 03, 25",0.0238,,,,,
2025-06-02,661.31,671.15,655.5,668.66,664.94,422818,422818,7.35,1.11,664.155,"June 02, 25",0.0111,,,,,
2025-05-30,671.53,679.97,643.36,661.9,658.22,950478,950478,-9.63,-1.43,664.19,"May 30, 25",-0.0143,,,,,
2025-05-29,699.51,699.51,677.11,680.72,676.94,419847,419847,-18.79,-2.69,689.2125,"May 29, 25",-0.0269,,,,,
2025-05-28,686.06,689.4,675.47,677.48,673.71,517834,517834,-8.58,-1.25,682.1025,"May 28, 25",-0.0125,,,,,
2025-05-27,683.33,689.52,671.66,685.52,681.71,787654,787654,2.19,0.32049,682.5075,"May 27, 25",0.0032049,,,,,
2025-05-23,649.99,668.11,648.68,662.18,658.5,508537,508537,12.19,1.88,657.24,"May 23, 25",0.0188,,,,,
2025-05-22,680.02,694.82,671.07,672.2,668.46,461341,461341,-7.82,-1.15,679.5275,"May 22, 25",-0.0115,,,,,
2025-05-21,691,703.97,674.47,678.62,674.85,487500,487500,-12.38,-1.79,687.015,"May 21, 25",-0.0179,,,,,
2025-05-20,695.5,702.23,692.77,700.17,696.28,421122,421122,4.67,0.67146,697.6675,"May 20, 25",0.0067146,,,,,
2025-05-19,692.78,706.7,688.1,702.39,698.48,512542,512542,9.61,1.39,697.4925,"May 19, 25",0.0139,,,,,
2025-05-16,712.75,716.79,696.45,715.4,711.42,362167,362167,2.65,0.3718,710.3475,"May 16, 25",0.003718,,,,,
2025-05-15,725.62,730.36,703.35,710.32,706.37,981490,981490,-15.3,-2.11,717.4125,"May 15, 25",-0.0211,,,,,
2025-05-14,737,755,725.85,734.28,730.2,589590,589590,-2.72,-0.36906,738.0325,"May 14, 25",-0.0036906,,,,,
2025-05-13,705.75,742.2,705.75,737.73,733.63,909300,909300,31.98,4.53,722.8575,"May 13, 25",0.0453,,,,,
2025-05-12,693.98,721,680,709.23,705.29,1506913,1506913,15.25,2.2,701.0525,"May 12, 25",0.022,,,,,
2025-05-09,647.48,656,630.62,637.77,634.22,639266,639266,-9.71,-1.5,642.9675,"May 09, 25",-0.015,,,,,
2025-05-08,648.79,656.41,630,639.93,636.37,638321,638321,-8.86,-1.37,643.7825,"May 08, 25",-0.0137,,,,,
2025-05-07,621.67,640.52,613,636.71,633.17,569460,569460,15.04,2.42,627.975,"May 07, 25",0.0242,,,,,
2025-05-06,620.29,631.42,612.95,622.99,619.53,567373,567373,2.7,0.43528,621.9125,"May 06, 25",0.0043528,,,,,
2025-05-05,634.66,642.6,626,627.4,623.91,629000,629000,-7.26,-1.14,632.665,"May 05, 25",-0.0114,,,,,
2025-05-02,614.68,649.4,608.96,636.89,633.35,1651753,1651753,22.21,3.61,627.4825,"May 02, 25",0.0361,,,,,
2025-05-01,600,614,594.84,601.63,598.28,990100,990100,1.63,0.27167,602.6175,"May 01, 25",0.0027167,,,,,
2025-04-30,565.21,595.92,562.38,593.1,589.8,785143,785143,27.89,4.93,579.1525,"April 30, 25",0.0493,,,,,
2025-04-29,584.14,593.76,574.87,586.74,583.48,783891,783891,2.6,0.4451,584.8775,"April 29, 25",0.004451,,,,,
2025-04-28,580.07,591.39,564.22,585.21,581.96,552455,552455,5.14,0.8861,580.2225,"April 28, 25",0.008861,,,,,
2025-04-25,577.21,588.25,568.96,583.72,580.47,508773,508773,6.51,1.13,579.535,"April 25, 25",0.0113,,,,,
2025-04-24,548.41,582.57,546.76,580.75,577.52,1046700,1046700,32.34,5.9,564.6225,"April 24, 25",0.059,,,,,
2025-04-23,545.91,553.98,532.71,536.97,533.98,828700,828700,-8.94,-1.64,542.3925,"April 23, 25",-0.0164,,,,,
2025-04-22,512.36,526.57,506.31,511.82,508.97,859404,859404,-0.54,-0.10539,514.265,"April 22, 25",-0.0010539,,,,,
2025-04-21,512.72,514.83,496.4,508.19,505.36,798846,798846,-4.53,-0.88352,508.035,"April 21, 25",-0.0088352,,,,,
2025-04-17,538,539.82,514.29,523.58,520.67,864607,864607,-14.42,-2.68,528.9225,"April 17, 25",-0.0268,,,,,
2025-04-16,518.07,531.08,499.69,524.86,521.94,1275063,1275063,6.79,1.31,518.425,"April 16, 25",0.0131,,,,,
2025-04-15,545.21,554.77,537.35,544.25,541.22,634429,634429,-0.96,-0.17608,545.395,"April 15, 25",-0.0017608,,,,,
2025-04-14,560.75,560.75,532.12,538.8,535.8,1291440,1291440,-21.95,-3.91,548.105,"April 14, 25",-0.0391,,,,,
2025-04-11,489.69,538.44,476,533.13,530.17,2218659,2218659,43.44,8.87,509.315,"April 11, 25",0.0887,,,,,
2025-04-10,525.98,530.64,470.22,484.71,482.02,2145625,2145625,-41.27,-7.85,502.8875,"April 10, 25",-0.0785,,,,,
2025-04-09,459.01,567.71,449.53,561.84,558.72,2335400,2335400,102.83,22.4,509.5225,"April 09, 25",0.224,,,,,
2025-04-08,508.61,515.92,438.86,455.19,452.66,1588098,1588098,-53.42,-10.5,479.645,"April 08, 25",-0.105,,,,,
2025-04-07,465.1,525.04,442.69,488.62,485.9,1814731,1814731,23.52,5.06,480.3625,"April 07, 25",0.0506,,,,,
2025-04-04,476.6,492.38,451.29,477.39,474.74,1734138,1734138,0.79,0.16576,474.415,"April 04, 25",0.0016576,,,,,
2025-04-03,552.95,561.79,494.19,498.68,495.91,1927733,1927733,-54.27,-9.81,526.9025,"April 03, 25",-0.0981,,,,,
2025-04-02,567.19,597.41,564.24,590.65,587.37,506109,506109,23.46,4.14,579.8725,"April 02, 25",0.0414,,,,,
2025-04-01,575.13,588.19,566.54,581.48,578.25,676996,676996,6.35,1.1,577.835,"April 01, 25",0.011,,,,,
2025-03-31,567.83,581.5,554.02,579.98,576.76,1141400,1141400,12.15,2.14,570.8325,"March 31, 25",0.0214,1.56,2025-02-06,2025-03-31,1.56,2025-04-15
2025-03-28,599.48,612.88,573.03,579.89,575.11,811119,811119,-19.59,-3.27,591.32,"March 28, 25",-0.0327,,,,,
2025-03-27,593.25,611.11,583.14,601.44,596.48,707229,707229,8.19,1.38,597.235,"March 27, 25",0.0138,,,,,
2025-03-26,628.9,630,593.33,600.47,595.52,907316,907316,-28.43,-4.52,613.175,"March 26, 25",-0.0452,,,,,
2025-03-25,628.36,638.71,623.92,632.97,627.75,702447,702447,4.61,0.73366,630.99,"March 25, 25",0.0073366,,,,,
2025-03-24,609.08,636.35,600.85,627.93,622.76,1170839,1170839,18.85,3.09,618.5525,"March 24, 25",0.0309,,,,,
2025-03-21,590.77,598.01,575,590.98,586.11,1713882,1713882,0.21,0.03554683,588.69,"March 21, 25",0.0003554683,,,,,
2025-03-20,620.89,652.89,603.75,609.02,604,998171,998171,-11.87,-1.91,621.6375,"March 20, 25",-0.0191,,,,,
2025-03-19,621.82,644.22,616.85,629.84,624.65,706300,706300,8.02,1.29,628.1825,"March 19, 25",0.0129,,,,,
2025-03-18,631.8,638.04,614.68,622.29,617.16,690500,690500,-9.51,-1.51,626.7025,"March 18, 25",-0.0151,,,,,
2025-03-17,610.01,644.77,609.66,640.64,635.36,1109725,1109725,30.63,5.02,626.27,"March 17, 25",0.0502,,,,,
2025-03-14,585.38,607.35,582.63,606.06,601.07,916292,916292,20.68,3.53,595.355,"March 14, 25",0.0353,,,,,
2025-03-13,576.11,586.73,562.7,571.21,566.5,485849,485849,-4.9,-0.85053,574.1875,"March 13, 25",-0.0085053,,,,,
2025-03-12,580.9,593.07,575.24,582.99,578.19,695973,695973,2.09,0.35979,583.05,"March 12, 25",0.0035979,,,,,
2025-03-11,586.79,586.79,558.6,570.35,565.65,674214,674214,-16.44,-2.8,575.6325,"March 11, 25",-0.028,,,,,
2025-03-10,582.28,597.35,571.91,581.59,576.8,1152500,1152500,-0.685,-0.1185,583.2825,"March 10, 25",-0.001185,,,,,
2025-03-07,570,600.32,564.84,596.79,591.87,782400,782400,26.79,4.7,582.9875,"March 07, 25",0.047,,,,,
2025-03-06,591.7,608.83,559.51,565.7,561.04,1283510,1283510,-26,-4.39,581.435,"March 06, 25",-0.0439,,,,,
