date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,dividend,recordDate
2021-11-26,44.67,46.07,44.66,45.67,42.55,2962950,2962950,1,2.24,45.2675,"November 26, 21",0.0224,,,,,
2021-11-24,44.66,45.22,44.41,45.16,42.07,2137255,2137255,0.5,1.12,44.8625,"November 24, 21",0.0112,,,,,
2021-11-23,45.85,45.87,44.4,45.06,41.98,3453950,3453950,-0.792,-1.72,45.295,"November 23, 21",-0.0172,,,,,
2021-11-22,46.4,46.49,45.7,45.8,42.67,2892675,2892675,-0.604,-1.29,46.0975,"November 22, 21",-0.0129,,,,,
2021-11-19,45.73,46.37,45.6,46.11,42.96,4706685,4706685,0.386,0.83096,45.9525,"November 19, 21",0.0083096,2021-11-04,0.104,2021-12-08,0.52,2021-11-22
2021-11-18,45.84,45.89,45.19,45.85,42.62,3190885,3190885,0.008,0.02181501,45.6925,"November 18, 21",0.0002181501,,,,,
2021-11-17,45.89,46.17,44.98,45.27,42.08,3648115,3648115,-0.626,-1.35,45.5775,"November 17, 21",-0.0135,,,,,
2021-11-16,45.02,46.05,44.72,45.82,42.59,5237625,5237625,0.7983,1.78,45.4025,"November 16, 21",0.0178,,,,,
2021-11-15,44.49,44.72,44.23,44.58,41.44,2556515,2556515,0.092,0.20229,44.505,"November 15, 21",0.0020229,,,,,
2021-11-12,43.82,44.31,43.66,44.23,41.11,2460085,2460085,0.412,0.93565,44.005,"November 12, 21",0.0093565,,,,,
2021-11-11,43.61,43.88,43.36,43.73,40.65,2315495,2315495,0.116,0.27517,43.645,"November 11, 21",0.0027517,,,,,
2021-11-10,43.88,44.18,43.25,43.45,40.39,2362980,2362980,-0.424,-0.97995,43.69,"November 10, 21",-0.0097995,,,,,
2021-11-09,44.3,44.97,43.92,44.17,41.06,2976945,2976945,-0.126,-0.29345,44.34,"November 09, 21",-0.0029345,,,,,
2021-11-08,44.14,44.33,43.57,44.28,41.16,4225310,4225310,0.142,0.31717,44.08,"November 08, 21",0.0031717,,,,,
2021-11-05,43.84,44.09,43.4,44.01,40.91,3937575,3937575,0.166,0.38777,43.835,"November 05, 21",0.0038777,,,,,
2021-11-04,43.27,43.92,43.07,43.61,40.54,2627870,2627870,0.342,0.78576,43.4675,"November 04, 21",0.0078576,,,,,
2021-11-03,43.17,43.43,42.66,43.15,40.11,2952900,2952900,-0.012,-0.04632847,43.1025,"November 03, 21",-0.0004632847,,,,,
2021-11-02,42.87,43.3,42.87,43.13,40.09,2770685,2770685,0.254,0.60648,43.0425,"November 02, 21",0.0060648,,,,,
2021-11-01,43.67,43.75,42.66,42.77,39.76,3221245,3221245,-0.908,-2.06,43.2125,"November 01, 21",-0.0206,,,,,
2021-10-29,41.93,43.54,41.93,43.43,40.37,5402510,5402510,1.5,3.58,42.7075,"October 29, 21",0.0358,,,,,
2021-10-28,41.42,42.22,41.38,42.02,39.06,3461960,3461960,0.594,1.45,41.76,"October 28, 21",0.0145,,,,,
2021-10-27,41.5,41.73,41.18,41.38,38.46,3074070,3074070,-0.118,-0.28916,41.4475,"October 27, 21",-0.0028916,,,,,
2021-10-26,42.35,42.42,41.35,41.36,38.45,4007840,4007840,-0.99,-2.34,41.87,"October 26, 21",-0.0234,,,,,
2021-10-25,41.86,42.73,41.74,42.21,39.24,3816350,3816350,0.344,0.83612,42.135,"October 25, 21",0.0083612,,,,,
2021-10-22,42.5,42.85,41.63,41.64,38.71,3910240,3910240,-0.858,-2.02,42.155,"October 22, 21",-0.0202,,,,,
2021-10-21,42.3,42.58,41.42,42.08,39.12,7499510,7499510,-0.218,-0.52009,42.095,"October 21, 21",-0.0052009,,,,,
2021-10-20,40.71,41.07,40.4,40.46,37.61,3986605,3986605,-0.246,-0.6141,40.66,"October 20, 21",-0.006141,,,,,
2021-10-19,41.07,41.18,40.62,40.71,37.84,3056610,3056610,-0.362,-0.87655,40.895,"October 19, 21",-0.0087655,,,,,
2021-10-18,39.38,41.04,39.3,40.9,38.02,5992640,5992640,1.52,3.86,40.155,"October 18, 21",0.0386,,,,,
2021-10-15,39.88,40.07,39.41,39.45,36.67,3399540,3399540,-0.426,-1.08,39.7025,"October 15, 21",-0.0108,,,,,
2021-10-14,39.34,39.8,39.14,39.46,36.68,2835455,2835455,0.118,0.30503,39.435,"October 14, 21",0.0030503,,,,,
2021-10-13,38.86,39.17,38.62,38.99,36.24,2962735,2962735,0.124,0.33453,38.91,"October 13, 21",0.0033453,,,,,
2021-10-12,38.74,39.05,38.48,38.66,35.94,2666990,2666990,-0.08,-0.2065,38.7325,"October 12, 21",-0.002065,,,,,
2021-10-11,39.05,39.37,38.69,38.71,35.98,3910030,3910030,-0.34816,-0.87068,38.955,"October 11, 21",-0.0087068,,,,,
2021-10-08,39.71,39.88,38.9,38.94,36.2,3380700,3380700,-0.764,-1.94,39.3575,"October 08, 21",-0.0194,,,,,
