date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,declarationDate,dividend,adjDividend
2026-01-02,137.98,141.99,137.7,141.1,141.1,656753,656753,3.12,2.26,139.6925,"January 02, 26",0.0226,,,,,
2025-12-31,137.7,138.47,136.25,136.37,136.37,625967,625967,-1.33,-0.96587,137.1975,"December 31, 25",-0.0096587,,,,,
2025-12-30,138.07,138.72,137.08,137.86,137.86,483055,483055,-0.21,-0.1521,137.9325,"December 30, 25",-0.001521,,,,,
2025-12-29,139.39,140.2,137.76,138.48,138.48,800553,800553,-0.91,-0.65284,138.9575,"December 29, 25",-0.0065284,,,,,
2025-12-26,140.34,141.1,139.34,140.56,140.56,503959,503959,0.22,0.15676,140.335,"December 26, 25",0.0015676,,,,,
2025-12-24,139.78,141.54,139.78,140.81,140.81,406000,406000,1.03,0.73687,140.4775,"December 24, 25",0.0073687,,,,,
2025-12-23,139.71,140.89,137.64,139.87,139.87,938700,938700,0.16,0.11452,139.5275,"December 23, 25",0.0011452,,,,,
2025-12-22,139.95,141.16,137.6,140.05,140.05,1068700,1068700,0.1,0.07145409,139.69,"December 22, 25",0.0007145409,,,,,
2025-12-19,142,144.96,137.31,138.94,138.94,3572200,3572200,-3.06,-2.15,140.8025,"December 19, 25",-0.0215,,,,,
2025-12-18,148.84,149.8,134.8,136.99,136.99,2753300,2753300,-11.85,-7.96,142.6075,"December 18, 25",-0.0796,,,,,
2025-12-17,154.9,156.45,143.82,144.82,144.82,1736192,1736192,-10.08,-6.51,149.9975,"December 17, 25",-0.0651,,,,,
2025-12-16,158.42,159.52,154.03,155.36,155.36,534435,534435,-3.06,-1.93,156.8325,"December 16, 25",-0.0193,,,,,
2025-12-15,162.91,162.91,157.2,158.43,158.43,710207,710207,-4.48,-2.75,160.3625,"December 15, 25",-0.0275,,,,,
2025-12-12,167.49,167.95,158.14,160.75,160.75,911237,911237,-6.74,-4.02,163.5825,"December 12, 25",-0.0402,,,,,
2025-12-11,165.61,168.12,164.42,167.65,167.65,474917,474917,2.04,1.23,166.45,"December 11, 25",0.0123,,,,,
2025-12-10,161.14,167.73,160.02,166.57,166.57,772725,772725,5.43,3.37,163.865,"December 10, 25",0.0337,,,,,
2025-12-09,163.49,163.63,160.01,160.11,160.11,776449,776449,-3.38,-2.07,161.81,"December 09, 25",-0.0207,,,,,
2025-12-08,166.5,168,163.27,164.04,164.04,707400,707400,-2.46,-1.48,165.4525,"December 08, 25",-0.0148,,,,,
2025-12-05,162.7,165.5,162.28,162.33,162.33,763930,763930,-0.37,-0.22741,163.2025,"December 05, 25",-0.0022741,,,,,
2025-12-04,159,165.83,157.07,163.24,163.24,721214,721214,4.24,2.67,161.285,"December 04, 25",0.0267,,,,,
2025-12-03,154.94,159.59,154.77,159.17,159.17,827359,827359,4.23,2.73,157.1175,"December 03, 25",0.0273,,,,,
2025-12-02,150.53,158.4,147.61,155.31,155.31,1392238,1392238,4.78,3.18,152.9625,"December 02, 25",0.0318,,,,,
2025-12-01,148.27,151.75,148,149.22,149.22,510448,510448,0.95,0.64072,149.31,"December 01, 25",0.0064072,,,,,
2025-11-28,149.49,152.38,148.94,151.63,151.63,294131,294131,2.14,1.43,150.61,"November 28, 25",0.0143,,,,,
2025-11-26,148.13,150.6,148.13,148.82,148.82,559560,559560,0.69,0.46581,148.92,"November 26, 25",0.0046581,,,,,
2025-11-25,145.81,149.59,143.61,148.56,148.56,806212,806212,2.75,1.89,146.8925,"November 25, 25",0.0189,,,,,
2025-11-24,146.55,148.16,143.9,144.73,144.73,768300,768300,-1.82,-1.24,145.835,"November 24, 25",-0.0124,,,,,
2025-11-21,140.55,148.85,139.32,146.04,146.04,1353477,1353477,5.49,3.91,143.69,"November 21, 25",0.0391,,,,,
2025-11-20,152.2,155,139.8,140.22,140.22,1327769,1327769,-11.98,-7.87,146.805,"November 20, 25",-0.0787,,,,,
2025-11-19,143.82,148.18,143.23,147.26,147.26,1065830,1065830,3.44,2.39,145.6225,"November 19, 25",0.0239,,,,,
2025-11-18,139.11,144.53,137.6,142.46,142.46,1574126,1574126,3.35,2.41,140.925,"November 18, 25",0.0241,,,,,
2025-11-17,150.03,150.39,138.93,140.51,140.51,1682862,1682862,-9.52,-6.35,144.965,"November 17, 25",-0.0635,,,,,
2025-11-14,150.91,153.14,149.76,151.21,151.21,1276784,1276784,0.3,0.19879,151.255,"November 14, 25",0.0019879,,,,,
2025-11-13,160.7,163.93,154.63,154.63,154.63,1328106,1328106,-6.07,-3.78,158.4725,"November 13, 25",-0.0378,,,,,
2025-11-12,158.81,163.85,157.6,162.42,162.42,1134303,1134303,3.61,2.27,160.67,"November 12, 25",0.0227,,,,,
2025-11-11,156.26,160.97,154.77,157.92,157.92,1280570,1280570,1.66,1.06,157.48,"November 11, 25",0.0106,,,,,
2025-11-10,158,159.35,154,156.64,156.64,1480890,1480890,-1.36,-0.86076,156.9975,"November 10, 25",-0.0086076,,,,,
2025-11-07,150.55,156.15,149.86,155.29,155.29,1221953,1221953,4.74,3.15,152.9625,"November 07, 25",0.0315,,,,,
2025-11-06,158,158.68,153.27,153.79,153.79,1239485,1239485,-4.21,-2.66,155.935,"November 06, 25",-0.0266,,,,,
2025-11-05,156.53,161.26,156,159.18,159.18,897185,897185,2.65,1.69,158.2425,"November 05, 25",0.0169,,,,,
2025-11-04,161.07,163.12,156.33,156.59,156.59,1430800,1430800,-4.48,-2.78,159.2775,"November 04, 25",-0.0278,,,,,
2025-11-03,166.43,167.84,161.87,163.75,163.75,1278229,1278229,-2.68,-1.61,164.9725,"November 03, 25",-0.0161,,,,,
2025-10-31,166.87,171.51,165.99,168.02,168.02,1406425,1406425,1.15,0.68916,168.0975,"October 31, 25",0.0068916,,,,,
2025-10-30,178.56,181.02,164.02,165.78,165.78,2528735,2528735,-12.78,-7.16,172.345,"October 30, 25",-0.0716,,,,,
2025-10-29,169.4,200.6,167.3,180.86,180.86,5016000,5016000,11.46,6.77,179.54,"October 29, 25",0.0677,,,,,
2025-10-28,191.36,191.51,187.19,190.15,190.15,1582515,1582515,-1.21,-0.63232,190.0525,"October 28, 25",-0.0063232,,,,,
2025-10-27,194.5,194.89,188.72,190.41,190.41,918319,918319,-4.09,-2.1,192.13,"October 27, 25",-0.021,,,,,
2025-10-24,192.71,195.2,190.91,191.95,191.95,816187,816187,-0.76,-0.39437,192.6925,"October 24, 25",-0.0039437,,,,,
2025-10-23,183.1,191.11,181.7,189.04,189.04,807463,807463,5.94,3.24,186.2375,"October 23, 25",0.0324,,,,,
2025-10-22,193,193.63,180.32,183.09,183.09,1073192,1073192,-9.91,-5.13,187.51,"October 22, 25",-0.0513,,,,,
2025-10-21,193.74,195.97,190.5,192.5,192.5,1029000,1029000,-1.24,-0.64003,193.1775,"October 21, 25",-0.0064003,,,,,
2025-10-20,193,196.92,192.46,195.77,195.77,679418,679418,2.77,1.44,194.5375,"October 20, 25",0.0144,,,,,
2025-10-17,190.86,193.03,188.12,190.49,190.49,703625,703625,-0.37,-0.19386,190.625,"October 17, 25",-0.0019386,,,,,
